Term Ontology IRI	Display Label	Term parent ontology IRI	Term parent display label	Data Dictionary Label (es)	Column Name (en)	Term Type	Indian Preferred Label (en)	Indian description	Var/Field name synonym	Field Type	Answers	Related Synonym
http://purl.obolibrary.org/obo/EUPATH_0000416	Hospital registration #	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	igh_regnum	igh_regnum	variable		Hospital registration #, in Raurkela Clinic project only, some subjects were enrolled at a nearby general hospital instead of a the malaria  clinic.  These subjects  may have a hospital record number, captured in this field  >  I don't think it was every used much, if at all.  Probably it's identifying info and would not be uploaded.		text		
http://purl.obolibrary.org/obo/EUPATH_0000094	Household ID	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	cen_fid	cen_fid	variable		Census Form ID: The first project done at all three sites (Chennai, Nadiad, Raurkela) was to perform a Census of a sampling of  local households, collecting physical and socioeconomic data about each household and its occupants.  That data went into the Census project for each site.  CrossSectional subjects were (mostly...see 'cen_onsite') chosen from households that provided Census data.  This field relates the CrossSectional subjectID (sid) to the Census ID (cen_fid = census form ID) for the household.  So in a sense it is...metadata?   Not sure where to categorize it.		text		
http://purl.obolibrary.org/obo/EUPATH_0000094	Household ID	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	fid	fid	variable		Form ID		text		
http://purl.obolibrary.org/obo/EUPATH_0000424	Nationality	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	nationality	nationality	variable		Country of birth		text		
http://purl.obolibrary.org/obo/EUPATH_0000359	Occupation	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	occupation	occupation	variable		Occupation	occupation_rad	radio	1, None | 2, Daily wage/laborer | 3, Service | 4, Trade | 5, Housewife | 6, Student	
http://purl.obolibrary.org/obo/EUPATH_0000359	Occupation	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	occupation_rad	occupation_rad	variable						
http://purl.obolibrary.org/obo/EUPATH_0000095	Participant ID	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	icid	icid	variable		Index Case ID, In the Reactive Case Detection projects, an Index Case subject is first chosen from Clinic project data , then RCD subjects are Enrolled who live with or nearby that Index Case subject.  So icid  is the subject ID of the Clinic case used as the Index Case for this RCD case.  This is linking data betweem Clinic and RCD records.  		text		
http://purl.obolibrary.org/obo/EUPATH_0000095	Participant ID	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	sid	sid	variable		Subject ID		text		
http://purl.obolibrary.org/obo/EUPATH_0000434	Primary health center	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	phc	phc	variable		PHC/CHC, primary health center'.  The name of the public health clinic/hospital that the subject normally uses (for non malaria illness).  I believe this field was virtually always empty. 	phc_chc	text		
http://purl.obolibrary.org/obo/EUPATH_0000434	Primary health center	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	phc_chc	phc_chc	variable						
http://purl.obolibrary.org/obo/EUPATH_0000440	Resident status	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	resident_status_chk	resident_status_chk	variable		Resident status		checkbox	1, Permanent | 2, Temporary	
http://purl.obolibrary.org/obo/EUPATH_0000442	State of birth	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	stateofbirth	stateofbirth	variable		State of birth	state_birth	text		
http://purl.obolibrary.org/obo/EUPATH_0000442	State of birth	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	state_birth	state_birth	variable						
http://purl.obolibrary.org/obo/HP_0002027	Abdominal pain	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	symptoms_chk___10	symptoms_chk___10	variable				checkbox	symptoms_chk: 10, Abdominal pain	
http://purl.obolibrary.org/obo/SYMP_0000099	Aches or pains	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	symptoms_chk___3	symptoms_chk___3	variable				checkbox	symptoms_chk: 3, Aches or pains	
http://purl.bioontology.org/ontology/SNOMEDCT/40541001	Acute pulmonary edema	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	manifestations_chk___1	manifestations_chk___1	variable				checkbox	manifestations_chk: 1, Acute pulmonary edema	
http://purl.obolibrary.org/obo/SYMP_0000523	Anorexia	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	symptoms_chk___6	symptoms_chk___6	variable				checkbox	symptoms_chk: 6, Lack of appetite	
http://purl.obolibrary.org/obo/HP_0100749	Chest pain	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	symptoms_chk___15	symptoms_chk___15	variable				checkbox	symptoms_chk: 15, Chest pain	
http://purl.obolibrary.org/obo/SYMP_0019174	Chills	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	symptoms_chk___2	symptoms_chk___2	variable				checkbox	symptoms_chk: 2, Chills	
http://purl.bioontology.org/ontology/SNOMEDCT/371632003	Coma	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	manifestations_chk___2	manifestations_chk___2	variable				checkbox	manifestations_chk: 2, Coma	
http://purl.obolibrary.org/obo/SYMP_0000614	Cough	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	symptoms_chk___7	symptoms_chk___7	variable				checkbox	symptoms_chk: 7, Cough	
http://purl.obolibrary.org/obo/DOID_13250	Diarrhea	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	symptoms_chk___11	symptoms_chk___11	variable				checkbox	symptoms_chk: 11, Diarrhea	
http://purl.obolibrary.org/obo/SYMP_0000610	Dizziness	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	symptoms_chk___8	symptoms_chk___8	variable				checkbox	symptoms_chk: 8, Dizziness	
http://purl.obolibrary.org/obo/EUPATH_0000414	Duration of febrile	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	fever_48hr_numdays	fever_48hr_numdays	variable		IF YES, number of days febrile		text		
http://purl.bioontology.org/ontology/MEDDRA/10014020	Ear pain	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	symptoms_chk___17	symptoms_chk___17	variable				checkbox	symptoms_chk: 17, Ear pain	
http://purl.obolibrary.org/obo/EUPATH_0000411	Existing illness	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	existing_illness_list	existing_illness_list	variable		IF YES, list		notes		
http://purl.bioontology.org/ontology/MEDDRA/10015958	Eye pain	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	symptoms_chk___13	symptoms_chk___13	variable				checkbox	symptoms_chk: 13, Eye pain	
http://purl.obolibrary.org/obo/SYMP_0019177	Fatigue	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	symptoms_chk___4	symptoms_chk___4	variable				checkbox	symptoms_chk: 4, Fatigue	
http://purl.obolibrary.org/obo/EUPATH_0000097	Febrile	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	fever_48hr_yn	fever_48hr_yn	variable		Fever within last 48 hrs		yesno		
http://purl.obolibrary.org/obo/EUPATH_0000100	Fever (subjective)	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	fever_2wk_yn	fever_2wk_yn	variable		Fever within last 2 weeks		yesno		
http://purl.obolibrary.org/obo/EUPATH_0000413	Fever treatment location	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	fever_2wk_where_chk	fever_2wk_where_chk	variable		IF YES, where were you treated?		checkbox	1, Clinic | 2, Private practice | 3, Self-treated | 4, Not treated	
http://purl.obolibrary.org/obo/EUPATH_0000412	Have an existing illness?	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	existing_illness_yn	existing_illness_yn	variable		Pre-existing illness(es)		yesno		
http://purl.obolibrary.org/obo/HP_0002315	Headache	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	symptoms_chk___1	symptoms_chk___1	variable				checkbox	symptoms_chk: 1, Headache	
http://purl.obolibrary.org/obo/EUPATH_0000417	Illness now?	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	illnow_yn	illnow_yn	variable		Feeling ill now		yesno		
http://purl.obolibrary.org/obo/HP_0000952	Jaundice	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	manifestations_chk___3	manifestations_chk___3	variable				checkbox	manifestations_chk: 3, Jaundice	
http://purl.obolibrary.org/obo/HP_0003419	Lower back pain	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	symptoms_chk___12	symptoms_chk___12	variable				checkbox	symptoms_chk: 12, Lower back pain	
http://purl.obolibrary.org/obo/HP_0000980	Paleness	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	symptoms_chk___14	symptoms_chk___14	variable				checkbox	symptoms_chk: 14, Paleness	
http://purl.obolibrary.org/obo/DOID_0050486	Rash	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	symptoms_chk___16	symptoms_chk___16	variable				checkbox	symptoms_chk: 16, Rash	
http://purl.obolibrary.org/obo/DOID_1074	Renal failure	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	manifestations_chk___4	manifestations_chk___4	variable				checkbox	manifestations_chk: 4, Renal failure	
http://purl.bioontology.org/ontology/MEDDRA/10009119	Respiratory distress	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	manifestations_chk___5	manifestations_chk___5	variable				checkbox	manifestations_chk: 5, Respiratory distress	
http://purl.obolibrary.org/obo/EUPATH_0000215	Severe anemia	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	manifestations_chk___7	manifestations_chk___7	variable				checkbox	manifestations_chk: 7, Severe anemia (<5g/dl)	
http://purl.obolibrary.org/obo/HP_0001744	Splenomegaly	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	symptoms_chk___18	symptoms_chk___18	variable				checkbox	symptoms_chk: 18, Splenomegaly	
http://purl.obolibrary.org/obo/SYMP_0000007	Spontaneous bleeding	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	manifestations_chk___6	manifestations_chk___6	variable				checkbox	manifestations_chk: 6, Spontaneous bleeding	
http://purl.obolibrary.org/obo/HP_0000975	Sweating	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	symptoms_chk___9	symptoms_chk___9	variable				checkbox	symptoms_chk: 9, Sweating	
http://purl.obolibrary.org/obo/HP_0002013	Vomiting	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	symptoms_chk___5	symptoms_chk___5	variable				checkbox	symptoms_chk: 5, Vomiting	
http://purl.obolibrary.org/obo/EUPATH_0000394	Address changed?	http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	addresschange_yn	addresschange_yn	variable		Has address changed?		yesno		
http://purl.obolibrary.org/obo/EUPATH_0000113	Age at time of visit	http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	age_fu	age_fu	variable		Age (at Followup)		text		
http://purl.obolibrary.org/obo/EUPATH_0000405	Clinic	http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	clinic	clinic	variable		Clinic		text		
http://purl.obolibrary.org/obo/EUPATH_0000406	Clinic location	http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	clinic_rad	clinic_rad	variable		Clinic		radio	1, Nadiad | 2, Ahmedabad	
http://purl.obolibrary.org/obo/EUPATH_0000091	Date of visit	http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	date	date	variable		Date		text		
http://purl.obolibrary.org/obo/EUPATH_0000191	Days since enrollment	http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	days	days	variable		Days since enrollment, This field occurs in followup visit records only.  It is the number of days since the first (enrollment) visit.   (It is automatically calculated by REDCap)		calc		
http://purl.obolibrary.org/obo/EUPATH_0000404	Filled census form at enrollment?	http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	cen_onsite	cen_onsite	variable		Census onsite: See 'cen_fid' for background before reading this explanation.In some cases, field workers enrolled CrossSectional subjects whose households were *not* part of the initial Census project. In these cases, a Census form was completed during the enrollment visit and that Census data was later entered in REDCap. For these subjects, cen_onsite = yes.    So this too seems to be metadata, or perhaps it can be data about the Visit or Participant?		yesno		
http://purl.obolibrary.org/obo/EUPATH_0000311	Visit type	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	en_check_yn	en_check_yn	variable		Is this an Enrollment form? metadata about a visit.  It was created as  a simple way to indicate whether the visit is the initial (Enrollment) visit  (en_check=yes, 1) or a followup visit (en_check=no, 0) 		yesno		
http://purl.obolibrary.org/obo/EUPATH_0000407	District	http://purl.obolibrary.org/obo/GAZ_00000448	Geographic location	district	district	variable		District		text		
http://purl.obolibrary.org/obo/EUPATH_0000408	Division/Ward #	http://purl.obolibrary.org/obo/GAZ_00000448	Geographic location	division	division	variable		Division/Ward #, a 'division' or 'ward' being a sub-division of a city.  		text		
http://purl.obolibrary.org/obo/OMIABIS_0000041	Street	http://purl.obolibrary.org/obo/GAZ_00000448	Geographic location	street	street	variable		Street		text		
http://purl.obolibrary.org/obo/EUPATH_0000444	Taluk	http://purl.obolibrary.org/obo/GAZ_00000448	Geographic location	taluk	taluk	variable		Taluk/Tehsil,A division more or less equivalent to 'district' or 'group of villages'.  		text		
http://purl.obolibrary.org/obo/EUPATH_0000452	Village	http://purl.obolibrary.org/obo/GAZ_00000448	Geographic location	village	village	variable		Village/Nagar		text		
http://purl.obolibrary.org/obo/OMIABIS_0000026	Zip code	http://purl.obolibrary.org/obo/GAZ_00000448	Geographic location	pincode	pincode	variable		analogous to 'zip code' here in USA.  Might be considered identifying.  		text		
http://purl.obolibrary.org/obo/EUPATH_0000453	Zone #	http://purl.obolibrary.org/obo/GAZ_00000448	Geographic location	zone	zone	variable		Zone #		text		
http://purl.obolibrary.org/obo/EUPATH_0000395	# Livestock	http://purl.obolibrary.org/obo/EUPATH_0000339	Animal Information	animals_nonpets_count	animals_nonpets_count	variable		Count (if Livestock)		text		
http://purl.obolibrary.org/obo/EUPATH_0000396	# Pets/Other	http://purl.obolibrary.org/obo/EUPATH_0000339	Animal Information	animals_pets_count	animals_pets_count	variable		Count (if Other/Pets)		text		
http://purl.obolibrary.org/obo/EUPATH_0000343	Animals on property	http://purl.obolibrary.org/obo/EUPATH_0000339	Animal Information	animals_chk	animals_chk	variable		# Animals on site		checkbox	1, None | 2, Livestock | 3, Other/Pets	
http://purl.obolibrary.org/obo/EUPATH_0000450	Travel in last 14 days?	http://purl.obolibrary.org/obo/EUPATH_0000340	Traveling Details	travel_2wk_yn	travel_2wk_yn	variable		Travel in last 14 days?		yesno		
http://purl.obolibrary.org/obo/EUPATH_0000445	Visited country	http://purl.obolibrary.org/obo/EUPATH_0000340	Traveling Details	travel_2wk_country	travel_2wk_country	variable		Country		text		
http://purl.obolibrary.org/obo/EUPATH_0000446	Visited district	http://purl.obolibrary.org/obo/EUPATH_0000340	Traveling Details	travel_2wk_district	travel_2wk_district	variable		District		text		
http://purl.obolibrary.org/obo/EUPATH_0000447	Visited state	http://purl.obolibrary.org/obo/EUPATH_0000340	Traveling Details	travel_2wk_state	travel_2wk_state	variable		State		text		
http://purl.obolibrary.org/obo/EUPATH_0000448	Visited taluk	http://purl.obolibrary.org/obo/EUPATH_0000340	Traveling Details	travel_2wk_taluk	travel_2wk_taluk	variable		City/Taluk/Tehsil		text		
http://purl.obolibrary.org/obo/EUPATH_0000449	Visited village	http://purl.obolibrary.org/obo/EUPATH_0000340	Traveling Details	travel_2wk_village	travel_2wk_village	variable		Village/Nagar		text		
http://purl.obolibrary.org/obo/EUPATH_0000401	# Bednet  (Untreated)	http://purl.obolibrary.org/obo/EUPATH_0000341	Vector Intervention	bednet_count_5	bednet_count_5	variable		Count (Untreated)		text		
http://purl.obolibrary.org/obo/EUPATH_0000398	# Bednet (ITN, treated < 6 mo ago)	http://purl.obolibrary.org/obo/EUPATH_0000341	Vector Intervention	bednet_count_2	bednet_count_2	variable		Count (ITN, treated < 6 mo ago)		text		
http://purl.obolibrary.org/obo/EUPATH_0000399	# Bednet (ITN, treated >6 mo ago)	http://purl.obolibrary.org/obo/EUPATH_0000341	Vector Intervention	bednet_count_3	bednet_count_3	variable		Count (ITN, treated >6 mo ago)		text		
http://purl.obolibrary.org/obo/EUPATH_0000400	# Bednet (Long-lasting ITN)	http://purl.obolibrary.org/obo/EUPATH_0000341	Vector Intervention	bednet_count_4	bednet_count_4	variable		Count (Long-lasting ITN)		text		
http://purl.obolibrary.org/obo/EUPATH_0000344	Bednet treatment	http://purl.obolibrary.org/obo/EUPATH_0000341	Vector Intervention	bednet	bednet	variable		Bednet type	bednet_chk	checkbox	1, None | 2, ITN, treated <6 mo ago | 3, ITN, treated >6 mo ago | 4, Long-lasting ITN | 5, Untreated	
http://purl.obolibrary.org/obo/EUPATH_0000344	Bednet treatment	http://purl.obolibrary.org/obo/EUPATH_0000341	Vector Intervention	bednet_chk	bednet_chk	variable						
http://purl.obolibrary.org/obo/EUPATH_0000419	Freq larvicide in use	http://purl.obolibrary.org/obo/EUPATH_0000341	Vector Intervention	larvicide_in_use_rad	larvicide_in_use_rad	variable		Larvicide in use		radio	1, Weekly | 2, Every 2 wks | 3, Monthly | 4, No | 5, Unknown	
http://purl.obolibrary.org/obo/EUPATH_0000439	Personal repellent	http://purl.obolibrary.org/obo/EUPATH_0000341	Vector Intervention	repellent_chk	repellent_chk	variable		Personal repellent in use		checkbox	1, Coils | 2, Vapor/liquidizer | 3, Cream/spray | 4, Mat | 5, None | 6, Unknown	
http://purl.obolibrary.org/obo/EUPATH_0000441	Sprayed in last 12 months	http://purl.obolibrary.org/obo/EUPATH_0000341	Vector Intervention	sprayed_chk	sprayed_chk	variable		Sprayed in last 12 months		checkbox	1, Indoor | 2, Outdoor | 3, No | 4, Unknown | 5, N/A	
http://purl.obolibrary.org/obo/EUPATH_0000426	# Malaria diagnosis past year	http://purl.obolibrary.org/obo/OGMS_0000015	Clinical history	pastyear_num_dx	pastyear_num_dx	variable		Number of times diagnosed with malaria in the last 12 months		text		
http://purl.obolibrary.org/obo/EUPATH_0000427	# Months since malaria diagnosis	http://purl.obolibrary.org/obo/OGMS_0000015	Clinical history	pastyear_num_mo	pastyear_num_mo	variable		Number of months since last malaria diagnosis		text		
http://purl.obolibrary.org/obo/EUPATH_0000429	Antimalarial drug treated date	http://purl.obolibrary.org/obo/OGMS_0000015	Clinical history	pastyear_treatdate	pastyear_treatdate	variable		IF YES, what month/year		text		
http://purl.obolibrary.org/obo/EUPATH_0000428	Antimalarial drug treated?	http://purl.obolibrary.org/obo/OGMS_0000015	Clinical history	pastyear_treat_rad	pastyear_treat_rad	variable		Treated with antimalarial drugs	pastyear_treated_rad	radio	1, Yes | 2, No | 3, Can't remember	
http://purl.obolibrary.org/obo/EUPATH_0000428	Antimalarial drug treated?	http://purl.obolibrary.org/obo/OGMS_0000015	Clinical history	pastyear_treated_rad	pastyear_treated_rad	variable						
http://purl.obolibrary.org/obo/EUPATH_0000430	Antimalarial drug used	http://purl.obolibrary.org/obo/OGMS_0000015	Clinical history	pastyear_treatdrugs_chk	pastyear_treatdrugs_chk	variable		Antimalarial drugs used (with codes)		checkbox	1, Artesunate=1 | 2, Artesunate/Pyrimethamine/Sulphadoxine=2 | 3, Chloroquine=3 | 4, Chloroquine/Primaquine=4 | 5, Mefloquine=5 | 6, Primaquine=6 | 7, Pyrimethamine/Sulphadoxine=7 | 8, Quinine/Quinidine=8 | 9, Tetracycline/Doxycycline=9 | 10, Other=10 | 11, Can't remember=11	
http://purl.obolibrary.org/obo/EUPATH_0000420	Malaria in last 12 months?	http://purl.obolibrary.org/obo/OGMS_0000015	Clinical history	malaria_yn	malaria_yn	variable		Malaria in last 12 mo		yesno		
