sid,dataset_count,labels,termTypes,pLabels,datasets
EUPATH_0030030,2,"Any Hookworm, by microscopy",variable,Ancylostomatoidea in stool aggregate data,gates_scoreSmCohort | gates_scoreCrosssect
EUPATH_0030023,2,"Any Schistosoma mansoni, by microscopy",variable,Schistosoma in stool aggregate data,gates_scoreSmCohort | gates_scoreCrosssect
EUPATH_0030032,2,"Any Trichuris trichiura, by microscopy",variable,Trichuris in stool aggregate data,gates_scoreSmCohort | gates_scoreCrosssect
EUPATH_0030028,2,Ascaris in stool aggregate data,,Eukaryote in stool detection aggregate data,gates_scoreSmCohort | gates_scoreCrosssect
EUPATH_0030148,2,Boys in school (count),variable,School level information,gates_scoreBurundi | gates_scoreRwanda
EUPATH_0030115,2,Eukaryote in stool detection aggregate data,,Aggregate organism in stool detection data,gates_scoreSmCohort | gates_scoreCrosssect
EUPATH_0030149,2,Girls in school (count),variable,School level information,gates_scoreBurundi | gates_scoreRwanda
EUPATH_0030136,2,Irrigation canal,value,Water source type within 5km of school,gates_scoreBurundi | gates_scoreRwanda
EUPATH_0030137,2,Lake,value,Water source type within 5km of school,gates_scoreBurundi | gates_scoreRwanda
EUPATH_0030138,2,Marsh or swamp,value,Water source type within 5km of school,gates_scoreBurundi | gates_scoreRwanda
EUPATH_0030024,2,"Mean Schistosoma mansoni count eggs per gram, by microscopy",variable,Schistosoma in stool aggregate data,gates_scoreSmCohort | gates_scoreCrosssect
EUPATH_0030139,2,Other water source,value,Water source type within 5km of school,gates_scoreBurundi | gates_scoreRwanda
EUPATH_0030175,2,Raw eukaryota data for urine,category,Raw test result for urine,gates_scoreBurundi | gates_scoreRwanda
EUPATH_0030174,2,Raw test result for urine,category,Urine microbiology test,gates_scoreBurundi | gates_scoreRwanda
EUPATH_0030141,2,Ricefield,value,Water source type within 5km of school,gates_scoreBurundi | gates_scoreRwanda
EUPATH_0030142,2,River,value,Water source type within 5km of school,gates_scoreBurundi | gates_scoreRwanda
EUPATH_0030154,2,"Sample mean Ascaris lumbricoides eggs per gram, by microscopy",variable,Ascaris in stool,gates_scoreBurundi | gates_scoreRwanda
EUPATH_0030153,2,"Sample mean Hookworm eggs per gram, by microscopy",variable,Ancylostomatoidea in stool,gates_scoreBurundi | gates_scoreRwanda
EUPATH_0030158,2,"Sample mean Trichuris trichuria eggs per gram, by microscopy",variable,Trichuris in stool,gates_scoreBurundi | gates_scoreRwanda
EUPATH_0030116,2,Schistosoma in stool aggregate data,,Eukaryote in stool detection aggregate data,gates_scoreSmCohort | gates_scoreCrosssect
EUPATH_0030159,2,"Schistosoma mansoni, by CCA result",variable,Raw eukaryota data for urine,gates_scoreBurundi | gates_scoreRwanda
EUPATH_0030146,2,Sentinel site,variable,School level information,gates_scoreBurundi | gates_scoreRwanda
EUPATH_0030029,2,Trichuris in stool aggregate data,,Eukaryote in stool detection aggregate data,gates_scoreSmCohort | gates_scoreCrosssect
EUPATH_0030004,2,Village code,variable,Geographic location,gates_scoreNig | gates_scoreSeasonal
EUPATH_0030144,2,Water source type within 5km of school,multifilter,School level information,gates_scoreBurundi | gates_scoreRwanda
EUPATH_0010374,2,Year,variable,Observation details,gates_scoreNig | gates_scoreMoz
