sid,dataset_count,labels,termTypes,pLabels,datasets
EUPATH_0000649,2,Anthropometry,category,Observation,gems_merged | vida_merged
EUPATH_0010383,2,Anthropometry flag,,Anthropometry,gems_merged | vida_merged
EUPATH_0010040,2,Antibiotic administered before stool collection,multifilter | category,Antibiotic administration before stool collection,gems_merged | vida_merged
EUPATH_0010001,2,Antibiotic administration before stool collection,category,Stool sample collection process,gems_merged | vida_merged
EUPATH_0015089,2,Antibiotics,value,Diarrhea treatment before visit,gems_merged | vida_merged
EUPATH_0015205,2,Antimalarial,value,Control participant medication at enrollment,gems_merged | vida_merged
EUPATH_0015179,2,Antimalarial,value,Diarrhea treatment by prescription at home,gems_merged | vida_merged
EUPATH_0015157,2,Antimalarial,value,Diarrhea treatment given in health center,gems_merged | vida_merged
EUPATH_0015088,2,Any other liquids,value,Diarrhea treatment before visit,gems_merged | vida_merged
EUPATH_0015246,2,Arthritis,value,Illness since enrollment visit,gems_merged | vida_merged
EUPATH_0015334,2,"Ascaris Ct value, by TAC result",variable,Raw eukaryota data for stool,gems_merged | vida_merged
EUPATH_0000144,2,Assets,multifilter | Multifilter,Socioeconomic factors,gems_merged | vida_merged
EUPATH_0015335,2,"Astrovirus Ct value, by TAC result",variable,Raw virus data for stool,gems_merged | vida_merged
EUPATH_0011985,2,Astrovirus in stool,"category | category, value",Virus in stool,gems_merged | vida_merged
EUPATH_0015329,2,"Astrovirus, by RT-PCR",value,Astrovirus in stool,gems_merged | vida_merged
EUPATH_0010412,2,At least 7 days without diarrhea before current episode,variable,Eligibility criteria,gems_merged | vida_merged
EUPATH_0015397,2,"Atypical EPEC Ct value, by TAC result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0010619,2,"Atypical EPEC, by PCR",value,Escherichia in stool,gems_merged | vida_merged
EUPATH_0010095,2,Axillary temperature (C),variable,Physical examination,gems_merged | vida_merged
EUPATH_0015228,2,Azithromycin,value,Antibiotic administered before stool collection,gems_merged | vida_merged
EUPATH_0015194,2,Azithromycin,value,Control participant medication at enrollment,gems_merged | vida_merged
EUPATH_0015168,2,Azithromycin,value,Diarrhea treatment by prescription at home,gems_merged | vida_merged
EUPATH_0015146,2,Azithromycin,value,Diarrhea treatment given in health center,gems_merged | vida_merged
EUPATH_0000661,2,BMI (kg/m2),variable,Anthropometry,gems_merged | vida_merged
EUPATH_0000662,2,BMI-for-age z-score,variable,Anthropometry,gems_merged | vida_merged
EUPATH_0011967,2,Bacteria in stool,"multifilter | category, multifilter",Stool microbiology test,gems_merged | vida_merged
EUPATH_0015337,2,"Bacteroides fragilis Ct value, by TAC result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0015001,2,Bicycle or rickshaw,value | Value,Assets,gems_merged | vida_merged
EUPATH_0015013,2,Biogas,value,Cooking fuel,gems_merged | vida_merged
EUPATH_0015117,2,Bipedal edema,variable,Signs and symptoms,gems_merged | vida_merged
EFO_0004950,2,Birth date,variable | derived variable,Demographics,gems_merged | vida_merged
EUPATH_0015685,2,Blood in stools,,Symptoms since illness began or during diarrhea,gems_merged | vida_merged
EUPATH_0015059,2,Blood in stools,value,Symptoms since illness began,gems_merged | vida_merged
EUPATH_0015184,2,Blood in stools during last 7 days,variable | value,Symptoms in the last 7 days,gems_merged | vida_merged
EUPATH_0000179,2,Boat with a motor,value | Value,Assets,gems_merged | vida_merged
EUPATH_0015050,2,Bore hole,value,Drinking water source,gems_merged | vida_merged
EUPATH_0015048,2,"Bought (tank, bottle, etc)",value,Drinking water source,gems_merged | vida_merged
EUPATH_0015098,2,Bought a remedy or drug,value,Previously sought care,gems_merged | vida_merged
EUPATH_0015299,2,"Campylobacter (non-jejuni or coli), by bacteriology",value,Campylobacter in stool,gems_merged | vida_merged
EUPATH_0015300,2,"Campylobacter (non-speciated), by bacteriology",value | derived,Campylobacter in stool,gems_merged | vida_merged
EUPATH_0015338,2,"Campylobacter Ct value, by TAC result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0015315,2,"Campylobacter coli, by bacteriology",value,Campylobacter in stool,gems_merged | vida_merged
EUPATH_0011969,2,Campylobacter in stool,"category | category, value",Bacteria in stool,gems_merged | vida_merged
EUPATH_0015341,2,"Campylobacter jejuni or C. coli Ct value, by TAC result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0015316,2,"Campylobacter jejuni, by bacteriology",value,Campylobacter in stool,gems_merged | vida_merged
EUPATH_0000171,2,Car or truck,value | Value,Assets,gems_merged | vida_merged
EUPATH_0010070,2,Caregiver plus participant weight (kg),variable,Anthropometry,gems_merged | vida_merged
EUPATH_0000720,2,Caregiver relationship to participant,,Individuals related to participant,gems_merged | vida_merged
EUPATH_0010071,2,Caregiver weight (kg),variable,Anthropometry,gems_merged | vida_merged
EUPATH_0010049,2,Case ID,variable | category,Administrative information,gems_merged | vida_merged
EUPATH_0010375,2,Case or control participant,variable,Participant,gems_merged | vida_merged
EUPATH_0015027,2,Cat,value,Animals on property,gems_merged | vida_merged
EUPATH_0015019,2,Charcoal,value,Cooking fuel,gems_merged | vida_merged
EUPATH_0015115,2,Chest indrawing,variable,Signs and symptoms,gems_merged | vida_merged
EUPATH_0015519,2,Child days since diarrhea,,Diarrheal episodes,gems_merged | vida_merged
EUPATH_0010232,2,Children under 60 months in dwelling,variable,Socioeconomic factors,gems_merged | vida_merged
EUPATH_0015192,2,Chloramphenicol,value,Control participant medication at enrollment,gems_merged | vida_merged
EUPATH_0015166,2,Chloramphenicol,value,Diarrhea treatment by prescription at home,gems_merged | vida_merged
EUPATH_0015144,2,Chloramphenicol,value,Diarrhea treatment given in health center,gems_merged | vida_merged
EUPATH_0015226,2,Chloramphenicol or thiamphenicol,value,Antibiotic administered before stool collection,gems_merged | vida_merged
EUPATH_0015223,2,Ciprofloxacin,value,Antibiotic administered before stool collection,gems_merged | vida_merged
EUPATH_0015200,2,Ciprofloxacin,value,Control participant medication at enrollment,gems_merged | vida_merged
EUPATH_0015174,2,Ciprofloxacin,value,Diarrhea treatment by prescription at home,gems_merged | vida_merged
EUPATH_0015152,2,Ciprofloxacin,value,Diarrhea treatment given in health center,gems_merged | vida_merged
EUPATH_0015016,2,Coal or lignite,value,Cooking fuel,gems_merged | vida_merged
EUPATH_0015412,2,Completely rehydrated 4hrs after starting rehydration,variable,Rehydration therapy,gems_merged | vida_merged
EUPATH_0010318,2,Completely rehydrated in hospital,variable,Rehydration therapy,gems_merged | vida_merged
EUPATH_0010420,2,Consent for enrollment given,variable,Eligibility criteria,gems_merged | vida_merged
EUPATH_0010314,2,Continued to purge watery stool after starting rehydration,variable,Rehydration therapy,gems_merged | vida_merged
EUPATH_0010389,2,Control participant medication at enrollment,multifilter,Treatment,gems_merged | vida_merged
EUPATH_0015073,2,Convulsion,value,Symptoms since illness began,gems_merged | vida_merged
EUPATH_0015245,2,Convulsions,value,Illness since enrollment visit,gems_merged | vida_merged
EUPATH_0000023,2,Cooking fuel,multifilter,Dwelling facilities,gems_merged | vida_merged
EUPATH_0015222,2,Cotrimoxazole,value,Antibiotic administered before stool collection,gems_merged | vida_merged
EUPATH_0015189,2,Cotrimoxazole,value,Control participant medication at enrollment,gems_merged | vida_merged
EUPATH_0015163,2,Cotrimoxazole,value,Diarrhea treatment by prescription at home,gems_merged | vida_merged
EUPATH_0015141,2,Cotrimoxazole,value,Diarrhea treatment given in health center,gems_merged | vida_merged
EUPATH_0015707,2,Cough,value,Symptoms since illness began,gems_merged | vida_merged
EUPATH_0015240,2,Cough with difficult breathing,value,Illness since enrollment visit,gems_merged | vida_merged
ENVO_00000004,2,Country,"variable | variable, derived",Geographic location,gems_merged | vida_merged
EUPATH_0015036,2,Covered public well,value,Drinking water source,gems_merged | vida_merged
EUPATH_0015034,2,Covered well in dwelling or yard,value,Drinking water source,gems_merged | vida_merged
EUPATH_0015028,2,Cow,value,Animals on property,gems_merged | vida_merged
EUPATH_0015342,2,"Cryptosporidium Ct value, by TAC result",variable,Raw eukaryota data for stool,gems_merged | vida_merged
EUPATH_0015343,2,"Cryptosporidium hominis Ct value, by TAC result",variable,Raw eukaryota data for stool,gems_merged | vida_merged
EUPATH_0011971,2,Cryptosporidium in stool,"category | category, value",Eukaryota in stool,gems_merged | vida_merged
EUPATH_0015344,2,"Cryptosporidium parvum Ct value, by TAC result",variable,Raw eukaryota data for stool,gems_merged | vida_merged
EUPATH_0011000,2,"Cryptosporidium, by ELISA",value | variable,Cryptosporidium in stool,gems_merged | vida_merged
EUPATH_0010411,2,Current diarrhea episode began within the last 7 days,variable,Eligibility criteria,gems_merged | vida_merged
EUPATH_0010153,2,Currently receiving medication,variable,Treatment,gems_merged | vida_merged
EUPATH_0015345,2,"Cyclospora Ct value, by TAC result",variable,Raw eukaryota data for stool,gems_merged | vida_merged
EUPATH_0015044,2,Dam or earth pan,value,Drinking water source,gems_merged | vida_merged
EUPATH_0010224,2,Date stool or rectal swab placed in transport media,variable,Stool sample collection process,gems_merged | vida_merged
EUPATH_0010215,2,Date stool passed,variable,Stool sample collection process,gems_merged | vida_merged
EUPATH_0015674,2,Days vomiting,variable,Signs and symptoms,gems_merged | vida_merged
EUPATH_0000150,2,Death date,variable,Death information,gems_merged | vida_merged
EUPATH_0000671,2,Death information,category,Demographics,gems_merged | vida_merged
EUPATH_0000667,2,Deceased,variable,Death information,gems_merged | vida_merged
EUPATH_0015686,2,Decreased activity or lethargy,,Symptoms since illness began or during diarrhea,gems_merged | vida_merged
EUPATH_0015067,2,Decreased activity or lethargy,value,Symptoms since illness began,gems_merged | vida_merged
EUPATH_0015045,2,Deep tube well,value,Drinking water source,gems_merged | vida_merged
EUPATH_0010981,2,Demographics,category,Participant,gems_merged | vida_merged
EUPATH_0010239,2,Describe stool since the illness began,variable,Diarrheal episodes,gems_merged | vida_merged
EUPATH_0000321,2,Diagnosis at discharge,multifilter,Hospitalization,gems_merged | vida_merged
EUPATH_0015130,2,Diarrhea,value,Diagnosis at discharge,gems_merged | vida_merged
EUPATH_0015238,2,Diarrhea,value,Illness since enrollment visit,gems_merged | vida_merged
EUPATH_0015669,2,Diarrhea treatment,,Treatment,gems_merged | vida_merged
EUPATH_0010378,2,Diarrhea treatment before visit,multifilter,Treatment,gems_merged | vida_merged
EUPATH_0010391,2,Diarrhea treatment by prescription at home,multifilter,Treatment,gems_merged | vida_merged
EUPATH_0010390,2,Diarrhea treatment given in health center,multifilter,Treatment,gems_merged | vida_merged
EUPATH_0015547,2,Diarrheal day sought care at health center,,Previous diarrheal care,gems_merged | vida_merged
EUPATH_0010238,2,Diarrheal episode duration (days),variable,Diarrheal episodes,gems_merged | vida_merged
EUPATH_0010016,2,Diarrheal episodes,category,Observation,gems_merged | vida_merged
EUPATH_0015072,2,Difficulty breathing,value,Symptoms since illness began,gems_merged | vida_merged
EUPATH_0015026,2,Dog,value,Animals on property,gems_merged | vida_merged
EUPATH_0015062,2,Drank much less than usual,value,Symptoms since illness began,gems_merged | vida_merged
ENVO_00003064,2,Drinking water source,multifilter,Household water,gems_merged | vida_merged
EUPATH_0015075,2,Drinks poorly,value,Symptoms at enrollment,gems_merged | vida_merged
EUPATH_0015080,2,Dry mouth,value,Symptoms at enrollment,gems_merged | vida_merged
EUPATH_0010292,2,Dry mouth,variable,Signs and symptoms,gems_merged | vida_merged
EUPATH_0000303,2,Dwelling characteristics,category,Household,gems_merged | vida_merged
EUPATH_0010032,2,Dwelling environment,category,Household,gems_merged | vida_merged
EUPATH_0000302,2,Dwelling facilities,category,Household,gems_merged | vida_merged
EUPATH_0015131,2,Dysentery,value,Diagnosis at discharge,gems_merged | vida_merged
EUPATH_0015239,2,Dysentery,value,Illness since enrollment visit,gems_merged | vida_merged
EUPATH_0010416,2,Dysentery,value,Moderate-to-severe diarrhea eligibility,gems_merged | vida_merged
EUPATH_0015422,2,Dysentery,variable | value,Aggregated illness data,gems_merged | vida_merged
EUPATH_0015389,2,"EAEC Ct value, by TAC result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0015346,2,"EAEC aaiC Ct value, by TAC result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0010659,2,"EAEC aaiC-pos, by PCR result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0015348,2,"EAEC aatA Ct value, by TAC result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0010655,2,"EAEC aatA-pos or aaiC-pos, by PCR",value,Escherichia in stool,gems_merged | vida_merged
EUPATH_0010663,2,"EAEC aatA-pos, by PCR result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0015349,2,"EAEC aggR Ct value, by TAC result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0015298,2,"EHEC eae-pos and stx-pos, by PCR",value,Escherichia in stool,gems_merged | vida_merged
EUPATH_0015314,2,"EHEC efa1-pos, by PCR result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0015353,2,"EPEC bfpA Ct value, by TAC result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0015408,2,EPEC bfpA PCR monoplex performed,variable,Stool bacteria testing,gems_merged | vida_merged
EUPATH_0015409,2,"EPEC bfpA, by PCR monoplex result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0015318,2,"EPEC bfpA-pos, by PCR result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0015425,2,"EPEC eae, by PCR duplex result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0010671,2,"EPEC eae-pos, by PCR result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0015355,2,"ETEC LT-pos Ct value, by TAC result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0015393,2,"ETEC LT-pos ST-neg Ct value, by TAC result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0010746,2,"ETEC LT-pos ST-neg, by PCR",value,Escherichia in stool,gems_merged | vida_merged
EUPATH_0015282,2,"ETEC LT-pos and ST-pos, by PCR",value,Escherichia in stool,gems_merged | vida_merged
EUPATH_0010711,2,"ETEC LT-pos or ST-pos, by PCR",value,Escherichia in stool,gems_merged | vida_merged
EUPATH_0010679,2,"ETEC LT-pos, by PCR result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0015392,2,"ETEC ST-pos Ct value, by TAC result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0010813,2,"ETEC ST-pos LT-neg, by PCR",value,Escherichia in stool,gems_merged | vida_merged
EUPATH_0010683,2,"ETEC ST-pos, by PCR",value,Escherichia in stool,gems_merged | vida_merged
EUPATH_0015453,2,"ETEC ST-pos, by PCR duplex result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0015317,2,"ETEC ST-pos, by PCR result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0015356,2,"ETEC STh Ct value, by TAC result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0015357,2,"ETEC STp Ct value, by TAC result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0015012,2,Electricity,value,Cooking fuel,gems_merged | vida_merged
EUPATH_0021084,2,Electricity,value | Value,Assets,gems_merged | vida_merged
EUPATH_0010036,2,Eligibility criteria,category,Administrative information | Observation,gems_merged | vida_merged
EUPATH_0010418,2,Eligible for enrollment,variable,Eligibility criteria,gems_merged | vida_merged
EUPATH_0015352,2,"Encephalitozoon intestinalis Ct value, by TAC result",variable,Raw eukaryota data for stool,gems_merged | vida_merged
EUPATH_0000151,2,Enrollment date,variable,Participant study details,gems_merged | vida_merged
EUPATH_0015351,2,"Entamoeba histolytica Ct value, by TAC result",variable,Raw eukaryota data for stool,gems_merged | vida_merged
EUPATH_0010695,2,"Entamoeba histolytica, by ELISA",value,Entamoeba in stool,gems_merged | vida_merged
EUPATH_0011974,2,Entamoeba in stool,"category | category, value",Eukaryota in stool,gems_merged | vida_merged
EUPATH_0015350,2,"Enterocytozoon bieneusi Ct value, by TAC result",variable,Raw eukaryota data for stool,gems_merged | vida_merged
EUPATH_0015227,2,Erythromycin,value,Antibiotic administered before stool collection,gems_merged | vida_merged
EUPATH_0015193,2,Erythromycin,value,Control participant medication at enrollment,gems_merged | vida_merged
EUPATH_0015167,2,Erythromycin,value,Diarrhea treatment by prescription at home,gems_merged | vida_merged
EUPATH_0015145,2,Erythromycin,value,Diarrhea treatment given in health center,gems_merged | vida_merged
EUPATH_0015313,2,"Escherichia coli sen-pos, by PCR result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0010630,2,"Escherichia coli, by bacteriology result",value | variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0011976,2,Escherichia in stool,"category | category, value",Bacteria in stool,gems_merged | vida_merged
EUPATH_0030117,2,Eukaryota in stool,"multifilter | category, multifilter",Stool microbiology test,gems_merged | vida_merged
EUPATH_0010299,2,Evaluated after 4hrs,variable,Rehydration therapy,gems_merged | vida_merged
EUPATH_0015081,2,Fast breathing,value,Symptoms at enrollment,gems_merged | vida_merged
EUPATH_0000676,2,Father's residence,variable,Individuals related to participant,gems_merged | vida_merged
EUPATH_0000678,2,Feeding,category,Participant,gems_merged | vida_merged
EUPATH_0010234,2,Fetch drinking water everyday,variable,Household water,gems_merged | vida_merged
HP_0001945,2,Fever,value,Illness since enrollment visit,gems_merged | vida_merged
EUPATH_0015185,2,Fever during last 7 days,variable | value,Symptoms in the last 7 days,gems_merged | vida_merged
EUPATH_0015030,2,Fowl,value,Animals on property,gems_merged | vida_merged
EUPATH_0015094,2,Friend or relative,value,Previously sought care,gems_merged | vida_merged
EUPATH_0015225,2,Gentamycin,value,Antibiotic administered before stool collection,gems_merged | vida_merged
EUPATH_0015191,2,Gentamycin,value,Control participant medication at enrollment,gems_merged | vida_merged
EUPATH_0015165,2,Gentamycin,value,Diarrhea treatment by prescription at home,gems_merged | vida_merged
EUPATH_0015143,2,Gentamycin,value,Diarrhea treatment given in health center,gems_merged | vida_merged
GAZ_00000448,2,Geographic location,category,Household,gems_merged | vida_merged
EUPATH_0015360,2,"Giardia Ct value, by TAC result",variable,Raw eukaryota data for stool,gems_merged | vida_merged
EUPATH_0015358,2,"Giardia assemblage A Ct value, by TAC result",variable,Raw eukaryota data for stool,gems_merged | vida_merged
EUPATH_0015359,2,"Giardia assemblage B Ct value, by TAC result",variable,Raw eukaryota data for stool,gems_merged | vida_merged
EUPATH_0011962,2,Giardia in stool,"category | category, value",Eukaryota in stool,gems_merged | vida_merged
EUPATH_0010421,2,Given antibiotic before stool collection,variable,Eligibility criteria,gems_merged | vida_merged
EUPATH_0010141,2,Given stored water for drinking,variable,Feeding,gems_merged | vida_merged
EUPATH_0015024,2,Goat,value,Animals on property,gems_merged | vida_merged
EUPATH_0010066,2,Health at 60 day follow-up visit,variable,Immediate clinical history,gems_merged | vida_merged
EUPATH_0010068,2,Health facility code,variable,Death information,gems_merged | vida_merged
EUPATH_0015249,2,Health facility for cough,value,Visited health facility,gems_merged | vida_merged
EUPATH_0015247,2,Health facility for diarrhea,value,Visited health facility,gems_merged | vida_merged
EUPATH_0015248,2,Health facility for dysentery,value,Visited health facility,gems_merged | vida_merged
EUPATH_0015250,2,Health facility for fever,value,Visited health facility,gems_merged | vida_merged
EUPATH_0015251,2,Health facility for other,value,Visited health facility,gems_merged | vida_merged
EUPATH_0010075,2,Height (cm),variable,Anthropometry,gems_merged | vida_merged
EUPATH_0010076,2,"Height (cm), 2nd",variable,Anthropometry,gems_merged | vida_merged
EUPATH_0010077,2,"Height (cm), 3rd",variable,Anthropometry,gems_merged | vida_merged
EUPATH_0015361,2,"Helicobacter pylori Ct value, by TAC result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0015085,2,Home remedy or herbal medication,value,Diarrhea treatment before visit,gems_merged | vida_merged
EUPATH_0015670,2,Homemade fluid,,Diarrhea treatment,gems_merged | vida_merged
EUPATH_0015204,2,Homemade fluid,value,Control participant medication at enrollment,gems_merged | vida_merged
EUPATH_0015083,2,Homemade fluid,value,Diarrhea treatment before visit,gems_merged | vida_merged
EUPATH_0015178,2,Homemade fluid,value,Diarrhea treatment by prescription at home,gems_merged | vida_merged
EUPATH_0015156,2,Homemade fluid,value,Diarrhea treatment given in health center,gems_merged | vida_merged
EUPATH_0010014,2,Hospital Center,category | variable,Previous diarrheal care,gems_merged | vida_merged
EUPATH_0000308,2,Hospitalization,category,Observation,gems_merged | vida_merged
EUPATH_0010346,2,Hospitalization duraton (days),variable,Hospitalization,gems_merged | vida_merged
EUPATH_0010995,2,Hospitalized,variable,Hospitalization,gems_merged | vida_merged
EUPATH_0010347,2,Hospitalized more than 60 days,variable,Hospitalization,gems_merged | vida_merged
EUPATH_0010417,2,Hospitalized with diarrhea or dysentery,value,Moderate-to-severe diarrhea eligibility,gems_merged | vida_merged
EUPATH_0000731,2,Household water,category,Household,gems_merged | vida_merged
EUPATH_0010236,2,Households sharing human waste disposal facility,variable,Socioeconomic factors,gems_merged | vida_merged
EUPATH_0000335,2,Human waste facilities,variable | multifilter,Waste disposal,gems_merged | vida_merged
EUPATH_0010415,2,IV rehydration administered or prescribed,value,Moderate-to-severe diarrhea eligibility,gems_merged | vida_merged
EUPATH_0010394,2,Illness since enrollment visit,multifilter | variable,Immediate clinical history,gems_merged | vida_merged
EUPATH_0021098,2,Immediate clinical history,category,Observation,gems_merged | vida_merged
EUPATH_0010037,2,Individuals related to participant,category,Participant,gems_merged | vida_merged
EUPATH_0015683,2,Interview date,,Observation details,gems_merged | vida_merged
EUPATH_0015469,2,Interview status,,Observation details,gems_merged | vida_merged
EUPATH_0010123,2,Interviewee relationship to participant,variable,Individuals related to participant,gems_merged | vida_merged
EUPATH_0010064,2,"Interviewee relationship to participant, 60 day follow-up",variable,Individuals related to participant,gems_merged | vida_merged
EUPATH_0015671,2,Intravenous fluids,,Diarrhea treatment,gems_merged | vida_merged
EUPATH_0015188,2,Intravenous fluids,value,Control participant medication at enrollment,gems_merged | vida_merged
EUPATH_0015162,2,Intravenous fluids,value,Diarrhea treatment by prescription at home,gems_merged | vida_merged
EUPATH_0015140,2,Intravenous fluids,value,Diarrhea treatment given in health center,gems_merged | vida_merged
EUPATH_0015078,2,Irritable or restless,value,Symptoms at enrollment,gems_merged | vida_merged
EUPATH_0015066,2,Irritable or restless,value,Symptoms since illness began,gems_merged | vida_merged
EUPATH_0015516,2,Irritable/less playful,,Symptoms since illness began or during diarrhea,gems_merged | vida_merged
EUPATH_0015021,2,Kerosene,value,Cooking fuel,gems_merged | vida_merged
OGMS_0000056,2,Laboratory test,category,Sample,gems_merged | vida_merged
EUPATH_0015433,2,Last day of diarrhea in the past 2 weeks,variable,Diarrheal episodes,gems_merged | vida_merged
EUPATH_0015710,2,Length- or height-for-age z-score,variable,Anthropometry,gems_merged | vida_merged
EUPATH_0015079,2,Lethargy or loss of consciousness,value,Symptoms at enrollment,gems_merged | vida_merged
EUPATH_0015097,2,Licensed practitioner,value,Previously sought care,gems_merged | vida_merged
EUPATH_0015015,2,Liquid propane gas,value,Cooking fuel,gems_merged | vida_merged
EUPATH_0015068,2,Loss of consciousness,value,Symptoms since illness began,gems_merged | vida_merged
EUPATH_0010414,2,Loss of skin turgor,value,Moderate-to-severe diarrhea eligibility,gems_merged | vida_merged
EUPATH_0010084,2,MUAC (cm),variable,Anthropometry,gems_merged | vida_merged
EUPATH_0010085,2,"MUAC (cm), 2nd",variable,Anthropometry,gems_merged | vida_merged
