codebookOrder,variable,dataset,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,notesForOnt,JZ notes
29,cammos,Peru_household,,Beds with bednet (#) ,,Household,EUPATH_0000341,Vector information,Number of beds with mosquito net,,
30,matmos,Peru_household,EUPATH_0000389,Bednet material,,Household,EUPATH_0000341,Vector information,Mosquito net material,,
31,matmosot,Peru_household,EUPATH_0000389,Bednet material,,Household,EUPATH_0000341,Vector information,Mosquito net material (other),,
32,ultimpr,Peru_household,EUPATH_0000344,Last bednet treatment,,Household,EUPATH_0000341,Vector information,Last treatment of mosquito net,,
33,imprmo,Peru_household,EUPATH_0000391,Who treated bednets,,Household,EUPATH_0000341,Vector information,Who treated mosquito net,,
35,silla,Peru_household,ENVO_01000586,Chair,,Household,EUPATH_0000144,Assets,Chair,,
36,sillon,Peru_household,ENVO_01000588,Sofa,,Household,EUPATH_0000144,Assets,Couch,,
37,telefono,Peru_household,ENVO_01000580,Telephone (mobile or non-mobile),,Household,EUPATH_0000144,Assets,Telephone,,
38,camas,Peru_household,ENVO_00000501,Bed,,Household,EUPATH_0000144,Assets,Beds,,
39,armarios,Peru_household,ENVO_01000594,Cabinet,,Household,EUPATH_0000144,Assets,Cabinets,,
40,roperos,Peru_household,ENVO_01000595,Closet,,Household,EUPATH_0000144,Assets,Closets,,
41,mesa,Peru_household,ENVO_01000584,Table,,Household,EUPATH_0000144,Assets,Table,,
42,refrigeradora,Peru_household,ENVO_01000583,Refrigerator,,Household,EUPATH_0000144,Assets,Refrigerator,,
43,congeladora,Peru_household,,Freezer,,Household,EUPATH_0000144,Assets,Freezer,,
44,licuadora,Peru_household,,Blender,,Household,EUPATH_0000144,Assets,Blender,,
45,cocelec,Peru_household,,Electric stove,,Household,EUPATH_0000144,Assets,Electric stove,,
46,cocgas,Peru_household,,Gas stove,,Household,EUPATH_0000144,Assets,Gas stove,,
47,cockero,Peru_household,,Kerosene stove,,Household,EUPATH_0000144,Assets,Kerosene stove,,
48,coccar,Peru_household,,Coal stove,,Household,EUPATH_0000144,Assets,Coal stove,,
49,radio,Peru_household,ENVO_01000577,Radio,,Household,EUPATH_0000144,Assets,Radio,,
50,TV_BN,Peru_household,,Black and white TV,,Household,EUPATH_0000144,Assets,TV black and white,,
51,TV_COL,Peru_household,,Color TV,,Household,EUPATH_0000144,Assets,TV color,,
52,DVD,Peru_household,,DVD,,Household,EUPATH_0000144,Assets,DVD,,
53,Min,Peru_household,,Stereo,,Household,EUPATH_0000144,Assets,Stereo,,
54,vacas,Peru_household,,Cows,,Household,EUPATH_0000144,Assets,Cows,,
55,cabras,Peru_household,,Goats,,Household,EUPATH_0000144,Assets,Goats,,
56,pollos,Peru_household,,Chicks,,Household,EUPATH_0000144,Assets,Chicks,,
57,gallina,Peru_household,,Hens,,Household,EUPATH_0000144,Assets,Hens,,
58,gallos,Peru_household,,Roosters,,Household,EUPATH_0000144,Assets,Roosters,,
59,pavo,Peru_household,,Turkeys,,Household,EUPATH_0000144,Assets,Turkeys,,
60,patos,Peru_household,,Ducks,,Household,EUPATH_0000144,Assets,Ducks,,
61,pericos,Peru_household,,Parakeets,,Household,EUPATH_0000144,Assets,Parakeet,,
62,loros,Peru_household,,Parrots,,Household,EUPATH_0000144,Assets,Parrots,,
63,mono,Peru_household,,Monkeys,,Household,EUPATH_0000144,Assets,Monkey,,
64,chancho,Peru_household,,Pigs,,Household,EUPATH_0000144,Assets,Pigs,,
65,conejo,Peru_household,,Rabbits,,Household,EUPATH_0000144,Assets,Rabbits,,
66,perro,Peru_household,,Dogs,,Household,EUPATH_0000144,Assets,Dog,,
67,gato,Peru_household,,Cats,,Household,EUPATH_0000144,Assets,Cat,,
68,tortuga,Peru_household,,Turtles,,Household,EUPATH_0000144,Assets,Turtle,,
69,cod_per,Peru_individual,EUPATH_0000095,Participant ID,,Participant,EUPATH_0000307,Participant study details,Individual ID,"Same as cod_casa, but has extra letter added to indicate individual",
74,fec_naci,Peru_individual,EFO_0004950,Date of birth,,Participant,EUPATH_0000307,Participant study details,Date of birth,Need to obfuscate,
75,edad,Peru_individual,EUPATH_0000120,Age at time of enrollment,,Participant,EUPATH_0000307,Participant study details,Age,,
76,sexo,Peru_individual,PATO_0000047,Sex,,Participant,EUPATH_0000096,Participant,Sex,,
77,gestante,Peru_individual,UBERON_0009097,Pregnancy status,,Participant,EUPATH_0000307,Participant study details,Pregnant,"May need to create new IRI, since this one is being used under Observations",
78,estciv,Peru_individual,EUPATH_0000374,Marital status,,Participant,EUPATH_0000307,Participant study details,Marital status,,
79,tiecom,Peru_individual,EUPATH_0000378,Time living in community (years),,Participant,EUPATH_0000307,Participant study details,Time living in community (years),,
80,tiehog,Peru_individual,EUPATH_0000377,Time living in dwelling (years),,Participant,EUPATH_0000307,Participant study details,Time living in household (years),,
81,instruc,Peru_individual,EUPATH_0000345,Education level,,Participant,EUPATH_0000307,Participant study details,Education level,,
82,mud,Peru_individual,EUPATH_0000375,Plan to move,,Participant,EUPATH_0000307,Participant study details,Plan to move within 2 years,,
83,reljefam,Peru_individual,EUPATH_0000376,Relationship to head of household,,Participant,EUPATH_0000307,Participant study details,Relationship to head of household,,
84,malviv,Peru_individual,EUPATH_0000346,Number of infections with P. vivax in lifetime,,Participant,OGMS_0000015,Clinical history,Lifetime episodes malaria vivax,,
85,malvivano,Peru_individual,EUPATH_0000347,Number of infections with P. vivax in the last year,,Participant,OGMS_0000015,Clinical history,Past year episodes malaria vivax,,
86,malfal,Peru_individual,EUPATH_0000348,Number of infections with P. falciparum in lifetime,,Participant,OGMS_0000015,Clinical history,Lifetime episodes malaria falciparum,,
87,malfalano,Peru_individual,EUPATH_0000349,Number of infections with P. falciparum in the last year,,Participant,OGMS_0000015,Clinical history,Past year episodes malaria falciparum,,
88,viaantenf1,Peru_individual,,Traveled in the 2 weeks before most recent malaria episode,,Participant,EUPATH_0000340,Travel details,Travel in the 2 weeks before most recent malaria episode,,
89,viaantenf2,Peru_individual,,Traveled in the 2 weeks before second most recent malaria episode,,Participant,EUPATH_0000340,Travel details,Travel in the 2 weeks before penultimate malaria episode,,
90,viaantenf3,Peru_individual,,Traveled in the 2 weeks before third most recent malaria episode,,Participant,EUPATH_0000340,Travel details,Travel in the 2 weeks before third most recent malaria episode,,
91,viaantenf4,Peru_individual,,Traveled in the 2 weeks before fourth most recent malaria episode,,Participant,EUPATH_0000340,Travel details,Travel in the 2 weeks before fourth most recent malaria episode,,
92,viaultimes,Peru_individual,EUPATH_0000387,Traveled in last month,Traveled more than 10 km away from the community in the last month,Participant,EUPATH_0000340,Travel details,Past month traveled further than 10 km from community,use same IRI as in South Asia ICEMR,
93,durviaje1,Peru_individual,,Length of most recent trip (days),,Participant,EUPATH_0000340,Travel details,Number of days trip 1,,
94,durviaje2,Peru_individual,,Length of second most recent trip (days),,Participant,EUPATH_0000340,Travel details,Number of days trip 2,,
95,durviaje3,Peru_individual,,Length of third most recent trip (days),,Participant,EUPATH_0000340,Travel details,Number of days trip 3,,
96,durviaje4,Peru_individual,,Length of fourth most recent trip (days),,Participant,EUPATH_0000340,Travel details,Number of days trip 4,,
97,naveviaje1,Peru_individual,,River traveled on most recent trip,No rivers were traveled on for second to fourth most recent trips,Participant,EUPATH_0000340,Travel details,Rivers traveled for trip 1,Collapse with viaotro1,
98,viaotro1,Peru_individual,,River traveled on most recent trip,No rivers were traveled on for second to fourth most recent trips,Participant,EUPATH_0000340,Travel details,Other river (specify),collapse with naveviaje1,
105,lugcom1,Peru_individual,,Community visited on most recent trip,,Participant,EUPATH_0000340,Travel details,Place/community trip 1 (code),Collapse with comotr1,
106,comotr1,Peru_individual,,Community visited on most recent trip,,Participant,EUPATH_0000340,Travel details,Other community (specify),Collapse with lugcom1,
107,lugcom2,Peru_individual,,Community visited on second most recent trip,,Participant,EUPATH_0000340,Travel details,Place/community trip 2 (code),Collapse with comotr2,
108,comotr2,Peru_individual,,Community visited on second most recent trip,,Participant,EUPATH_0000340,Travel details,Other community (specify),Collapse with lugcom2,
109,lugcom3,Peru_individual,,Community visited on third most recent trip,,Participant,EUPATH_0000340,Travel details,Place/community trip 3 (code),Collapse with comotr3,
110,comotr3,Peru_individual,,Community visited on third most recent trip,,Participant,EUPATH_0000340,Travel details,Other community (specify),Collapse with lugcom3,
111,lugcom4,Peru_individual,,Community visited on fourth most recent trip,,Participant,EUPATH_0000340,Travel details,Place/community trip 4 (code),,
112,trabaj,Peru_individual,,Employment status,,Participant,EUPATH_0000342,Employment details,Employment status,,
114,traprin,Peru_individual,EUPATH_0000359,Occupation,Primary economic activity,Participant,EUPATH_0000342,Employment details,Main occupation category,,
116,diassemp,Peru_individual,EUPATH_0000350,Days worked per week in primary occuapation,,Participant,EUPATH_0000342,Employment details,Days work per week main occupation,,
117,hordiap,Peru_individual,EUPATH_0000366,Hours worked per day in primary occupation,,Participant,EUPATH_0000342,Employment details,Hours work per day main occupation,,
118,tieanop,Peru_individual,,Length of main occupation (years),,Participant,EUPATH_0000342,Employment details,Time in main occupation (years),,
119,recpagp,Peru_individual,EUPATH_0000362,Receive payment for primary occupation,,Participant,EUPATH_0000342,Employment details,Receive pay main occupation,,
120,cantip,Peru_individual,EUPATH_0000364,Salary for primary occupation (sols),,Participant,EUPATH_0000342,Employment details,Amount of pay main occupation,May discard later as too identifying. ,
121,frepagp,Peru_individual,EUPATH_0000360,Frequency of payment for primary occupation,,Participant,EUPATH_0000342,Employment details,Frequency of pay main occupation,,
122,otrlab,Peru_individual,EUPATH_0000358,Additional job in the past month,Other economic activity in the last month (secondary activity),Participant,EUPATH_0000342,Employment details,Other job past month,,
123,lab,Peru_individual,EUPATH_0000355,Secondary occupation,Secondary economic activity,Participant,EUPATH_0000342,Employment details,Other job category,,
125,diasseml,Peru_individual,EUPATH_0000351,Days worked per week in secondary occupation,,Participant,EUPATH_0000342,Employment details,Days work other job per week,,
126,hordial,Peru_individual,EUPATH_0000367,Hours worked per day in secondary occupation,,Participant,EUPATH_0000342,Employment details,Hours work other job per day,,
127,tieanol,Peru_individual,,Length of secondary occupation (years),,Participant,EUPATH_0000342,Employment details,Time in other job (years),,
128,recpagl,Peru_individual,EUPATH_0000363,Receive payment for secondary occupation,,Participant,EUPATH_0000342,Employment details,Receive pay other job,,
129,cantil,Peru_individual,EUPATH_0000365,Salary for secondary occupation (sols),,Participant,EUPATH_0000342,Employment details,Amount of pay other job,May discard later as too identifying. ,
130,frepagl,Peru_individual,EUPATH_0000361,Frequency of payment for secondary occupation,,Participant,EUPATH_0000342,Employment details,Frequency of pay other job,,
131,cod_uni,Peru_F2,,???,,Observation,EUPATH_0000738,Observation,Unique code (created for merge),"Need this and ""aa"" to identify each individual observation, not for web display, only for database referencing. Do we need to make an ontology term then?",
133,dd,Peru_F2,EUPATH_0000091,Date of observation,,Observation,EUPATH_0000738,Observation,Day of month,merge with mm and aa,
134,mm,Peru_F2,EUPATH_0000091,Date of observation,,Observation,EUPATH_0000738,Observation,Month of year,merge with dd and aa,
135,aa,Peru_F2,EUPATH_0000091,Date of observation,,Observation,EUPATH_0000738,Observation,Year,merge with dd and mm,
137,nauseas,Peru_F2,HP_0002018,Nausea,,Observation,EUPATH_0000309,Symptoms,Nausea,,
138,vomitos,Peru_F2,HP_0002013,Vomiting,,Observation,EUPATH_0000309,Symptoms,Vomiting,,
139,anorexia,Peru_F2,SYMP_0000523,Anorexia,,Observation,EUPATH_0000309,Symptoms,Loss of appetite,,
140,mareos,Peru_F2,SYMP_0000610,Dizziness,,Observation,EUPATH_0000309,Symptoms,Dizziness,,
141,diarrea,Peru_F2,DOID_13250,Diarrhea,,Observation,EUPATH_0000309,Symptoms,Diarrhea,,
142,tos,Peru_F2,SYMP_0000614,Cough,,Observation,EUPATH_0000309,Symptoms,Cough,,
143,gotagruesa,Peru_F2,EUPATH_0021081,Blood smear sample,Collection of a thick blood smear sample,Observation,OBI_0000659,Sample collection,Thick smear sample collected,,
144,frotis,Peru_F2,,"Parasite species, Ministry of Health microscopy",Presence of parasites species in a thick blood smear. Analysis performed by MINSA,Observation,OGMS_0000056,Laboratory test,Smear result from national ministry of health,,
145,filtro,Peru_F2,EUPATH_0000127,Filter paper sample,Collection of a filter paper sample,Observation,OBI_0000659,Sample collection,Filter paper,,
146,medicamento1,Peru_F2,EUPATH_0000410,Took antimalarial drugs,,Observation,EUPATH_0000057,Medication,Take medication,"going to verify with data providers that this refers to medication taken before the observation, not medication prescibed at observation",
147,medicamento2,Peru_F2,EUPATH_0000058,Malaria medication,,Observation,EUPATH_0000057,Medication,Type medication,merge with medicamento3,
148,medicamento3,Peru_F2,EUPATH_0000058,Malaria medication,,Observation,EUPATH_0000057,Medication,Type medication,merge with medicamento2,
149,contactomalaria,Peru_F2,,Contact with malaria,,Observation,EUPATH_0000738,Observation,Contact with malaria,,
150,presencia,Peru_F2,,Present at visit,Participant was available at the weekly visit,Observation,EUPATH_0000738,Observation,Present at time of hh visit,"may discard later, but asked only at every attempted visit",
151,fiebre,Peru_F2,EUPATH_0000100,Fever,,Observation,EUPATH_0000309,Symptoms,Fever,,
152,escalofrios,Peru_F2,SYMP_0019174,Chills,,Observation,EUPATH_0000309,Symptoms,Chills,,
153,dolordecabeza,Peru_F2,HP_0002315,Headache,,Observation,EUPATH_0000309,Symptoms,Headache,,
154,dolorabdominal,Peru_F2,HP_0002027,Abdominal pain,,Observation,EUPATH_0000309,Symptoms,Abdominal pain,,
155,dolordeespalda,Peru_F2,,Back pain,,Observation,EUPATH_0000309,Symptoms,Back pain,,
156,rasherupcion,Peru_F2,DOID_0050486,Rash,,Observation,EUPATH_0000309,Symptoms,Rash,,
157,otros_sintomas,Peru_F2,EUPATH_0020002,Other medical complaint,,Observation,EUPATH_0000309,Symptoms,Other symptoms,,what's possible values for this variable?
159,lug_vje1,Peru_F2,,Most recent travel,Place visted most recently and method of getting there,Observation,EUPATH_0000738,Observation,Place of travel 1,link to date via presencia,Does it collect at on visit or multiple time? We have other travel info under participant.
160,lug_vje2,Peru_F2,,Second most recent travel,Place visited second most recently and method of getting there,Observation,EUPATH_0000738,Observation,Place of travel 2,link to date via presencia,Does it collect at on visit or multiple time? We have other travel info under participant.
162,temperatura,Peru_F2,EUPATH_0000110,Temperature,,Observation,OGMS_0000083,Physical examination,Temperature,only measured at a visit,
163,cod_mues,Peru_F2,OBI_0001616,Sample ID,,Observation,OBI_0000659,Sample collection,Sample ID,,
164,razon,Peru_F2,,Reason for specimen collection,,Observation,OBI_0000659,Sample collection,Reason for sample,only measured at a visit,
165,desrazon,Peru_F2,,Other reason for specimen collection,,Observation,OBI_0000659,Sample collection,Description of reason,will need to decide whether to keep and translate or discard,
166,gg_result,Peru_F2,EUPATH_0000423,"Parasite species, microscopy",Presence of parasites species in a thick blood smear. Analysis performed by study personnel,Observation,OGMS_0000056,Laboratory test,Thick smear result from study,,
169,dens_v_asex,Peru_F2,EUPATH_0000551,"P. vivax asexual stage density (per uL blood), microscopy",,Observation,OGMS_0000056,Laboratory test,"Density of asexual stage vivax, parasite/microliter",only done when blood smear done,
170,dens_v_gam,Peru_F2,EUPATH_0000547,"P. vivax gametocyte density (per uL blood), microscopy",,Observation,OGMS_0000056,Laboratory test,"Density of asexual stage vivax, parasite/microliter",only done when blood smear done,
171,dens_f_asex,Peru_F2,EUPATH_0000550,"P. falciparum asexual stage density (per uL blood), microscopy",,Observation,OGMS_0000056,Laboratory test,"Density of asexual stage falciparum, parasite/microliter",only done when blood smear done,
172,dens_f_gam,Peru_F2,EUPATH_0000546,"P. falciparum gametocyte stage density (per uL blood), microscopy",,Observation,OGMS_0000056,Laboratory test,"Density of sexual stage falciparum, parasite/microliter",only done when blood smear done,
173,pcr_result,Peru_F2,EUPATH_0000433,"Parasite species, PCR",,Observation,OGMS_0000056,Laboratory test,PCR result,,
174,ct_v,Peru_F2,,"P. vivax Ct value, PCR",,Observation,OGMS_0000056,Laboratory test,CT/CQ value - p. vivax - raw Ct value,,
175,ct_f,Peru_F2,,"P. falciparum Ct value, PCR",,Observation,OGMS_0000056,Laboratory test,CT/CQ value - p. falciparum - raw Ct value,,
176,qtf_crx_v,Peru_F2,,"P. vivax density, PCR",Number of copies per reaction,Observation,OGMS_0000056,Laboratory test,Density p. vivax - PCR result copies per rxn,,
177,qtf_crx_f,Peru_F2,,"P. falciparum density, PCR",Number of copies per reaction,Observation,OGMS_0000056,Laboratory test,Density p. falciprarum - PCR result copies per rxn,,
,,,EUPATH_0000307,Participant study details,,Participant,EUPATH_0000096,Participant,,,
,,,GAZ_00000448,Geographic location,,Household,PCO_0000024,Household,,,
,,,EUPATH_0000144,Assets,,Household,EUPATH_0000304,Socioeconomic factors,,,
,,,OGMS_0000015,Clinical history,,Participant,EUPATH_0000307,Participant study details,,,
,,,EUPATH_0000309,Symptoms,,Observation,EUPATH_0000738,Observation,,,
,,,EUPATH_0000340,Travel details,,Observation,EUPATH_0000738,Observation,,,
,,,OGMS_0000083,Physical examination,,Observation,EUPATH_0000738,Observation,,,
,,,OBI_0000659,Sample collection,,Observation,EUPATH_0000738,Observation,,,
,,,OGMS_0000056,Laboratory test,,Observation,EUPATH_0000738,Observation,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Questions:,,,,,,,,,,
,1. Shall add Sample as highest level category in all clinEpi projects?,,,,,,,,,,
,"2. If not, what should put under sample, and what under sample collection?",,,,,,,,,,
