codebookOrder,variable,dataset,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,notesForOnt
98,viaotro1,Peru_individual,,River traveled on most recent trip,No rivers were traveled on for second to fourth most recent trips,Participant,,Travel history,Other river (specify),collapse with naveviaje1
105,lugcom1,Peru_individual,,Community visited on most recent trip,,Participant,,Travel history,Place/community trip 1 (code),Collapse with comotr1
106,comotr1,Peru_individual,,Community visited on most recent trip,,Participant,,Travel history,Other community (specify),Collapse with lugcom1
107,lugcom2,Peru_individual,,Community visited on second most recent trip,,Participant,,Travel history,Place/community trip 2 (code),Collapse with comotr2
108,comotr2,Peru_individual,,Community visited on second most recent trip,,Participant,,Travel history,Other community (specify),Collapse with lugcom2
109,lugcom3,Peru_individual,,Community visited on third most recent trip,,Participant,,Travel history,Place/community trip 3 (code),Collapse with comotr3
110,comotr3,Peru_individual,,Community visited on third most recent trip,,Participant,,Travel history,Other community (specify),Collapse with lugcom3
111,lugcom4,Peru_individual,,Community visited on fourth most recent trip,,Participant,,Travel history,Place/community trip 4 (code),
112,trabaj,Peru_individual,,Employment status,,Participant,,,Employment status,
114,traprin,Peru_individual,EUPATH_0000359,Occupation,Primary economic activity,Participant,,,Main occupation category,
116,diassemp,Peru_individual,EUPATH_0000350,Days worked per week in primary occuapation,,Participant,,,Days work per week main occupation,
117,hordiap,Peru_individual,EUPATH_0000366,Hours worked per day in primary occupation,,Participant,,,Hours work per day main occupation,
118,tieanop,Peru_individual,,Length of main occupation (years),,Participant,,,Time in main occupation (years),
119,recpagp,Peru_individual,EUPATH_0000362,Receive payment for primary occupation,,Participant,,,Receive pay main occupation,
120,cantip,Peru_individual,EUPATH_0000364,Salary for primary occupation (sols),,Participant,,,Amount of pay main occupation,May discard later as too identifying. 
121,frepagp,Peru_individual,EUPATH_0000360,Frequency of payment for primary occupation,,Participant,,,Frequency of pay main occupation,
122,otrlab,Peru_individual,EUPATH_0000358,Additional job in the past month,Other economic activity in the last month (secondary activity),Participant,,,Other job past month,
123,lab,Peru_individual,EUPATH_0000355,Secondary occupation,Secondary economic activity,Participant,,,Other job category,
125,diasseml,Peru_individual,EUPATH_0000351,Days worked per week in secondary occupation,,Participant,,,Days work other job per week,
126,hordial,Peru_individual,EUPATH_0000367,Hours worked per day in secondary occupation,,Participant,,,Hours work other job per day,
127,tieanol,Peru_individual,,Length of secondary occupation (years),,Participant,,,Time in other job (years),
128,recpagl,Peru_individual,EUPATH_0000363,Receive payment for secondary occupation,,Participant,,,Receive pay other job,
129,cantil,Peru_individual,EUPATH_0000365,Salary for secondary occupation (sols),,Participant,,,Amount of pay other job,May discard later as too identifying. 
130,frepagl,Peru_individual,EUPATH_0000361,Frequency of payment for secondary occupation,,Participant,,,Frequency of pay other job,
131,cod_uni,Peru_F2,,,,Observation,,,Unique code (created for merge),"Need this and ""aa"" to identify each individual observation, not for web display, only for database referencing. Do we need to make an ontology term then?"
133,dd,Peru_F2,EUPATH_0000091,Date of observation,,Observation,,,Day of month,merge with mm and aa
134,mm,Peru_F2,EUPATH_0000091,Date of observation,,Observation,,,Month of year,merge with dd and aa
135,aa,Peru_F2,EUPATH_0000091,Date of observation,,Observation,,,Year,merge with dd and mm
137,nauseas,Peru_F2,,Nausea,,Observation,EUPATH_0000309,,Nausea,
138,vomitos,Peru_F2,HP_0002013,Vomiting,,Observation,EUPATH_0000309,,Vomiting,
139,anorexia,Peru_F2,SYMP_0000523,Anorexia,,Observation,EUPATH_0000309,,Loss of appetite,
140,mareos,Peru_F2,SYMP_0000610,Dizziness,,Observation,EUPATH_0000309,,Dizziness,
141,diarrea,Peru_F2,DOID_13250,Diarrhea,,Observation,EUPATH_0000309,,Diarrhea,
142,tos,Peru_F2,SYMP_0000614,Cough,,Observation,EUPATH_0000309,,Cough,
143,gotagruesa,Peru_F2,EUPATH_0021081,Blood smear sample,Collection of a thick blood smear sample,Observation,,,Thick smear sample collected,
144,frotis,Peru_F2,,"Parasite species, Ministry of Health microscopy",Presence of parasites species in a thick blood smear. Analysis performed by MINSA,Observation,,,Smear result from national ministry of health,
145,filtro,Peru_F2,EUPATH_0000127,Filter paper sample,Collection of a filter paper sample,Observation,,,Filter paper,
146,medicamento1,Peru_F2,EUPATH_0000410,Took antimalarial drugs,,Observation,,,Take medication,"going to verify with data providers that this refers to medication taken before the observation, not medication prescibed at observation"
147,medicamento2,Peru_F2,EUPATH_0000058,Malaria medication,,Observation,,,Type medication,merge with medicamento3
148,medicamento3,Peru_F2,EUPATH_0000058,Malaria medication,,Observation,,,Type medication,merge with medicamento2
149,contactomalaria,Peru_F2,,Contact with malaria,,Observation,,,Contact with malaria,
150,presencia,Peru_F2,,Present at visit,Participant was available at the weekly visit,Observation,,,Present at time of hh visit,"may discard later, but asked only at every attempted visit"
151,fiebre,Peru_F2,EUPATH_0000100,Fever,,Observation,,,Fever,
152,escalofrios,Peru_F2,SYMP_0019174,Chills,,Observation,,,Chills,
153,dolordecabeza,Peru_F2,HP_0002315,Headache,,Observation,,,Headache,
154,dolorabdominal,Peru_F2,HP_0002027,Abdominal pain,,Observation,,,Abdominal pain,
155,dolordeespalda,Peru_F2,,Back pain,,Observation,,,Back pain,
156,rasherupcion,Peru_F2,DOID_0050486,Rash,,Observation,,,Rash,
157,otros_sintomas,Peru_F2,EUPATH_0020002,Other medical complaint,,Observation,,,Other symptoms,
159,lug_vje1,Peru_F2,,Most recent travel,Place visted most recently and method of getting there,Observation,,,Place of travel 1,link to date via presencia
160,lug_vje2,Peru_F2,,Second most recent travel,Place visited second most recently and method of getting there,Observation,,,Place of travel 2,link to date via presencia
162,temperatura,Peru_F2,EUPATH_0000110,Temperature,,Observation,,,Temperature,only measured at a visit
163,cod_mues,Peru_F2,OBI_0001616,Sample ID,,Observation,,,Sample ID,
164,razon,Peru_F2,,Reason for specimen collection,,Observation,,,Reason for sample,only measured at a visit
165,desrazon,Peru_F2,,Other reason for specimen collection,,Observation,,,Description of reason,will need to decide whether to keep and translate or discard
166,gg_result,Peru_F2,EUPATH_0000423,"Parasite species, microscopy",Presence of parasites species in a thick blood smear. Analysis performed by study personnel,Observation,,,Thick smear result from study,
169,dens_v_asex,Peru_F2,EUPATH_0000551,"P. vivax asexual stage density (per uL blood), microscopy",,Observation,,,"Density of asexual stage vivax, parasite/microliter",only done when blood smear done
170,dens_v_gam,Peru_F2,EUPATH_0000547,"P. vivax gametocyte density (per uL blood), microscopy",,Observation,,,"Density of asexual stage vivax, parasite/microliter",only done when blood smear done
171,dens_f_asex,Peru_F2,EUPATH_0000550,"P. falciparum asexual stage density (per uL blood), microscopy",,Observation,,,"Density of asexual stage falciparum, parasite/microliter",only done when blood smear done
172,dens_f_gam,Peru_F2,EUPATH_0000546,"P. falciparum gametocyte stage density (per uL blood), microscopy",,Observation,,,"Density of sexual stage falciparum, parasite/microliter",only done when blood smear done
173,pcr_result,Peru_F2,EUPATH_0000433,"Parasite species, PCR",,Observation,,,PCR result,
174,ct_v,Peru_F2,,"P. vivax Ct value, PCR",,Observation,,,CT/CQ value - p. vivax - raw Ct value,
175,ct_f,Peru_F2,,"P. falciparum Ct value, PCR",,Observation,,,CT/CQ value - p. falciparum - raw Ct value,
176,qtf_crx_v,Peru_F2,,"P. vivax density, PCR",Number of copies per reaction,Observation,,,Density p. vivax - PCR result copies per rxn,
177,qtf_crx_f,Peru_F2,,"P. falciparum density, PCR",Number of copies per reaction,Observation,,,Density p. falciprarum - PCR result copies per rxn,
