colOrder,overallOrder,display_Order,variable,dataFile,tempVariable,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,cookbookValues,termType,notesforOnt,notesforProvider,notesForDL
81,,,WOMAN_Trial_dataset_anonymised_Codebook::babyhealthy3,WOMAN_Trial_dataset_anonymised_Codebook,babyhealthy3,http://purl.obolibrary.org/obo/EUPATH_0010371,Breastfed,Baby was breastfed any time after randomization,Observation,,,Was baby considered healthy at outcome (Baby number in order of delivery),0 = No1 = YesNULL (Blank) = missing data,variable,,,
85,,,WOMAN_Trial_dataset_anonymised_Codebook::babyhealthy4,WOMAN_Trial_dataset_anonymised_Codebook,babyhealthy4,http://purl.obolibrary.org/obo/EUPATH_0010371,Breastfed,Baby was breastfed any time after randomization,Observation,,,Was baby considered healthy at outcome (Baby number in order of delivery),0 = No1 = YesNULL (Blank) = missing data,variable,,,
89,,,WOMAN_Trial_dataset_anonymised_Codebook::babyhealthy5,WOMAN_Trial_dataset_anonymised_Codebook,babyhealthy5,http://purl.obolibrary.org/obo/EUPATH_0010371,Breastfed,Baby was breastfed any time after randomization,Observation,,,Was baby considered healthy at outcome (Baby number in order of delivery),0 = No1 = YesNULL (Blank) = missing data,variable,,,
38,,,WOMAN_Trial_dataset_anonymised_Codebook::bracesuturesuterus,WOMAN_Trial_dataset_anonymised_Codebook,bracesuturesuterus,,Brace suturing of uterus ,Brace suturing of uterus performed,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,patient management: brace suturing of uterus performed,0 = No1 = YesNULL (Blank) = missing data,variable,,,
46,,,WOMAN_Trial_dataset_anonymised_Codebook::cardiacfailure,WOMAN_Trial_dataset_anonymised_Codebook,cardiacfailure,,Cardiac failure,Patient complications: cardiac failure,Observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,patient complications: cardiac failure,0 = No1 = YesNULL (Blank) = missing data,variable,,,
32,,,WOMAN_Trial_dataset_anonymised_Codebook::daysicu,WOMAN_Trial_dataset_anonymised_Codebook,daysicu,,ICU duration (days),,Observation,Hospitalization,http://purl.obolibrary.org/obo/EUPATH_0000308,number of days spent in the ICU,Range 0 to 42NULL (Blank) = missing data,variable,,,
25,,,WOMAN_Trial_dataset_anonymised_Codebook::daysrandtodischarge,WOMAN_Trial_dataset_anonymised_Codebook,daysrandtodischarge,,Time between randomization and discharge (days),Interval time between randomisation and discharge if applicable - in days,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,interval time between randomisation and discharge if applicable - in days,Format DD,variable,,,
42,,,WOMAN_Trial_dataset_anonymised_Codebook::deepveinthrombosis,WOMAN_Trial_dataset_anonymised_Codebook,deepveinthrombosis,,Deep vein thrombosis,Patient complications: deep vein thrombosis,Observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,patient complications: deep vein thrombosis,0 = No1 = YesNULL (Blank) = missing data,variable,,,
24,,,WOMAN_Trial_dataset_anonymised_Codebook::dischargestatus,WOMAN_Trial_dataset_anonymised_Codebook,dischargestatus,,Discharge status,,Observation,Hospitalization,http://purl.obolibrary.org/obo/EUPATH_0000308,discharge status of women,0 = Discharged1 = Still in hospital now2 = Transferred to another hospitalNULL (Blank) = missing data,variable,,,
12,,,WOMAN_Trial_dataset_anonymised_Codebook::estbloodloss,WOMAN_Trial_dataset_anonymised_Codebook,estbloodloss,,Estaimated blood loss (ml),,Observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,estimated volume of blood lost in mL,Range 0 to 9000NULL (Blank) = missing data,variable,,,
35,,,WOMAN_Trial_dataset_anonymised_Codebook::intrauterinetamponade,WOMAN_Trial_dataset_anonymised_Codebook,intrauterinetamponade,,Intrauterine tamponade ,Intrauterine tamponade performed,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,patient management: intrauterine tamponade performed,0 = No1 = YesNULL (Blank) = missing data,variable,,,
37,,,WOMAN_Trial_dataset_anonymised_Codebook::laparotomy,WOMAN_Trial_dataset_anonymised_Codebook,laparotomy,,Laparotomy,Laparotomy performed,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,patient management: laparotomy performed,0 = No1 = YesNULL (Blank) = missing data,variable,,,
34,,,WOMAN_Trial_dataset_anonymised_Codebook::manualremovalofplacenta,WOMAN_Trial_dataset_anonymised_Codebook,manualremovalofplacenta,,Manual removal of placenta, Manual removal of placenta performed,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,patient management: manual removal of placenta performed,0 = No1 = YesNULL (Blank) = missing data,variable,,,
40,,,WOMAN_Trial_dataset_anonymised_Codebook::mechanicalventilation,WOMAN_Trial_dataset_anonymised_Codebook,mechanicalventilation,http://purl.obolibrary.org/obo/EUPATH_0033450,Mechanical ventilation,,Observation,,,patient management: mechanical ventilation performed,0 = No1 = YesNULL (Blank) = missing data,variable,,,
58,,,WOMAN_Trial_dataset_anonymised_Codebook::misoprostol,WOMAN_Trial_dataset_anonymised_Codebook,misoprostol,,Misoprostol administered,Misoprostol administered after diagnosis of postpartum haemorrhage,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,misoprostol administered after diagnosis of postpartum haemorrhage,0 = No1 = YesNULL (Blank) = missing data,variable,,,
26,,,WOMAN_Trial_dataset_anonymised_Codebook::mobility,WOMAN_Trial_dataset_anonymised_Codebook,mobility,,Problems with mobility,"Patient experiencing any problems with mobility, at discharge or at 42 days",Observation,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,"patient experiencing any problems with mobility, at discharge or at 42 days",0 = No problems walking about1 = Some problems walking about2 = Confined to bedNULL (Blank) = missing data,variable,,,
44,,,WOMAN_Trial_dataset_anonymised_Codebook::myocardialinfarction,WOMAN_Trial_dataset_anonymised_Codebook,myocardialinfarction,, Myocardial infarction,,Observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,patient complications: myocardial infarction,0 = No1 = YesNULL (Blank) = missing data,variable,,,
56,,,WOMAN_Trial_dataset_anonymised_Codebook::oxytocin,WOMAN_Trial_dataset_anonymised_Codebook,oxytocin,,Oxytocin administered,Oxytocin administered after diagnosis of postpartum haemorrhage,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,oxytocin administered after diagnosis of postpartum haemorrhage,0 = No1 = YesNULL (Blank) = missing data,variable,,,
29,,,WOMAN_Trial_dataset_anonymised_Codebook::paindiscomfort,WOMAN_Trial_dataset_anonymised_Codebook,paindiscomfort,,Pain or discomfort,"Patient experiencing any pain or discomfort, at discharge or at 42 days",Observation,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,"patient experiencing any pain or discomfort, at discharge or at 42 days",0 = No pain or discomfort1 = Moderate pain or discomfort2 = Severe pain or discomfortNULL (Blank) = missing data,variable,,,
9,,,WOMAN_Trial_dataset_anonymised_Codebook::placentadelivered,WOMAN_Trial_dataset_anonymised_Codebook,placentadelivered,, Full delivery of placenta,,Observation,Labor and delivery,http://purl.obolibrary.org/obo/EUPATH_0042001, full delivery of placenta,0 = No1 = YesNULL (Blank) = missing data,variable,,,
53,,,WOMAN_Trial_dataset_anonymised_Codebook::plasma,WOMAN_Trial_dataset_anonymised_Codebook,plasma,,Units of fresh frozen plasma,,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,units of fressh frozen plasma given,Range 0 to 47NULL (Blank) = missing data,variable,,,
10,,,WOMAN_Trial_dataset_anonymised_Codebook::primarycausehaem,WOMAN_Trial_dataset_anonymised_Codebook,primarycausehaem,,Primary cause of hemorrhage,,Observation,Delivery complications,http://purl.obolibrary.org/obo/HP_0001787,primary cause of haemorrhage,0 = Placenta praevia/accreta1 = Surgical trauma/tears2 = Uterine atony3 = Other4 = UnknownNULL (blank) = missing data ,variable,,,
59,,,WOMAN_Trial_dataset_anonymised_Codebook::prostaglandins,WOMAN_Trial_dataset_anonymised_Codebook,prostaglandins,,Injectable prostaglandins ,Injectable prostaglandins administered after diagnosis of postpartum haemorrhage,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,injectable prostaglandins administered after diagnosis of postpartum haemorrhage,0 = No1 = YesNULL (Blank) = missing data,variable,,,
41,,,WOMAN_Trial_dataset_anonymised_Codebook::pulmonaryembolism,WOMAN_Trial_dataset_anonymised_Codebook,pulmonaryembolism,, Pulmonary embolism ,,Observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,patient complications: pulmonary embolism ,0 = No1 = YesNULL (Blank) = missing data,variable,,,
45,,,WOMAN_Trial_dataset_anonymised_Codebook::renalfailure,WOMAN_Trial_dataset_anonymised_Codebook,renalfailure,http://purl.obolibrary.org/obo/DOID_1074,Renal failure,,Observation,,,patient complications: renal failure,0 = No1 = YesNULL (Blank) = missing data,variable,,,
47,,,WOMAN_Trial_dataset_anonymised_Codebook::respiratoryfailure,WOMAN_Trial_dataset_anonymised_Codebook,respiratoryfailure,,Respiratory failure,,Observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,patient complications: respiratory failure,0 = No1 = YesNULL (Blank) = missing data,variable,,,
50,,,WOMAN_Trial_dataset_anonymised_Codebook::seizure,WOMAN_Trial_dataset_anonymised_Codebook,seizure,http://purl.obolibrary.org/obo/SYMP_0000124,Seizures,,Observation,,,patient complications: seizure,0 = No1 = YesNULL (Blank) = missing data,variable,,,
27,,,WOMAN_Trial_dataset_anonymised_Codebook::selfcare,WOMAN_Trial_dataset_anonymised_Codebook,selfcare,,Experiencing any problems with selfcare,,Observation,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,"patient experiencing any problems with selfcare, at discharge or at 42 days",0 = No problems with self-care1 = Some problems with washing or dressing2 = Unable to wash or dressNULL (Blank) = missing data,variable,,,
49,,,WOMAN_Trial_dataset_anonymised_Codebook::sepsis,WOMAN_Trial_dataset_anonymised_Codebook,sepsis,,Sepsis,,Observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,patient complications: sepsis,0 = No1 = YesNULL (Blank) = missing data,variable,,,
14,,,WOMAN_Trial_dataset_anonymised_Codebook::signsinstability,WOMAN_Trial_dataset_anonymised_Codebook,signsinstability,,Hemodynamic instability,,Observation,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,signs of haemodynamic instability,0 = No1 = YesNULL (Blank) = missing data,variable,,,
43,,,WOMAN_Trial_dataset_anonymised_Codebook::stroke,WOMAN_Trial_dataset_anonymised_Codebook,stroke,,Stroke,,Observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,patient complications: stroke,0 = No1 = YesNULL (Blank) = missing data,variable,,,
11,,,WOMAN_Trial_dataset_anonymised_Codebook::systolicbloodpressure,WOMAN_Trial_dataset_anonymised_Codebook,systolicbloodpressure,http://purl.obolibrary.org/obo/EUPATH_0021086,Systolic blood pressure (mmHg),,Observation,,,systolic blood pressure in mmHg,Range 0 to 240NULL (Blank) = missing data,variable,,,
8,,,WOMAN_Trial_dataset_anonymised_Codebook::timedeliverytorand,WOMAN_Trial_dataset_anonymised_Codebook,timedeliverytorand,,Interval time between randomisation and delivery," Interval time between randomization and delivery - in days, hours and minutes ",Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310," interval time between randomisation and delivery - in days, hours and minutes ","Format d, hh:mm",variable,,,
68,,,WOMAN_Trial_dataset_anonymised_Codebook::timehysterectomyafterrand,WOMAN_Trial_dataset_anonymised_Codebook,timehysterectomyafterrand,,Interval time of hysterectomy after randomization,Interval time of hysterectomy after randomization,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,interval time of hysterectomy after randomisation,"Format d, hh:mm ",variable,,,
67,,,WOMAN_Trial_dataset_anonymised_Codebook::timehysterectomybeforerand,WOMAN_Trial_dataset_anonymised_Codebook,timehysterectomybeforerand,,Interval time of hysterectomy before randomization,Interval time of hysterectomy before randomization,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,interval time of hysterectomy before randomisation,"Format d, hh:mm",variable,,,
20,,,WOMAN_Trial_dataset_anonymised_Codebook::timerandtodeath,WOMAN_Trial_dataset_anonymised_Codebook,timerandtodeath,,Interval time between randomization and death,"Interval time between randomization and death if applicable - in days, hours and minutes ",Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,"interval time between randomisation and death if applicable - in days, hours and minutes ","Format d, hh:mm",variable,,,
51,,,WOMAN_Trial_dataset_anonymised_Codebook::transfusion,WOMAN_Trial_dataset_anonymised_Codebook,transfusion,,Transfusion of blood products,,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,transfusion of blood products given ,0 = No1 = YesNULL (Blank) = missing data,variable,,,
28,,,WOMAN_Trial_dataset_anonymised_Codebook::usualactivities,WOMAN_Trial_dataset_anonymised_Codebook,usualactivities,,Experiencing any problems with usual activities ,"Patient experiencing any problems with usual activities at discharge, or at 42 days",Observation,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,"patient experiencing any problems with usual activities at discharge, or at 42 days",0 = No problems with performing usual activities1 = Some problems with washing or dressing2 = Unable to perform usual activitiesNULL (Blank) = missing data,variable,,,
13,,,WOMAN_Trial_dataset_anonymised_Codebook::uteroproph,WOMAN_Trial_dataset_anonymised_Codebook,uteroproph,,Prophylactic uterotonics adminstered,Prophylactic uterotonics adminstered,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,prophylactic uterotonics adminstered,0 = No1 = Yes2 = UnknownNULL (blank) = missing data,variable,,,
55,,,WOMAN_Trial_dataset_anonymised_Codebook::uterotonicsadministered,WOMAN_Trial_dataset_anonymised_Codebook,uterotonicsadministered,,Uterotonics administered,Uterotonics administered after diagnosis of postpartum haemorrhage,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,uterotonics administered after diagnosis of postpartum haemorrhage,0 = No1 = YesNULL (Blank) = missing data,variable,,,
31,,,WOMAN_Trial_dataset_anonymised_Codebook::visualanaloguescale,WOMAN_Trial_dataset_anonymised_Codebook,visualanaloguescale,,Visual scale of patient's health by healthcare provider,,Observation,Physical examination,http://purl.obolibrary.org/obo/OGMS_0000083,scale of how good or bad patienit's health is in healthcarer's opinion ,Range 0 to 100NULL (Blank) = missing data,variable,,,
62,,,WOMAN_Trial_dataset_anonymised_Codebook::babynumber,WOMAN_Trial_dataset_anonymised_Codebook,babynumber,,Live newborn count,,Observation,Obstetric history,http://purl.obolibrary.org/obo/EUPATH_0000738,number of live babies from this pregnancy ,Range 0 to 6NULL (Blank) = missing data,variable,,,
74,,,WOMAN_Trial_dataset_anonymised_Codebook::babythromboembolic1,WOMAN_Trial_dataset_anonymised_Codebook,babythromboembolic1,,Infant confirmed thromboembolic event,,Observation,Obstetric history,http://purl.obolibrary.org/obo/EUPATH_0000738,Had baby had any confirmed thromboembolic event (Baby number in order of delivery),0 = No1 = YesNULL (Blank) = missing data,variable,,,
78,,,WOMAN_Trial_dataset_anonymised_Codebook::babythromboembolic2,WOMAN_Trial_dataset_anonymised_Codebook,babythromboembolic2,,Infant confirmed thromboembolic event,,Observation,Obstetric history,http://purl.obolibrary.org/obo/EUPATH_0000738,Had baby had any confirmed thromboembolic event (Baby number in order of delivery),0 = No1 = YesNULL (Blank) = missing data,variable,,,
82,,,WOMAN_Trial_dataset_anonymised_Codebook::babythromboembolic3,WOMAN_Trial_dataset_anonymised_Codebook,babythromboembolic3,,Infant confirmed thromboembolic event,,Observation,Obstetric history,http://purl.obolibrary.org/obo/EUPATH_0000738,Had baby had any confirmed thromboembolic event (Baby number in order of delivery),0 = No1 = YesNULL (Blank) = missing data,variable,,,
86,,,WOMAN_Trial_dataset_anonymised_Codebook::babythromboembolic4,WOMAN_Trial_dataset_anonymised_Codebook,babythromboembolic4,,Infant confirmed thromboembolic event,,Observation,Obstetric history,http://purl.obolibrary.org/obo/EUPATH_0000738,Had baby had any confirmed thromboembolic event (Baby number in order of delivery),0 = No1 = YesNULL (Blank) = missing data,variable,,,
90,,,WOMAN_Trial_dataset_anonymised_Codebook::babythromboembolic5,WOMAN_Trial_dataset_anonymised_Codebook,babythromboembolic5,,Infant confirmed thromboembolic event,,Observation,Obstetric history,http://purl.obolibrary.org/obo/EUPATH_0000738,Had baby had any confirmed thromboembolic event (Baby number in order of delivery),0 = No1 = YesNULL (Blank) = missing data,variable,,,
7,,,WOMAN_Trial_dataset_anonymised_Codebook::typeofdelivery,WOMAN_Trial_dataset_anonymised_Codebook,typeofdelivery,http://purl.obolibrary.org/obo/EUPATH_0042170,Infant mode of delivery,,Observation,,, type of delivery ,0 = Vaginal1 = Caesarean sectionNULL (Blank) = missing data,variable,,,
72,,,WOMAN_Trial_dataset_anonymised_Codebook::babyalive1,WOMAN_Trial_dataset_anonymised_Codebook,babyalive1,,Baby was alive at outcome,Baby was alive at outcome (Baby number in order of delivery),Observation,Labor and delivery,http://purl.obolibrary.org/obo/EUPATH_0042001,Was baby alive at outcome (Baby number in order of delivery),0 = No1 = YesNULL (Blank) = missing data,variable,,,
76,,,WOMAN_Trial_dataset_anonymised_Codebook::babyalive2,WOMAN_Trial_dataset_anonymised_Codebook,babyalive2,,Baby was alive at outcome,Baby was alive at outcome (Baby number in order of delivery),Observation,Labor and delivery,http://purl.obolibrary.org/obo/EUPATH_0042001,Was baby alive at outcome (Baby number in order of delivery),0 = No1 = YesNULL (Blank) = missing data,variable,,,
80,,,WOMAN_Trial_dataset_anonymised_Codebook::babyalive3,WOMAN_Trial_dataset_anonymised_Codebook,babyalive3,,Baby was alive at outcome,Baby was alive at outcome (Baby number in order of delivery),Observation,Labor and delivery,http://purl.obolibrary.org/obo/EUPATH_0042001,Was baby alive at outcome (Baby number in order of delivery),0 = No1 = YesNULL (Blank) = missing data,variable,,,
84,,,WOMAN_Trial_dataset_anonymised_Codebook::babyalive4,WOMAN_Trial_dataset_anonymised_Codebook,babyalive4,,Baby was alive at outcome,Baby was alive at outcome (Baby number in order of delivery),Observation,Labor and delivery,http://purl.obolibrary.org/obo/EUPATH_0042001,Was baby alive at outcome (Baby number in order of delivery),0 = No1 = YesNULL (Blank) = missing data,variable,,,
88,,,WOMAN_Trial_dataset_anonymised_Codebook::babyalive5,WOMAN_Trial_dataset_anonymised_Codebook,babyalive5,,Baby was alive at outcome,Baby was alive at outcome (Baby number in order of delivery),Observation,Labor and delivery,http://purl.obolibrary.org/obo/EUPATH_0042001,Was baby alive at outcome (Baby number in order of delivery),0 = No1 = YesNULL (Blank) = missing data,variable,,,
21,,,WOMAN_Trial_dataset_anonymised_Codebook::causedeath,WOMAN_Trial_dataset_anonymised_Codebook,causedeath,http://purl.obolibrary.org/obo/EUPATH_0020001,Cause of death,,Participant,,,cause of death,0 = Bleeding1 = Other2 = Pulmonary EmbolismNULL (Blank) = missing data,variable,,,
33,,,WOMAN_Trial_dataset_anonymised_Codebook::hysterectomy,WOMAN_Trial_dataset_anonymised_Codebook,hysterectomy,,Hysterectomy ,,Observation,Obstetrics,http://purl.obolibrary.org/obo/EUPATH_0042002,patient management: hysterectomy performed,0 = No1 = YesNULL (Blank) = missing data,variable,,,
63,,,WOMAN_Trial_dataset_anonymised_Codebook::hysterectomydecisionbeforedelive,WOMAN_Trial_dataset_anonymised_Codebook,hysterectomydecisionbeforedelive,,Decision to perform a hysterectomy before delivery of baby,,Observation,Obstetrics,http://purl.obolibrary.org/obo/EUPATH_0042002,was the decision to perform a hysterectomy taken before delivery of baby,0 = No1 = YesNULL (Blank) = missing data,variable,,,
65,,,WOMAN_Trial_dataset_anonymised_Codebook::hysterectomydecisionbeforerandom,WOMAN_Trial_dataset_anonymised_Codebook,hysterectomydecisionbeforerandom,,Decision to perform a hysterectomy before randomization,,Observation,Obstetrics,http://purl.obolibrary.org/obo/EUPATH_0042002,was the decision to perform a hysterectomy taken before randomisation,0 = No1 = YesNULL (Blank) = missing data,variable,,,
71,,,WOMAN_Trial_dataset_anonymised_Codebook::hysterectomyinfluenced,WOMAN_Trial_dataset_anonymised_Codebook,hysterectomyinfluenced,,Hysterectomy that was not influenced by a decision predelivery or prerandomization ,,Observation,Obstetrics,http://purl.obolibrary.org/obo/EUPATH_0042002,"hysterectomy that was not influenced by a decision predelivery or prerandomisation - this variable identifies hysterectomies, the decisions for which were made post randomisation. This variable was used for analysis of treatment effect on hysterectomy",0 = No1 = YesNULL (Blank) = missing data,variable,,,
69,,,WOMAN_Trial_dataset_anonymised_Codebook::reasonhysterectomy,WOMAN_Trial_dataset_anonymised_Codebook,reasonhysterectomy,,Reason for performing hysterectomy,,Observation,Obstetrics,http://purl.obolibrary.org/obo/EUPATH_0042002,reason for performing hysterectomy,0 = (a) To remove an abnormally adherent placenta (previa or accreta)1 = (b) To remove a severely ruptured; damaged or infected uterus2 = (c) To remove another uterine abnormality - e.g. uterinemyoma3 = (d) To control bleeding4 = (e) Other reason (specify)NULL (Blank) = missing data,variable,,,
23,,,WOMAN_Trial_dataset_anonymised_Codebook::causedeathothermeddra,WOMAN_Trial_dataset_anonymised_Codebook,causedeathothermeddra,,Meddra code for cause of death,,Participant,Death information,http://purl.obolibrary.org/obo/EUPATH_0000671,meddra code for other cause of death,,variable,,,
6,,,WOMAN_Trial_dataset_anonymised_Codebook::deliveryinhospital,WOMAN_Trial_dataset_anonymised_Codebook,deliveryinhospital,http://purl.obolibrary.org/obo/EUPATH_0038002,Delivered at study hospital,,Participant,,, patient gave birth at randomising hospital,0 = No1 = YesNULL (Blank) = missing data,variable,,,
36,,,WOMAN_Trial_dataset_anonymised_Codebook::embolisation,WOMAN_Trial_dataset_anonymised_Codebook,embolisation,,Embolisation,,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,patient management: embolisation performed,0 = No1 = YesNULL (Blank) = missing data,variable,,,
57,,,WOMAN_Trial_dataset_anonymised_Codebook::ergometrine,WOMAN_Trial_dataset_anonymised_Codebook,ergometrine,,Ergometrine administered,Ergometrine administered after diagnosis of postpartum haemorrhage,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,ergometrine administered after diagnosis of postpartum haemorrhage,0 = No1 = YesNULL (Blank) = missing data,variable,,,
15,,,WOMAN_Trial_dataset_anonymised_Codebook::fullyeligible,WOMAN_Trial_dataset_anonymised_Codebook,fullyeligible,,Eligible for WOMAN trial,,Participant,Administrative information,http://purl.obolibrary.org/obo/EUPATH_0010035,patient eligible for trial ,0 = No1 = Yes,variable,,,
48,,,WOMAN_Trial_dataset_anonymised_Codebook::hepaticfailure,WOMAN_Trial_dataset_anonymised_Codebook,hepaticfailure,,Hepatic failure,,Observation,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,patient complications: hepatic failure,0 = No1 = YesNULL (Blank) = missing data,variable,,,
60,,,WOMAN_Trial_dataset_anonymised_Codebook::trialtreatdose1,WOMAN_Trial_dataset_anonymised_Codebook,trialtreatdose1,,First dose of trial treatment given,,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,first dose of trial treatment given,0 = No1 = YesNULL (Blank) = missing data,variable,,,
61,,,WOMAN_Trial_dataset_anonymised_Codebook::trialtreatdose2,WOMAN_Trial_dataset_anonymised_Codebook,trialtreatdose2,,Second dose of trial treatment given,,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,second dose of trial treatment given,0 = No1 = YesNULL (Blank) = missing data,variable,,,
5,,,WOMAN_Trial_dataset_anonymised_Codebook::unblinded,WOMAN_Trial_dataset_anonymised_Codebook,unblinded,,Treatment allocation unblinded,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307, was treatment allocation unblinded,0 = No1 = Yes,variable,,,
