"IRI","label","displayOrder","variable","dataFile","definition","category","parentLabel","parentIRI","codebookDescription","codebookValues","termType","replaces","unitLabel","unitIRI","hidden"
"http://purl.obolibrary.org/obo/EUPATH_0038404","Autopsy date","3","form08a::dateofautopsy | form08b::dateofautopsy","form08b | form08a","","Observation","Autopsy","http://purl.obolibrary.org/obo/EUPATH_0038281","","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038405","Cause of death, from autopsy","2","form08a::summaryimpressionslistofcausesofdeathinorderoflikelihoodbasedonc1 | form08b::summaryimpressionslistofcausesofdeathinorderoflikelihoodbasedonc","form08b | form08a","","Observation","Autopsy","http://purl.obolibrary.org/obo/EUPATH_0038281","","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038406","Congenital heart disease autopsy evidence","24","","","","Observation","Autopsy","http://purl.obolibrary.org/obo/EUPATH_0038281","","","multifilter","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038407","Congenital malformations and chromosomal anomalies autopsy evidence","23","","","","Observation","Autopsy","http://purl.obolibrary.org/obo/EUPATH_0038281","","","multifilter","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038408","Gross external abnormalities","8","form08a::aretheregrossabnormalitiesseenexternally | form08b::aretheregrossabnormalitiesseenexternally","form08a | form08b","Whether gross abnormalities were seen externally","Observation","Autopsy","http://purl.obolibrary.org/obo/EUPATH_0038281","","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038409","Gross external abnormalities specified","9","form08a::ifyesdescribe | form08b::ifyesdescribe","form08a | form08b","Gross abnormalities that were seen externally","Observation","Autopsy","http://purl.obolibrary.org/obo/EUPATH_0038281","if abnormalities of gross appearance, specify","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038641","Intraventricular hemorrhage autopsy evidence","12","","","","Observation","Autopsy","http://purl.obolibrary.org/obo/EUPATH_0038281","","","multifilter","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038411","Medical conditions identified on autopsy","1","","","","Observation","Autopsy","http://purl.obolibrary.org/obo/EUPATH_0038281","","","multifilter","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038412","Meningitis autopsy evidence","21","","","","Observation","Autopsy","http://purl.obolibrary.org/obo/EUPATH_0038281","","","multifilter","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038413","Minimally invasive tissue sampling","6","form08b::isthisminimallyinvasivetissuesamplingmits | form08a::isthisminimallyinvasivetissuesamplingmits","form08a | form08b","MITS was performed","Observation","Autopsy","http://purl.obolibrary.org/obo/EUPATH_0038281","","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038414","Minimally invasive tissue sampling completion time (min)","7","form08a::mitsminutes | form08b::mitsminutes","form08b | form08a","","Observation","Autopsy","http://purl.obolibrary.org/obo/EUPATH_0038281","","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038415","Necrotizing enterocolitis autopsy evidence","16","","","","Observation","Autopsy","http://purl.obolibrary.org/obo/EUPATH_0038281","","","multifilter","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038416","Other congenital heart disease evidence","25","form08b::specify1 | form08a::specify1","form08b | form08a","","Observation","Autopsy","http://purl.obolibrary.org/obo/EUPATH_0038281","Other findings of congenital heart disease, specified","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038417","Other intraventricular hemorrhage evidence","13","form08a::specifyivh | form08b::specifyivh","form08b | form08a","","Observation","Autopsy","http://purl.obolibrary.org/obo/EUPATH_0038281","Other findings of intraventricular hemorrage, specified","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038418","Other meningitis evidence","22","form08b::specifymeningitis | form08a::specifymeningitis","form08b | form08a","","Observation","Autopsy","http://purl.obolibrary.org/obo/EUPATH_0038281","Other findings of meningitis, specified","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038419","Other necrotizing enterocolitis evidence","17","form08a::specifynec | form08b::specifynec","form08a | form08b","","Observation","Autopsy","http://purl.obolibrary.org/obo/EUPATH_0038281","Other findings of necrotizing enterocolitis (NEC), specified","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038420","Other perinatal asphyxia with multiple organ involvement evidence","15","form08a::specifyhie | form08b::specifyhie","form08b | form08a","","Observation","Autopsy","http://purl.obolibrary.org/obo/EUPATH_0038281","Other findings of perinatal asphyxia with multiple organ involvement (HIE), specified","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038421","Other pneumonia evidence","20","form08b::specifypneumonia | form08a::specifypneumonia","form08b | form08a","","Observation","Autopsy","http://purl.obolibrary.org/obo/EUPATH_0038281","Other findings of pneumonia, specified","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038422","Other respiratory distress syndrome evidence","11","form08b::specifyrds | form08a::specifyrds","form08a | form08b","","Observation","Autopsy","http://purl.obolibrary.org/obo/EUPATH_0038281","Other findings of respiratory distress syndrome, specified","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038423","Perinatal asphyxia with multiple organ involvement autopsy evidence","14","","","","Observation","Autopsy","http://purl.obolibrary.org/obo/EUPATH_0038281","","","multifilter","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038424","Pneumonia autopsy evidence","19","","","","Observation","Autopsy","http://purl.obolibrary.org/obo/EUPATH_0038281","","","multifilter","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038640","Respiratory distress syndrome autopsy evidence","10","","","","Observation","Autopsy","http://purl.obolibrary.org/obo/EUPATH_0038281","","","multifilter","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038426","Sepsis autopsy evidence","18","","","","Observation","Autopsy","http://purl.obolibrary.org/obo/EUPATH_0038281","","","multifilter","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038427","Standard autopsy","4","form08b::isthisstandardautopsycda | form08a::isthisstandardautopsycda","form08b | form08a","A standard autopsy was performed","Observation","Autopsy","http://purl.obolibrary.org/obo/EUPATH_0038281","","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038428","Standard autopsy completion time (min)","5","form08a::standardautopsyminutes | form08b::standardautopsyminutes","form08a | form08b","","Observation","Autopsy","http://purl.obolibrary.org/obo/EUPATH_0038281","","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0036054","Baby food type","1","form04::feedingmethod","form04","Assessed daily for infants admitted to the NICU","Observation","Breastfeeding","http://purl.obolibrary.org/obo/EUPATH_0011730","","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038676","Suckling","2","form04::anysuckling","form04","Assessed daily for infants admitted to the NICU","Observation","Breastfeeding","http://purl.obolibrary.org/obo/EUPATH_0011730","","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038447","Atrial septal defect","5","form08b::asd | form08a::asd","form08a | form08b","ASD","Observation","Congenital heart disease autopsy evidence","http://purl.obolibrary.org/obo/EUPATH_0038406","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038448","Coarctation of the aorta","3","form08b::coarctationoftheaortaand | form08a::coarctationoftheaortaand","form08b | form08a","","Observation","Congenital heart disease autopsy evidence","http://purl.obolibrary.org/obo/EUPATH_0038406","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038449","Interuppted aortic arch","4","form08b::interruptedaorticarch | form08a::interruptedaorticarch","form08b | form08a","","Observation","Congenital heart disease autopsy evidence","http://purl.obolibrary.org/obo/EUPATH_0038406","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038450","Other","8","form08a::others2 | form08b::others2","form08a | form08b","","Observation","Congenital heart disease autopsy evidence","http://purl.obolibrary.org/obo/EUPATH_0038406","Other findings of congenital heart disease","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038451","Patent ductus arteriosus","7","form08b::pda | form08a::pda","form08a | form08b","PDA","Observation","Congenital heart disease autopsy evidence","http://purl.obolibrary.org/obo/EUPATH_0038406","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038452","Total anomalous pulmonary venous drainage","2","form08a::totalanomalouspulmonaryvenousdrainage | form08b::totalanomalouspulmonaryvenousdrainage","form08b | form08a","","Observation","Congenital heart disease autopsy evidence","http://purl.obolibrary.org/obo/EUPATH_0038406","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038453","Transposed great arteries, hypoplastic left heart","1","form08a::transposedgreatarterieshypoplasticleftheart | form08b::transposedgreatarterieshypoplasticleftheart","form08b | form08a","","Observation","Congenital heart disease autopsy evidence","http://purl.obolibrary.org/obo/EUPATH_0038406","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038454","Ventricular septal defect","6","form08a::vsd | form08b::vsd","form08a | form08b","VSD","Observation","Congenital heart disease autopsy evidence","http://purl.obolibrary.org/obo/EUPATH_0038406","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038455","Choanal atresia","4","form08a::choanalatresia | form08b::choanalatresia","form08a | form08b","","Observation","Congenital malformations and chromosomal anomalies autopsy evidence","http://purl.obolibrary.org/obo/EUPATH_0038407","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038456","Cleft lip and cleft palate","5","form08a::cleftlipandcleftpalate | form08b::cleftlipandcleftpalate","form08b | form08a","","Observation","Congenital malformations and chromosomal anomalies autopsy evidence","http://purl.obolibrary.org/obo/EUPATH_0038407","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038457","Esophageal atresia and tracheoesophageal fistula","5","form08a::esophagealatresiatracheoesophagealfistula | form08b::esophagealatresiatracheoesophagealfistula","form08a | form08b","","Observation","Congenital malformations and chromosomal anomalies autopsy evidence","http://purl.obolibrary.org/obo/EUPATH_0038407","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038458","Hypospadias","7","form08a::hypospadias | form08b::hypospadias","form08b | form08a","","Observation","Congenital malformations and chromosomal anomalies autopsy evidence","http://purl.obolibrary.org/obo/EUPATH_0038407","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038459","Neural tube defects and hydrocephalus","1","form08a::neuraltubedefectsandhydrocephalus | form08b::neuraltubedefectsandhydrocephalus","form08b | form08a","","Observation","Congenital malformations and chromosomal anomalies autopsy evidence","http://purl.obolibrary.org/obo/EUPATH_0038407","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038460","Other","9","form08b::others1 | form08a::others1","form08a | form08b","","Observation","Congenital malformations and chromosomal anomalies autopsy evidence","http://purl.obolibrary.org/obo/EUPATH_0038407","Other findings of congenital malformation and chromosomal abnormalities","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038461","Pierre Robin syndrome","3","form08b::pierrerobinsyndrome | form08a::pierrerobinsyndrome","form08a | form08b","","Observation","Congenital malformations and chromosomal anomalies autopsy evidence","http://purl.obolibrary.org/obo/EUPATH_0038407","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038462","Trisomies, Down syndrome","2","form08b::trisomiesdownsyndrome | form08a::trisomiesdownsyndrome","form08b | form08a","","Observation","Congenital malformations and chromosomal anomalies autopsy evidence","http://purl.obolibrary.org/obo/EUPATH_0038407","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038463","Undescended testis","8","form08a::undescendedtestis | form08b::undescendedtestis","form08b | form08a","","Observation","Congenital malformations and chromosomal anomalies autopsy evidence","http://purl.obolibrary.org/obo/EUPATH_0038407","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038085","Cord prolapse","2","form02_long::cordprolapse","form02_long","Asked at enrollment","Observation","Delivery complications","http://purl.obolibrary.org/obo/HP_0001787","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038084","Maternal fever prior to delivery","1","form02_long::maternalfeverpriortodelivery","form02_long","Asked at enrollment","Observation","Delivery complications","http://purl.obolibrary.org/obo/HP_0001787","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038087","Other","4","form02_long::n47other","form02_long","Asked at enrollment","Observation","Delivery complications","http://purl.obolibrary.org/obo/HP_0001787","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038086","Uterine rupture","3","form02_long::ruptureduterus","form02_long","Asked at enrollment","Observation","Delivery complications","http://purl.obolibrary.org/obo/HP_0001787","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038700","Diagnosis in last 24 hours","1","form04::wereanynewdiagnosesmade","form04","Assessed daily for infants admitted to the NICU","Observation","Diagnosis","http://purl.obolibrary.org/obo/OGMS_0000073","","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038704","Intraventricular hemorrhage","5","form04::ivh","form04","Assessed daily for infants admitted to the NICU","Observation","Diagnosis","http://purl.obolibrary.org/obo/OGMS_0000073","new diagnoses","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038351","Intraventricular hemorrhage, by ultrasound","9","form03b::n602ivhdiagnosedbyus","form03b","Intraventricular hemorrhage diagnosed by head ultrasound. Assessed once for infants admitted to NICU","Observation","Diagnosis","http://purl.obolibrary.org/obo/OGMS_0000073","If head ultrasound done, IVH diagnosed","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038352","Meconium aspiration syndrome, by X-ray","10","form06_c_xray::atanywasmasdiagnosed","form06_c_xray","Meconium aspiration syndrome diagnosed by chest X-ray. Collected at any point a chest X-ray was performed while the infant remained in the NICU","Observation","Diagnosis","http://purl.obolibrary.org/obo/OGMS_0000073","MAS diagnosed from chest x-ray","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038703","Meningitis","4","form04::meningitis","form04","Assessed daily for infants admitted to the NICU","Observation","Diagnosis","http://purl.obolibrary.org/obo/OGMS_0000073","new diagnoses","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038706","Necrotizing enterocolitis","7","form04::nec","form04","Assessed daily for infants admitted to the NICU","Observation","Diagnosis","http://purl.obolibrary.org/obo/OGMS_0000073","new diagnoses","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038353","Necrotizing enterocolitis, by X-ray","11","form06::atanywasnecdiagnosed | form03b::necdiagnosedbyxray","form03b | form06","Necrotizing enterocolitis diagnosed by abdominal X-ray. Collected at NICU admission and at discharge","Observation","Diagnosis","http://purl.obolibrary.org/obo/OGMS_0000073","If abdominal x-ray done, NEC diagnosed","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038701","Persistent pulmonary hypertension of the newborn","2","form04::pphn","form04","Assessed daily for infants admitted to the NICU","Observation","Diagnosis","http://purl.obolibrary.org/obo/OGMS_0000073","new diagnoses","","variable","","","",""
