colOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt
29,form01::gestationalageatdeliverybasedonfirstonlyuswks,form01,,"Gestational age at delivery (weeks), by ultrasound",,,Labor and delivery,EUPATH_0042001,,,"variable, derived",
30,form01::days3,form01,,"Gestational age at delivery (weeks), by ultrasound",,,Labor and delivery,EUPATH_0042001,"gestational age at delivery based on first/only ultrasound, the days portion",,"variable, derived",
31,form01::dateballardexamdone,form01,EUPATH_0036413,Gestational age assessment date,,,,,,,variable,
5,form02::maternalage,form02,EUPATH_0036077,Mother's age,,,,,,,variable,
6,form02::maritalstatus,form02,,Mother's marital status,,,Individuals related to participant,EUPATH_0010037,,,variable,
7,form02::formaleducationofmother,form02,EUPATH_0036220,Mother's education level,,,,,,,variable,
8,form02::occupationofmother,form02,EUPATH_0036221,Mother's occupation,,,,,,,variable,
9,form02::specify,form02,,Other mother's occupation,,,Individuals related to participant,EUPATH_0010037,,,variable,
10,form02::isthismothersfirstpregnancy,form02,,Mother's first pregnancy,Maternal data assessed at enrollment,,,,,,variable,
11,form02::priorpregnanciesendingat20weeks,form02,,Maternal pregnancies ending <20 weeks (count),Maternal data assessed at enrollment,,,,,,variable,
12,form02::spontaneousabortions,form02,NCIT_C120837,Spontaneous abortions (count),Maternal data assessed at enrollment,,,,,,variable,
13,form02::medicalinducedabortion,form02,NCIT_C120835,Elective abortions (count),Maternal data assessed at enrollment,,,,,,variable,
14,form02::numberofpriorpregnanciesthatappearedpreterm2037weeks,form02,EUPATH_0042130,Preterm births (count),Number of prior pregnancies (not including birth of participant) that appeared preterm (20-37 weeks). Maternal data assessed at enrollment,,,,,,variable,
15,form02::numberofpregnanciesthatappearedtobeterm37weeks,form02,EUPATH_0042079,Full term births (count),Number of prior pregnancies (not including birth of participant) that appeared to be at term (>37 weeks). Maternal data assessed at enrollment,,,,,,variable,
16,form02::numberoflivingchildren,form02,EUPATH_0036218,Mother's living children (count),Maternal data assessed at enrollment,,,,,,variable,
17,form02::antenatalcareancreceived,form02,,Received antenatal care,Antenatal care received for pregnancy resulting in participant's birth. Maternal data assessed at enrollment,,Antenatal care,EUPATH_0047002,,,variable,
18,form02::numberofvisitswhetherinthisorotherhospitalclinics,form02,EUPATH_0047060,Antenatal care visits (count),Total number of antenatal care visits prior to participant's birth. Maternal data assessed at enrollment,,,,,,variable,Update label for GANC to match this label
,,,EUPATH_0036022,Maternal blood test,,,,,,,category,
19,form02::lasthemoglobinlevelhgb,form02,,Hemoglobin (g/dL),"Last maternal hemoglobin level, may have been measured before the associated observation date",,Maternal blood test,EUPATH_0036022,,,variable,See lab_test_template
20,form02::lasthctlevel,form02,,Hematocrit (%),"Last maternal hematocrit level, may have been measured before the associated observation date",,Maternal blood test,EUPATH_0036022,,,variable,See lab_test_template
23,form02::bloodgroup1,form02,,Maternal ABO blood group,,,Maternal clinical history,EUPATH_0036493,,1 A;2 B; 3 AB;4 O;5 Don't know,variable,
24,form02::rhfactor1,form02,,Maternal RH blood group,,,Maternal clinical history,EUPATH_0036493,,,variable,
25,form02::vdrl1,form02,,"Treponema, by VDRL",Syphilis screening test. Performed at enrollment,,Treponema in maternal blood,,Syphilis test,,variable,see non-raw detection template
26,form02::hivaidsserostatus1,form02,,"HIV, by RDT",Performed at enrollment,,Lentivirus in maternal blood,,,,variable,see non-raw detection template
27,form02::historyoftuberculosis1,form02,,Tuberculosis,Asked at enrollment,,Immediate clinical history,EUPATH_0021098,,,variable,
28,form02::urinetestsuggestinginfection1,form02,,"Infection, by urinalysis",Urine test suggests infection in the mother,,Maternal urine microbiology test,,,,variable,
,,,,Maternal immediate clinical history,,,Observation,EUPATH_0000738,,,category,
29,form02::malariaduringhecurrentpregnancy1,form02,,Malaria during pregnancy,Whether the mother had malaria during the current pregnancy. Evaluated at enrollment.,,Maternal immediate clinical history,,,,variable,
30,form02::ttvaccination1,form02,,Tetanus vaccination during pregnancy,Asked at enrollment,,Maternal immediate clinical history,,,,variable,
31,form02::cardiacdisease,form02,,Maternal cardiac disease,Asked at enrollment,,Maternal immediate clinical history,,,,variable,
32,form02::diabetesmellitus,form02,,Maternal diabetes mellitus,Asked at enrollment,,Maternal immediate clinical history,,,,variable,
33,form02::ifyes,form02,,Maternal diabetes mellitus type,Asked at enrollment,,Maternal immediate clinical history,,"if diabetes, type",,variable,
34,form02::thyroiddisease,form02,,Maternal thyroid disease,Asked at enrollment,,Maternal immediate clinical history,,,,variable,
35,form02::ifyes1,form02,,Maternal thyroid disease type,Asked at enrollment,,Maternal immediate clinical history,,"if thyroid disease, type",,variable,
36,form02::otherdisorders,form02,,Other maternal disease,Asked at enrollment,,Maternal immediate clinical history,,,,variable,
37,form02::ifyesspecify,form02,,Other maternal disease type,Asked at enrollment,,Maternal immediate clinical history,,"If other disorders, specified",,variable,
38,form02::hypertensivedisordersofpregnancy,form02,,Hypertensive disorder,Asked at enrollment,,Pregnancy,EUPATH_0042004,,,variable,
39,form02::antepartumhemorrhageaph,form02,,Antepartum hemorrhage,Asked at enrollment,,Pregnancy,EUPATH_0042004,,,variable,
40,form02::ifyes2,form02,,Antepartum hemorrhage type,Asked at enrollment,,Pregnancy,EUPATH_0042004,"if antepartum hemorrhage, type",,variable,
41,form02::specify1,form02,,Other antepartum hemorrhage type,Asked at enrollment,,Pregnancy,EUPATH_0042004,other type of antepartum hemorrhage specified,,variable,
42,form02::spontaneouslabor,form02,,Spontaneous labor,Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,variable,
43,form02::spontaneousrom,form02,,Spontaneous rupture of membranes,Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,variable,
44,form02::inductionoflabor,form02,,Induced labor,Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,variable,
45,form02::ifinduced,form02,,Reason for induced labor,Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,variable,
46,form02::specify2,form02,,Other reason for induced labor,Asked at enrollment,,Labor and delivery,EUPATH_0042001,other reason for induced labor specified,,variable,
47,form02::csection,form02,,Caesarean section,Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,variable,
48,form02::ispregnancy,form02,EUPATH_0042087,Infant count,Asked at enrollment,,,,,,variable,
49,form02::singletonoriftwintripletsbabya,form02,,Fetal presentation,Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,variable,
50,form02::deliverymode,form02,EUPATH_0000581,Delivery mode,Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,variable,
51,form02::iftwintripletsbabyb,form02,,"Fetal presentation, 2",Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,variable,
52,form02::deliverymode1,form02,,"Delivery mode, 2",Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,variable,
53,form02::iftripletsbabyc,form02,,"Fetal presentation, 3",Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,variable,
54,form02::deliverymode2,form02,,"Delivery mode, 3",Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,variable,
55,form02::other4presentation,form02,,"Fetal presentation, 4",Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,variable,
56,form02::deliverymode3,form02,,"Delivery mode, 4",Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,variable,
57,form02::dateandtimeofdeliveryifmultiplebirth,form02,EUPATH_0042043,Delivery date,Asked at enrollment,,,,,,"variable, derived",
57,form02::dateandtimeofdeliveryifmultiplebirth,form02,EUPATH_0042061,Delivery time,Asked at enrollment,,,,,,"variable, derived",
,,,,Hypertensive disorders type,Hypertensive disorders during pregnancy. Asked at enrollment,,Pregnancy,EUPATH_0042004,,,multifilter,
58,form02::preeclampsia,form02,,Preeclampsia,Asked at enrollment,,Hypertensive disorders type,,hypertensive disorders of pregnancy,,value,
59,form02::eclampsia,form02,,Eclampsia,Asked at enrollment,,Hypertensive disorders type,,hypertensive disorders of pregnancy,,value,
60,form02::superimposedpreeclampsia,form02,,Superimposed preeclampsia,Asked at enrollment,,Hypertensive disorders type,,hypertensive disorders of pregnancy,,value,
61,form02::chronichypertension,form02,,Chronic hypertension,Asked at enrollment,,Hypertensive disorders type,,hypertensive disorders of pregnancy,,value,
62,form02::dontknow,form02,,Don't know,Asked at enrollment,,Hypertensive disorders type,,hypertensive disorders of pregnancy,,value,
63,form02::n32chorioamnionitis,form02,,Antepartum chorioamnionitis,Asked at enrollment,,Pregnancy,EUPATH_0042004,,,variable,
64,form02::dateandtimeofdeliveryifmultiplebirthrecordtimeofsecond,form02,,"Delivery date, 2",Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,"variable, derived",
64,form02::dateandtimeofdeliveryifmultiplebirthrecordtimeofsecond,form02,,"Delivery time, 2",Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,"variable, derived",
,,,,Reason for cesarean section,Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,multifilter,
65,form02::fetaldistress,form02,,Fetal distress,Asked at enrollment,,Reason for cesarean section,,reason for c-section,,value,
66,form02::iugrsga,form02,,Intrauterine growth restriction or small for gestational age,IUGR/SGA. Asked at enrollment,,Reason for cesarean section,,reason for c-section,,value,
67,form02::preeclampsiaeclampsia,form02,,Preeclampsia or eclampsia,Asked at enrollment,,Reason for cesarean section,,reason for c-section,,value,
68,form02::cordprolapse1,form02,,Cord prolapsed,Asked at enrollment,,Reason for cesarean section,,reason for c-section,,value,
69,form02::priorcesereansection,form02,,Prior cesarean section,Asked at enrollment,,Reason for cesarean section,,reason for c-section,,value,
70,form02::macrosomia,form02,,Macrosomia,Asked at enrollment,,Reason for cesarean section,,reason for c-section,,value,
71,form02::breech,form02,,Breech,Asked at enrollment,,Reason for cesarean section,,reason for c-section,,value,
72,form02::multiplepregnancy,form02,,Multiple pregnancy,Asked at enrollment,,Reason for cesarean section,,reason for c-section,,value,
73,form02::prolongedorobstructedlabor,form02,,Prolonged or obstructed labor,Asked at enrollment,,Reason for cesarean section,,reason for c-section,,value,
74,form02::electivecesareansection,form02,,Elective cesarean section,Asked at enrollment,,Reason for cesarean section,,reason for c-section,,value,
75,form02::other,form02,,Other,Asked at enrollment,,Reason for cesarean section,,reason for c-section,,value,
76,form02::specify3,form02,,Other reason for cesarean section,Asked at enrollment,,Labor and delivery,EUPATH_0042001,other reason for c-section specified,,variable,
77,form02::dontknow3,form02,,Don't know,Asked at enrollment,,Reason for cesarean section,,reason for c-section,,value,
78,form02::iflaboroveralldurationinhoursandminutes,form02,,Delivery duration,Asked at enrollment,,Labor and delivery,EUPATH_0042001,hours of labor,,"variable, derived",
79,form02::overallmin,form02,,Delivery duration,Asked at enrollment,,Labor and delivery,EUPATH_0042001,min of labor,,"variable, derived",
80,form02::durationofruptureofmembraneinhoursandminutes,form02,,Ruptured membranes duration,Asked at enrollment,,Labor and delivery,EUPATH_0042001,How long from rupture of membranes to birth,,"variable, derived",
81,form02::durationofrupturemin,form02,,Ruptured membranes duration,Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,"variable, derived",
82,form02::diddeliveryoccurduring,form02,,Delivery timing,Asked at enrollment,,Labor and delivery,EUPATH_0042001,"Whether delivery occurred during working hours (8am-5pm weekdays) or doctor duty hours (after 5 pm, holidays, weekends)",,variable,
83,form02::deliveryattendant,form02,,Senior attendant at delivery,Most senior care giver present at delivery. Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,variable,
,,,HP_0001787,Delivery complications,Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,multifilter,
84,form02::maternalfeverpriortodelivery,form02,,Maternal fever prior to delivery,Asked at enrollment,,Delivery complications,HP_0001787,,,value,
85,form02::cordprolapse,form02,,Cord prolapse,Asked at enrollment,,Delivery complications,HP_0001787,,,value,
86,form02::ruptureduterus,form02,,Uterine rupture,Asked at enrollment,,Delivery complications,HP_0001787,,,value,
87,form02::n47other,form02,,Other,Asked at enrollment,,Delivery complications,HP_0001787,,,value,
88,form02::ifyesspecify1,form02,EUPATH_0042099,Other delivery complication,Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,variable,
89,form02::intrapartumfhrmonitoring,form02,,Intrapartum fetal heart rate monitoring,Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,variable,
90,form02::ifyes3,form02,,Intrapartum fetal heart rate monitoring type,Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,variable,
91,form02::wasbabyresuscitatedwithbagandmask,form02,,Bag and mask resuscitation,Whether infant was resuscitated with a bag and mask. Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,variable,
92,form02::antibiotics,form02,,Antibiotics before delivery,Asked at enrollment,,Pregnancy,EUPATH_0042004,,,variable,
,,,,Antibiotics before delivery indication,Asked at enrollment,,Pregnancy,EUPATH_0042004,,,multifilter,
93,form02::prom,form02,,Prelabor rupture of membranes,PROM. Asked at enrollment,,Antibiotics before delivery indication,,Reason antibiotics given,,value,
94,form02::chorioamnionitis,form02,,Chorioamnionitis,Asked at enrollment,,Antibiotics before delivery indication,,Reason antibiotics given,,value,
95,form02::maternalurinarytractinfection,form02,,Maternal urinary tract infection,Asked at enrollment,,Antibiotics before delivery indication,,Reason antibiotics given,,value,
96,form02::prophylaxisforcsection,form02,,Cesarean section prophylaxis,Asked at enrollment,,Antibiotics before delivery indication,,Reason antibiotics given,,value,
97,form02::othermaternalinfection1,form02,,Other maternal infection,Asked at enrollment,,Antibiotics before delivery indication,,Reason antibiotics given,,value,
98,form02::ifyesspecify2,form02,,Other maternal infection,Asked at enrollment,,Pregnancy,EUPATH_0042001,Other reason antibiotics given specified,,variable,
,,,,Medications before delivery,Dexamethasone given specifically for fetal lung maturation. Other medications asked about more generally. Asked at enrollment,,Pregnancy,EUPATH_0042001,,,multifilter,
99,form02::dexamethasonegivenforfetallungmaturation,form02,,Dexamethasone,Dexamethasone given for fetal lung maturation. Asked at enrollment,,Medications before delivery,,,,value,
100,form02::ifyesnumberofdoses,form02,,Dexamethasone doses (count),Asked at enrollment,,Pregnancy,EUPATH_0042001,,,variable,
101,form02::n512ifyestimefromthelastdoseofsteroidtodelivery,form02,,Last steroid dose to delivery duration (days),Asked at enrollment,,Pregnancy,EUPATH_0042001,,,"variable, derived",
102,form02::hrs,form02,,Last steroid dose to delivery duration (days),Asked at enrollment,,Pregnancy,EUPATH_0042001,,,"variable, derived",
104,form02::magnesiumsulfate,form02,,Magnesium sulfate,Asked at enrollment,,Medications before delivery,,,,value,
105,form02::diazepam,form02,,Diazepam,Asked at enrollment,,Medications before delivery,,,,value,
106,form02::pethidine,form02,,Pethidine,Asked at enrollment,,Medications before delivery,,,,value,
107,form02::othermedication,form02,,Other,Asked at enrollment,,Medications before delivery,,,,value,
108,form02::ifotherspecify,form02,,Other medications before delivery,Asked at enrollment,,Pregnancy,EUPATH_0042001,,,variable,
112,form02::dateandtimeofdeliveryifmultiplebirthrecordtimeofthird,form02,,"Delivery date, 2",Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,"variable, derived",
113,form02::dateandtimeofdeliveryifmultiplebirthrecordtimeoffourth,form02,,"Delivery date, 2",Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,"variable, derived",
112,form02::dateandtimeofdeliveryifmultiplebirthrecordtimeofthird,form02,,"Delivery time, 2",Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,"variable, derived",
113,form02::dateandtimeofdeliveryifmultiplebirthrecordtimeoffourth,form02,,"Delivery time, 2",Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,"variable, derived",
115,form02::apgarscoreofsingletonbabya1min,form02,,"Apgar score, 1 min",Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,variable,
116,form02::babya5min,form02,,"Apgar score, 5 min",Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,variable,
117,form02::ifmultiplerecordapgarofbabyb1min,form02,,"Apgar score, 1 min, 2",Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,variable,
118,form02::babyb5min,form02,,"Apgar score, 5 min, 2",Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,variable,
119,form02::babyc1min,form02,,"Apgar score, 1 min, 3",Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,variable,
120,form02::babyc5min,form02,,"Apgar score, 5 min, 3",Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,variable,
121,form02::babyd1min,form02,,"Apgar score, 1 min, 4",Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,variable,
122,form02::babyd5min,form02,,"Apgar score, 5 min, 4",Asked at enrollment,,Labor and delivery,EUPATH_0042001,,,variable,
5,form03a::dateofbirth,form03a,EFO_0004950,Birth date,,,,,,,variable,
6,form03a::timeofbirth,form03a,,Birth time,,,Demographics,EUPATH_0010981,,,variable,
7,form03a::infantsex,form03a,PATO_0000047,Sex,,,,,,,variable,
8,form03a::birthweightingrams,form03a,EFO_0004344,Birth weight (kg),,,,,,,variable,
9,form03a::birthplace,form03a,EUPATH_0012417,Birth place,,,,,,,variable,
10,form03a::hospname,form03a,,"Birth place, specified",,,Demographics,EUPATH_0010981,,,variable,
11,form03a::specify,form03a,,"Birth place, specified",,,Demographics,EUPATH_0010981,,,variable,
12,form03a::gottketana,form03a,ENVO_01000773,Village,,,,,,,variable,
14,form03a::dateofexam,form03a,EUPATH_0004991,Observation date,,,,,,,variable,
15,form03a::timeofexam,form03a,EUPATH_0023052,Observation time,,,,,,,variable,
16,form03a::hrs,form03a,,Age (hours),Asked at enrollment,,Observation,EUPATH_0000738,Postnatal age at exam in hours (if less than 72),,variable,
17,form03a::days,form03a,EUPATH_0000579,Age (days),Age at exam in days if more than 3 days old,,,,Postnatal age at exam in days (if >3 days),,variable,
18,form03a::respiratoryrate,form03a,CMO_0000289,Respiratory rate (breaths/min),,,,,,,variable,
19,form03a::apicalheartrate,form03a,EFO_0004326,Heart rate (bpm),Apical heart rate,,,,,,variable,
20,form03a::temperature,form03a,EUPATH_0000110,Temperature (C),,,,,,,variable,
21,form03a::weightatexam,form03a,EUPATH_0000732,Weight (kg),,,,,,,variable,
22,form03a::hlength,form03a,EUPATH_0010075,Height (cm),,,,,,,variable,
23,form03a::headcircumference,form03a,EUPATH_0000683,Head circumference (cm),,,,,,,variable,
24,form03a::levelofconsciousness,form03a,,Consciousness level,,,Physical examination,OGMS_0000083,,,variable,
25,form03a::movementoractivity,form03a,,Activity level,,,Physical examination,OGMS_0000083,,,variable,
26,form03a::dysmorphicfeatures,form03a,,Dysmorphic features,,,Physical examination,OGMS_0000083,,,variable,
29,form03a::azone,form03a,NCIT_C43428,Zone,A zone is the 2nd-level administrative division in Ethiopia. Further subdivided into districts (woreda).,,Geographic location,GAZ_00000448,,,variable,
30,form03a::townorworeda,form03a,,Town or district,"Town or woreda, which is the 3rd-level administrative division in Ethiopia. Further subdivided into wards (kebele, here labeled as ""Subdistrict"").",,Geographic location,GAZ_00000448,,,variable,
31,form03a::kebele,form03a,EUPATH_0026002,Subdistrict,"A kebele, or ward, is the smallest administrative unit of Ethiopia. Consists of >500 families, generally 3,500-4,000 people",,Geographic location,GAZ_00000448,,,variable,
,,,EUPATH_0041001,Abnormal physical exam,,,,,,,multifilter,
38,form03a::skull,form03a,,Skull,,,Abnormal physical exam,EUPATH_0041001,,,value,
39,form03a::face,form03a,,Face,,,Abnormal physical exam,EUPATH_0041001,,,value,
40,form03a::eye,form03a,,Eyes,,,Abnormal physical exam,EUPATH_0041001,,,value,
41,form03a::nose,form03a,,Nose,,,Abnormal physical exam,EUPATH_0041001,,,value,
42,form03a::ears,form03a,,Ears,,,Abnormal physical exam,EUPATH_0041001,,,value,
43,form03a::mouth,form03a,,Mouth,,,Abnormal physical exam,EUPATH_0041001,,,value,
44,form03a::neck,form03a,,Neck,,,Abnormal physical exam,EUPATH_0041001,,,value,
45,form03a::respiratorysystem,form03a,EUPATH_0041143,Pulmonary,,,Abnormal physical exam,EUPATH_0041001,,,value,
46,form03a::cardiovascularsystem,form03a,EUPATH_0041099,Cardiac,,,Abnormal physical exam,EUPATH_0041001,,,value,
47,form03a::abdomen,form03a,EUPATH_0041093,Abdominal,,,Abnormal physical exam,EUPATH_0041001,,,value,
48,form03a::genitourinarysystem,form03a,,Genitourinary,Only assessed for infants who were healthy when discharged,,Abnormal physical exam,EUPATH_0041001,,,value,
49,form03a::skin,form03a,,Skin,,,Abnormal physical exam,EUPATH_0041001,,,value,
50,form03a::umbilicalstump,form03a,,Umbilical stump,,,Abnormal physical exam,EUPATH_0041001,,,value,
51,form03a::musculoskeletalsystem,form03a,,Musculoskeletal,,,Abnormal physical exam,EUPATH_0041001,,,value,
52,form03a::neurologicalsystemincdhxorcurrentseizures,form03a,,Neurological,,,Abnormal physical exam,EUPATH_0041001,,,value,
53,form03a::reflexesappropriateforage,form03a,,Reflexes,,,Abnormal physical exam,EUPATH_0041001,,,value,
57,form03a::specifyanyabnormalfindings,form03a,EUPATH_0041088,Other exam findings,,,Physical examination,OGMS_0000083,,,variable,
5,form03b::dateofbirth,form03b,EFO_0004950,Birth date,,,,,,,variable,
6,form03b::timeofbirth,form03b,,Birth time,,,Demographics,EUPATH_0010981,,,variable,
7,form03b::infantsex,form03b,PATO_0000047,Sex,,,,,,,variable,
8,form03b::birthweightingrams,form03b,EFO_0004344,Birth weight (kg),,,,,,,variable,
9,form03b::birthplace,form03b,EUPATH_0012417,Birth place,,,,,,,variable,
10,form03b::hospname,form03b,,"Birth place, specified",,,Demographics,EUPATH_0010981,,,variable,
11,form03b::specify,form03b,,"Birth place, specified",,,Demographics,EUPATH_0010981,,,variable,
12,form03b::gottketana,form03b,ENVO_01000773,Village,,,,,,,variable,
13,form03b::townorworeda,form03b,,Town or district,"Town or woreda, which is the 3rd-level administrative division in Ethiopia. Further subdivided into wards (kebele, here labeled as ""Subdistrict"").",,Geographic location,GAZ_00000448,,,variable,
17,form03b::specify1,form03b,,Other reason brought to NICU,,,Hospitalization,EUPATH_0000308,Other main reason baby came to NICU specified,,variable,
18,form03b::wasbreathingnormal,form03b,EUPATH_0032057,"Difficulty breathing, caregiver report",Assessed by parents or caregiver for infants who were brought to the NICU from home or transferred from another facility,,,,,,variable,
19,form03b::wasinfantabletofeed,form03b,EUPATH_0033263,"Unable to eat, caregiver report",Assessed by parents or caregiver for infants who were brought to the NICU from home or transferred from another facility,,,,,,variable,
20,form03b::wasinfantvomiting,form03b,EUPATH_0010528,"Vomiting, caregiver report",Assessed by parents or caregiver for infants who were brought to the NICU from home or transferred from another facility,,,,,,variable,
21,form03b::ifvomiting,form03b,,"Vomit type, caregiver report",Assessed by parents or caregiver for infants who were brought to the NICU from home or transferred from another facility,,Symptoms by caregiver report,EUPATH_0011878,"if vomiting, what vomit looked like",,variable,
22,form03b::didinfanthavenormaltemperature,form03b,,"Abnormal temperature, caregiver report",Assessed by parents or caregiver for infants who were brought to the NICU from home or transferred from another facility,,Symptoms by caregiver report,EUPATH_0011878,,,variable,
23,form03b::ifnospecify,form03b,,"Abnormal temperature type, caregiver report",Assessed by parents or caregiver for infants who were brought to the NICU from home or transferred from another facility,,Symptoms by caregiver report,EUPATH_0011878,"If not normal temperature, whether hot or cold",,variable,
24,form03b::werebodymovementsnormal,form03b,,"Abnormal movements, caregiver report",Assessed by parents or caregiver for infants who were brought to the NICU from home or transferred from another facility,,Symptoms by caregiver report,EUPATH_0011878,,,variable,
25,form03b::wasbabyscolornormal,form03b,,"Abnormal color, caregiver report",Assessed by parents or caregiver for infants who were brought to the NICU from home or transferred from another facility,,Symptoms by caregiver report,EUPATH_0011878,,,variable,
26,form03b::wastheabdomennormal,form03b,,"Abnormal abdomen, caregiver report",Assessed by parents or caregiver for infants who were brought to the NICU from home or transferred from another facility,,Symptoms by caregiver report,EUPATH_0011878,,,variable,
27,form03b::wastheumbilicusnormal,form03b,,"Abnormal umbilicus, caregiver report",Assessed by parents or caregiver for infants who were brought to the NICU from home or transferred from another facility,,Symptoms by caregiver report,EUPATH_0011878,,,variable,
28,form03b::ifnowastherebleeding,form03b,,"Umbilicus bleeding, caregiver report",Assessed by parents or caregiver for infants who were brought to the NICU from home or transferred from another facility,,Symptoms by caregiver report,EUPATH_0011878,"if umbilicus not normal, was there bleeding",,variable,
29,form03b::ifnopusdischargeorexcessivesecretions,form03b,,"Umbilicus pus, discharge, or excessive secretions, caregiver report",Assessed by parents or caregiver for infants who were brought to the NICU from home or transferred from another facility,,Symptoms by caregiver report,EUPATH_0011878,"if umbilicus not normal, was there pus, discharge, or excessive secretions",,variable,
30,form03b::ifnorednessofskinaroundtheumbilicus,form03b,,"Redness around umbilicus, caregiver report",Assessed by parents or caregiver for infants who were brought to the NICU from home or transferred from another facility,,Symptoms by caregiver report,EUPATH_0011878,"if umbilicus not normal, was there redness around it",,variable,
31,form03b::azone,form03b,NCIT_C43428,Zone,A zone is the 2nd-level administrative division in Ethiopia. Further subdivided into districts (woreda).,,Geographic location,GAZ_00000448,,,variable,
,,,,Reason brought to NICU,,,Hospitalization,EUPATH_0000308,,,multifilter,
