variable	IRI	values	mappedTerms
f4a_drh_breath	EUPATH_0015072	NA	NA
f4a_drh_consc	EUPATH_0015068	0	No
f4a_drh_consc	EUPATH_0015068	1	Yes
f4a_drh_consc	EUPATH_0015068	9	Don't know
f4a_drh_consc	EUPATH_0015068	NA	NA
f4a_drh_conv	EUPATH_0015073	0	No
f4a_drh_conv	EUPATH_0015073	1	Yes
f4a_drh_conv	EUPATH_0015073	NA	NA
f4a_drh_cough	EUPATH_0015071	0	No
f4a_drh_cough	EUPATH_0015071	1	Yes
f4a_drh_cough	EUPATH_0015071	9	Don't know
f4a_drh_cough	EUPATH_0015071	NA	NA
f4a_drh_fever	EUPATH_0015065	0	No
f4a_drh_fever	EUPATH_0015065	1	Yes
f4a_drh_fever	EUPATH_0015065	9	Don't know
f4a_drh_fever	EUPATH_0015065	NA	NA
f4a_drh_lessdrink	EUPATH_0015062	0	No
f4a_drh_lessdrink	EUPATH_0015062	1	Yes
f4a_drh_lessdrink	EUPATH_0015062	9	Don't know
f4a_drh_lessdrink	EUPATH_0015062	NA	NA
f4a_drh_lethrgy	EUPATH_0015067	0	No
f4a_drh_lethrgy	EUPATH_0015067	1	Yes
f4a_drh_lethrgy	EUPATH_0015067	9	Don't know
f4a_drh_lethrgy	EUPATH_0015067	NA	NA
f4a_drh_prolapse	EUPATH_0015070	0	No
f4a_drh_prolapse	EUPATH_0015070	1	Yes
f4a_drh_prolapse	EUPATH_0015070	9	Don't know
f4a_drh_prolapse	EUPATH_0015070	NA	NA
f4a_drh_restless	EUPATH_0015066	0	No
f4a_drh_restless	EUPATH_0015066	1	Yes
f4a_drh_restless	EUPATH_0015066	9	Don't know
f4a_drh_restless	EUPATH_0015066	NA	NA
f4a_drh_stools	EUPATH_0010239	1	Simple watery
f4a_drh_stools	EUPATH_0010239	2	Rice watery
f4a_drh_stools	EUPATH_0010239	3	Sticky/mucoid
f4a_drh_stools	EUPATH_0010239	4	Bloody
f4a_drh_stools	EUPATH_0010239	NA	NA
f4a_drh_strain	EUPATH_0015069	0	No
f4a_drh_strain	EUPATH_0015069	1	Yes
f4a_drh_strain	EUPATH_0015069	9	Don't know
f4a_drh_strain	EUPATH_0015069	NA	NA
f4a_drh_thirst	EUPATH_0015061	0	No
f4a_drh_thirst	EUPATH_0015061	1	Yes
f4a_drh_thirst	EUPATH_0015061	9	Don't know
f4a_drh_thirst	EUPATH_0015061	NA	NA
f4a_drh_undrink	EUPATH_0015063	0	No
f4a_drh_undrink	EUPATH_0015063	1	Yes
f4a_drh_undrink	EUPATH_0015063	9	Don't know
f4a_drh_undrink	EUPATH_0015063	NA	NA
f4a_drh_vomit	EUPATH_0015060	0	No
f4a_drh_vomit	EUPATH_0015060	1	Yes
f4a_drh_vomit	EUPATH_0015060	9	Don't know
f4a_drh_vomit	EUPATH_0015060	NA	NA
f4a_fac_waste	EUPATH_0000335	4	Pour flush toilet
f4a_fac_waste	EUPATH_0000335	1	Flush toilet
f4a_fac_waste	EUPATH_0000335	2	Ventilated improved pit (VIP) latrine
f4a_fac_waste	EUPATH_0000335	3	Traditional pit toilet
f4a_fac_waste	EUPATH_0000335	5	No facility: bush/field/ground/stream/open sewer
f4a_fac_waste	EUPATH_0000335	6	"Other, specify"
f4a_fac_waste	EUPATH_0000335	7	Ventilated improved pit with water seal
f4a_fac_waste	EUPATH_0000335	NA	NA
f4a_fetch_water	EUPATH_0010234	0	No
f4a_fetch_water	EUPATH_0010234	1	Yes
f4a_fetch_water	EUPATH_0010234	NA	NA
f4a_floor	EUPATH_0000006	1	Natural floor; earth/sand
f4a_floor	EUPATH_0000006	2	Natural floor; dung
f4a_floor	EUPATH_0000006	3	Rudimentary floor; wood planks
f4a_floor	EUPATH_0000006	4	Rudimentary floor; palm/bamboo
f4a_floor	EUPATH_0000006	6	Finished floor; vinyl of asphalt strips
f4a_floor	EUPATH_0000006	7	Finished floor; ceramic tile
f4a_floor	EUPATH_0000006	8	Finished floor; cement
f4a_floor	EUPATH_0000006	9	Finished floor; carpet
f4a_floor	EUPATH_0000006	10	"Other, specify"
f4a_floor	EUPATH_0000006	NA	NA
f4a_max_stools	EUPATH_0010240	1	Less than or equal to 6 times per day
f4a_max_stools	EUPATH_0010240	2	7 to 10 times per day
f4a_max_stools	EUPATH_0010240	3	More than 10 times per day
f4a_max_stools	EUPATH_0010240	NA	NA
f4a_mom_live	EUPATH_0010127	1	Living in household
f4a_mom_live	EUPATH_0010127	2	Lives outside of household
f4a_mom_live	EUPATH_0010127	3	Abroad
f4a_mom_live	EUPATH_0010127	4	Whereabouts unknown
f4a_mom_live	EUPATH_0010127	5	Died
f4a_mom_live	EUPATH_0010127	NA	NA
f4a_ms_water	EUPATH_0010099	1	Piped into house
f4a_ms_water	EUPATH_0010099	2	Piped into yard
f4a_ms_water	EUPATH_0010099	3	Public tap
f4a_ms_water	EUPATH_0010099	4	Open well in house or yard
f4a_ms_water	EUPATH_0010099	5	Open public well
f4a_ms_water	EUPATH_0010099	6	Pond or lake
f4a_ms_water	EUPATH_0010099	7	Deep tube well
f4a_ms_water	EUPATH_0010099	8	Shallow tube well
f4a_ms_water	EUPATH_0010099	9	Covered well in house or yard
f4a_ms_water	EUPATH_0010099	10	Covered public well
f4a_ms_water	EUPATH_0010099	11	Protected spring
f4a_ms_water	EUPATH_0010099	12	Unprotected spring
f4a_ms_water	EUPATH_0010099	13	River or stream
f4a_ms_water	EUPATH_0010099	14	Dam or earth pan
f4a_ms_water	EUPATH_0010099	15	Rainwater
f4a_ms_water	EUPATH_0010099	16	"Bought (tank, bottles, etc.)"
f4a_ms_water	EUPATH_0010099	17	Bore hole
f4a_ms_water	EUPATH_0010099	18	Other
f4a_ms_water	EUPATH_0010099	NA	NA
f4a_offr_drink	EUPATH_0010241	1	More than usual
f4a_offr_drink	EUPATH_0010241	2	Usual
f4a_offr_drink	EUPATH_0010241	3	Somewhat less than usual
f4a_offr_drink	EUPATH_0010241	4	Much less than usual
f4a_offr_drink	EUPATH_0010241	5	Nothing to drink
f4a_offr_drink	EUPATH_0010241	NA	NA
f4a_offr_eat	EUPATH_0010177	1	More than usual
f4a_offr_eat	EUPATH_0010177	2	Usual
f4a_offr_eat	EUPATH_0010177	3	Somewhat less than usual
f4a_offr_eat	EUPATH_0010177	4	Much less than usual
f4a_offr_eat	EUPATH_0010177	5	Nothing to eat
f4a_offr_eat	EUPATH_0010177	NA	NA
f4a_othrlose_earn	EUPATH_0010275	0	No
f4a_othrlose_earn	EUPATH_0010275	1	Yes
f4a_othrlose_earn	EUPATH_0010275	9	Don't know
f4a_othrlose_earn	EUPATH_0010275	NA	NA
f4a_prim_schl	EUPATH_0010129	1	No formal schooling
f4a_prim_schl	EUPATH_0010129	2	Less than primary
f4a_prim_schl	EUPATH_0010129	3	Completed primary
f4a_prim_schl	EUPATH_0010129	4	Completed secondary
f4a_prim_schl	EUPATH_0010129	5	Post-secondary
f4a_prim_schl	EUPATH_0010129	6	Religious education only
f4a_prim_schl	EUPATH_0010129	7	Don't know
f4a_prim_schl	EUPATH_0010129	NA	NA
f4a_primcare	EUPATH_0000720	1	Mother
f4a_primcare	EUPATH_0000720	2	Father
f4a_primcare	EUPATH_0000720	3	Sister
f4a_primcare	EUPATH_0000720	4	Brother
f4a_primcare	EUPATH_0000720	5	Grandmother
f4a_primcare	EUPATH_0000720	6	Grandfather
f4a_primcare	EUPATH_0000720	7	Aunt
f4a_primcare	EUPATH_0000720	8	Uncle
f4a_primcare	EUPATH_0000720	9	No relation
f4a_primcare	EUPATH_0000720	10	"Other relation by blood or marriage, specify"
f4a_primcare	EUPATH_0000720	NA	Control
f4a_relationship	EUPATH_0010123	1	Mother
f4a_relationship	EUPATH_0010123	2	Father
f4a_relationship	EUPATH_0010123	3	Sister
f4a_relationship	EUPATH_0010123	4	Brother
f4a_relationship	EUPATH_0010123	5	Grandmother
f4a_relationship	EUPATH_0010123	6	Grandfather
f4a_relationship	EUPATH_0010123	7	Aunt
f4a_relationship	EUPATH_0010123	8	Uncle
f4a_relationship	EUPATH_0010123	9	No relation
f4a_relationship	EUPATH_0010123	10	"Other relation by blood or marriage, specify"
f4a_relationship	EUPATH_0010123	NA	NA
f4a_seek_ctr1_code	EUPATH_0010157	NA	NA
f4a_seek_ctr1_shc	EUPATH_0010159	0	Not sentinel health center
f4a_seek_ctr1_shc	EUPATH_0010159	1	Sentinel health center
f4a_seek_ctr1_shc	EUPATH_0010159	NA	NA
f4a_seek_ctr2_code	EUPATH_0010163	NA	NA
f4a_seek_ctr2_shc	EUPATH_0010165	0	Not sentinel health center
f4a_seek_ctr2_shc	EUPATH_0010165	1	Sentinel health center
f4a_seek_ctr2_shc	EUPATH_0010165	NA	NA
f4a_seek_ctr3_code	EUPATH_0010169	NA	NA
f4a_seek_ctr3_shc	EUPATH_0010171	1	Sentinel health center
f4a_seek_ctr3_shc	EUPATH_0010171	NA	NA
f4a_seek_outside	EUPATH_0015092	0	No
f4a_seek_outside	EUPATH_0015092	1	Yes
f4a_time_water	EUPATH_0000726	0	NA
f4a_time_water	EUPATH_0000726	1	Less than 15 minutes
f4a_time_water	EUPATH_0000726	2	15 to 29 minutes
f4a_time_water	EUPATH_0000726	3	30 to 59 minutes
f4a_time_water	EUPATH_0000726	4	1 to 3 hours
f4a_time_water	EUPATH_0000726	5	More than 3 hours
f4a_time_water	EUPATH_0000726	NA	NA
f4a_trnsport_time	EUPATH_0010262	1	Less than 15 minutes
f4a_trnsport_time	EUPATH_0010262	2	15 to 29 minutes
f4a_trnsport_time	EUPATH_0010262	3	30 to 59 minutes
f4a_trnsport_time	EUPATH_0010262	4	1 to 4 hours
f4a_trnsport_time	EUPATH_0010262	5	More than 4 hours
f4a_trnsport_time	EUPATH_0010262	6	Don't know
f4a_trnsport_time	EUPATH_0010262	NA	NA
f4a_trt_method	EUPATH_0000700	0	Unknown
f4a_trt_method	EUPATH_0000700	3	"Chlorine liquid, powder, or tablets"
f4a_trt_method	EUPATH_0000700	1	Leave water in sun to disinfect
f4a_trt_method	EUPATH_0000700	2	Filter through a cloth
f4a_trt_method	EUPATH_0000700	4	Boil
f4a_trt_method	EUPATH_0000700	5	Ceramic or other filter
f4a_trt_method	EUPATH_0000700	6	Alum
f4a_trt_method	EUPATH_0000700	7	Other chemical or additive
f4a_trt_method	EUPATH_0000700	NA	NA
f4a_wash_never	EUPATH_0015057	0	No
f4a_wash_never	EUPATH_0015057	NA	NA
f4a_wash_othr	EUPATH_0015058	1	Yes
f4a_wash_othr	EUPATH_0015058	NA	NA
f4a_wash_use	EUPATH_0000681	1	Water only
f4a_wash_use	EUPATH_0000681	2	Water and soap
f4a_wash_use	EUPATH_0000681	3	Water and ashes
f4a_wash_use	EUPATH_0000681	4	Water and mud or clay
f4a_wash_use	EUPATH_0000681	NA	NA
f4a_water_avail	EUPATH_0000730	1	All the time
f4a_water_avail	EUPATH_0000730	2	Several hours every day
f4a_water_avail	EUPATH_0000730	3	A few times per week
f4a_water_avail	EUPATH_0000730	4	Less frequent than a few times per week
f4a_water_avail	EUPATH_0000730	NA	NA
f4b_abn_hair	EUPATH_0015118	0	Absent
f4b_abn_hair	EUPATH_0015118	1	Present
f4b_abn_hair	EUPATH_0015118	NA	NA
f4b_bipedal	EUPATH_0015117	0	Absent
f4b_bipedal	EUPATH_0015117	1	Present
f4b_bipedal	EUPATH_0015117	NA	NA
f4b_child_rehyd	EUPATH_0010297	0	No rehydration required
f4b_child_rehyd	EUPATH_0010297	1	"Yes, oral rehydration"
f4b_child_rehyd	EUPATH_0010297	2	"Yes, IV rehydration"
f4b_child_rehyd	EUPATH_0010297	NA	NA
f4b_eyes	EUPATH_0010291	0	Normal
f4b_eyes	EUPATH_0010291	1	Sunken
f4b_eyes	EUPATH_0010291	NA	NA
f4b_find_mouth	EUPATH_0010292	0	Normal
f4b_find_mouth	EUPATH_0010292	1	Somewhat dry
f4b_find_mouth	EUPATH_0010292	2	Very dry
f4b_find_mouth	EUPATH_0010292	NA	NA
f4b_mental	EUPATH_0010294	0	Normal
f4b_mental	EUPATH_0010294	1	"Restless, irritable"
f4b_mental	EUPATH_0010294	2	Lethargic/unconscious
f4b_mental	EUPATH_0010294	NA	NA
f4b_mouth	EUPATH_0010292	0	Normal
f4b_mouth	EUPATH_0010292	1	Somewhat dry
f4b_mouth	EUPATH_0010292	2	Very dry
f4b_mouth	EUPATH_0010292	NA	NA
f4b_nature_stool	EUPATH_0010296	0	Loose/liquid stool without blood
f4b_nature_stool	EUPATH_0010296	1	Loose/liquid stool with blood
f4b_nature_stool	EUPATH_0010296	2	Normal
f4b_nature_stool	EUPATH_0010296	NA	NA
f4b_outcome	EUPATH_0010353	1	Resolved or healthy
f4b_outcome	EUPATH_0010353	2	Improved
f4b_outcome	EUPATH_0010353	3	No better/unchanged
f4b_outcome	EUPATH_0010353	4	Worse
f4b_outcome	EUPATH_0010353	5	Died in hsopital/health center
f4b_outcome	EUPATH_0010353	6	Unknown/lost to follow up
f4b_outcome	EUPATH_0010353	NA	NA
f4b_recommend	EUPATH_0010298	0	Child does not require rehydration
f4b_recommend	EUPATH_0010298	1	Yes
f4b_recommend	EUPATH_0010298	2	"No, referred to another center"
f4b_recommend	EUPATH_0010298	3	"No, parents refused"
f4b_recommend	EUPATH_0010298	4	Prescribed ORS for administration at home
f4b_recommend	EUPATH_0010298	NA	NA
f4b_rectal	EUPATH_0015116	0	Absent
f4b_rectal	EUPATH_0015116	1	Present
f4b_rectal	EUPATH_0015116	NA	NA
f4b_skin	EUPATH_0010293	0	Normal
f4b_skin	EUPATH_0010293	1	Slow return (less than 2 sec)
f4b_skin	EUPATH_0010293	2	Very slow return (more than 2 sec)
f4b_skin	EUPATH_0010293	NA	NA
f4b_skin_flaky	EUPATH_0015120	0	Absent
f4b_skin_flaky	EUPATH_0015120	1	Present
f4b_skin_flaky	EUPATH_0015120	NA	NA
f4b_skin_pinch	EUPATH_0010095	0	Normal
f4b_skin_pinch	EUPATH_0010095	1	Slow return (less than 2 sec)
f4b_skin_pinch	EUPATH_0010095	2	Very slow return (more than 2 sec)
f4b_skin_pinch	EUPATH_0010095	NA	NA
f4b_under_nutr	EUPATH_0015119	0	Absent
f4b_under_nutr	EUPATH_0015119	1	Present
f4b_under_nutr	EUPATH_0015119	NA	NA
f5_abn_hair	EUPATH_0000644	0	Absent
f5_abn_hair	EUPATH_0000644	1	Present
f5_abn_hair	EUPATH_0000644	NA	NA
f5_bipedal	EUPATH_0015254	0	Absent
f5_bipedal	EUPATH_0015254	1	Present
f5_bipedal	EUPATH_0015254	NA	NA
f5_child_feces	EUPATH_0000722	4	Pour flush latrine
f5_child_feces	EUPATH_0000722	0	Unknown
f5_child_feces	EUPATH_0000722	1	Flush toilet
f5_child_feces	EUPATH_0000722	2	Ventilated improved pit (VIP) latrine
f5_child_feces	EUPATH_0000722	3	Traditional pit toilet
f5_child_feces	EUPATH_0000722	5	Bush/field/ground/stream/open sewer (includes dumping anywhere in environment outside compound)
f5_child_feces	EUPATH_0000722	6	Other
f5_child_feces	EUPATH_0000722	7	Ventilated improved pit with water seal
f5_child_feces	EUPATH_0000722	NA	NA
f5_child_health	EUPATH_0010066	0	NA
f5_child_health	EUPATH_0010066	1	Appears healthy
f5_child_health	EUPATH_0010066	2	Health improved but not back to normal
f5_child_health	EUPATH_0010066	3	No better/unchanged
f5_child_health	EUPATH_0010066	4	Health has deteriorated
f5_child_health	EUPATH_0010066	5	Died
f5_child_health	EUPATH_0010066	NA	NA
f5_chlr_water	EUPATH_0010111	0	NA
f5_chlr_water	EUPATH_0010111	1	Positive (yellow)
f5_chlr_water	EUPATH_0010111	3	Refused test
f5_chlr_water	EUPATH_0010111	4	No water in the container
f5_chlr_water	EUPATH_0010111	NA	NA
f5_died_facility	EUPATH_0010068	NA	NA
f5_died_facility	EUPATH_0010068	601	Kumudini Hospital and Medical College
f5_died_facility	EUPATH_0010068	408	Njejra
f5_died_facility	EUPATH_0010068	445	Kisumu District Hospital
f5_died_facility	EUPATH_0010068	206	ASACODJENEKA
f5_died_facility	EUPATH_0010068	705	National Institute of Child Health Hospital (NICH)
f5_died_facility	EUPATH_0010068	401	Siaya District Hospital
f5_died_facility	EUPATH_0010068	404	Abidha
f5_died_facility	EUPATH_0010068	90	Unknown
f5_died_facility	EUPATH_0010068	104	Garawol Hospital
f5_died_facility	EUPATH_0010068	101	Basse Health Center
f5_died_facility	EUPATH_0010068	407	Lwak
f5_died_facility	EUPATH_0010068	339	Maputo Central Hospital
f5_died_facility	EUPATH_0010068	402	Bondo District Hospital
f5_died_facility	EUPATH_0010068	301	Health Center of Manhica
f5_died_facility	EUPATH_0010068	502	B.C. Roy Children Hospital
f5_died_facility	EUPATH_0010068	103	Fatoto Health Center
f5_died_facility	EUPATH_0010068	105	Demba Kunda health center
f5_facility_spec	EUPATH_0010069	0	NA
f5_facility_spec	EUPATH_0010069	kombewa district hospital.	Kombewa District Hospital
f5_facility_spec	EUPATH_0010069	kombowa sub distinict hospital	Kombowa Sub-district Hospital
f5_facility_spec	EUPATH_0010069	new mianza hospital misumi	New Mianza Hospital Misumi
f5_facility_spec	EUPATH_0010069	rabuor hospital	Rabuor Hospital
f5_house_feces	EUPATH_0000335	4	Pour flush latrine
f5_house_feces	EUPATH_0000335	0	Unknown
f5_house_feces	EUPATH_0000335	1	Flush toilet
f5_house_feces	EUPATH_0000335	2	Ventilated improved pit (VIP) latrine
f5_house_feces	EUPATH_0000335	3	Traditional pit toilet
f5_house_feces	EUPATH_0000335	5	Bush/field/ground/stream/open sewer (includes dumping anywhere in environment outside compound)
f5_house_feces	EUPATH_0000335	6	Other
f5_house_feces	EUPATH_0000335	7	Ventilated improved pit with water seal
f5_house_feces	EUPATH_0000335	NA	NA
f5_main_containcov	EUPATH_0010104	0	No
f5_main_containcov	EUPATH_0010104	1	Yes
f5_main_containcov	EUPATH_0010104	2	Mixed (covered and uncovered)
f5_main_containcov	EUPATH_0010104	NA	NA
f5_main_type	EUPATH_0010102	0	Unknown
f5_main_type	EUPATH_0010102	1	Wide-mouthed container (6cm or more across the opening)
f5_main_type	EUPATH_0010102	2	Narrow-mouthed container (less than 6cm across the opening)
f5_main_type	EUPATH_0010102	3	Mixture of wide and narrow mouthed containers
f5_main_type	EUPATH_0010102	4	Other
f5_main_type	EUPATH_0010102	NA	NA
f5_ms_water	EUPATH_0010099	0	NA
f5_ms_water	EUPATH_0010099	1	Piped into house
f5_ms_water	EUPATH_0010099	2	Piped into yard
f5_ms_water	EUPATH_0010099	3	Public tap
f5_ms_water	EUPATH_0010099	4	Open well in house or yard
f5_ms_water	EUPATH_0010099	5	Open public well
f5_ms_water	EUPATH_0010099	6	Pond or lake
f5_ms_water	EUPATH_0010099	7	Deep tube well
f5_ms_water	EUPATH_0010099	8	Shallow tube well
f5_ms_water	EUPATH_0010099	9	Covered well in house or yard
f5_ms_water	EUPATH_0010099	10	Covered public well
f5_ms_water	EUPATH_0010099	11	Protected spring
f5_ms_water	EUPATH_0010099	12	Unprotected spring
f5_ms_water	EUPATH_0010099	13	River or stream
f5_ms_water	EUPATH_0010099	14	Dam or earth pan
f5_ms_water	EUPATH_0010099	15	Rainwater
f5_ms_water	EUPATH_0010099	16	"Bought (tank, bottles, etc.)"
f5_ms_water	EUPATH_0010099	17	Bore hole
f5_ms_water	EUPATH_0010099	18	Other
f5_ms_water	EUPATH_0010099	NA	NA
f5_not_conduct	EUPATH_0010062	0	Conducted
f5_not_conduct	EUPATH_0010062	1	Child cannot be found
f5_not_conduct	EUPATH_0010062	2	Caretaker not available after 3 visits
f5_not_conduct	EUPATH_0010062	3	Caretaker refused
f5_not_conduct	EUPATH_0010062	4	Other
f5_not_conduct	EUPATH_0010062	NA	NA
f5_place_death	EUPATH_0010067	0	NA
f5_place_death	EUPATH_0010067	1	Health facility
f5_place_death	EUPATH_0010067	2	Home or elsewhere
f5_place_death	EUPATH_0010067	NA	NA
