variable	variable2	values	mappedTerm	Ordinal Value
culture_rad	culture_rad	2	Yes	
culture_result	culture_result	Bacillus Subtilis	Bacillus subtilis	
dengue_eos_chk	dengue_eos_chk	1	Positive	
dengue_eos_chk	dengue_eos_chk	2	Negative	
dengue_eos_chk	dengue_eos_chk	4	Not done	
dengue_eos_chk	dengue_eos_chk	88888	Missing	
dialysis	dialysis	1	Yes	
dialysis	dialysis	2	No	
dialysis	dialysis	99999	Unknown	
diarrhea	diarrhea	1	Yes	
diarrhea	diarrhea	2	No	
dizziness	dizziness	1	Yes	
dizziness	dizziness	2	No	
drug1_dose_eos	drug1_dose_eos	1:00 AM	1 ampule	
drug1_dose_eos	drug1_dose_eos	1:00 AM	1 ampule	
drug1_dose_eos	drug1_dose_eos	1.2 IV	1.2 IV	
drug1_dose_eos	drug1_dose_eos	10 CC 10% D	10 cc in 10% D	
drug1_dose_eos	drug1_dose_eos	10% in 10% D	10 cc in 10% D	
drug1_dose_eos	drug1_dose_eos	120mg	120 mg	
drug1_dose_eos	drug1_dose_eos	1e	1 ampule	
drug1_dose_eos	drug1_dose_eos	1gm	1 g	
drug1_dose_eos	drug1_dose_eos	2.4 mg/kg 35 mg	35 mg	
drug1_dose_eos	drug1_dose_eos	20mg	20 mg	
drug1_dose_eos	drug1_dose_eos	4.5gm	4.5 g	
drug1_dose_eos	drug1_dose_eos	40mg	40 mg	
drug1_dose_eos	drug1_dose_eos	5 CC in 10% D	5 cc in 10% D	
drug1_dose_eos	drug1_dose_eos	IV 10 in 10% D	10 cc in 10% D	
drug1_freq_eos	drug1_freq_eos	1-0-0	Once daily	
drug1_freq_eos	drug1_freq_eos	1-0-1	Twice a day	
drug1_freq_eos	drug1_freq_eos	1.5 BD	1.5 BD	
drug1_freq_eos	drug1_freq_eos	12hrs	Twice a day	
drug1_freq_eos	drug1_freq_eos	4 hrs		
drug1_freq_eos	drug1_freq_eos	4hrs TDS	Three times a day	
drug1_freq_eos	drug1_freq_eos	6 hr	Four times a day	
drug1_freq_eos	drug1_freq_eos	8 hr	Three times a day	
drug1_freq_eos	drug1_freq_eos	8 hrs	Three times a day	
drug1_freq_eos	drug1_freq_eos	8 hrs + SoS	Three times a day and as needed	
drug1_freq_eos	drug1_freq_eos	B.D	Twice a day	
drug1_freq_eos	drug1_freq_eos	BD	Twice a day	
drug1_freq_eos	drug1_freq_eos	DK	Don't know	
drug1_freq_eos	drug1_freq_eos	O.D	Once daily	
drug1_freq_eos	drug1_freq_eos	OD	Once daily	
drug1_freq_eos	drug1_freq_eos	OD 8hrs		
drug1_freq_eos	drug1_freq_eos	TDS	Three times a day	
drug1_freq_eos	drug1_freq_eos	sos	As needed	
drug1_name_eos	drug1_name_eos	1 Octreotide	Octreotide	
drug1_name_eos	drug1_name_eos	Artisunate	Artesunate	
drug1_name_eos	drug1_name_eos	CQ	Chloroquine	
drug1_name_eos	drug1_name_eos	Cefriaxone	Ceftriaxone	
drug1_name_eos	drug1_name_eos	Celriqrone		
drug1_name_eos	drug1_name_eos	Ciplox	Ciprofloxacin	
drug1_name_eos	drug1_name_eos	Metro	Metronidazole	
drug1_name_eos	drug1_name_eos	PRIMAQUINE	Primaquine	
drug1_name_eos	drug1_name_eos	Pantop	Pantoprazole	
drug1_name_eos	drug1_name_eos	Pantoprasole	Pantoprazole	
drug1_name_eos	drug1_name_eos	PCM	Paracetamol	
drug1_name_eos	drug1_name_eos	Piptaz	Piperacillin-Tazobactam	
drug1_name_eos	drug1_name_eos	Rantac	Ranitidine	
drug1_name_eos	drug1_name_eos	Falcigo	Artesunate	
drug1_name_eos	drug1_name_eos	T. BC/FA	BC/FA	
drug1_route_eos_rad	drug1_route_eos_rad	1	Oral (PO)	
drug1_route_eos_rad	drug1_route_eos_rad	3	Intravenous (IV)	
drug1_rxlen_eos	drug1_rxlen_eos	01 Day	1 day	
drug1_rxlen_eos	drug1_rxlen_eos	04 DAYS	4 days	
drug1_rxlen_eos	drug1_rxlen_eos	1 Day	1 day	
drug1_rxlen_eos	drug1_rxlen_eos	2 Days	2 days	
drug1_rxlen_eos	drug1_rxlen_eos	3 Days	3 days	
drug1_rxlen_eos	drug1_rxlen_eos	4 Days	4 days	
drug1_rxlen_eos	drug1_rxlen_eos	5 Days	5 days	
drug1_rxlen_eos	drug1_rxlen_eos	7 Days	7 days	
drug1_rxlen_eos	drug1_rxlen_eos	99	Unknown	
drug2_dose	drug2_dose	1em	1 ampule	
drug2_dose	drug2_dose	1 gm	1 g	
drug2_dose	drug2_dose	1.2gm	1.2 g	
drug2_dose	drug2_dose	120mg	120 mg	
drug2_dose	drug2_dose	15 CC 10%	15 cc in 10% D	
drug2_dose	drug2_dose	1e	1 ampule	
drug2_dose	drug2_dose	1gm	1 g	
drug2_dose	drug2_dose	2 gm	2 g	
drug2_dose	drug2_dose	2.25 gm	2.25 g	
drug2_dose	drug2_dose	40mg	40 mg	
drug2_dose	drug2_dose	5 CC in 10% D	5 cc in 10% D	
drug2_dose_eos	drug2_dose_eos	1:00 AM	1 ampule	
drug2_dose_eos	drug2_dose_eos	1:00 AM	1 ampule	
drug2_dose_eos	drug2_dose_eos	1:00 AM	1 ampule	
drug2_dose_eos	drug2_dose_eos	1 empule	1 ampule	
drug2_dose_eos	drug2_dose_eos	1 gm	1 g	
drug2_dose_eos	drug2_dose_eos	1:4 CC	1 cc	
drug2_dose_eos	drug2_dose_eos	1.2 gm	1.2 g	
drug2_dose_eos	drug2_dose_eos	1@	1 ampule	
drug2_dose_eos	drug2_dose_eos	120e	120 ampules	
drug2_dose_eos	drug2_dose_eos	120mg	120 mg	
drug2_dose_eos	drug2_dose_eos	1e	1 ampule	
drug2_dose_eos	drug2_dose_eos	1gm	1 g	
drug2_dose_eos	drug2_dose_eos	2 gm	2 g	
drug2_dose_eos	drug2_dose_eos	40 IV	40 IV	
drug2_dose_eos	drug2_dose_eos	40mg	40 mg	
drug2_dose_eos	drug2_dose_eos	8mg	8 mg	
drug2_freq	drug2_freq	1-0-1	Twice a day	
drug2_freq	drug2_freq	12 hrs	Twice a day	
drug2_freq	drug2_freq	12hourly	Twice a day	
drug2_freq	drug2_freq	12hr	Twice a day	
drug2_freq	drug2_freq	12hrs	Twice a day	
drug2_freq	drug2_freq	2 (BD)	Twice a day	
drug2_freq	drug2_freq	24hrs	Once daily	
drug2_freq	drug2_freq	4-6 hrs		
drug2_freq	drug2_freq	6 Hrs	Four times a day	
drug2_freq	drug2_freq	6 hrs	Four times a day	
drug2_freq	drug2_freq	8 hrs	Three times a day	
drug2_freq	drug2_freq	8hrs	Three times a day	
drug2_freq	drug2_freq	BD	Twice a day	
drug2_freq	drug2_freq	O.D	Once daily	
drug2_freq	drug2_freq	OD	Once daily	
drug2_freq	drug2_freq	OD 8hrs		
drug2_freq	drug2_freq	T.DS	Three times a day	
drug2_freq	drug2_freq	sos	As needed	
drug2_freq_eos	drug2_freq_eos	0-0-1	Once daily	
drug2_freq_eos	drug2_freq_eos	1 + 2hrs night		
drug2_freq_eos	drug2_freq_eos	1 - 0 - 1	Twice a day	
drug2_freq_eos	drug2_freq_eos	1-0-1	Twice a day	
drug2_freq_eos	drug2_freq_eos	10hrs	10 hrs	
drug2_freq_eos	drug2_freq_eos	12 Hourly	Twice a day	
drug2_freq_eos	drug2_freq_eos	12hr	Twice a day	
drug2_freq_eos	drug2_freq_eos	12hrs	Twice a day	
drug2_freq_eos	drug2_freq_eos	8hrs	Three times a day	
drug2_freq_eos	drug2_freq_eos	B.D	Twice a day	
drug2_freq_eos	drug2_freq_eos	BD	Twice a day	
drug2_freq_eos	drug2_freq_eos	DK	Don't know	
drug2_freq_eos	drug2_freq_eos	IV-BD	Twice a day	
drug2_freq_eos	drug2_freq_eos	O.D	Once daily	
drug2_freq_eos	drug2_freq_eos	OD	Once daily	
drug2_freq_eos	drug2_freq_eos	T.D.S	Three times a day	
drug2_freq_eos	drug2_freq_eos	TDS	Three times a day	
drug2_freq_eos	drug2_freq_eos	sos	As needed	
drug2_length	drug2_length	01 Day	1 day	
drug2_length	drug2_length	1 Day	1 day	
drug2_length	drug2_length	1 Days	1 day	
drug2_length	drug2_length	99	Unknown	
drug2_name	drug2_name	BC/FA	BC/FA	
drug2_name	drug2_name	CQ	Chloroquine	
drug2_name	drug2_name	Cefriqreone		
drug2_name	drug2_name	Cetrixone	Ceftriaxone	
drug2_name	drug2_name	Cetroxme		
drug2_name	drug2_name	Ciplox	Ciprofloxacin	
drug2_name	drug2_name	Falcigo	Artesunate	
drug2_name	drug2_name	Metro	Metronidazole	
drug2_name	drug2_name	Octrectide		
drug2_name	drug2_name	Ondensatrole	Ondansetron	
drug2_name	drug2_name	Piptaz	Piperacillin-Tazobactam	
drug2_name	drug2_name	Rantac	Ranitidine	
drug2_name	drug2_name	PCM	Paracetamol	
drug2_name_eos	drug2_name_eos	Pantoprasole	Pantoprazole	
drug2_name_eos	drug2_name_eos	Pantoprazol	Pantoprazole	
drug2_name_eos	drug2_name_eos	Ondensatrol	Ondansetron	
drug2_name_eos	drug2_name_eos	Ondensatrole	Ondansetron	
drug2_name_eos	drug2_name_eos	Pantop	Pantoprazole	
drug2_name_eos	drug2_name_eos	T. Primaquine	Primaquine	
drug2_name_eos	drug2_name_eos	BC/FA 	BC/FA	
drug2_name_eos	drug2_name_eos	CQ	Chloroquine	
drug2_name_eos	drug2_name_eos	Ceftraxone	Ceftriaxone	
drug2_name_eos	drug2_name_eos	Domstal	Domperidone	
drug2_name_eos	drug2_name_eos	Dulcolox	Dulcolax	
drug2_name_eos	drug2_name_eos	emset	Ondansetron	
drug2_name_eos	drug2_name_eos	Emset	Ondansetron	
drug2_name_eos	drug2_name_eos	Falcigo	Artesunate	
drug2_name_eos	drug2_name_eos	Ondesetron	Ondansetron	
drug2_name_eos	drug2_name_eos	Rantac	Ranitidine	
drug2_name_eos	drug2_name_eos	T. Metro	Metronidazole	
drug2_name_eos	drug2_name_eos	T. Primaquine	Primaquine	
drug2_name_eos	drug2_name_eos	PCM	Paracetamol	
drug2_route_eos_rad	drug2_route_eos_rad	1	Oral (PO)	
drug2_route_eos_rad	drug2_route_eos_rad	2	Intramuscular (IM)	
drug2_route_eos_rad	drug2_route_eos_rad	3	Intravenous (IV)	
drug2_route_rad	drug2_route_rad	1	Oral (PO)	
drug2_route_rad	drug2_route_rad	3	Intravenous (IV)	
drug2_rxlen_eos	drug2_rxlen_eos	04 Days	4 days	
drug2_rxlen_eos	drug2_rxlen_eos	1 Day	1 day	
drug2_rxlen_eos	drug2_rxlen_eos	2 Days	2 days	
drug2_rxlen_eos	drug2_rxlen_eos	3 Days	3 days	
drug2_rxlen_eos	drug2_rxlen_eos	4 Days	4 days	
drug2_rxlen_eos	drug2_rxlen_eos	5 Days	5 days	
drug2_rxlen_eos	drug2_rxlen_eos	8 Days	8 days	
drug2_rxlen_eos	drug2_rxlen_eos	99	Unknown	
drug3_dose	drug3_dose	1.4 CC (1:1)	1.4 cc	
drug3_dose	drug3_dose	1@	1 ampule	
drug3_dose	drug3_dose	10 IV	10 IV	
drug3_dose	drug3_dose	10 CCNS	100 cc	
drug3_dose	drug3_dose	10mg	10 mg	
drug3_dose	drug3_dose	120mg	120 mg	
drug3_dose	drug3_dose	1e	1 ampule	
drug3_dose	drug3_dose	1gm	1 g	
drug3_dose	drug3_dose	2 CC in 10 CCNS	2 cc	
drug3_dose	drug3_dose	40 1em	40 1 ampule	
drug3_dose	drug3_dose	40mg	40 mg	
drug3_dose	drug3_dose	450  mg	450 mg	
drug3_dose	drug3_dose	8 IV	8 IV	
drug3_dose	drug3_dose	8mg	8 mg	
drug3_dose_eos	drug3_dose_eos	(480 + 80 )	480 + 80	
drug3_dose_eos	drug3_dose_eos	1:00 AM	1 ampule	
drug3_dose_eos	drug3_dose_eos	1:00 AM	1 ampule	
drug3_dose_eos	drug3_dose_eos	1:00 AM	1 ampule	
drug3_dose_eos	drug3_dose_eos	1 e	1 ampule	
drug3_dose_eos	drug3_dose_eos	1 IV	1 IV	
drug3_dose_eos	drug3_dose_eos	1-0-1	Twice a day	
drug3_dose_eos	drug3_dose_eos	1@	1 ampule	
drug3_dose_eos	drug3_dose_eos	120mg	120 mg	
drug3_dose_eos	drug3_dose_eos	1A	1 ampule	
drug3_dose_eos	drug3_dose_eos	2 CC in 10 CC NS	2 cc	
drug3_dose_eos	drug3_dose_eos	4 e	4 ampules	
drug3_dose_eos	drug3_dose_eos	40mg	40 mg	
drug3_dose_eos	drug3_dose_eos	500mg	500 mg	
drug3_dose_eos	drug3_dose_eos	750mg	750 mg	
drug3_freq	drug3_freq	12 hourly	Twice a day	
drug3_freq	drug3_freq	12 hrs	Twice a day	
drug3_freq	drug3_freq	12hr	Twice a day	
drug3_freq	drug3_freq	12hrs	Twice a day	
drug3_freq	drug3_freq	2 (BD)	Twice a day	
drug3_freq	drug3_freq	8hr	8 hrs	
drug3_freq	drug3_freq	8hrs	8 hrs	
drug3_freq	drug3_freq	8hrs + sos BD	Twice a day and as needed	
drug3_freq	drug3_freq	B.D	Twice a day	
drug3_freq	drug3_freq	BD	Twice a day	
drug3_freq	drug3_freq	O.D	Once daily	
drug3_freq	drug3_freq	OD	Once daily	
drug3_freq	drug3_freq	T.D.S	Three times a day	
drug3_freq	drug3_freq	T.DS	Three times a day	
drug3_freq	drug3_freq	TDS	Three times a day	
drug3_freq	drug3_freq	sos	As needed	
drug3_freq_eos	drug3_freq_eos	1 - 0 - 1	Twice a day	
drug3_freq_eos	drug3_freq_eos	1-0-0	Once daily	
drug3_freq_eos	drug3_freq_eos	1-0-1	Twice a day	
drug3_freq_eos	drug3_freq_eos	12hourly	Twice a day	
drug3_freq_eos	drug3_freq_eos	12hr	Twice a day	
drug3_freq_eos	drug3_freq_eos	12hrs	Twice a day	
drug3_freq_eos	drug3_freq_eos	2-0-0	Once a day	
drug3_freq_eos	drug3_freq_eos	2-0-2	Twice a day	
drug3_freq_eos	drug3_freq_eos	4 Hourly	Six times a day	
drug3_freq_eos	drug3_freq_eos	8 hr	Three times a day	
drug3_freq_eos	drug3_freq_eos	8 hrs	Three times a day	
drug3_freq_eos	drug3_freq_eos	8hrs	Three times a day	
drug3_freq_eos	drug3_freq_eos	B.D	Twice a day	
drug3_freq_eos	drug3_freq_eos	BD	Twice a day	
drug3_freq_eos	drug3_freq_eos	BD (Bidose)	Twice a day	
drug3_freq_eos	drug3_freq_eos	DK	Don't know	
drug3_freq_eos	drug3_freq_eos	O.D	Once daily	
drug3_freq_eos	drug3_freq_eos	OD	Once daily	
drug3_freq_eos	drug3_freq_eos	sos	As needed	
drug3_length	drug3_length	01 Day	1 day	
drug3_length	drug3_length	1 Day	1 day	
drug3_length	drug3_length	99	Unknown	
drug3_name	drug3_name	CQ	Chloroquine	
drug3_name	drug3_name	Ceflrion		
drug3_name	drug3_name	Emset	Ondansetron	
drug3_name	drug3_name	Falcigo	Artesunate	
drug3_name	drug3_name	Metro	Metronidazole	
drug3_name	drug3_name	Ondesetron	Ondansetron	
drug3_name	drug3_name	Pantop	Pantoprazole	
drug3_name	drug3_name	Pantoprazol	Pantoprazole	
drug3_name	drug3_name	emset	Ondansetron	
drug3_name	drug3_name	PCM	Paracetamol	
drug3_name_eos	drug3_name_eos	3 Falcigo	Artesunate	
drug3_name_eos	drug3_name_eos	Falcigo	Artesunate	
drug3_name_eos	drug3_name_eos	BC/FA	BC/FA	
drug3_name_eos	drug3_name_eos	Ceftriaxome	Ceftriaxone	
drug3_name_eos	drug3_name_eos	Eledervit 12		
drug3_name_eos	drug3_name_eos	Emset	Ondansetron	
drug3_name_eos	drug3_name_eos	Lumerax		
drug3_name_eos	drug3_name_eos	NaHCo3	Sodium bicarbonate	
drug3_name_eos	drug3_name_eos	Pantop	Pantoprazole	
drug3_name_eos	drug3_name_eos	Pantoprasole	Pantoprazole	
drug3_name_eos	drug3_name_eos	PCM	Paracetamol	
drug3_name_eos	drug3_name_eos	Polivita - NF1 - Formula		
drug3_name_eos	drug3_name_eos	Rantac	Ranitidine	
drug3_name_eos	drug3_name_eos	T. CQ	Chloroquine	
drug3_name_eos	drug3_name_eos	T. Primaquine (7.5)	Primaquine	
drug3_name_eos	drug3_name_eos	T. pantop	Pantoprazole	
drug3_route_eos_rad	drug3_route_eos_rad	1	Oral (PO)	
drug3_route_eos_rad	drug3_route_eos_rad	3	Intravenous (IV)	
drug3_route_rad	drug3_route_rad	3	Intravenous (IV)	
drug3_rxlen_eos	drug3_rxlen_eos	04 Days	4 days	
drug3_rxlen_eos	drug3_rxlen_eos	1 Day	1 day	
drug3_rxlen_eos	drug3_rxlen_eos	2 Days	2 days	
drug3_rxlen_eos	drug3_rxlen_eos	3 Days	3 days	
drug3_rxlen_eos	drug3_rxlen_eos	4 Days	4 days	
drug3_rxlen_eos	drug3_rxlen_eos	5 Days	5 days	
drug3_rxlen_eos	drug3_rxlen_eos	6 Days	6 days	
drug3_rxlen_eos	drug3_rxlen_eos	99	Unknown	
drug4_dose	drug4_dose	(1:4) 1.5 CC	1.5 cc	
drug4_dose	drug4_dose	1:00 AM	1 ampule	
drug4_dose	drug4_dose	1:00 AM	1 ampule	
drug4_dose	drug4_dose	1:00 AM	1 ampule	
drug4_dose	drug4_dose	1 e	1 ampule	
drug4_dose	drug4_dose	1@	1 ampule	
drug4_dose	drug4_dose	1e	1 ampule	
drug4_dose	drug4_dose	1gm	1 g	
drug4_dose	drug4_dose	2e	2 ampules	
drug4_dose	drug4_dose	40	40	
drug4_dose	drug4_dose	40mg	40 mg	
drug4_dose	drug4_dose	4CC	4 cc	
drug4_dose	drug4_dose	4e	4 ampules	
drug4_dose	drug4_dose	DK	Don't know	
drug4_dose_eos	drug4_dose_eos	0-1-0	Once daily	
drug4_dose_eos	drug4_dose_eos	1:00 AM	1 ampule	
drug4_dose_eos	drug4_dose_eos	1:00 AM	1 ampule	
drug4_dose_eos	drug4_dose_eos	1 em	1 ampule	
drug4_dose_eos	drug4_dose_eos	1 IV	1 IV	
drug4_dose_eos	drug4_dose_eos	1-0-1	Twice a day	
drug4_dose_eos	drug4_dose_eos	1@	1 ampule	
drug4_dose_eos	drug4_dose_eos	1e	1 ampule	
drug4_dose_eos	drug4_dose_eos	1gm	1 g	
drug4_dose_eos	drug4_dose_eos	2cc	2 cc	
drug4_dose_eos	drug4_dose_eos	2CC	2 cc	
drug4_dose_eos	drug4_dose_eos	35mg	35 mg	
drug4_dose_eos	drug4_dose_eos	4 e	4 ampules	
drug4_dose_eos	drug4_dose_eos	40mg	40 mg	
drug4_dose_eos	drug4_dose_eos	4mg	4 mg	
drug4_freq	drug4_freq	1 bottle 6hrs		
drug4_freq	drug4_freq	1-0-1	Twice a day	
drug4_freq	drug4_freq	12 hrs	Twice a day	
drug4_freq	drug4_freq	12hrs	Twice a day	
drug4_freq	drug4_freq	3 Tablets		
drug4_freq	drug4_freq	8 hrs	Three times a day	
drug4_freq	drug4_freq	8hr	Three times a day	
drug4_freq	drug4_freq	8hrs	Three times a day	
drug4_freq	drug4_freq	B.D	Twice a day	
drug4_freq	drug4_freq	BD	Twice a day	
drug4_freq	drug4_freq	OD	Once daily	
drug4_freq	drug4_freq	sos	As needed	
drug4_freq_eos	drug4_freq_eos	0-0-1	Once daily	
drug4_freq_eos	drug4_freq_eos	0-2-0	Once daily	
drug4_freq_eos	drug4_freq_eos	1-0-0	Once daily	
drug4_freq_eos	drug4_freq_eos	1-0-1	Twice a day	
drug4_freq_eos	drug4_freq_eos	12hrs	Twice a day	
drug4_freq_eos	drug4_freq_eos	2-0-0	Once daily	
drug4_freq_eos	drug4_freq_eos	8 Hourly	Three times a day	
drug4_freq_eos	drug4_freq_eos	8 hr	Three times a day	
drug4_freq_eos	drug4_freq_eos	8 hrs	Three times a day	
drug4_freq_eos	drug4_freq_eos	8hr	Three times a day	
drug4_freq_eos	drug4_freq_eos	8hrs	Three times a day	
drug4_freq_eos	drug4_freq_eos	BD	Twice a day	
drug4_freq_eos	drug4_freq_eos	OD	Once daily	
drug4_freq_eos	drug4_freq_eos	OD (1 time)	Once daily	
drug4_freq_eos	drug4_freq_eos	T.D.S	Three times a day	
drug4_freq_eos	drug4_freq_eos	TDS	Three times a day	
drug4_freq_eos	drug4_freq_eos	sos	As needed	
drug4_length	drug4_length	01 Day	1 day	
drug4_length	drug4_length	1 Day	1 day	
drug4_length	drug4_length	99	Unknown	
drug4_name	drug4_name	BC/FA	BC/FA	
drug4_name	drug4_name	CQ	Chloroquine	
drug4_name	drug4_name	Dynaper	Diclofenac and paracetamol	
drug4_name	drug4_name	Emset	Ondansetron	
drug4_name	drug4_name	Endacetrone	Ondansetron	
drug4_name	drug4_name	Falcigo	Artesunate	
drug4_name	drug4_name	Ondensatrol	Ondansetron	
drug4_name	drug4_name	Ondensemn	Ondansetron	
drug4_name	drug4_name	Ondesetron	Ondansetron	
drug4_name	drug4_name	Pantop	Pantoprazole	
drug4_name	drug4_name	Pantoprasole	Pantoprazole	
drug4_name	drug4_name	PCM	Paracetamol	
drug4_name	drug4_name	Rantac	Ranitidine	
drug4_name	drug4_name	T. Augmentin	Augmentin	
drug4_name	drug4_name	emset	Ondansetron	
drug4_name_eos	drug4_name_eos	3 Pantop	Pantoprazole	
drug4_name_eos	drug4_name_eos	Artisunate	Artesunate	
drug4_name_eos	drug4_name_eos	BC/FA	BC/FA	
drug4_name_eos	drug4_name_eos	CQ	Chloroquine	
drug4_name_eos	drug4_name_eos	Emset	Ondansetron	
drug4_name_eos	drug4_name_eos	Ondensatrole	Ondansetron	
drug4_name_eos	drug4_name_eos	Ondestrone	Ondansetron	
drug4_name_eos	drug4_name_eos	Pantop	Pantoprazole	
drug4_name_eos	drug4_name_eos	PCM	Paracetamol	
drug4_name_eos	drug4_name_eos	T. BCFA	BC/FA	
drug4_name_eos	drug4_name_eos	T. CQ ++ (500)	Chloroquine	
drug4_name_eos	drug4_name_eos	T. Diclo	Diclofenac	
drug4_name_eos	drug4_name_eos	T.Azithro	Azithromycin	
drug4_name_eos	drug4_name_eos	T.FA	FA	
drug4_name_eos	drug4_name_eos	Udiliv	Ursodeoxycholic acid	
drug4_name_eos	drug4_name_eos	Vit. B-12	Vitamin B-12	
drug4_route_eos_rad	drug4_route_eos_rad	1	Oral (PO)	
drug4_route_eos_rad	drug4_route_eos_rad	3	Intravenous (IV)	
drug4_route_rad	drug4_route_rad	1	Oral (PO)	
drug4_route_rad	drug4_route_rad	3	Intravenous (IV)	
drug4_rxlen_eos	drug4_rxlen_eos	04 Days	4 days	
drug4_rxlen_eos	drug4_rxlen_eos	1 Day	1 day	
drug4_rxlen_eos	drug4_rxlen_eos	2 Days	2 days	
drug4_rxlen_eos	drug4_rxlen_eos	3 Days	3 days	
drug4_rxlen_eos	drug4_rxlen_eos	4 Days	4 days	
drug4_rxlen_eos	drug4_rxlen_eos	5 Day	5 days	
drug4_rxlen_eos	drug4_rxlen_eos	5 Days	5 days	
drug4_rxlen_eos	drug4_rxlen_eos	8 Days	8 days	
drug4_rxlen_eos	drug4_rxlen_eos	99	Unknown	
drug5_dose	drug5_dose	1 e	1 ampule	
drug5_dose	drug5_dose	1 empule	1 ampule	
drug5_dose	drug5_dose	1-0-0	Once daily	
drug5_dose	drug5_dose	1-0-1	Twice a day	
drug5_dose	drug5_dose	1.5gm	1.5 g	
drug5_dose	drug5_dose	1@	1 ampule	
drug5_dose	drug5_dose	10 IV	10 IV	
drug5_dose	drug5_dose	100 ml/h	100 mL/h	
drug5_dose	drug5_dose	150 ml/h	150 mL/h	
drug5_dose	drug5_dose	1e	1 ampule	
drug5_dose	drug5_dose	1g	1 g	
drug5_dose	drug5_dose	1gm	1 g	
drug5_dose	drug5_dose	2 gm	2 g	
drug5_dose	drug5_dose	2cc	2 cc	
drug5_dose	drug5_dose	2CC	2 cc	
drug5_dose	drug5_dose	4CC	4 cc	
drug5_dose	drug5_dose	750 mg (20 CC)	750 mg	
drug5_dose	drug5_dose	750mg	750 mg	
drug5_dose_eos	drug5_dose_eos	0-0-1	Once daily	
drug5_dose_eos	drug5_dose_eos	1:00 AM	1 ampule	
drug5_dose_eos	drug5_dose_eos	1:00 AM	1 ampule	
drug5_dose_eos	drug5_dose_eos	1:00 AM	1 ampule	
drug5_dose_eos	drug5_dose_eos	1-0-0	Once daily	
drug5_dose_eos	drug5_dose_eos	1-0-1	Twice a day	
drug5_dose_eos	drug5_dose_eos	1-0-1 	Twice a day	
drug5_dose_eos	drug5_dose_eos	10 IU/L	10 IU/L	
drug5_dose_eos	drug5_dose_eos	1e	1 ampule	
drug5_dose_eos	drug5_dose_eos	2 + sp	2 + sp	
drug5_dose_eos	drug5_dose_eos	2CC	2 cc	
drug5_dose_eos	drug5_dose_eos	40mg	40 mg	
drug5_dose_eos	drug5_dose_eos	4CC	4 cc	
drug5_dose_eos	drug5_dose_eos	5cc 10% IV	5 cc in 10% D	
drug5_freq	drug5_freq	1 vac		
drug5_freq	drug5_freq	1-0-0	Once daily	
drug5_freq	drug5_freq	1-0-1	Twice a day	
drug5_freq	drug5_freq	12hrs	Twice a day	
drug5_freq	drug5_freq	8 hrs BD	Twice a day	
