variable,dataset,keepDiscard,notesforDL,type,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,Flag,colOrder_lite,colOrder_kenya,notesForDL,notesForProvider,gems1a_huas label
diarrhea_new,gems1_huas_lite_data_kenya.sas7bdat,,,num,,"1, 2",,,,,NA,74,,variable not in HUAS codebook (CRF01 HUAS),
drh_blood,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Blood in stool. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",,,,,23,22,,response values 0 & 9 not in codebook,27. Symptom during illness-Blood
drh_days,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,D28: Diarrhea history. How many days did the child have diarrhea. Only complete for children who had diarrhea in the last 2 weeks,,,,,,18,17,,,28. How many days child had diarrhea
drh_days_last,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"Only complete for children who had diarrhea in the last 2 weeks. Skip if D28.1=""yes""",,,,,,19,18,,,
drh_drink,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,NA: Diarrhea history. Only complete for children who had diarrhea in the last 2 weeks,"0, 1, 2, 3, 9",,,,,22,21,,,
drh_fever,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Fever. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",,,,,21,20,,response values 0 & 9 not in codebook,27. Symptom during illness-Fever
drh_irritable,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,NA: Diarrhea history. Only complete for children who had diarrhea in the last 2 weeks,"0, 1, 2, 3, 9",,,,,25,24,,,
drh_lethrgy,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Lethargy. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",,,,,26,25,,response values 0 & 9 not in codebook,27. Symptom during illness-Lethargy
drh_rice,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Rice watery stool. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",,,,,24,23,,response values 0 & 9 not in codebook,27. Symptom during illness-Rice watery
drh_sunkeyes,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Sunken eyes. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",,,,,28,27,,response values 0 & 9 not in codebook,27. Symptom during illness-Sunken eyes
drh_thirst,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Very thirsty. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA, 9=NOT IN CODEBOOK",,,,,27,26,variables 'drh_thirst' & 'drh_thirsty' should map to the same display label & IRI,response values 0 & 9 not in codebook,27. Symptom during illness-Thirsty
drh_wrnkskin,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Wrinkled skin. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",,,,,29,28,,response values 0 & 9 not in codebook,27. Symptom during illness-Wrinkled skin
gems_shf,gems1_huas_lite_data_kenya.sas7bdat,Discard,,chr,,,,,,,NA,80,,variable not in HUAS codebook (CRF01 HUAS),
gemsshf,gems1_huas_lite_data_kenya.sas7bdat,Discard,,num,,"1, 2",,,,,NA,79,,variable not in HUAS codebook (CRF01 HUAS),
gender,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,A05: Eligibility information. Is the child a boy or girl.,"0=NOT IN CODEBOOK, 1=Boy, 2=Girl",,,,,8,9,,response value 0 not in codebook,5. Child's gender
int_code,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Discard,,chr,A07.3: Eligibility information. Interviewer name (staff code).,,,,,,15,16,,,Interviewer's staff code
int_code2,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Discard,,chr,A07.4: Eligibility information. Interviewer name 2 (staff code).,,,,,,73,5,,,Interviewer's staff code
interview,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"A07.2: Eligibility information. Interview status (Conducted if status=1 & id_child=2 & consent=1 & agecat=1,2,3).","1=Conducted, 10=Child >59 months, 11=Interview date missing, 12=Birthdate missing or invalid, 2=Not identified, 3=Child died, 4=Refused consent, 5=Not available after 3 attempts, 6=Not conducted - other, 7=Consent question not answered, 8=ID child question not answered, 9=Interview status question nt answered, 0=NOT IN CODEBOOK",,,,,12,13,variables 'interview' & 'reason' should map to the same display label & IRI,,
max_stools,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,D26: Diarrhea history. What is your best estimate of the maximum number of loose stools per day your child had during his/her diarrheal illness. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=3-6 times per dy, 2=7-10 times per day, 3=More than 10 times per day, 4=Don't know, NA=NA",,,,,20,19,,response value 0 not in codebook,26. Max number of loose stools per day
mod_severe,"gems1_huas_lite_data_kenya.sas7bdat, ",,,num,D26.1: Diarrhea history. Moderate to severe diarrhea (drh_sunkeneyes=2 or dhr_wrnkskin=2 or hosptrt_intfld=1 or drh_blood=2 or admit=2). Only complete for children who had diarrhea in the last 2 weeks,"1=Moderate to severe diarrhea, 2=Had diarrhea, not moderate to severe, 3=No diarrhea in the last 2 weeks, 99=Missing/error",,,,,NA,75,,,
newseekcare,gems1_huas_lite_data_kenya.sas7bdat,Discard,,num,,"1, 2",,,,,NA,76,,variable not in HUAS codebook (CRF01 HUAS),
noseek_noneed,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Child did not seem to need care. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,35,34,,,30. Reason: Child didn't need care
noseek_nothappy,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Not happy with clinical services in the area. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,42,41,,,30. Reason: Not happy w/clinical service
noseek_othr,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Discard,,num,"E30.1: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Other, specify. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,44,43,variables 'noseek_othr' & 'noseek_other' should map to the same display label & IRI,,30. Reason: Other
noseek_othrchld,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Other children at home could not be left alone. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,40,39,,,30. Reason: Other children at home
noseek_politic,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Local situation (weather, natural, or political reasons). Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,46,45,"combine 'noseek_politic' & 'noseek_weather' where 'noseek_weather'==1: if noseek_weather==1, noseek_politic==1; if noseek_weather==0, do not change noseek_politic",,30. Reason: Local situation
noseek_spec,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Discard,,chr,"E30.02: Health care utilization. Specify (noseek_other=1). Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks",,,,,,45,44,,,30. Specify other reason
noseek_toofar,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Clinic too far from home. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,37,36,,,30. Reason: Clinic too far from home
noseek_trnsprt,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Unable to find transport. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,39,38,,,30. Reason: Unable to find transport
noseek_trtmtcost,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Cost for treatment too high. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,38,37,,,30. Reason: Cost for treatment too high
noseek_trvlcost,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Cost for travel too high. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,36,35,,,30. Reason: Cost for travel too high
noseek_weather,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Local situation (weather, natural, or political reasons). Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,43,42,"combine 'noseek_weather' into 'noseek_politic' (see notes in 'noseek_politic'), then drop 'noseek_weather",,
noseek_work,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Could not take time off from work. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,41,40,,,30. Reason: Couldn't take time off work
offr_drink,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E39: Health care utilization. How much was the child offered to drink during the diarrheal illness? . Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=Usual, 2=More than usual, 3=Less than usual, NA=NA, 4=NOT IN CODEBOOK",,,,,71,70,variables 'offr_drink' & 'offer_drink' should map to the same display label & IRI,response values 0 & 4 not in codebook. Categories may be different in lite/kenya as compared to huas.,39. Offered to drink during illness
offr_eat,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E40: Health care utilization. How much was the child offered to eat during the diarrheal illness? . Only complete for children who had diarrhea in the last 2 weeks.,"0=NOT IN CODEBOOK, 1=Usual, 2=More than usual, 3=Less than usual, NA=NA, 4=NOT IN CODEBOOK, 5=NOT IN CODEBOOK",,,,,72,71,variables 'offr_eat' & 'offer_eat' should map to the same display label & IRI,"response values 0, 4, & 5 not in codebook. Categories may be different in lite/kenya as compared to huas.",40. Offered to eat during illness
outcome,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1, 2, 3, 4, 5",,,,,33,32,,variable not in HUAS codebook (CRF01 HUAS),
oweight,gems1_huas_lite_data_6_sites.sas7bdat,Discard,,num,,,,,,,82,NA,,variable not in HUAS codebook (CRF01 HUAS),
primcare,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"A04: Eligibility information. Are you a primary caretaker of the child. If ""no"", ask if a primary caretaker is available. If not available, make an appointment for a return visit.","1=No, 2=Yes",,,,,9,10,,,4. Primary caretaker
qc_code,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Discard,,chr,A07.5: Eligibility information. Quality control's name (staff code).,,,,,,16,3,,,QC staff code
qc_code2,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Discard,,chr,A07.6: Eligibility information. Quality control's name 2 (staff code).,,,,,,74,4,,,QC staff code
qc_date,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Discard,,date,A07.7: Eligibility information. Date of QC.,,,,,,17,1,,,Calculated QC Date
qc_date2,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Discard,,date,A07.8: Eligibility information. Date of QC 2.,,,,,,75,2,,,Calculated QC Date
rnd_start,gems1_huas_lite_data_6_sites.sas7bdat,Discard,,date,,,,,,,5,NA,,variable not in HUAS codebook (CRF01 HUAS),
rnd_stop,gems1_huas_lite_data_6_sites.sas7bdat,Discard,,date,,,,,,,6,NA,,variable not in HUAS codebook (CRF01 HUAS),
round,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Discard,,num,,"1, 2, 3, 4, 5, 6",,,,,4,73,,variable not in HUAS codebook (CRF01 HUAS),
rsn_spec,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Discard,,chr,A07.1: Eligibility information. reason not conducted.,,,,,,13,14,variables 'rsn_spec' & 'rsn_specify' should map to the same display label & IRI,,7. Reason not conducted
seek_ctr1,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"0, 1",,,,,51,50,,,
seek_ctr1_code,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"402, 404, 405, 407, 408, 409, 410, 411, 438, 439, 446, ",,,,,52,51,,,
seek_ctr1_shc,gems1_huas_lite_data_6_sites.sas7bdat,,,num,E31.12: Health care utilization.,"0, 1",,,,,76,NA,,,
seek_ctr2,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"0, 1",,,,,54,53,,,
seek_ctr2_code,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"101, 102, 202, 301, 303, 402, 405, 407, 408, 411, 501",,,,,55,54,,,
seek_ctr2_shc,gems1_huas_lite_data_6_sites.sas7bdat,,,num,E31.12: Health care utilization.,1,,,,,77,NA,,,
seek_ctr3,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"0, 1",,,,,58,55,,,
seek_ctr3_code,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"303, 402",,,,,59,56,,,
seek_ctr3_shc,gems1_huas_lite_data_6_sites.sas7bdat,,,num,E31.12: Health care utilization.,1,,,,,78,NA,,,
seek_friend,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"0, 1",,,,,47,46,,,
seek_healer,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"0, 1",,,,,49,48,,,
seek_licdoc,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"0, 1",,,,,53,52,,,
seek_other,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"0, 1",,,,,56,57,,,
seek_other_spec,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Discard,,chr,E31.12: Health care utilization.,,,,,,57,58,,,
seek_pharmacy,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"0, 1",,,,,50,49,,,
seek_remedy,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"0, 1",,,,,48,47,,,
seek_unlicdoc,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"0, 1",,,,,60,59,,,
seekcare,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E29: Health care utilization. Did you seek care for the child's diarrhea outside of your home. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, NA=NA",,,,,34,33,,response value 0 not in codebook,29. Did you seek care outside of home
seekcarehcf,gems1_huas_lite_data_kenya.sas7bdat,Discard,,num,,"1, 2",,,,,NA,78,,variable not in HUAS codebook (CRF01 HUAS),
site,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,3. Site.,"1=The Gambia, 2=Mali, 3=Mozambique, 4=Kenya, 5=India, 6=Bangladesh, 7=Pakistan",,,,,1,7,,,Site number extracted from Child ID
status,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,A07: Eligibility information. Status of interview.,"1=Conducted, 2=Not conducted",,,,,11,12,,,7. Status of interview
status2,gems1_huas_lite_data_kenya.sas7bdat,Discard,,num,,1,,,,,NA,82,,variable not in HUAS codebook (CRF01 HUAS),
trt_homefluid,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1",,,,,69,68,,variable not in HUAS codebook (CRF01 HUAS),
trt_iv,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1",,,,,67,66,,variable not in HUAS codebook (CRF01 HUAS),
trt_none,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1",,,,,68,67,,variable not in HUAS codebook (CRF01 HUAS),
trt_ors,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1",,,,,70,69,,variable not in HUAS codebook (CRF01 HUAS),
visitdate,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,date,2. Date of intervew.,,,,,,3,8,variables 'visitdate' & 'visit_date' should map to the same display label & IRI,,Calculated Visit Date
vomit,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1, 2",,,,,30,29,,variable not in HUAS codebook (CRF01 HUAS),
vomit_days,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1, 2, 3",,,,,32,31,,variable not in HUAS codebook (CRF01 HUAS),
vomit_times,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1, 2, 3",,,,,31,30,,variable not in HUAS codebook (CRF01 HUAS),
