Variable,Original variable name,Variable descriptions,ValueFormat
x42,,"14. What forms of contraception do you currently use, if any? (choice=None)",
x43,,"14. What forms of contraception do you currently use, if any? (choice=Pills)",
x44,,"14. What forms of contraception do you currently use, if any? (choice=Injectibles)",
x45,,"14. What forms of contraception do you currently use, if any? (choice=Condoms)",
x46,,"14. What forms of contraception do you currently use, if any? (choice=Emergency Contraception)",
x47,,"14. What forms of contraception do you currently use, if any? (choice=Implants)",
x48,,"14. What forms of contraception do you currently use, if any? (choice=Intra-uterine Devices)",
x49,,"14. What forms of contraception do you currently use, if any? (choice=Natural birth Control)",
x50,,"14. What forms of contraception do you currently use, if any? (choice=Other)",
x51,,"14. What forms of contraception do you currently use, if any? (choice=Dont know)",
x52,,"14. What forms of contraception do you currently use, if any? (choice=Refused to answer)",
x53,contraception_other,"Other Contracepive, Specify",
x54,away_home_week,"15. In the last 6 months, have you been away from your home for more than one week at a time?","0, No | 1, Yes | 99, Refused to Answer"
x55,time_away_home_6_mths,15a. What is the longest period you were away from home in the last 6 months?,
x56,,Complete?,
x57,main_info_source,16. What was the MAIN source of information about oral PrEP that you saw or heard that resulted in you presenting today?,"1, Media sources (such as radio, TV, billboards, internet, SMS, etc.) | 2, Health personnel sources (such as doctors, nurses, pharmacists, community health workers, etc.) | 3, Community sources (such as community outreach events, peer educators, school, church/faith based groups/mosques, etc.) | 4, Interpersonal sources (such as parents, partners, siblings, friends, etc.) | 5, I had not heard about oral PrEP prior to today | 99, Refused to answer"
x58,offered_prep,"17. Prior to today, have you ever been offered oral PrEP before?","0, No | 1, Yes | 98, Don't Know | 99, Refused to answer"
x59,when_offered_prep,18. When were you previously offered PrEP?,
x60,agree_take_prep,"19. When previously offered PrEP, did you agree to take it?","0, No | 1, Yes | 98, Don't Know | 99, Refused to answer"
x61,when_start_prep,20. When did you start taking PrEP (date)?,
x62,when_stop_prep,21. Did you stop taking PrEP?,"1, Still on PrEP | 2, Stopped taking PrEP"
x63,when_stop_prep_2,21a. When did you stop taking PrEP (date)?,
x64,why_stop_prep,"22. After your prior use of PrEP, what was the MAIN reason you stopped taking PrEP?","1, Side effects from medicines | 2, No longer at risk/no longer needed PrEP | 3, Inconvenient follow-up schedule | 4, Unable to satisfactorily adhere to the daily use of PrEP | 5, My partner or family member(s) found out about my PrEP use and wanted me to stop taking it | 77, Other | 99, Refused to answer"
x65,other_why_stop_prep,Other (specify),
x66,agree_prep,"23. Based upon your offer of PrEP today, did you agree to start/ continue taking it?","0, No | 1, Yes"
x67,prev_hiv,Does PrEP Prevent HIV Infection,"0, No | 1, Yes | 98, Don't Know | 99, Refused to Answer"
x68,prev_sti,Does PrEP Prevents STI's,"0, No | 1, Yes | 98, Don't Know | 99, Refused to Answer"
x69,prev_pregnancy,Does PrEP Prevents Pregnancy,"0, No | 1, Yes | 98, Don't Know | 99, Refused to Answer"
x70,how_prep_benefit,25. In what ways do you think you'll benefit from PrEP?,"1, It will reduce my risk of becoming infected with HIV | 2, I don't know; the provider recommended it and I accepted | 77, Other | 99, Refused to answer"
x71,other_benefit,"Other Benefit, Specify",
x72,why_prep_today,26. What was the MAIN reason you agreed to the offer of PrEP today?,"1, A sex partner got HIV | 2, A sex partner was/is sick or died | 3, Have had sexual partners whose HIV status I do not know | 4, I haven't/don't always used protection/condoms | 5, I always use condoms but sometimes the condoms break | 6, The provider recommended it for me | 77, Other | 98, Don't Know | 99, Refused to Answer"
x73,why_prep_today_other,"Other, Specify",
x74,change_sex_prep,"27. Once you start taking PrEP, do you think that you will change your sexual behaviors?","0, No | 1, Yes | 98, Don't Know | 99, Refused to Answer"
x75,,"28. Once you start taking PrEP, how do you think your sexual behaviors may change? (choice=Greater number of sexual partners)",
x76,,"28. Once you start taking PrEP, how do you think your sexual behaviors may change? (choice=Fewer number of sexual partners)",
x77,,"28. Once you start taking PrEP, how do you think your sexual behaviors may change? (choice=Greater frequency of condom use than before PrEP)",
x78,,"28. Once you start taking PrEP, how do you think your sexual behaviors may change? (choice=Less condom use than before PrEP)",
x79,,"28. Once you start taking PrEP, how do you think your sexual behaviors may change? (choice=Other)",
x80,,"28. Once you start taking PrEP, how do you think your sexual behaviors may change? (choice=Dont know)",
x81,,"28. Once you start taking PrEP, how do you think your sexual behaviors may change? (choice=Refused to answer)",
x82,why_prep_today_other,"Other, Specify",
x83,prep_no_condom,29. Do you believe that if you are taking PrEP that you no longer need to use a condom?,"0, No | 1, Yes | 3, Don't Know | 99, Refused to Answer"
x84,,30. Why did you decline the offer of PrEP today? (choice=Do not believe I am at risk of HIV),
x85,,30. Why did you decline the offer of PrEP today? (choice=Do not believe PrEP will decrease my risk of HIV),
x86,,30. Why did you decline the offer of PrEP today? (choice=Do not believe that I can adhere to a daily medication),
x87,,30. Why did you decline the offer of PrEP today? (choice=Will not be able to return for follow-up appointments as recommended),
x88,,30. Why did you decline the offer of PrEP today? (choice=Do not want to test for HIV as frequently as required),
x89,,30. Why did you decline the offer of PrEP today? (choice=My partner/family/friends would not be supportive of me taking PrEP),
x90,,30. Why did you decline the offer of PrEP today? (choice=Other),
x91,,30. Why did you decline the offer of PrEP today? (choice=Refused to answer),
x92,why_prep_today_other,"Other, Specify",
x93,prev_hiv1,Prevents HIV Infection,"0, No | 1, Yes | 98, Don't Know | 99, Refused to Answer"
x94,prev_sti1,Prevents STI's,"0, No | 1, Yes | 98, Don't Know | 99, Refused to Answer"
x95,prev_pregnancy1,Prevents Pregnancy,"0, No | 1, Yes | 98, Don't Know | 99, Refused to Answer"
x96,prep_future,32. Do you think that you might reconsider the offer of PrEP at some future date?,"1, Definitely yes | 2, Possibly yes | 3, Probably not | 4, Definitely not | 98, Do not Know | 99, Refused to answer"
x97,,Complete?,
x98,time_since_baseline,1. How long has it been since you completed the Baseline Survey (in months)?,"1, 3 month (approximate) | 2, 6 month (approximate) | 3, 12 month (approximate) | 77, Other time frame | 98, Don't know | 99, Refused to answer"
x99,other_timing,Other,
x100,take_oral_prep,2. How many days after you were given your oral PrEP tablets did you START taking them?,"1, Same day as it was given to me | 2, Days after it was given to me | 3, I never started taking the PrEP?"
x101,num_of_days_after_prep,Number of days after PrEP was given,
x102,continue_prep,3. Are you continuing to take PrEP now?,"1, Yes | 0, No | 99, Refused to answer"
x103,ever_stop_prep,"3a. After starting PrEP, did you ever stop taking it for more than 7 days in a row?","1, Yes | 0, No | 99, Refused to answer"
x104,first_stop_prep,4. On what date did you first stop taking PrEP (for more than 7 day) after starting it?,
x105,did_with_extra_tablets,"5. When you stopped taking PrEP, what did you do with any extra tablets that were remaining?","1, I kept them | 2, I gave them away | 3, I sold them | 4, I returned them to my PrEP health care provider | 5, I threw them away | 77, Other"
x106,other_location,Other specify,
x107,begin_prep_again,"6. After you stopped taking PrEP, did you begin taking it again at any point?","1, Yes | 0, No | 99, Refused to answer"
x108,stop_prep_days,Days,
x109,stop_prep_weeks_2,Weeks,
x110,stop_prep_months,Months,
x111,,"8. Whenever you stopped taking PrEP, what were the reasons you stopped taking it (or never started taking PrEP at all)? (choice=Side effects from medicines)",
x112,,"8. Whenever you stopped taking PrEP, what were the reasons you stopped taking it (or never started taking PrEP at all)? (choice=No longer at risk/no longer needed PrEP)",
x113,,"8. Whenever you stopped taking PrEP, what were the reasons you stopped taking it (or never started taking PrEP at all)? (choice=Inconvenient follow-up schedule)",
x114,,"8. Whenever you stopped taking PrEP, what were the reasons you stopped taking it (or never started taking PrEP at all)? (choice=Unable to satisfactorily adhere to the daily use of PrEP so I decided to stop)",
x115,,"8. Whenever you stopped taking PrEP, what were the reasons you stopped taking it (or never started taking PrEP at all)? (choice=My partner or family member(s) found out about my PrEP use and wanted me to stop taking it)",
x116,,"8. Whenever you stopped taking PrEP, what were the reasons you stopped taking it (or never started taking PrEP at all)? (choice=My provider advised me to stop)",
x117,,"8. Whenever you stopped taking PrEP, what were the reasons you stopped taking it (or never started taking PrEP at all)? (choice=Other)",
x118,,"8. Whenever you stopped taking PrEP, what were the reasons you stopped taking it (or never started taking PrEP at all)? (choice=Refused to answer)",
x119,provider_reason,Reason provider gave to stop PrEP,
x120,other_location,Other specify,
x121,main_reason_for_stop,"9. Whenever you stopped taking PrEP, what was the MAIN reason you stopped taking it (or never started taking PrEP at all)?","1, Side effects from medicines | 2, No longer at risk/no longer needed PrEP | 3, Inconvenient follow-up schedule | 4, Unable to satisfactorily adhere to the daily use of PrEP so I decided to stop | 5, My partner or family member(s) found out about my PrEP use and wanted me to stop taking it | 6, My provider advised me to stop | 77, Other | 99, Refused to answer"
x122,,Main reason that provider gave to stop PrEP,
x123,other_location,Other specify,
x124,reconsider_prep,10. Do you think that you might reconsider your decision to stop and begin taking PrEP again at some point in the future?,"1, Definitely yes | 2, Possibly yes | 3, Probably not | 4, Definitely not | 98, Don't know | 99, Refused to answer"
x125,lead_to_start_prep,11. What would most lead you to start taking PrEP again in the future?,"1, If I were to be at risk of HIV again | 2, If I were to have the support of my partner, friends, or family | 3, If I were better able to take the medicine daily as recommended | 4, If I were better able to return to the clinic as often as it is required | 77, Other"
x126,other_location,Other specify,
x127,why_not_reconsider_prep,12. Are there specific reasons why you would not re-consider taking PrEP again?,
x128,average_take_of_pills,"13. On average over the past 1 month, how many days per week did you take the oral PrEP pill?","1, All 7 days per week | 2, 6 days per week | 3, 5 days per week | 4, 4 days per week | 5, 3 days per week | 6, 2 days per week | 7, 1 day per week | 8, 0 days (did not take PrEP at all most week over the past month)"
x129,,14. What were the challenges you experienced to taking PrEP daily as recommended? (choice=I forgot to take),
x130,,14. What were the challenges you experienced to taking PrEP daily as recommended? (choice=I had traveled and didnt take it with me),
x131,,14. What were the challenges you experienced to taking PrEP daily as recommended? (choice=I experienced side effects),
x132,,14. What were the challenges you experienced to taking PrEP daily as recommended? (choice=I had to hide and it was sometimes impossible),
x133,,14. What were the challenges you experienced to taking PrEP daily as recommended? (choice=I did not engage in sex regularly and didnt find a need to take every day),
x134,,14. What were the challenges you experienced to taking PrEP daily as recommended? (choice=I went to school),
x135,,14. What were the challenges you experienced to taking PrEP daily as recommended? (choice=The size of the pill was discouraging),
x136,,14. What were the challenges you experienced to taking PrEP daily as recommended? (choice=I ran out of the pills),
x137,,14. What were the challenges you experienced to taking PrEP daily as recommended? (choice=Others),
x138,other_location,Other specify,
x139,prep_main_challenge,15. What was the MAIN challenge that you experienced to taking PrEP daily as recommended?,"1, I forgot to take | 2, I had traveled and didn't take it with me | 3, I experienced side effects | 4, I had to hide and it was sometimes impossible | 5, I did not engage in sex regularly and didn't find a need to take every day | 6, I went to school | 7, The size of the pill was discouraging | 8, I ran out of the pills | 77, Others"
x140,other_location,Other specify,
x141,prep_benefit,16. In what ways do you think you are benefiting from taking oral PrEP?,"1, It is reducing my risk of becoming infected with HIV | 2, I don't know; the provider recommended it and I accepted | 77, Other"
x142,other_location,Other specify,
x143,change_behaviour,"17. Since starting to take oral PrEP, do you feel that you have changed your sexual behaviors?","1, Yes | 0, No | 98, Don't know | 99, Refused to answer"
x144,,18. In what ways have your sexual behaviors changed since you started taking PrEP (choice=Greater number of sexual partners),
x145,,18. In what ways have your sexual behaviors changed since you started taking PrEP (choice=Fewer number of sexual partners),
x146,,18. In what ways have your sexual behaviors changed since you started taking PrEP (choice=Use a condom more often during sex than before PrEP),
x147,,18. In what ways have your sexual behaviors changed since you started taking PrEP (choice=Use a condom less often during sex than before PrEP),
x148,,18. In what ways have your sexual behaviors changed since you started taking PrEP (choice=Other),
x149,other_location,Other specify,
x150,,Complete?,
x151,extent_vulnerable,33. To what extent do you feel vulnerable to/at risk for HIV infection from any source?,"1, At high risk of HIV | 2, At medium risk of HIV | 3, At low risk of HIV | 4, At no risk of HIV | 77, Other | 98, Don't Know | 99, Refused to answer"
x152,why_prep_today_other,"Other, Specify",
x153,,34. Why do you say that your risk of HIV is high or medium?  (choice=A sex partner got HIV),
x154,,34. Why do you say that your risk of HIV is high or medium?  (choice=A sex partner was/is sick or died),
x155,,34. Why do you say that your risk of HIV is high or medium?  (choice=Have had sexual partners whose HIV status I do not know),
x156,,34. Why do you say that your risk of HIV is high or medium?  (choice=I havent always used protection/condoms),
x157,,34. Why do you say that your risk of HIV is high or medium?  (choice=I have experienced breakage of condoms),
x158,,34. Why do you say that your risk of HIV is high or medium?  (choice=Other),
x159,,34. Why do you say that your risk of HIV is high or medium?  (choice=Dont Know),
x160,,34. Why do you say that your risk of HIV is high or medium?  (choice=Refused to answer),
x161,why_prep_today_other,"Other, Specify",
x162,,35. Why do you say you are at low or no risk of HIV?  (choice=Never had sex),
x163,,35. Why do you say you are at low or no risk of HIV?  (choice=Have been healthy),
x164,,35. Why do you say you are at low or no risk of HIV?  (choice=Sex partner(s) has/have no HIV),
x165,,35. Why do you say you are at low or no risk of HIV?  (choice=Have known all sex partner(s) HIV status),
x166,,35. Why do you say you are at low or no risk of HIV?  (choice=Sex partners were/are healthy),
x167,,35. Why do you say you are at low or no risk of HIV?  (choice=I consistently use condoms),
x168,,35. Why do you say you are at low or no risk of HIV?  (choice=Other),
x169,,35. Why do you say you are at low or no risk of HIV?  (choice=Dont Know),
x170,,35. Why do you say you are at low or no risk of HIV?  (choice=Refused to answer),
x171,why_prep_today_other,"Other, Specify",
x172,,Complete?,
x173,initiate_sex,36. Who initiated your first sexual intercourse encounter?,"1, Yourself | 2, A friend/partner | 3, Family member | 4, Stranger | 77, Other | 99, Refused to answer"
x174,why_prep_today_other,"Other, Specify",
x175,sex_6_months,37. Have you had sexual intercourse with a girl or a woman in the last 6 months,"0, No | 1, Yes | 98, Don't Know | 99, Refused to answer"
x176,age_first_sex,38. How old were you the first time you had sex with a girl or a women?,
x177,partner_age_1_sex,"39. How old was this girl or woman (with whom you first had sex)? If you do not know exactly, it is fine to estimate/guess.",
x178,sex_man_6_months,40. Have you had sexual intercourse with a boy or a man in the last 6 months,"0, No | 1, Yes | 98, Don't Know | 99, Refused to answer"
x179,age_at_first_sex,41. How old were you the first time you had sex with a boy or a man?,
x180,age_man_1_sex,"42. How old was this boy or man (with whom you first had sex)? If you do not know exactly, it is fine to estimate/guess.",
x181,pax_sex_1month,"43. In total, how many different people have you had sexual intercourse with in the last 1 month?  It is ok to estimate the number if you do not remember exactly.",
x182,condom_use,"44. With this/these sexual partners that you had in the last 1 month, how often did you use a condom during sexual intercourse for the entire time?  If you started using a condom but the condom broke, indicate 'Sometimes' as you answer.","1, Always | 2, Sometimes | 3, Never | 98, Don't Know | 99, Refused to Answer"
x183,alcohol_infliuence,"45. With this/these sexual partners that you had in the last 1 month, how often did you engage in sexual intercourse with them while you were under the influence of alcohol or other drugs/substances?","1, Always | 2, Sometimes | 3, Never | 98, Don't Know | 99, Refused to Answer"
x184,know_partner_status,46. Did you know the HIV status of the sexual partners (from the last 1 month)?  I knew the HIV status of...,"1, All of them | 2, Some of them | 3, None of them | 98, Don't Know | 99, Refused to Answer"
x185,partners_positive,47. How many of these sexual partners (from the last 1 month) did you know were HIV positive?,"1, All of them (Were HIV Positive) | 2, Some of them (were HIV Positive) | 3, None of them (were HIV Positive) | 98, Don't Know ( I don't know wether any were HIV positive) | 99, Refused to Answer"
x186,had_a_partner,48a. Have you had a recent partner?,
x187,part1_name,"48. Nickname, marker, or first name",
x188,part1_period_start,49. Month/year sexual encounter(s)/relationship with [part1_name]  began,
x189,part1_period_end,50. Month/year sexual encounter(s)/relationship with [part1_name] ended,
x190,part1_sex,51. [part1_name]'s sex,"1, Male | 2, Female | 3, Transgender Male | 4, Transgender Female | 98, Don't Know | 99, Refused to answer"
x191,part1_age,"52. About how old was [part1_name] the first time you had sex with [part1_name] ? (in years).  If you do not know for certain, it is fine to estimate.",
x192,part1_type,"53. Keeping these definitions in mind, is [part1_name] your husband/wife (a spouse), a regular partner, or a casual partner?","1, Husband/wife (spouse) | 2, Regular partner | 3, Casual partner | 99, Refused to answer"
x193,part1_days_last_sex,54. On approximately how many days did you have sex with [part1_name] in the last 6 months?,"1, 1 | 2, Between 2-5 | 3, Between 6-10 | 4, More than 10 | 99, Refused to answer"
x194,part1_freq_gifts,55. How often did you give or receive money or gifts so that you would have sex with [part1_name] ?,"1, Always | 2, Sometimes | 3, Never | 99, Refused to answer"
x195,part1_vaginal_sex,56. Did you and [part1_name] have vaginal sex in the last 6 months?,"0, No | 1, Yes | 99, Refused to answer"
x196,part1_condom_use_vg,57. How often did you and [part1_name] use a condom when you had vaginal sex in the last 6 months,"1, Always | 2, Sometimes | 3, Never | 99, Refused to answer"
x197,part1anal_sex,58. Did you and [part1_name] have anal sex in the last 6 months?,"0, No | 1, Yes | 98, Don't Know | 99, Refused to answer"
x198,part1_condom_use_anal,59. How often did you and [part1_name] use a condom when you had anal sex in the last 6 months,"1, Always | 2, Sometimes | 3, Never | 99, Refused to answer"
x199,part1_positive,"60. When you were having a sexual relationship with [part1_name], do you think that he/she was HIV positive?","0, No | 1, Yes | 98, Don't Know | 99, Refused to answer"
x200,part1_on_arv,61. Do you think that [part1_name] was taking antiretroviral (ARV) drugs to treat their HIV/AIDS?,"0, No | 1, Yes | 98, Don't Know | 99, Refused to answer"
x201,part1_sex_influence,62. How often during sexual intercourse with [part1_name] were you having sex while under the influence of alcohol or other drugs?,"1, Always | 2, Sometimes | 3, Never | 99, Refused to answer"
x202,partner_2,63a. Is there a 2nd recent partner?,
x203,part2_name,"63. Nickname, marker, or first name",
x204,part2_period_start,64. Month/year sexual encounter(s)/relationship began with [part2_name],
x205,part2_period_end,65. Month/year sexual encounter(s)/relationship ended with [part2_name],
x206,part2_sex,66. [part2_name]'s sex,"1, Male | 2, Female | 3, Transgender Male | 4, Transgender Female | 5, Intersex | 77, Other | 98, Don't Know | 99, Refused to answer"
x207,why_prep_today_other,"Other, Specify",
x208,part2_age,67. About how old was [part2_name] the first time you had sex with [part2_name]? (in years),
x209,part2_type,"68. Keeping these definitions in mind, is [part2_name] your husband/wife (a spouse), a regular partner, or a casual partner?","1, Husband/wife (spouse) | 2, Regular partner | 3, Casual partner | 99, Refused to answer"
x210,part2_days_last_sex,69. On approximately how many days did you have sex with [part2_name] in the last 6 months?,"1, 1 | 2, Between 2-5 | 3, Between 6-10 | 4, More than 10 | 99, Refused to answer"
x211,part2_freq_gifts,70. How often did you give or receive money or gifts so that you would have sex with  [part2_name]?,"1, Always | 2, Sometimes | 3, Never | 99, Refused to answer"
x212,part2_vaginal_sex,71. Did you and [part2_name] have vaginal sex in the last 6 months?,"0, No | 1, Yes | 99, Refused to answer"
x213,part2_condom_use_vg,72. How often did you and [part2_name] use a condom when you had vaginal sex in the last 6 months,"1, Always | 2, Sometimes | 3, Never | 99, Refused to answer"
x214,part2anal_sex,73. Did you and [part2_name] have anal sex in the last 6 months?,"0, No | 1, Yes | 98, Don't Know | 99, Refused to answer"
x215,part2_condom_use_anal,74. How often did you and [part2_name] use a condom when you had anal sex in the last 6 months,"1, Always | 2, Sometimes | 3, Never | 99, Refused to answer"
x216,part2_positive,"75. When you were having a sexual relationship with [part2_name], do you think that [part2_name] was HIV positive?","0, No | 1, Yes | 98, Don't Know | 99, Refused to answer"
x217,part2_on_arv,76. Do you think that [part2_name] was taking antiretroviral (ARV) drugs to treat their HIV/AIDS?,"0, No | 1, Yes | 98, Don't Know | 99, Refused to answer"
x218,part2_sex_influence,77. How often during sexual intercourse with [part2_name] were you having sex while under the influence of alcohol or other drugs?,"1, Always | 2, Sometimes | 3, Never | 99, Refused to answer"
x219,partner_3,78a. Is there a 3rd recent partner?,
x220,part3_name,"78. Nickname, marker, or first name",
x221,part3_period_start,79. Month/year sexual encounter(s)/relationship began with [part3_name],
x222,part3_period_end,80. Month/year sexual encounter(s)/relationship ended with [part3_name],
x223,part3_sex,81. [part3_name]'s  sex,"1, Male | 2, Female | 3, Transgender Male | 4, Transgender Female | 98, Don't Know | 99, Refused to answer"
x224,part3_age,82. About how old was [part3_name] the first time you had sex with [part3_name]?,
x225,part3_type,"83. Keeping these definitions in mind, is [part3_name] your husband/wife (a spouse), a regular partner, or a casual partner?","1, Husband/wife (spouse) | 2, Regular partner | 3, Casual partner | 99, Refused to answer"
x226,part3_days_last_sex,84. On approximately how many days did you have sex with [part3_name] in the last 6 months?,"1, 1 | 2, Between 2-5 | 3, Between 6-10 | 4, More than 10 | 99, Refused to answer"
x227,part3_freq_gifts,85. How often did you give or receive money or gifts so that you would have sex with [part3_name]?,"1, Always | 2, Sometimes | 3, Never | 99, Refused to answer"
x228,part3_vaginal_sex,86. Did you and [part3_name] have vaginal sex in the last 6 months?,"0, No | 1, Yes | 99, Refused to answer"
x229,part3_condom_use_vg,87. How often did you and [part3_name] use a condom when you had vaginal sex in the last 6 months,"1, Always | 2, Sometimes | 3, Never | 99, Refused to answer"
x230,part3anal_sex,88. Did you and [part3_name] have anal sex in the last 6 months?,"0, No | 1, Yes | 98, Don't Know | 99, Refused to answer"
x231,part3_condom_use_anal,89. How often did you and [part3_name] use a condom when you had anal sex in the last 6 months,"1, Always | 2, Sometimes | 3, Never | 99, Refused to answer"
x232,part3_positive,"90. When you were having a sexual relationship with [part3_name], do you think that he/she was HIV positive?","0, No | 1, Yes | 98, Don't Know | 99, Refused to answer"
x233,part3_on_arv,91. Do you think that [part3_name] was taking antiretroviral (ARV) drugs to treat their HIV/AIDS?,"0, No | 1, Yes | 98, Don't Know | 99, Refused to answer"
x234,part3_sex_influence,92. How often during sexual intercourse with [part3_name] were you having sex while under the influence of alcohol or other drugs?,"1, Always | 2, Sometimes | 3, Never | 99, Refused to answer"
x235,,93. I would now want to ask you whether you consider yourself a part of one or more of the following groups:   - [for males only] men who have sex with men (MSM)   - a sex worker (SW)   - [for females only] a young woman between the age of 18-24 yrs (adolescent girl/young woman)   (choice=MSM),
x236,,93. I would now want to ask you whether you consider yourself a part of one or more of the following groups:   - [for males only] men who have sex with men (MSM)   - a sex worker (SW)   - [for females only] a young woman between the age of 18-24 yrs (adolescent girl/young woman)   (choice=Male SW),
x237,,93. I would now want to ask you whether you consider yourself a part of one or more of the following groups:   - [for males only] men who have sex with men (MSM)   - a sex worker (SW)   - [for females only] a young woman between the age of 18-24 yrs (adolescent girl/young woman)   (choice=Female SW),
