IRI,label,variable,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,forceTostring,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/ENVO_01000583,Refrigerator,jilindequestionnaire_data_2022-01-10_16241::x37,jilindequestionnaire_data_2022-01-10_16241,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,e. Do you have a refrigerator?,"1, Yes | 0, No | 98, Don't Know",value,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000614,Bicycle,jilindequestionnaire_data_2022-01-10_16241::x39,jilindequestionnaire_data_2022-01-10_16241,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,g. Do you have a bicycle?,"1, Yes | 0, No | 98, Don't Know",value,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000615,Motorcycle or scooter,jilindequestionnaire_data_2022-01-10_16241::x40,jilindequestionnaire_data_2022-01-10_16241,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,h. Do you have a motorcycle?,"1, Yes | 0, No | 98, Don't Know",value,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000171,Car or truck,jilindequestionnaire_data_2022-01-10_16241::x41,jilindequestionnaire_data_2022-01-10_16241,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,i. Do you have a car?,"1, Yes | 0, No | 98, Don't Know",value,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity ,jilindequestionnaire_data_2022-01-10_16241::x33,jilindequestionnaire_data_2022-01-10_16241,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,a. Do you have electricity in your house?,"1, Yes | 0, No | 98, Don't Know",variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054558,Microwave oven,jilindequestionnaire_data_2022-01-10_16241::x38,jilindequestionnaire_data_2022-01-10_16241,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,f. Do you have a microwave oven?,"1, Yes | 0, No | 98, Don't Know",value,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,,,,Household,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0022002,External wall material ,,jilindequestionnaire_data_2022-01-10_16241,,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,16. What is the MAIN type of outer walls of your house?    (OBSERVE WHERE POSSIBLE),,multifilter,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0048001,Brick or cement,jilindequestionnaire_data_2022-01-10_16241::x48_1,jilindequestionnaire_data_2022-01-10_16241,,Household,http://purl.obolibrary.org/obo/EUPATH_0022002,External wall material ,Bricks/cement/stone,,value,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0048005,Mud,jilindequestionnaire_data_2022-01-10_16241::x48_2,jilindequestionnaire_data_2022-01-10_16241,,Household,http://purl.obolibrary.org/obo/EUPATH_0022002,External wall material ,Clay/mud,,value,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0048006,Stick or wood,jilindequestionnaire_data_2022-01-10_16241::x48_3,jilindequestionnaire_data_2022-01-10_16241,,Household,http://purl.obolibrary.org/obo/EUPATH_0022002,External wall material ,Wood ,,value,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0048006,Stick or wood,jilindequestionnaire_data_2022-01-10_16241::x49_Timber,jilindequestionnaire_data_2022-01-10_16241,,Household,http://purl.obolibrary.org/obo/EUPATH_0022002,External wall material ,Timber,,value,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0055152,Iron sheets,jilindequestionnaire_data_2022-01-10_16241::x48_4,jilindequestionnaire_data_2022-01-10_16241,,Household,http://purl.obolibrary.org/obo/EUPATH_0022002,External wall material ,Iron sheets,,value,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0055153,Other,jilindequestionnaire_data_2022-01-10_16241::x48_5,jilindequestionnaire_data_2022-01-10_16241,,Household,http://purl.obolibrary.org/obo/EUPATH_0022002,External wall material ,Other,,value,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0055154,Rough Cast,jilindequestionnaire_data_2022-01-10_16241::x49_roughcast,jilindequestionnaire_data_2022-01-10_16241,,Household,http://purl.obolibrary.org/obo/EUPATH_0022002,External wall material ,Rough Cast,,variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0042036,Floor material type,jilindequestionnaire_data_2022-01-10_16241::x50,jilindequestionnaire_data_2022-01-10_16241,,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,17. What type of flooring is your house?    (OBSERVE WHERE POSSIBLE),,variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0042036,Floor material type,jilindequestionnaire_data_2022-01-10_16241::x51,jilindequestionnaire_data_2022-01-10_16241,,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Other specify,,variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,,jilindequestionnaire_data_2022-01-10_16241,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,12. Which of the following items are available in your household?,,multifilter,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0015683,Interview date,jilindequestionnaire_data_2022-01-10_16241::x10,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,interview_date,,variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054549,Record date,jilindequestionnaire_data_2022-01-10_16241::x7,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,record_date,,variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054552,Interview starting time,jilindequestionnaire_data_2022-01-10_16241::x11,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,start_time,,variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054553,Whether know birth month and year,jilindequestionnaire_data_2022-01-10_16241::x14,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,2. Do you know the month and year that you were born?,"1, Yes | 0, No | 98, Don't know",variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0025150,Toilet type,jilindequestionnaire_data_2022-01-10_16241::x46,jilindequestionnaire_data_2022-01-10_16241,,Household,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,15. What kind of toilet facility do you have in your house?,"1, Flush toilet | 2, Traditional pit latrine | 3, Ventilated/Improved pit/VIP toilet | 4, No facility/Bush/Field | 96, Other",variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0025150,Toilet type,jilindequestionnaire_data_2022-01-10_16241::x47,jilindequestionnaire_data_2022-01-10_16241,,Household,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,Other specify,,variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010099,Main drinking water source,jilindequestionnaire_data_2022-01-10_16241::x44,jilindequestionnaire_data_2022-01-10_16241,,Household,http://purl.obolibrary.org/obo/EUPATH_0000731,Household water,14. What is the MAIN source of drinking water for members of your household?,,variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010099,Main drinking water source,jilindequestionnaire_data_2022-01-10_16241::x45,jilindequestionnaire_data_2022-01-10_16241,,Household,http://purl.obolibrary.org/obo/EUPATH_0000731,Household water,Other specify,,variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054569,Complete form of section i ,jilindequestionnaire_data_2022-01-10_16241::x65,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Complete?,,variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054675,Complete form of section ii,jilindequestionnaire_data_2022-01-10_16241::x171,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Complete?,,variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054988,complete form of section iii,jilindequestionnaire_data_2022-01-10_16241::x484,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Complete?,,variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0055147,Record end time of interview,jilindequestionnaire_data_2022-01-10_16241::x649,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,RECORD END TIME OF INTERVIEW,,variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0055148,Total time spend on survey,jilindequestionnaire_data_2022-01-10_16241::x650,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,TOTAL TIME SPENT ON THIS SURVEY,"datediff([start_time],[end_time],""m"")",variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0055149,Remarks about interview,jilindequestionnaire_data_2022-01-10_16241::x651,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,"remax:191. General remarks about the interview (privacy, interruptions, distraction, etc)",,variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0055150,Data verification,jilindequestionnaire_data_2022-01-10_16241::x652,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,verification,,variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0055151,Complete form of section iv,jilindequestionnaire_data_2022-01-10_16241::x653,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,section_iv_complete,,variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010420,Consent for enrollment given,jilindequestionnaire_data_2022-01-10_16241::x3,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,consent_given,,variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0051787,Reason not consented,jilindequestionnaire_data_2022-01-10_16241::x5,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,reasonfor_notconsenting,,variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0053030,Consent language,jilindequestionnaire_data_2022-01-10_16241::x2,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,consenting_language,,variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0053070,Interview language,jilindequestionnaire_data_2022-01-10_16241::x12,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,language,,variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054547,Consent completed,jilindequestionnaire_data_2022-01-10_16241::x6,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,consent_complete,,variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054548,Consent date,jilindequestionnaire_data_2022-01-10_16241::x4,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,consent_date,,variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054162,Live together with spouse or partner,jilindequestionnaire_data_2022-01-10_16241::x22,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,"5. Is your regular partner currently living with you now, or does s/he stay elsewhere?",,variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000354,Main source of income,jilindequestionnaire_data_2022-01-10_16241::x52,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,18. What is your MAIN source of income?,,variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000354,Main source of income,jilindequestionnaire_data_2022-01-10_16241::x53,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Other specify,,variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000374,Marital status,jilindequestionnaire_data_2022-01-10_16241::x21,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,4. What is your current marital status?,"1, Single/Not married | 2, Married | 3, Cohabiting | 4, Divorced | 5, Separated | 6, Widowed | 7, In a relationship",variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030005,Birth year,jilindequestionnaire_data_2022-01-10_16241::x16,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,2b. Year of birth,,variable,,yes,,Jilinde_awareness_survey,years,http://purl.obolibrary.org/obo/UO_0000036,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0048052,Birth month,jilindequestionnaire_data_2022-01-10_16241::x15,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,2a. Month of birth,,variable,,yes,,Jilinde_awareness_survey,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0048278,Religion,jilindequestionnaire_data_2022-01-10_16241::x29,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,9. What is your religion?,"1, Roman Catholic | 2, Protestant/ Other Christian | 3, Seventh Day Adventist | 4, Muslim | 6, No religion | 96, Other",variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0048278,Religion,jilindequestionnaire_data_2022-01-10_16241::x30,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Other specify,,variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0051850,Total children count,jilindequestionnaire_data_2022-01-10_16241::x24,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,7. How many children do you have (By birth and adopted)?     (ENTER NUMBER OF CHILDREN),,variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054180,Monthly income ,jilindequestionnaire_data_2022-01-10_16241::x54,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,19. What is your net average monthly income from all sources in (Kshs)?,,variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054330,Whether have child,jilindequestionnaire_data_2022-01-10_16241::x23,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,6. Do you have any children?,"1, Yes | 0, No",variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054554,Age at last birthday,jilindequestionnaire_data_2022-01-10_16241::x17,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,2c. How old were you at your last birthday?    (COMPARE AND CORRECT IF INCONSISTENT),,variable,,yes,,Jilinde_awareness_survey,years,http://purl.obolibrary.org/obo/UO_0000036,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054555,Time living in dwelling by month,jilindequestionnaire_data_2022-01-10_16241::x26,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,How long have you been living here in [estate] continuously? Months,,variable,,,,Jilinde_awareness_survey,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054556,Consider as religious,jilindequestionnaire_data_2022-01-10_16241::x31,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"10. How religious do you consider yourself? Do you consider yourself strongly religious (or born again), somewhat religious, or not at all religious?","1, Strongly religious/born again | 2, Somewhat Religious | 3, Not at all religious",variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/OBI_0001169,Age,jilindequestionnaire_data_2022-01-10_16241::x18,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,2d. Age in completed years,,variable,,,,Jilinde_awareness_survey,years,http://purl.obolibrary.org/obo/UO_0000036,,,,,,,,
http://purl.obolibrary.org/obo/OMRSE_00002045,Education level,jilindequestionnaire_data_2022-01-10_16241::x19,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,3. What is the highest level of education you completed?,"1, None | 2, Nursery/kindergarten | 3, Primary | 4, Secondary | 5, Tertiary/Vocational | 6, College/University | 7, Adult education | 96, Other",variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/OMRSE_00002045,Education level,jilindequestionnaire_data_2022-01-10_16241::x20,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Other specify,,variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/PATO_0000047,Sex,jilindequestionnaire_data_2022-01-10_16241::x13,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,1. What was your sex at birth?,"1, Male | 2, Female",variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054538,Using social media and dating App ,,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,,,multifilter,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054539,Message that see on social media,,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,,,multifilter,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054542,Newspapers that read most,,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,,,multifilter,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054543,Magazines that read most,,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,,,multifilter,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054545,Favorite time for watching TV,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,,,multifilter,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054546,Frequency of visiting social networking sites,,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,,,multifilter,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054676,Read newspapers,jilindequestionnaire_data_2022-01-10_16241::x172,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,49. Do you read newspaper(s) (both print and online)?,"1, Yes | 0, No",variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054677,Frequency of reading newspapers,jilindequestionnaire_data_2022-01-10_16241::x173,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,50. How often do you read newspapers? Would you say it is..,,variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054711,Whether read magazines,jilindequestionnaire_data_2022-01-10_16241::x207,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,56. Do you read magazine(s)? (Both print and online),"1, Yes | 2, No",variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054712,Frequency of reading magazines,jilindequestionnaire_data_2022-01-10_16241::x208,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,57. How often do you read magazines? Would you say it was..,"1, A few times a year | 2, Once or twice a month | 3, Two or more days in a week | 4, Every day",variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054722,Magazines that read most specified,jilindequestionnaire_data_2022-01-10_16241::x218,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,Other specify,,value,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054747,Whether listen to radio,jilindequestionnaire_data_2022-01-10_16241::x243,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,63. Do you listen to the radio?,"1, Yes | 2, No",variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054748,Frequency of listening to radio in last month,jilindequestionnaire_data_2022-01-10_16241::x244,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,"64. In the last one month, how often have you listened to the radio? Would you say it was...?","1, Every day | 2, Two or more days in a week | 3, At least once a week | 4, Less than once a week",variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054749,When to listen to radio most,jilindequestionnaire_data_2022-01-10_16241::x245,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,65. When do you listen to radio the most?,"1, Weekdays (Monday to Friday) | 2, Weekends (Saturday or Sunday) | 3, Both",variable,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054750,Average time on listening to radio ,jilindequestionnaire_data_2022-01-10_16241::x246,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,"66. On average, how much time do you spend listening to radio every day?",,value,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0054757,Most listen radio station 1,jilindequestionnaire_data_2022-01-10_16241::x253,jilindequestionnaire_data_2022-01-10_16241,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,68. Which radio stations do you listen to Radio station 1,,variable,,,,Jilinde_awareness_survey,,,,,,,,,,
