colOrder,IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
13,http://purl.obolibrary.org/obo/EUPATH_0063401,Cluster name,h2_vill,,icemr_index_20230307,Cluster of household location,Household,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Cluster of household location,,,,,,,,SSA ICEMR Index,,,,,,,,,,
25,http://purl.obolibrary.org/obo/EUPATH_0064251,RDT type,rdt_kit,,icemr_index_20230307,,Sample,http://purl.obolibrary.org/obo/EUPATH_0021130,Blood eukaryote testing,"If did the RDT, please specify which RDT kit used",,,,,,,,SSA ICEMR Index,,,,,,,,,,
38,http://purl.obolibrary.org/obo/EUPATH_0064277,Malaria RDT sample,vs_samp_rdt,,icemr_index_20230307,,Participant,http://purl.obolibrary.org/obo/OBI_0000655,Blood sample,What types of blood samples or measurements have been collected from this person?,,,,,,,,SSA ICEMR Index,,,,,,,,,,
10,http://purl.obolibrary.org/obo/OBI_0001169,Age,s2_agex,,icemr_index_20230307,The resident's age in years,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,The resident's age in years,,,,,,,,SSA ICEMR Index,,years,http://purl.obolibrary.org/obo/UO_0000036,,,,,,,
15,http://purl.obolibrary.org/obo/OBI_0001508,Study timepoint,h2_schd,,icemr_index_20230307,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,Enrollment or Follow-Up schedule,"0=Day 0 - Enrollment, 1= Bi-weekly Visit, 2=Monthly Visit, 3=Day 3 - Usage Check-up, 7=Day 7 - Usage Check-up, 4= Day 14 - Usage Check-up, 5= Day 42 - G6PD (Index Case), 6=Re-Infection",,,,,,,SSA ICEMR Index,,,,,,,,,,
11,http://purl.obolibrary.org/obo/PATO_0000047,Sex,s2_sexx,,icemr_index_20230307,Gender of the study subject/patient,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Gender of the study subject/patient,"M=Male, F=Female",,,,,,,SSA ICEMR Index,,,,,,,,,,
14,http://purl.obolibrary.org/obo/EUPATH_0064451,Other cluster name,h2_vill99,,icemr_index_20230307,,Household,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Other Cluster Name,,,,,,,,SSA ICEMR Index,,,,,,,,,,
18,http://purl.obolibrary.org/obo/EUPATH_0064452,Days of antimalarial treatment left,h2_douf,,icemr_index_20230307,,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,"If not finished the PQ drug/dose on schedule, how many days of dose are left?",,,,,,,,SSA ICEMR Index,,,,,,,,,,
22,http://purl.obolibrary.org/obo/EUPATH_0064453,Glucose-6-phosphate dehydrogenase,lab_g6_p,,icemr_index_20230307,,Sample,http://purl.obolibrary.org/obo/OBI_0003040,Blood test,"G6PD, Glucose-6-phosphate dehydrogenase, unit: (IU/g Hb)",,,,,,,,SSA ICEMR Index,,IU/g Hb,http://purl.obolibrary.org/obo/NCIT_C122207,,,,,,,
33,http://purl.obolibrary.org/obo/EUPATH_0064454,"Plasmodium malariae asexual stages, by microscopy result",ms_pmad,,icemr_index_20230307,,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,P. malariae Asexual Density,,,,,,,,SSA ICEMR Index,,,,,,,,,,
34,http://purl.obolibrary.org/obo/EUPATH_0064455,"Plasmodium malariae gametocytes, by microscopy result",ms_pmgd,,icemr_index_20230307,,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,P. malariae Gametocyte Density,,,,,,,,SSA ICEMR Index,,,,,,,,,,
35,http://purl.obolibrary.org/obo/EUPATH_0064456,"Plasmodium ovale asexual stages, by microscopy result",ms_poad,,icemr_index_20230307,,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,P. ovale Asexual Density,,,,,,,,SSA ICEMR Index,,,,,,,,,,
36,http://purl.obolibrary.org/obo/EUPATH_0064457,"Plasmodium ovale gametocytes, by microscopy result",ms_pogd,,icemr_index_20230307,,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,P. ovale Gametocyte Density,,,,,,,,SSA ICEMR Index,,,,,,,,,,
40,http://purl.obolibrary.org/obo/EUPATH_0064458,G6P sample,vs_samp_g6p,,icemr_index_20230307,,Sample,http://purl.obolibrary.org/obo/OBI_0000655,Blood sample,What types of blood samples or measurements have been collected from this person?,,,,,,,,SSA ICEMR Index,,,,,,,,,,
41,http://purl.obolibrary.org/obo/EUPATH_0064459,Hemoglobin sample,vs_samp_hbx,,icemr_index_20230307,,Sample,http://purl.obolibrary.org/obo/OBI_0000655,Blood sample,What types of blood samples or measurements have been collected from this person?,,,,,,,,SSA ICEMR Index,,,,,,,,,,
,http://purl.obolibrary.org/obo/OBI_0003040,Blood test,,,,,Sample,http://purl.obolibrary.org/obo/OBI_0000070,Laboratory test,,,,,,,,,SSA ICEMR Index,,,,,,,,,,
,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,,,,,Sample,http://purl.obolibrary.org/obo/OBI_0003244,Raw test result for blood,,,,,,,,,SSA ICEMR Index,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,SSA ICEMR Index,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0021130,Blood eukaryote testing,,,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0020125,Blood microbiology tests procedures,,,,,,,,,SSA ICEMR Index,,,,,,,,,,
,http://purl.obolibrary.org/obo/OBI_0000655,Blood sample,,,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,,,,,,,,SSA ICEMR Index,,,,,,,,,,
,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,,,,,SSA ICEMR Index,,,,,,,,,,
,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,SSA ICEMR Index,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,,,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0033307,Eukaryota in blood,,,,,,,,,SSA ICEMR Index,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0011482,Blood sample collection process,,,,,Sample,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection process,,,,,,,,,SSA ICEMR Index,,,,,,,,,,
,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,SSA ICEMR Index,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,,,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,,,,,SSA ICEMR Index,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,SSA ICEMR Index,,,,,,,,,,
,http://purl.obolibrary.org/obo/OBI_0000070,Laboratory test,,,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,,,,,,,,SSA ICEMR Index,,,,,,,,,,
,http://purl.obolibrary.org/obo/OBI_0003244,Raw test result for blood,,,,,Sample,http://purl.obolibrary.org/obo/OBI_0002649,Blood microbiology test,,,,,,,,,SSA ICEMR Index,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,Participant,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,SSA ICEMR Index,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0020125,Blood microbiology tests procedures,,,,,Sample,http://purl.obolibrary.org/obo/OBI_0002649,Blood microbiology test,,,,,,,,,SSA ICEMR Index,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,,,,Sample,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,SSA ICEMR Index,,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0033307,Eukaryota in blood,,,,,Sample,http://purl.obolibrary.org/obo/OBI_0002649,Blood microbiology test,,,,,,,,,SSA ICEMR Index,,,,,,,,,,
,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection process,,,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,,,,,,,,SSA ICEMR Index,,,,,,,,,,
,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,Household,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,SSA ICEMR Index,,,,,,,,,,
,http://purl.obolibrary.org/obo/OBI_0002649,Blood microbiology test,,,,,Sample,http://purl.obolibrary.org/obo/OBI_0000070,Laboratory test,,,,,,,,,SSA ICEMR Index,,,,,,,,,,
