variable	variable	values	mappedTerm
etec_anyst	EUPATH_0010683	0	No
etec_anyst	EUPATH_0010683	1	Yes
etec_lt	EUPATH_0010746	0	No
etec_lt	EUPATH_0010746	1	Yes
etec_ltst	EUPATH_0015282	0	No
etec_ltst	EUPATH_0015282	1	Yes
etec_st	EUPATH_0010813	0	No
etec_st	EUPATH_0010813	1	Yes
f11_anti_amox	EUPATH_0015231	0	No
f11_anti_amox	EUPATH_0015231	1	Yes
f11_anti_ampi	EUPATH_0015220	0	No
f11_anti_ampi	EUPATH_0015220	1	Yes
f11_anti_azit	EUPATH_0015228	0	No
f11_anti_ceft	EUPATH_0031167	0	No
f11_anti_ceft	EUPATH_0031167	1	Yes
f11_anti_cephla	EUPATH_0031168	0	No
f11_anti_chlo	EUPATH_0015226	0	No
f11_anti_cipr	EUPATH_0015223	0	No
f11_anti_cotr	EUPATH_0015222	0	No
f11_anti_cotr	EUPATH_0015222	1	Yes
f11_anti_eryt	EUPATH_0015227	0	No
f11_anti_gent	EUPATH_0015225	0	No
f11_anti_gent	EUPATH_0015225	1	Yes
f11_anti_macr	EUPATH_0015229	0	No
f11_anti_metro	EUPATH_0031169	0	No
f11_anti_metro	EUPATH_0031169	1	Yes
f11_anti_nali	EUPATH_0015221	0	No
f11_anti_other	EUPATH_0015232	0	No
f11_anti_other	EUPATH_0015232	1	Yes
f11_anti_peni	EUPATH_0015230	0	No
f11_anti_sele	EUPATH_0015224	0	No
f11_antibiotic	EUPATH_0010218	0	No
f11_antibiotic	EUPATH_0010218	1	Yes
f11_antibiotic	EUPATH_0010218	9	Don't know
f11_blood	EUPATH_0015217	0	No
f11_blood	EUPATH_0015217	1	Yes
f11_caryblair	EUPATH_0010564	0	No
f11_caryblair	EUPATH_0010564	1	Yes
f11_consistency	EUPATH_0010217	1	Grade 1 (formed)
f11_consistency	EUPATH_0010217	2	Grade 2 (soft)
f11_consistency	EUPATH_0010217	3	Grade 3 (thick liquid)
f11_consistency	EUPATH_0010217	4	Grade 4 (opaque watery)
f11_consistency	EUPATH_0010217	5	Grade 5 (rice water-clear watery)
f11_glycerol	EUPATH_0031136	0	No
f11_glycerol	EUPATH_0031136	1	Yes
f11_mucus	f11_mucus	0	No
f11_mucus	f11_mucus	1	Yes
f11_pus	EUPATH_0015218	0	No
f11_pus	EUPATH_0015218	1	Yes
f11_rectal_swab	EUPATH_0010221	0	No
f11_rectal_swab	EUPATH_0010221	1	Yes
f15_acceptable	EUPATH_0031119	1	Yes
f15_apw	EUPATH_0031127	0	No
f15_apw	EUPATH_0031127	1	Yes
f15_archive1	EUPATH_0031124	0	No
f15_archive1	EUPATH_0031124	1	Yes
f15_archive2	EUPATH_0031125	0	No
f15_archive2	EUPATH_0031125	1	Yes
f15_archive3	EUPATH_0031126	0	No
f15_archive3	EUPATH_0031126	1	Yes
f15_campy	EUPATH_0031128	0	No
f15_campy	EUPATH_0031128	1	Yes
f15_cold	EUPATH_0031120	0	No
f15_cold	EUPATH_0031120	1	Yes
f15_collect_rect	EUPATH_0010221	0	No
f15_collect_rect	EUPATH_0010221	1	Yes
f15_collect_stool	EUPATH_0031040	0	No
f15_collect_stool	EUPATH_0031040	1	Yes
f15_labeled	EUPATH_0031039	0	No
f15_labeled	EUPATH_0031039	1	Yes
f15_mac	EUPATH_0031129	0	No
f15_mac	EUPATH_0031129	1	Yes
f15_parasites	EUPATH_0031121	0	No
f15_parasites	EUPATH_0031121	1	Yes
f15_ryan	EUPATH_0031118	0	No
f15_ryan	EUPATH_0031118	1	Yes
f15_tcbs	EUPATH_0031132	0	No
f15_tcbs	EUPATH_0031132	1	Yes
f15_tightshut	EUPATH_0031037	0	No
f15_tightshut	EUPATH_0031037	1	Yes
f15_viruses_elisa	EUPATH_0031122	0	No
f15_viruses_elisa	EUPATH_0031122	1	Yes
f15_viruses_pcr	EUPATH_0031123	0	No
f15_viruses_pcr	EUPATH_0031123	1	Yes
f15_wt_volume	EUPATH_0031131	0	No
f15_wt_volume	EUPATH_0031131	1	Yes
f15_xld	EUPATH_0031130	0	No
f15_xld	EUPATH_0031130	1	Yes
f16_aeromonas	EUPATH_0010603	0	No
f16_aeromonas	EUPATH_0010603	1	Yes
f16_campy_coli	EUPATH_0015315	0	No
f16_campy_coli	EUPATH_0015315	1	Yes
f16_campy_jejuni	EUPATH_0015316	0	No
f16_campy_jejuni	EUPATH_0015316	1	Yes
f16_campy_nonjej	EUPATH_0015299	0	No
f16_campy_nonjej	EUPATH_0015299	1	Yes
f16_ecoli	EUPATH_0010630	0	No
f16_ecoli	EUPATH_0010630	1	Yes
f16_nogrowth	EUPATH_0031142	0	No
f16_nogrowth	EUPATH_0031142	1	Yes
f16_nonepathos	EUPATH_0031143	0	No
f16_nonepathos	EUPATH_0031143	1	Yes
f16_salm_nontyphi	EUPATH_0015295	0	No
f16_salm_nontyphi	EUPATH_0015295	1	Yes
f16_salm_selbroth1	EUPATH_0031170	0	No
f16_salm_selbroth1	EUPATH_0031170	1	Yes
f16_salm_selbroth2	EUPATH_0031170	0	No
f16_salm_selbroth2	EUPATH_0031170	1	Yes
f16_salm_typhi	EUPATH_0015294	0	No
f16_salm_typhi	EUPATH_0015294	1	Yes
f16_shig_spp	EUPATH_0010805	0	No
f16_shig_spp	EUPATH_0010805	1	Yes
f16_vchol_bio	EUPATH_0031146	1	El Tor
f16_vchol_bio	EUPATH_0031146	3	Not tested
f16_vchol_sero1	EUPATH_0031147	1	O1
f16_vchol_sero1	EUPATH_0031147	4	Not tested
f16_vchol_sero2	EUPATH_0015464	2	Ogawa
f16_vib_cholerae	EUPATH_0015306	0	No
f16_vib_cholerae	EUPATH_0015306	1	Yes
f16_vib_other	EUPATH_0015312	0	No
f16_vib_other	EUPATH_0015312	1	Yes
f16_vib_parahaem	EUPATH_0015322	0	No
f16_vib_parahaem	EUPATH_0015322	1	Yes
f17_dupl_comp	EUPATH_0031171	1	Test performed
f17_dupl_comp	EUPATH_0031171	2	Not performed
f17_dupl_eae	EUPATH_0015425	0	No
f17_dupl_eae	EUPATH_0015425	1	Yes
f17_dupl_st	EUPATH_0015453	0	No
f17_dupl_st	EUPATH_0015453	1	Yes
f17_mono_bfpa	EUPATH_0015409	0	No
f17_mono_bfpa	EUPATH_0015409	1	Yes
f17_mono_comp	EUPATH_0015408	1	Test performed
f17_mono_comp	EUPATH_0015408	2	Not performed
f17_multi_comp	EUPATH_0031086	1	Test performed
f17_multi_comp	EUPATH_0031086	2	Not performed
f17_multi2_comp	EUPATH_0031086	1	Test performed
f17_multi2_comp	EUPATH_0031086	2	Not performed
f17_multi2_eae	EUPATH_0031300	0	No
f17_multi2_eae	EUPATH_0031300	1	Yes
f17_multi2_efa	EUPATH_0015314	0	No
f17_multi2_efa	EUPATH_0015314	1	Yes
f17_multi2_sen	EUPATH_0015313	0	No
f17_multi2_sen	EUPATH_0015313	1	Yes
f17_multi2_stx1	EUPATH_0010687	0	No
f17_multi2_stx1	EUPATH_0010687	1	Yes
f17_multi2_stx2	EUPATH_0010691	0	No
f17_multi2_stx2	EUPATH_0010691	1	Yes
f17_result_aaic	EUPATH_0010659	0	No
f17_result_aaic	EUPATH_0010659	1	Yes
f17_result_aata	EUPATH_0010663	0	No
f17_result_aata	EUPATH_0010663	1	Yes
f17_result_bfpa	EUPATH_0015318	0	No
f17_result_bfpa	EUPATH_0015318	1	Yes
f17_result_eae	EUPATH_0010671	0	No
f17_result_eae	EUPATH_0010671	1	Yes
f17_result_eltb	EUPATH_0010679	0	No
f17_result_eltb	EUPATH_0010679	1	Yes
f17_result_esta	EUPATH_0015317	0	No
f17_result_esta	EUPATH_0015317	1	Yes
f18_res_adeno4041	EUPATH_0015288	0	Negative
f18_res_adeno4041	EUPATH_0015288	1	Positive
f18_res_adeno4041	EUPATH_0015288	9	Test not done
f18_res_adenovirus	EUPATH_0010599	0	Negative
f18_res_adenovirus	EUPATH_0010599	1	Positive
f18_res_cryptospor	EUPATH_0011000	0	Negative
f18_res_cryptospor	EUPATH_0011000	1	Positive
f18_res_cryptospor	EUPATH_0011000	9	Test not done
f18_res_entamoeba	EUPATH_0010695	0	Negative
f18_res_entamoeba	EUPATH_0010695	1	Positive
f18_res_giardia	EUPATH_0031301	0	Negative
f18_res_giardia	EUPATH_0031301	1	Positive
f18_res_rotavirus	EUPATH_0010793	0	Negative
f18_res_rotavirus	EUPATH_0010793	1	Positive
f19_astro_virus	EUPATH_0015329	0	Negative
f19_astro_virus	EUPATH_0015329	1	Positive
f19_noro_gi	EUPATH_0010771	0	Negative
f19_noro_gi	EUPATH_0010771	1	Positive
f19_noro_gii	EUPATH_0010775	0	Negative
f19_noro_gii	EUPATH_0010775	1	Positive
f19_noro_gii	EUPATH_0010775	9	Test not done
f19_sapo_virus	EUPATH_0015296	0	Negative
f19_sapo_virus	EUPATH_0015296	1	Positive
f2_gender	PATO_0000047	1	Male
f2_gender	PATO_0000047	2	Female
f2_hosp	EUPATH_0010995	0	No
f2_hosp	EUPATH_0010995	1	Yes
f2_loose_stools	EUPATH_0010410	0	No
f2_loose_stools	EUPATH_0010410	1	Yes
f3_abn_loose	EUPATH_0010410	1	Yes
f3_age59	EUPATH_0010409	1	Yes
f3_antibiotic	EUPATH_0010421	0	No
f3_antibiotic	EUPATH_0010421	1	Yes
f3_child_dss	EUPATH_0010407	1	Yes
f3_child_elig	EUPATH_0010418	1	Yes
f3_child_enroll	EUPATH_0010424	1	Yes
f3_drh_7	EUPATH_0010411	1	Yes
f3_drh_dys	EUPATH_0010416	0	No
f3_drh_dys	EUPATH_0010416	1	Yes
f3_drh_hosp	EUPATH_0010417	0	No
f3_drh_hosp	EUPATH_0010417	1	Yes
f3_drh_iv	EUPATH_0010415	0	No
f3_drh_iv	EUPATH_0010415	1	Yes
f3_drh_sunkeyes	EUPATH_0010413	0	No
f3_drh_sunkeyes	EUPATH_0010413	1	Yes
f3_drh_turgor	EUPATH_0010414	0	No
f3_drh_turgor	EUPATH_0010414	1	Yes
f3_drh7day	EUPATH_0010412	1	Yes
f3_elig_saliva	EUPATH_0031009	0	No
f3_elig_saliva	EUPATH_0031009	1	Yes
f3_hosp	EUPATH_0010417	0	No
f3_hosp	EUPATH_0010417	1	Yes
f3_hosp_dys	EUPATH_0031072	0	No
f3_hosp_nondys	EUPATH_0031071	0	No
f3_hosp_nondys	EUPATH_0031071	1	Yes
f3_not_gems	EUPATH_0010408	1	Yes
f3_rect_swab	EUPATH_0010423	1	Yes
f3_stool_smpl	EUPATH_0010422	0	No
f3_stool_smpl	EUPATH_0010422	1	Yes
f3_vida_con	EUPATH_0031035	1	Yes
f3_vida_elig	EUPATH_0031011	1	Yes
f3_vpl_elig	EUPATH_0031010	0	No
f4a_ani_cat	EUPATH_0015027	0	No
f4a_ani_cat	EUPATH_0015027	1	Yes
f4a_ani_cow	EUPATH_0015028	0	No
f4a_ani_cow	EUPATH_0015028	1	Yes
f4a_ani_dog	EUPATH_0015026	0	No
f4a_ani_dog	EUPATH_0015026	1	Yes
f4a_ani_donk	EUPATH_0031148	0	No
f4a_ani_donk	EUPATH_0031148	1	Yes
f4a_ani_fowl	EUPATH_0015030	0	No
f4a_ani_fowl	EUPATH_0015030	1	Yes
f4a_ani_goat	EUPATH_0015024	0	No
f4a_ani_goat	EUPATH_0015024	1	Yes
f4a_ani_hors	EUPATH_0031149	0	No
f4a_ani_hors	EUPATH_0031149	1	Yes
f4a_ani_no	EUPATH_0015032	0	No
f4a_ani_no	EUPATH_0015032	1	Yes
f4a_ani_other	EUPATH_0015031	0	No
f4a_ani_other	EUPATH_0015031	1	Yes
f4a_ani_pig	EUPATH_0031151	0	No
f4a_ani_pig	EUPATH_0031151	1	Yes
f4a_ani_rodents	EUPATH_0015029	0	No
f4a_ani_rodents	EUPATH_0015029	1	Yes
f4a_ani_sheep	EUPATH_0015025	0	No
f4a_ani_sheep	EUPATH_0015025	1	Yes
f4a_any_vomit	EUPATH_0031116	0	No
f4a_any_vomit	EUPATH_0031116	1	Yes
f4a_cur_bmilk	EUPATH_0031305	0	No
f4a_cur_bmilk	EUPATH_0031305	1	Yes
f4a_cur_drymouth	EUPATH_0015080	0	No
f4a_cur_drymouth	EUPATH_0015080	1	Yes
f4a_cur_drymouth	EUPATH_0015080	9	Don't know
f4a_cur_fastbreath	EUPATH_0015081	0	No
f4a_cur_fastbreath	EUPATH_0015081	1	Yes
f4a_cur_fdrk	EUPATH_0031307	0	No
f4a_cur_fdrk	EUPATH_0031307	1	Yes
f4a_cur_fdrk	EUPATH_0031307	9	Don't know
f4a_cur_h2o	EUPATH_0031306	0	No
f4a_cur_h2o	EUPATH_0031306	1	Yes
f4a_cur_h2o	EUPATH_0031306	9	Don't know
f4a_cur_lethrgy	EUPATH_0015079	0	No
f4a_cur_lethrgy	EUPATH_0015079	1	Yes
f4a_cur_nodrink	EUPATH_0015075	0	No
f4a_cur_nodrink	EUPATH_0015075	1	Yes
f4a_cur_nodrink	EUPATH_0015075	9	Don't know
f4a_cur_restless	EUPATH_0015078	0	No
f4a_cur_restless	EUPATH_0015078	1	Yes
f4a_cur_restless	EUPATH_0015078	9	Don't know
f4a_cur_skin	EUPATH_0015077	0	No
f4a_cur_skin	EUPATH_0015077	1	Yes
f4a_cur_skin	EUPATH_0015077	9	Don't know
f4a_cur_sunkeyes	EUPATH_0015076	0	No
f4a_cur_sunkeyes	EUPATH_0015076	1	Yes
f4a_cur_sunkeyes	EUPATH_0015076	9	Don't know
f4a_cur_thirsty	EUPATH_0015074	0	No
f4a_cur_thirsty	EUPATH_0015074	1	Yes
f4a_cur_thirsty	EUPATH_0015074	9	Don't know
f4a_dad_live	EUPATH_0000676	1	Living in household
f4a_dad_live	EUPATH_0000676	2	Living outside of household
f4a_dad_live	EUPATH_0000676	3	Abroad
f4a_dad_live	EUPATH_0000676	4	Whereabouts unknown
f4a_dad_live	EUPATH_0000676	5	Died
f4a_daily_max	EUPATH_0010240	1	3
f4a_daily_max	EUPATH_0010240	2	4 to 5
f4a_daily_max	EUPATH_0010240	3	6 to 10
f4a_daily_max	EUPATH_0010240	4	More than 10 times per day
f4a_dpt_type	EUPATH_0031321	1	DPT
f4a_dpt_type	EUPATH_0031321	2	Pentavalent
f4a_dpt_type	EUPATH_0031321	9	Don't know
f4a_dpt1	EUPATH_0031211	0	No
f4a_dpt1	EUPATH_0031211	1	Yes
f4a_dpt1	EUPATH_0031211	9	Don't know
f4a_dpt2	EUPATH_0031212	0	No
f4a_dpt2	EUPATH_0031212	1	Yes
f4a_dpt2	EUPATH_0031212	9	Don't know
f4a_dpt3	EUPATH_0031214	0	No
f4a_dpt3	EUPATH_0031214	1	Yes
f4a_dpt3	EUPATH_0031214	9	Don't know
f4a_drh_bellypain	EUPATH_0015706	0	No
f4a_drh_bellypain	EUPATH_0015706	1	Yes
f4a_drh_bellypain	EUPATH_0015706	9	Don't know
f4a_drh_blood	EUPATH_0015059	0	No
f4a_drh_blood	EUPATH_0015059	1	Yes
f4a_drh_blood	EUPATH_0015059	9	Don't know
f4a_drh_breath	EUPATH_0015072	0	No
f4a_drh_breath	EUPATH_0015072	1	Yes
f4a_drh_breath	EUPATH_0015072	9	Don't know
f4a_drh_consc	EUPATH_0015068	0	No
f4a_drh_consc	EUPATH_0015068	1	Yes
f4a_drh_consc	EUPATH_0015068	9	Don't know
f4a_drh_conv	EUPATH_0015073	0	No
f4a_drh_conv	EUPATH_0015073	1	Yes
f4a_drh_cough	EUPATH_0015707	0	No
f4a_drh_cough	EUPATH_0015707	1	Yes
f4a_drh_fever	EUPATH_0015059	0	No
f4a_drh_fever	EUPATH_0015059	1	Yes
f4a_drh_fever	EUPATH_0015059	9	Don't know
f4a_drh_lessdrink	EUPATH_0015062	0	No
f4a_drh_lessdrink	EUPATH_0015062	1	Yes
f4a_drh_lessdrink	EUPATH_0015062	9	Don't know
f4a_drh_lethrgy	EUPATH_0015067	0	No
f4a_drh_lethrgy	EUPATH_0015067	1	Yes
f4a_drh_lethrgy	EUPATH_0015067	9	Don't know
f4a_drh_prolapse	EUPATH_0015070	0	No
f4a_drh_prolapse	EUPATH_0015070	1	Yes
f4a_drh_prolapse	EUPATH_0015070	9	Don't know
f4a_drh_restless	EUPATH_0015066	0	No
f4a_drh_restless	EUPATH_0015066	1	Yes
f4a_drh_stools	EUPATH_0010239	1	Simple watery
f4a_drh_stools	EUPATH_0010239	2	Rice watery stool
f4a_drh_stools	EUPATH_0010239	3	Sticky muccoid
f4a_drh_stools	EUPATH_0010239	4	Bloody
f4a_drh_strain	EUPATH_0015069	0	No
f4a_drh_strain	EUPATH_0015069	1	Yes
f4a_drh_strain	EUPATH_0015069	9	Don't know
f4a_drh_thirst	EUPATH_0015061	0	No
f4a_drh_thirst	EUPATH_0015061	1	Yes
f4a_drh_thirst	EUPATH_0015061	9	Don't know
f4a_drh_undrink	EUPATH_0015063	0	No
f4a_drh_undrink	EUPATH_0015063	1	Yes
f4a_drh_undrink	EUPATH_0015063	9	Don't know
f4a_fetch_water	EUPATH_0010234	0	No
f4a_fetch_water	EUPATH_0010234	1	Yes
f4a_finfl	EUPATH_0031049	1	Parquet or polished wood
f4a_finfl	EUPATH_0031049	2	Vinyl or asphalt strips
f4a_finfl	EUPATH_0031049	3	Ceramic tile
f4a_finfl	EUPATH_0031049	4	Cement
f4a_finfl	EUPATH_0031049	5	Carpet
f4a_freq_vomit	EUPATH_0015675	1	1
f4a_freq_vomit	EUPATH_0015675	2	2 to 4
f4a_freq_vomit	EUPATH_0015675	3	5 or more
f4a_fuel_biogas	EUPATH_0015013	0	No
f4a_fuel_biogas	EUPATH_0015013	1	Yes
f4a_fuel_but	EUPATH_0031196	0	No
f4a_fuel_but	EUPATH_0031196	1	Yes
f4a_fuel_charcoal	EUPATH_0015019	0	No
f4a_fuel_charcoal	EUPATH_0015019	1	Yes
f4a_fuel_coal	EUPATH_0015016	0	No
f4a_fuel_coal	EUPATH_0015016	1	Yes
f4a_fuel_crop	EUPATH_0015020	0	No
f4a_fuel_crop	EUPATH_0015020	1	Yes
f4a_fuel_dung	EUPATH_0015017	0	No
f4a_fuel_dung	EUPATH_0015017	1	Yes
f4a_fuel_elec	EUPATH_0015012	0	No
f4a_fuel_elec	EUPATH_0015012	1	Yes
f4a_fuel_grass	EUPATH_0015014	0	No
f4a_fuel_grass	EUPATH_0015014	1	Yes
f4a_fuel_kero	EUPATH_0015021	0	No
f4a_fuel_kero	EUPATH_0015021	1	Yes
f4a_fuel_natgas	EUPATH_0015018	0	No
f4a_fuel_natgas	EUPATH_0015018	1	Yes
f4a_fuel_other	EUPATH_0015023	0	No
f4a_fuel_propane	EUPATH_0015015	0	No
f4a_fuel_propane	EUPATH_0015015	1	Yes
f4a_fuel_wood	EUPATH_0015022	0	No
f4a_fuel_wood	EUPATH_0015022	1	Yes
f4a_hometrt_ab	EUPATH_0015089	0	No
f4a_hometrt_ab	EUPATH_0015089	1	Yes
f4a_hometrt_herb	EUPATH_0015085	0	No
f4a_hometrt_herb	EUPATH_0015085	1	Yes
f4a_hometrt_maize	EUPATH_0015083	0	No
f4a_hometrt_maize	EUPATH_0015083	1	Yes
f4a_hometrt_milk	EUPATH_0015084	0	No
f4a_hometrt_milk	EUPATH_0015084	1	Yes
f4a_hometrt_none	EUPATH_0015087	0	No
f4a_hometrt_none	EUPATH_0015087	1	Yes
f4a_hometrt_ors	EUPATH_0015082	0	No
f4a_hometrt_ors	EUPATH_0015082	1	Yes
f4a_hometrt_othr1	EUPATH_0015090	0	No
f4a_hometrt_othr1	EUPATH_0015090	1	Yes
f4a_hometrt_othr2	EUPATH_0015090	0	No
f4a_hometrt_othr2	EUPATH_0015090	1	Yes
f4a_hometrt_othrliq	EUPATH_0015088	0	No
f4a_hometrt_othrliq	EUPATH_0015088	1	Yes
f4a_hometrt_zinc	EUPATH_0015086	0	No
f4a_hometrt_zinc	EUPATH_0015086	1	Yes
f4a_house_agland	EUPATH_0015008	0	No
f4a_house_agland	EUPATH_0015008	1	Yes
f4a_house_bike	EUPATH_0015001	0	No
f4a_house_bike	EUPATH_0015001	1	Yes
f4a_house_boat	EUPATH_0000179	0	No
f4a_house_boat	EUPATH_0000179	1	Yes
f4a_house_car	EUPATH_0000171	0	No
f4a_house_car	EUPATH_0000171	1	Yes
f4a_house_cart	EUPATH_0000166	0	No
f4a_house_cart	EUPATH_0000166	1	Yes
f4a_house_elec	EUPATH_0021084	0	No
f4a_house_elec	EUPATH_0021084	1	Yes
f4a_house_fridge	ENVO_01000583	0	No
f4a_house_fridge	ENVO_01000583	1	Yes
f4a_house_none	EUPATH_0015011	0	No
f4a_house_none	EUPATH_0015011	1	Yes
f4a_house_phone	ENVO_01000580	0	No
f4a_house_phone	ENVO_01000580	1	Yes
f4a_house_radio	ENVO_01000577	0	No
f4a_house_radio	ENVO_01000577	1	Yes
f4a_house_scoot	ENVO_01000615	0	No
f4a_house_scoot	ENVO_01000615	1	Yes
f4a_house_tele	ENVO_01000579	0	No
f4a_house_tele	ENVO_01000579	1	Yes
f4a_ipv1	EUPATH_0031230	0	No
f4a_ipv1	EUPATH_0031230	1	Yes
f4a_ipv1	EUPATH_0031230	9	Don't know
f4a_ipv2	EUPATH_0031234	0	No
f4a_ipv2	EUPATH_0031234	1	Yes
f4a_ipv2	EUPATH_0031234	9	Don't know
f4a_ipv2_hcid	EUPATH_0031236	2	
f4a_ipv2_hcid	EUPATH_0031236	6	
f4a_ipv2_hcid	EUPATH_0031236	8	
f4a_ipv2_hcid	EUPATH_0031236	13	
f4a_ipv2_hcid	EUPATH_0031236	90	
f4a_ipv2_hcid	EUPATH_0031236	103	
f4a_ipv2_hcid	EUPATH_0031236	107	
f4a_ipv2_hcid	EUPATH_0031236	108	
f4a_ipv2_hcid	EUPATH_0031236	311	
f4a_ipv3	EUPATH_0031238	0	No
f4a_ipv3	EUPATH_0031238	1	Yes
f4a_ipv3	EUPATH_0031238	9	Don't know
f4a_ipv3_hcid	EUPATH_0031241	2	
f4a_ipv3_hcid	EUPATH_0031241	13	
f4a_ipv3_hcid	EUPATH_0031241	90	
f4a_ipv3_hcid	EUPATH_0031241	103	
f4a_ipv3_hcid	EUPATH_0031241	108	
f4a_main_waste	EUPATH_0000335	1	Flush or pour-flush toilet to: piped sewer system; septic tank; or pit latrine
f4a_main_waste	EUPATH_0000335	2	Flush or pour-flush toilet to elsewhere
f4a_main_waste	EUPATH_0000335	3	Bucket
f4a_main_waste	EUPATH_0000335	4	VIP
f4a_main_waste	EUPATH_0000335	5	Pit latrine with slab
f4a_main_waste	EUPATH_0000335	6	Pit latrine without slab or open pit
f4a_main_waste	EUPATH_0000335	9	No facility
f4a_mom_live	EUPATH_0010127	1	Living in household
f4a_mom_live	EUPATH_0010127	2	Living outside of household
f4a_mom_live	EUPATH_0010127	3	Abroad
f4a_mom_live	EUPATH_0010127	4	Whereabouts unknown
f4a_mom_live	EUPATH_0010127	5	Died
f4a_ms_water	EUPATH_0010099	1	Piped into house
f4a_ms_water	EUPATH_0010099	2	Piped into yard
f4a_ms_water	EUPATH_0010099	3	Public tap
f4a_ms_water	EUPATH_0010099	4	Open well in house or yard
f4a_ms_water	EUPATH_0010099	5	Open public well
