Ontology Term IRIs	Ontology Term Label	EuPathDB Preferred Labels	EupathDB Preferred Definitions
http://purl.obolibrary.org/obo/EUPATH_0000046	severe malaria symptom or sign	severe malaria symptom	symptom or sign that is used for the diagnosis of severe malaria based on World Health Organization criteria.
http://purl.obolibrary.org/obo/PATO_0000047	biological sex	sex	Either of the two main categories (male and female) into which humans and many other living things are divided on the basis of their reproductive functions
http://purl.obolibrary.org/obo/EUPATH_0000036	diagnosis of malaria	symptomatic malaria	
http://purl.obolibrary.org/obo/EUPATH_0000110	organismal body temperature measurement datum	temperature	Organismal body temperature
http://purl.obolibrary.org/obo/EUPATH_0000021	toilet	toilet type	A sanitation fixture used primarily for the disposal of human urine and feces.
http://purl.obolibrary.org/obo/EUPATH_0000125	number of routine clinical visits	total num routine visits	The total number of clinical visits which were part of the routine visit schedule.
http://purl.obolibrary.org/obo/EUPATH_0000121	number of clinical visits	total num visits	The total number of clinical visits by a participant.
http://purl.obolibrary.org/obo/EUPATH_0000054	district in Uganda	Ugandan district	District which is part of Uganda.
http://purl.obolibrary.org/obo/EUPATH_0000038	diagnosis of uncomplicated malaria	uncomplicated malaria	Symptomatic malaria without evidence of complicated malaria. In Uganda, diagnoses of uncomplicated malaria are always followed by treatment with Artemether/lumefantrine.
http://purl.obolibrary.org/obo/EUPATH_0000088	diagnosis of uncomplicated malaria in the 1st trimester of pregnancy	uncomplicated malaria with pregnancy	uncomplicated malaria that occurs with the first trimester of pregnancy.
http://purl.obolibrary.org/obo/EUPATH_0000009	wall material	wall material	A material used in the construction of a wall.
http://purl.bioontology.org/ontology/MEDDRA/10017076	Fracture	fracture (bone)	
http://purl.bioontology.org/ontology/SNOMEDCT/125666000	Burn	burns	
http://purl.bioontology.org/ontology/SNOMEDCT/125670008	Foreign body	foreign body	
http://purl.bioontology.org/ontology/SNOMEDCT/128936008	Bacterial infection of skin	bacterial skin infection	
http://purl.bioontology.org/ontology/SNOMEDCT/282026002	Soft tissue injury	soft tissue injury	
http://purl.bioontology.org/ontology/SNOMEDCT/31986002	Animal bite	animal bite	
http://purl.bioontology.org/ontology/SNOMEDCT/7520000	Pyrexia of unknown origin	fever without source (fws)	
http://purl.obolibrary.org/obo/DOID_0050134	cutaneous mycosis	skin infection, fungal	
http://purl.obolibrary.org/obo/DOID_0050288	penicilliosis	penicilliosis	
http://purl.obolibrary.org/obo/DOID_0050486	exanthem	rash, allergic	
http://purl.obolibrary.org/obo/DOID_0060312	angular cheilitis	angular chelitis	
http://purl.obolibrary.org/obo/DOID_0060320	inguinal hernia	hernia - inguinal	
http://purl.obolibrary.org/obo/DOID_0060322	mastoiditis	mastoiditis	
http://purl.obolibrary.org/obo/DOID_0060324	dental abscess	dental abscess	
http://purl.obolibrary.org/obo/DOID_10003	sensorineural hearing loss	hearing loss / deficit	
http://purl.obolibrary.org/obo/DOID_10264	mumps	mumps	
http://purl.obolibrary.org/obo/DOID_10301	parotitis	parotitis	
http://purl.obolibrary.org/obo/DOID_10456	tonsillitis	tonsillitis	
http://purl.obolibrary.org/obo/DOID_10459	common cold	common cold / flu	
http://purl.obolibrary.org/obo/DOID_10754	otitis media	otitis media - nonsuppurative or otitis media - suppurative	
http://purl.obolibrary.org/obo/DOID_11338	tetanus	tetanus	
http://purl.obolibrary.org/obo/DOID_1176	bronchial disease	bronchospasm	
http://purl.obolibrary.org/obo/DOID_1227	neutropenia	neutropenia - general	
http://purl.obolibrary.org/obo/DOID_12328	marasmus	marasmus	
http://purl.obolibrary.org/obo/DOID_12365	malaria	malaria	
http://purl.obolibrary.org/obo/DOID_12384	dysentery	dysentery	
http://purl.obolibrary.org/obo/DOID_13117	paronychia	nail infection, fungal or paronychia	
http://purl.obolibrary.org/obo/DOID_13148	acute cystitis	urinary tract infection	
http://purl.obolibrary.org/obo/DOID_13250	diarrhea	diarrhea - acute or diarrhea - persistent (> 14 days)	
http://purl.obolibrary.org/obo/DOID_13258	typhoid fever	typhoid	
http://purl.obolibrary.org/obo/DOID_1456	glossitis	glossitis	
http://purl.obolibrary.org/obo/DOID_1498	cholera	cholera	
http://purl.obolibrary.org/obo/DOID_1508	candidiasis	candiasis - oral	
http://purl.obolibrary.org/obo/DOID_1555	urticaria	urticaria	
http://purl.obolibrary.org/obo/DOID_1602	lymphadenitis	lymphadenitis	
http://purl.obolibrary.org/obo/DOID_2089	constipation	constipation	
http://purl.obolibrary.org/obo/DOID_216	dental caries	dental caries	
http://purl.obolibrary.org/obo/DOID_2176	carbuncle	carbuncle/furuncle	
http://purl.obolibrary.org/obo/DOID_2275	pharyngitis	pharyngitis or upper respiratory tract infection (urti)	
http://purl.obolibrary.org/obo/DOID_2321	dyspepsia	dyspepsia / gastritis	
http://purl.obolibrary.org/obo/DOID_2326	gastroenteritis	gastroenteritis	
http://purl.obolibrary.org/obo/DOID_2355	anemia	anaemia - general	
http://purl.obolibrary.org/obo/DOID_2723	dermatitis	dermatitis - atopic or dermatitis - papular pruiritic eruptions or dermatitis - seborrhoeic or dermatitis - unspecified	
http://purl.obolibrary.org/obo/DOID_2841	asthma	asthma exacerbation	
http://purl.obolibrary.org/obo/DOID_2942	bronchiolitis	bronchiolitis	
http://purl.obolibrary.org/obo/DOID_3087	gingivitis	gingivitis - acute necrotizing ulcerative or gingivitis - unspecified	
http://purl.obolibrary.org/obo/DOID_3128	anus disease	anal fissure	
http://purl.obolibrary.org/obo/DOID_3488	cellulitis	cellulitis	
http://purl.obolibrary.org/obo/DOID_4337	tinea capitis	tinea capitis	
http://purl.obolibrary.org/obo/DOID_4409	folliculitis	folliculitis	
http://purl.obolibrary.org/obo/DOID_4481	allergic rhinitis	allergic rhinitis	
http://purl.obolibrary.org/obo/DOID_4989	pancreatitis	pancreatitis	
http://purl.obolibrary.org/obo/DOID_5330	dental pulp disease	pulp space infection	
http://purl.obolibrary.org/obo/DOID_552	pneumonia	pneumonia or Pneumonia - severe	
http://purl.obolibrary.org/obo/DOID_6195	conjunctivitis	conjunctivitis	
http://purl.obolibrary.org/obo/DOID_6196	reactive arthritis	reactive arthritis	
http://purl.obolibrary.org/obo/DOID_750	peptic ulcer disease	peptic ulcer disease	
http://purl.obolibrary.org/obo/DOID_824	periodontitis	periodontitis - acute necrotizing ulcerative or periodontitis - unspecified	
http://purl.obolibrary.org/obo/DOID_8295	scabies	scabies	
http://purl.obolibrary.org/obo/DOID_848	arthritis	arthritis	
http://purl.obolibrary.org/obo/DOID_8504	impetigo	impetigo	
http://purl.obolibrary.org/obo/DOID_8506	bullous pemphigoid	pemphigoid	
http://purl.obolibrary.org/obo/DOID_8536	herpes zoster	herpes zoster	
http://purl.obolibrary.org/obo/DOID_8566	herpes simplex	herpes simplex - orolabial	
http://purl.obolibrary.org/obo/DOID_8622	measles	measles or measles-like illness	
http://purl.obolibrary.org/obo/DOID_8659	chickenpox	chicken pox	
http://purl.obolibrary.org/obo/DOID_8672	viral exanthem	viral exanthem (not otherwise specified)	
http://purl.obolibrary.org/obo/DOID_876	pyomyositis	pyomyositis	
http://purl.obolibrary.org/obo/DOID_883	parasitic helminthiasis infectious disease	helminth infection	
http://purl.obolibrary.org/obo/DOID_9307	rectal prolapse	rectal prolapse	
http://purl.obolibrary.org/obo/DOID_9368	keratoconjunctivitis	keratoconjunctivitis	
http://purl.obolibrary.org/obo/DOID_9463	otitis externa	otitis externa	
http://purl.obolibrary.org/obo/DOID_9471	meningitis	meningitis - bacterial	
http://purl.obolibrary.org/obo/DOID_9663	aphthous stomatitis	oral ulcers - recurrent or oral ulcers - single episode	
http://purl.obolibrary.org/obo/DOID_9909	hordeolum	stye	
http://purl.obolibrary.org/obo/DOID_9993	hypoglycemia	hypoglycaemia	
http://purl.obolibrary.org/obo/EUPATH_0000037	presence of bacteria in the blood	bacteremia	
http://purl.obolibrary.org/obo/EUPATH_0000039	presence of virus in the blood	viremia	
http://purl.obolibrary.org/obo/HP_0000421	Epistaxis	epistaxis	
http://purl.obolibrary.org/obo/HP_0000692	Misalignment of teeth	mal-aligned teeth	
http://purl.obolibrary.org/obo/HP_0000989	Pruritus	pruritis	
http://purl.obolibrary.org/obo/HP_0001944	Dehydration	dehydration	
http://purl.obolibrary.org/obo/HP_0002013	Vomiting	vomiting	
http://purl.obolibrary.org/obo/HP_0002027	Abdominal pain	abdominal pain - unspecified	
http://purl.obolibrary.org/obo/HP_0002315	Headache	headache - unspecified	
http://purl.obolibrary.org/obo/HP_0003249	Genital ulcers	genital ulcer, unspecified	
http://purl.obolibrary.org/obo/HP_0004395	Malnutrition	malnutrition - moderate or malnutrition - severe	
http://purl.obolibrary.org/obo/HP_0011801	Enlargement of parotid gland	parotid enlargement or parotid enlargement - hiv related	
http://purl.obolibrary.org/obo/HP_0011848	Abdominal colic	abdominal colic	
http://purl.obolibrary.org/obo/HP_0012531	Pain	pain	
http://purl.obolibrary.org/obo/HP_0100845	Anaphylactic shock	anaphylactic reaction	
http://purl.obolibrary.org/obo/HP_0200039	Skin pustule	pustular skin infection	
http://purl.obolibrary.org/obo/HP_0200043	Verrucae	wart, flat (verruca planus)	
http://purl.obolibrary.org/obo/SYMP_0000174	wasting	wasting, unexplained severe	
http://purl.obolibrary.org/obo/SYMP_0000475	underweight	underweight	
http://purl.obolibrary.org/obo/SYMP_0000596	convulsion	convulsion / seizure	
http://purl.obolibrary.org/obo/SYMP_0000672	abscess	abscess	
http://purl.obolibrary.org/obo/SYMP_0019148	septicemia	septicaemia	
http://www.ebi.ac.uk/efo/EFO_0000546	injury	wound	
