Ontology Term IRIs	Ontology Term Label	EuPathDB Preferred Labels	PRISM Category for display (term in EuPath Preferred Label)	Category in current PRISM DB
http://purl.obolibrary.org/obo/OGMS_0000073	diagnosis	diagnosis	clinical visit	clinical visit
http://purl.obolibrary.org/obo/EUPATH_0000089	diagnosis of asymptomatic parasitemia	asymptomatic parasitemia	diagnosis	diagnosis
http://purl.obolibrary.org/obo/EUPATH_0000040	diagnosis of complicated malaria	complicated malaria	diagnosis	diagnosis
http://purl.obolibrary.org/obo/EUPATH_0000036	diagnosis of malaria	symptomatic malaria		
http://purl.obolibrary.org/obo/EUPATH_0000090	diagnosis of malaria - unspecified	malaria	diagnosis	diagnosis
http://purl.obolibrary.org/obo/EUPATH_0000043	diagnosis of severe malaria	severe malaria	diagnosis	diagnosis
http://purl.obolibrary.org/obo/EUPATH_0000038	diagnosis of uncomplicated malaria	uncomplicated malaria	diagnosis	diagnosis
http://purl.obolibrary.org/obo/EUPATH_0000088	diagnosis of uncomplicated malaria in the 1st trimester of pregnancy	uncomplicated malaria with pregnancy	diagnosis	diagnosis
http://purl.obolibrary.org/obo/EUPATH_0000030	distance to health facility in km	dist to health facility	dwelling information	dwelling information
http://purl.obolibrary.org/obo/EUPATH_0000054	district in Uganda	Ugandan district		
http://purl.obolibrary.org/obo/ENVO_00003064	drinking water	drinking water source	dwelling facility	dwelling facility
http://purl.obolibrary.org/obo/EUPATH_0000002	dwelling	dwelling type	dwelling characteristics	dwelling characteristics
http://purl.obolibrary.org/obo/EUPATH_0000099	dwelling facility	dwelling facility	dwelling characteristics	dwelling characteristics
http://purl.obolibrary.org/obo/EUPATH_0000093	dwelling information	dwelling information	dwelling characteristics	dwelling characteristics
http://purl.obolibrary.org/obo/EUPATH_0000053	dwelling ventilation	dwelling ventilation	dwelling characteristics	dwelling characteristics
http://purl.obolibrary.org/obo/EUPATH_0000015	eaves	eaves	dwelling ventilation	dwelling ventilation
http://purl.obolibrary.org/obo/EUPATH_0000097	febrile	febrile	clinical visit	clinical visit
http://purl.obolibrary.org/obo/EUPATH_0000006	floor material	floor material	building material	building material
http://purl.obolibrary.org/obo/EUPATH_0000029	frequency of not satisfying food needs	food problems / wk	household information	household information
http://purl.obolibrary.org/obo/OBI_0001305	genotype information	genotype	participant characteristics	participant characteristics
http://purl.obolibrary.org/obo/EUPATH_0000033	glucose 6 phosphate dehydrogenase genotype	G6PD genotype	genotype information	genotype information
http://purl.obolibrary.org/obo/EUPATH_0000047	hemoglobin level in gm per dL	Hb (g/dl)	laboratory finding	laboratory finding
http://purl.obolibrary.org/obo/EUPATH_0000022	household having electricity information	electricity?	dwelling information	dwelling information
http://purl.obolibrary.org/obo/EUPATH_0000094	household identifier	household ID	household information	household information
http://purl.obolibrary.org/obo/EUPATH_0000087	household information	household information	dwelling characteristics	dwelling characteristics
http://purl.obolibrary.org/obo/EUPATH_0000014	household wealth index	household wealth index	household information	household information
http://purl.obolibrary.org/obo/EUPATH_0000095	human participant identifier	participant ID	participant characteristics	participant characteristics
http://purl.obolibrary.org/obo/OGMS_0000018	laboratory finding	laboratory finding	clinical visit	clinical visit
http://purl.obolibrary.org/obo/EUPATH_0000026	land area measured in acres	# acres	household information	household information
http://purl.obolibrary.org/obo/EUPATH_0000024	lighting material	lighting type	dwelling facility	dwelling facility
http://purl.obolibrary.org/obo/EUPATH_0000058	malaria medication	malaria medication		
http://purl.obolibrary.org/obo/EUPATH_0000057	medication material	medication		
http://purl.obolibrary.org/obo/EUPATH_0000059	non-malaria medication	non-malaria medication		
http://purl.obolibrary.org/obo/EUPATH_0000120	number of CDC light trap collections	num Anopheles collections		
http://purl.obolibrary.org/obo/EUPATH_0000121	number of clinical visits	total num visits		
http://purl.obolibrary.org/obo/EUPATH_0000122	number of clinical visits resulting in a malaria diagnosis	num visits with malaria		
http://purl.obolibrary.org/obo/EUPATH_0000123	number of clinical visits with asymptomatic parasitemia	num visits with asymp parasitemia		
http://purl.obolibrary.org/obo/EUPATH_0000028	number of days eating meat in a week	# meat meals / wk	household information	household information
http://purl.obolibrary.org/obo/EUPATH_0000031	number of female anopheles mosquitoes by CDC trap	#F anopheles (CDC trap)		
http://purl.obolibrary.org/obo/EUPATH_0000027	number of meals per day	# meals / day	household information	household information
http://purl.obolibrary.org/obo/EUPATH_0000124	number of non-routine clinical visits	num non-routine visits		
http://purl.obolibrary.org/obo/EUPATH_0000019	number of people per household	# people / household	household information	household information
http://purl.obolibrary.org/obo/EUPATH_0000025	number of rooms	# rooms	dwelling information	dwelling information
http://purl.obolibrary.org/obo/EUPATH_0000125	number of routine clinical visits	total num routine visits		
http://purl.obolibrary.org/obo/EUPATH_0000110	organismal body temperature measurement datum	temperature	participant characteristics	
http://purl.obolibrary.org/obo/EUPATH_0000096	participant characteristics	participant characteristics		
http://purl.obolibrary.org/obo/EUPATH_0000128	peripheral blood mononuclear cell specimen	PBMC	available sample	
http://purl.obolibrary.org/obo/EUPATH_0000062	quinine drug product	quinine	malaria medication	
http://purl.obolibrary.org/obo/EUPATH_0000129	red blood cell specimen	RBC pellet	available sample	
http://purl.obolibrary.org/obo/EUPATH_0000003	roof material	roof material	building material	building material
http://purl.obolibrary.org/obo/EUPATH_0000050	routine clinical visit	routine clinical visit	visit type	clinical visit
http://purl.obolibrary.org/obo/EUPATH_0000126	sample available information	available sample		
http://purl.obolibrary.org/obo/EUPATH_0000046	severe malaria symptom or sign	severe malaria symptom	clinical visit	clinical visit
http://purl.obolibrary.org/obo/EUPATH_0000035	sickle hemoglobin genotype	HbS genotype	genotype information	genotype information
http://purl.obolibrary.org/obo/EUPATH_0000100	subjective fever	fever	clinical visit	clinical visit
http://purl.obolibrary.org/obo/EUPATH_0000021	toilet	toilet type	dwelling facility	dwelling facility
http://purl.obolibrary.org/obo/EUPATH_0000009	wall material	wall material	building material	building material
