Ontology Term IRIs	Ontology Term Label	EupathDB Preferred Definitions
http://purl.obolibrary.org/obo/EUPATH_0000125	number of routine clinical visits	The total number of clinical visits which were part of the routine visit schedule.
http://purl.obolibrary.org/obo/EUPATH_0000121	number of clinical visits	The total number of clinical visits by a participant.
http://purl.obolibrary.org/obo/EUPATH_0000054	county in Uganda	county which is part of Uganda.
http://purl.obolibrary.org/obo/EUPATH_0000038	diagnosis of uncomplicated malaria	"Symptomatic malaria without evidence of complicated malaria. In Uganda, diagnoses of uncomplicated malaria are always followed by treatment with Artemether/lumefantrine."
http://purl.obolibrary.org/obo/EUPATH_0000088	diagnosis of uncomplicated malaria in the 1st trimester of pregnancy	uncomplicated malaria that occurs with the first trimester of pregnancy.
http://purl.obolibrary.org/obo/EUPATH_0000009	wall material	A material used in the construction of a wall.
http://purl.obolibrary.org/obo/EUPATH_0000130	average number of Plasmodium parasite-positive Anopheles	average number of anopheles (any species) that test positive for carrying Plasmodium parasites across all monthly light trap collection
http://purl.obolibrary.org/obo/EUPATH_0000131	average number of Anopheles tested for Plasmodium parasite	average number of anopheles (any species) that were tested for carrying Plasmodium parasites across all monthly light trap collection
http://purl.obolibrary.org/obo/EUPATH_0000132	average percent of parasite positive Anopheles	average percentage of anopheles (any species) that test positive for carrying Plasmodium parasites out of those tested. Averaged over all monthly light trap collections
http://purl.obolibrary.org/obo/EUPATH_0000133	average number of Anopheles	average number of anopheles (any species) collected across all monthly light trap collection
http://purl.obolibrary.org/obo/EUPATH_0000134	number of Anopheles collections	total number of monthly light trap collections hat have been performed for the household of intrest
http://purl.obolibrary.org/obo/EUPATH_0000135	sum value of Anopheles in a collection	number of anopheles (summed acrosss all species) collect from a single light trap collection
http://purl.obolibrary.org/obo/EUPATH_0000136	sum value of Anopheles funestus in a collection	number of anopheles funestus (summed across all conditions) collect from a single light trap collection
http://purl.obolibrary.org/obo/EUPATH_0000137	sum value of Anopheles gambiae in a collection	number of anopheles gambiae (summed across all conditions) collect from a single light trap collection
http://purl.obolibrary.org/obo/EUPATH_0000138	participant observation duration time	total time period that data has been collected on a given participant for the study in question
http://purl.obolibrary.org/obo/EUPATH_0000139	average number of clinical visits per year	"average number of clinical visits where data was collected for a patient, average over calendar years"
http://purl.obolibrary.org/obo/EUPATH_0000140	average number of clinical visits with asymptomatic parasitemia diagnosis per year	"average number of clinical visits where data was collected for patient and the patient was diagnosed with asymptomatic parasitemia, average over calendar years"
http://purl.obolibrary.org/obo/EUPATH_0000141	average number of clinical visits with malaria diagnosis per year	"average number of clinical visits where data was collected for patient nd the patient was diagnosed with malaria, average over calendar years"
