IRI,label,displayOrder,variable,dataFile,dataSet,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,replaces
http://purl.obolibrary.org/obo/EUPATH_0010995,Hospitalized,1,hospitalized,mergedindiacovid,india_covid,,Observation,Hospitalization,http://purl.obolibrary.org/obo/EUPATH_0000308,Hospitalized,,variable,
http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,1,,,india_covid,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,category,
http://purl.obolibrary.org/obo/EUPATH_0038350,Other sample microbiology test,1,,,india_covid,,Sample,Laboratory test,http://purl.obolibrary.org/obo/OGMS_0000056,,,category,
http://purl.obolibrary.org/obo/EUPATH_0049015,Testing kit used,2,testing.kit.used,mergedindiacovid,india_covid,,Sample,Laboratory test,http://purl.obolibrary.org/obo/OGMS_0000056,Testing kit used,,variable,
http://purl.obolibrary.org/obo/OGMS_0000073,Diagnosis,6,,,india_covid,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,category,
http://purl.obolibrary.org/obo/OMRSE_00000209,Gender,1,gender,mergedindiacovid,india_covid,Gender of study participant,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,Gender,,variable,
http://purl.obolibrary.org/obo/EUPATH_0000308,Hospitalization,7,,,india_covid,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,category,
http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,3,,,india_covid,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,category,
http://purl.obolibrary.org/obo/EUPATH_0049024,Quarantine,5,,,india_covid,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,category,
http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,4,,,india_covid,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,category,
http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,8,,,india_covid,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,category,EUPATH_0000340
http://purl.obolibrary.org/obo/EUPATH_0049011,Underlying medical condition,2,underlying.medical.condition,mergedindiacovid,india_covid,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,Underlying medical condition,,variable,
http://purl.obolibrary.org/obo/OBI_0001169,Age,1,age.in | age,mergedindiacovid,india_covid,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,Age | Age units,,variable,
http://purl.obolibrary.org/obo/EUPATH_0049001,Laboratory name,2,laboratory.name,mergedindiacovid,india_covid,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,Laboratory name,,variable,
http://purl.obolibrary.org/obo/EUPATH_0049025,Virus in other sample,1,,,india_covid,,Sample,Other sample microbiology test,http://purl.obolibrary.org/obo/EUPATH_0038350,,,category,
http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,2,,,india_covid,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,,,category,
http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,1,,,india_covid,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,,,category,
http://purl.obolibrary.org/obo/EUPATH_0049005,Patient quarantine location,2,where.were.you.quarantined,mergedindiacovid,india_covid,,Observation,Quarantine,http://purl.obolibrary.org/obo/EUPATH_0049024,Where was the patient quarantined?,,variable,
http://purl.obolibrary.org/obo/EUPATH_0049004,Patient quarantined,1,was.the.patient.quarantined,mergedindiacovid,india_covid,,Observation,Quarantine,http://purl.obolibrary.org/obo/EUPATH_0049024,Was the patient quarantined?,,variable,
http://purl.obolibrary.org/obo/EUPATH_0049010,Date sample received,5,date.of.sample.received,mergedindiacovid,india_covid,Date sample received,Sample,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,Date of sample received,,variable,
http://purl.obolibrary.org/obo/EUPATH_0049022,Date sample tested,6,date.of.sample.tested,mergedindiacovid,india_covid,,Sample,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,Date of sample tested,,variable,
http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test,2,,,india_covid,,Sample,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,,,category,
http://purl.obolibrary.org/obo/EUPATH_0049021,Repeat sample,1,repeat.sample,mergedindiacovid,india_covid,,Sample,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,Repeat sample,,variable,
http://purl.obolibrary.org/obo/OBI_0001616,Sample ID,7,sample.id,mergedindiacovid,india_covid,,Sample,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample ID,,variable,
http://purl.obolibrary.org/obo/OBI_0000659,Sample collection,4,,,india_covid,,Sample,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,,,category,
http://purl.obolibrary.org/obo/OBI_0100051,Sample type,3,sample.type,mergedindiacovid,india_covid,,Sample,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample type,,variable,
http://purl.obolibrary.org/obo/OBI_0001619,Sample collection date,1,date.of.sample.collection,mergedindiacovid,india_covid,Date of sample collection,Sample,Sample collection,http://purl.obolibrary.org/obo/OBI_0000659,Date of sample collection,,variable,
http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,1,,,india_covid,,Observation,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,,,category,
http://purl.obolibrary.org/obo/EUPATH_0021089,Any symptoms,1,symptoms.status,mergedindiacovid,india_covid,,Observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms status,,variable,
http://purl.obolibrary.org/obo/EUPATH_0049014,"Symptoms, specified",2,symptoms,mergedindiacovid,india_covid,,Observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,,variable,
http://purl.obolibrary.org/obo/EUPATH_0049007,Place visited,2,place.of.travel,mergedindiacovid,india_covid,Place of travel,Observation,Travel details,http://purl.obolibrary.org/obo/EUPATH_0000340,Place of travel,,variable,
http://purl.obolibrary.org/obo/EUPATH_0049006,Travel to foreign country in last 14 days,1,did.you.travel.to.foreign.country.in.last.14.days,mergedindiacovid,india_covid,Did you travel to a foreign country in the last 14 days?,Observation,Travel details,http://purl.obolibrary.org/obo/EUPATH_0000340,Did you travel to a foreign country in the last 14 days?,,variable,
http://purl.obolibrary.org/obo/EUPATH_0049023,Coronavirus final result,1,final.result.sample,mergedindiacovid,india_covid,,Sample,Virus in other sample,http://purl.obolibrary.org/obo/EUPATH_0049025,Final result of sample,,variable,
http://purl.obolibrary.org/obo/EUPATH_0049016,Egene result,2,egene,mergedindiacovid,india_covid,,Sample,Virus in other sample,http://purl.obolibrary.org/obo/EUPATH_0049025,Egene,,variable,
http://purl.obolibrary.org/obo/EUPATH_0049018,ORF1B result,4,orf1b,mergedindiacovid,india_covid,,Sample,Virus in other sample,http://purl.obolibrary.org/obo/EUPATH_0049025,ORF1B,,variable,
http://purl.obolibrary.org/obo/EUPATH_0049017,RDRP result,3,rdrp,mergedindiacovid,india_covid,,Sample,Virus in other sample,http://purl.obolibrary.org/obo/EUPATH_0049025,RDRP,,variable,
http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,india_covid,,Household,,http://www.w3.org/2002/07/owl#Thing,,,category,
http://purl.obolibrary.org/obo/EUPATH_0000738,Observation,,,,india_covid,,Observation,,http://www.w3.org/2002/07/owl#Thing,,,category,
http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,india_covid,,Participant,,http://www.w3.org/2002/07/owl#Thing,,,category,
http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,,,india_covid,,Sample,,http://www.w3.org/2002/07/owl#Thing,,,category,
