"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
hh_name_20,census_form,,text,"នាមខ្លួននិងនាមត្រកូលរបស់សមាជិកទី២០ ក្នុងគ្រួសារ?
What is the 20th household member's name?",,,,,,y,"[hh_nb_live] >= 20",,RH,,,,
hh_sex_20,census_form,,radio,"ភេទរបស់សមាជិកទី២0 ក្នុងគ្រួសា?
What is the sex of the 20th household member?","M, Male | F, Female",,,,,,"[hh_nb_live] >= 20",,RH,,,,
hh_age_20,census_form,,text,"អាយុរបស់សមាជិកទី២0 ក្នុងគ្រួសារ?
What is the 20th household member's age?",,,integer,0,100,,"[hh_nb_live] >= 20",,RH,,,,
floor,census_form,"ព៌តមានលំអិតអំពីសំណង់ផ្ទះ / Details about the household construction",radio,"សម្ភារះចំបងនៃសំណង់ជាន់របស់ផ្ទះ?
What is the main material of the floor?
<span style=""font-weight: lighter; font-style:italic;"">[Observe]</span>","1, ដី/ខ្សាច់ (Earth / Sand) | 2, រនាបត្នោត/រនាបឫស្សី/ក្រាលស្មៅ (Palm / Bamboo / Grass) | 3, ឈើក្តារបន្ទះធម្មតា (Wood) | 4, ឈើក្តារបន្ទះដែលកែច្នៃនិងលាបថ្នាំរលោង (Polished wood) | 5, ស៊ីម៉ង់/ឥដ្ឋការ៉ូ (Cement / Tiles) | 99, សម្ភារះណាមួយផ្សេងទៀត (Other)",,,,,,,,LV,,,,
floor_oth,census_form,,text,"សូមបញ្ជាក់សម្ភារះណាមួយផ្សេងទៀតប្រសិនបើមាន
If ""Other"", specify",,,,,,,"[floor] = '99'",,RH,,,,
walls,census_form,,radio,"សម្ភារះចំបងនៃសំណង់ជញ្ជាំងផ្ទះ
What is the main material of the exterior walls?
<span style=""font-weight: lighter; font-style:italic;"">[Observe]</span>","1, ឬស្សី/ថ្ម (Bamboo / Pitpit) | 2, ស្លឹកឈើរឺស្លឹកឈើកែច្នៃជាបន្ទះស្តើងៗ (Sago) | 3, ឈើក្តារបន្ទះធម្មតា (Wood) | 4, កំទេចផ្ទាំងឈើកែច្នៃរឺផ្ទាំងឈើកែច្នៃស្តើងៗ (Plywood) | 5, កំបោរ/ហ្វីប្រូ (Masonite / Fibro) | 6, ស៊ីម៉ង់ រឺ ឥដ្ឋ (Cement or bricks) | 7, សង្ខសី (Iron sheet) | 99, សម្ភារះណាមួយផ្សេងទៀត (Other)",,,,,,,,LV,,,,
walls_oth,census_form,,text,"សូមបញ្ជាក់សម្ភារះណាមួយផ្សេងទៀតប្រសិនបើមាន
If ""Other"", specify",,,,,,,"[walls] = '99'",,RH,,,,
roof,census_form,,radio,"សម្ភារះចំបងនៃសំណងដំបូលផ្ទះ
What is the main material of the roof?
<span style=""font-weight: lighter; font-style:italic;"">[Observe]</span>","1, ស្បូវ (Thatched grass) | 2, ស្លឹកត្នោត (Sago palm leaves) | 3, សង្ខសី​ រឹ ហ្វីប្រូ (Corrugated iron) | 4, ឈើក្តារបន្ទះ (Wood planks) | 5, ស៊ីម់ង់ (Cement) | 6, ក្បឿង (Tiles) | 99, សម្ភារះណាមួយផ្សេងទៀតប្រសិនបើមាន (Other)",,,,,,,,LV,,,,
roof_oth,census_form,,text,"សូមបញ្ជាក់សម្ភារះណាមួយផ្សេងទៀតប្រសិនបើមាន
If ""Other"", specify",,,,,,,"[roof] = '99'",,RH,,,,
window,census_form,,radio,"សំនួរទាក់ទងទៅនឹងបង្អួចនៅក្នុងផ្ទះ​និងសំណាញ់ការពារសត្វល្អិតដាក់នៅជាមួយបង្អួច​
Does the main house have windows? Are they screened?
<span style=""font-weight: lighter; font-style:italic;"">[Observe house used for sleeping]</span>","0, គ្មានបង្អួច (No windows) | 1, មានបង្អួច (គ្មានសំណាញ់ការពារសត្វល្អិត) (Windows (not screened)) | 2, មានបង្អួច (សំណាញ់ការពារសត្វល្អិតរហែករឺមិនបិទជិតបង្អួចទាំងស្រុង) (Windows (partly screened)) | 3, មានបង្អួច(មានសំណាញ់ការពារសត្វល្អិតបិទជិតបង្អួចទាំងស្រុង) (Windows (all screened and intact))",,,,,,,,LV,,,,
elevated_house,census_form,,radio,"ផ្ទះផុតពីដី​?
Is the house elevated on posts?","1, ផុតពីដី (Yes) | 0, មិនផុតពីដី (No)",,,,,,,,RH,,,,
dem_dummy_text_3,census_form,"GPS coordinates",descriptive,"<div class=""blue"" style=""text-align:justify;color:blue;background-color:#E2EAFA;""><u><b>Note for the interviewer</b></u>
This section is filled autmatically using your the tablet GPS system. 

If for any reason the fields are not populated, please take the following steps:
<ol><li>Use the ""update"" buttons located next to the ""Latitude"" and ""Longitude"" fields. Once you have pressed these buttons, wait up to a minute</li><li>If after a minute the fields are not populated, tick the box next to ""GPS failed to detect current location"" and use the stand-alone GPS device.</li></ol></div>",,,,,,,,,,,,,
gps_latitude,census_form,,text,Latitude,,"This field is filled automatically",,,,,,,,,,," @LATITUDE"
gps_longitude,census_form,,text,Longitude,,"This field is filled automatically",,,,,,,,,,," @LONGITUDE"
gps_nosignal,census_form,,checkbox,"ក្នុងករណីដែល​ GPSពីម៉ាស៊ីនរឺឧបករណ៍តាប្លេមិនដំណើរការសូមចុចប្រអប់នេះដើម្បីវាយតំលៃGPS ពីឧបករណ៍ផ្សេងទៀតចូល
If GPS coordinates were not properly detected by your tablet, please tick this box","1, GPS failed to detect current location",,,,,,,,,,,,
gps_latitude_manual,census_form,,text,"Latitude (using stand-alone GPS device)",,,,,,,"[gps_nosignal(1)] = '1'",,,,,,
gps_longitude_manual,census_form,,text,"Longitude (using stand-alone GPS device)",,,,,,,"[gps_nosignal(1)] = 1",,,,,,
dem_dummy_text_4,census_form,"Review and confirm data",descriptive,"ទាំងអស់នេះជាទិន្នន័យសង្ខេបដែលបានប្រមូល។សូមត្រួតពិនិត្យឡើងវិញមុននឹងធ្វើការក្សាទិន្នន័យទុក។
Here is an overview of the data you have collected. Please review your data and confirm it is correct before saving this form.

<div class=""green"" style=""color:green;background-color:#C1FFC1;""><h4><table><tr><td><u>Village</u></td><td>[village]</td></tr><tr><td><u>Hamlet</u></td><td>[hamlet]</td></tr><tr><td><u>First name</u></td><td>[hh_first_name]</td></tr><tr><td><u>Last name</u></td><td>[hh_last_name]</td></tr><tr><td><u>Household size</u></td><td>[hh_nb_live]</td></tr></table></h4></div>

<center>ប្រសិនបើមានទិន្នន័យណាមួយមិនត្រឹមត្រូវដូច្នេះអ្នកត្រលប់ទៅកន្លែងទិន្នន័យនោះនិងធ្វើការកែសំរួលណាមួយដែលត្រូវការ។
If any of this is incorrect, scroll up in the form and make the necessary adjustments.</center>
<hr>
<h4 style=""text-align:center;"">Please thank the participant. 

ត្រូវចាំថាត្រូវប្តូរទម្រង់បែបបទកត់ត្រាទិន្នន័យនេះទៅជា ""Unverified"" ហើយបន្ទាប់មកធ្វើការរក្សាទុកទិន្នន័យដោយប្រើប៊ូតុង""Save Record""  ខាងក្រោម
Remember to change the form status to <b>""Unverified""</b> and then save the data by using the <b>""Save Record""</b> button below</h4>",,,,,,,,,,,,,
