"colOrder","variable","uniqueVar","dataFile","IRI","label","definition","category","parentLabel","parentIRI","codebookDescription","codebookValues","termType","notesForOnt"
"14","village","gujaratseveremalaria_data_2020-03-015_revised::village","gujaratseveremalaria_data_2020-03-015_revised","ENVO_01000773","Village","","","","","Village/Nagar","","variable",""
"15","age","gujaratseveremalaria_data_2020-03-015_revised::age","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0000120","Age at enrollment","","","","","Age","","variable",""
"16","sex_rad","gujaratseveremalaria_data_2020-03-015_revised::sex_rad","gujaratseveremalaria_data_2020-03-015_revised","PATO_0000047","Sex","","","","","Sex","1, Female | 2, Male |88888, missing","variable",""
"17","education_rad","gujaratseveremalaria_data_2020-03-015_revised::education_rad","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0000345","Education level","","","","","Highest level of education","1, None | 2, Primary school | 3, Secondary school | 4, University | 5, Diploma | 6, Graduate or higher | 88888, missing","variable",""
"18","occupation_rad","gujaratseveremalaria_data_2020-03-015_revised::occupation_rad","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0000359","Occupation","","","","","Occupation","1, Daily wage/labor | 2, Service (=salaried) | 3, Trade (=self-employed) | 4, Housewife | 5, Student | 6, None | 88888, missing","variable",""
"19","ses_rad","gujaratseveremalaria_data_2020-03-015_revised::ses_rad","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0000435","Poverty line","","","","","Socioeconomic status","1, Above poverty line | 2, Below poverty line | 88888, missing","variable",""
"20","house_rad","gujaratseveremalaria_data_2020-03-015_revised::house_rad","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0000001","Building material","","","","","House is made from","1, Mud | 2, Brick | 3, Concrete | 4, Thatch | 5, Other | 88888, missing","variable",""
"21","house_other","gujaratseveremalaria_data_2020-03-015_revised::house_other","gujaratseveremalaria_data_2020-03-015_revised","","Other building material","","Household","Dwelling characteristics","EUPATH_0000303","If other, specify","","variable",""
"22","water_rad","gujaratseveremalaria_data_2020-03-015_revised::water_rad","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0021093","Water source","","","","","Water source","1, Indoor plumbing | 2, Bore well | 3, Open well | 4, Stream/river | 5, Public tank/pump | 6, Other | 88888, missing","variable",""
"23","water_rad_other","gujaratseveremalaria_data_2020-03-015_revised::water_rad_other","gujaratseveremalaria_data_2020-03-015_revised","","Other water source","","Household","Household water","EUPATH_0000731","If other, specify","","variable",""
"24","travel_14d_rad","gujaratseveremalaria_data_2020-03-015_revised::travel_14d_rad","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0000450","Traveled in last 2 weeks","","","","","Has traveled in the past 14 days","1, Yes | 2, No |88888, missing","variable",""
"25","travel_14d_country","gujaratseveremalaria_data_2020-03-015_revised::travel_14d_country","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0000445","Country visited","","","","","Country","","variable",""
"26","travel_14d_state","gujaratseveremalaria_data_2020-03-015_revised::travel_14d_state","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0000446","District visited","","","","","State","","variable",""
"27","travel_14d_district","gujaratseveremalaria_data_2020-03-015_revised::travel_14d_district","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0000447","State visited","","","","","District","","variable",""
"28","travel_14d_city","gujaratseveremalaria_data_2020-03-015_revised::travel_14d_city","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0000448","Taluk visited","","","","","City/Taluk/Tehsil","","variable",""
"29","travel_14d_village","gujaratseveremalaria_data_2020-03-015_revised::travel_14d_village","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0000449","Village visited","","","","","Village/Nagar","","variable",""
"30","sprayed_chk___1","gujaratseveremalaria_data_2020-03-015_revised::sprayed_chk___1","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0021070","No/not applicable","","","","","Sprayed in last 12 months","1, No/not applicable | 2, Indoor | 3, Outdoor | 4, Can't remember | 88888, missing","value",""
"31","sprayed_chk___2","gujaratseveremalaria_data_2020-03-015_revised::sprayed_chk___2","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0021071","Indoor","","","","","Sprayed in last 12 months","1, No/not applicable | 2, Indoor | 3, Outdoor | 4, Can't remember | 88888, missing","value",""
"32","sprayed_chk___3","gujaratseveremalaria_data_2020-03-015_revised::sprayed_chk___3","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0021072","Outdoor","","","","","Sprayed in last 12 months","1, No/not applicable | 2, Indoor | 3, Outdoor | 4, Can't remember | 88888, missing","value",""
"33","sprayed_chk___4","gujaratseveremalaria_data_2020-03-015_revised::sprayed_chk___4","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0021073","Can't remember","","","","","Sprayed in last 12 months","1, No/not applicable | 2, Indoor | 3, Outdoor | 4, Can't remember | 88888, missing","value",""
"34","sprayed_chk___88888","gujaratseveremalaria_data_2020-03-015_revised::sprayed_chk___88888","gujaratseveremalaria_data_2020-03-015_revised","","Missing","","Household","Sprayed in the last 12 months","EUPATH_0000441","Sprayed in last 12 months","1, No/not applicable | 2, Indoor | 3, Outdoor | 4, Can't remember | 88888, missing","value",""
"35","repellent_chk___1","gujaratseveremalaria_data_2020-03-015_revised::repellent_chk___1","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0021061","None","","","","","Personal repellant(s) in use","1, None | 2, Coils | 3, Vapor/liquidizer | 4, Cream/spray | 5, Mat | 6, Can't remember | 88888, missing","value",""
"36","repellent_chk___2","gujaratseveremalaria_data_2020-03-015_revised::repellent_chk___2","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0021062","Coils","","","","","Personal repellant(s) in use","1, None | 2, Coils | 3, Vapor/liquidizer | 4, Cream/spray | 5, Mat | 6, Can't remember | 88888, missing","value",""
"37","repellent_chk___3","gujaratseveremalaria_data_2020-03-015_revised::repellent_chk___3","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0021063","Vapor or liquidizer","","","","","Personal repellant(s) in use","1, None | 2, Coils | 3, Vapor/liquidizer | 4, Cream/spray | 5, Mat | 6, Can't remember | 88888, missing","value",""
"38","repellent_chk___4","gujaratseveremalaria_data_2020-03-015_revised::repellent_chk___4","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0021064","Cream or spray","","","","","Personal repellant(s) in use","1, None | 2, Coils | 3, Vapor/liquidizer | 4, Cream/spray | 5, Mat | 6, Can't remember | 88888, missing","value",""
"39","repellent_chk___5","gujaratseveremalaria_data_2020-03-015_revised::repellent_chk___5","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0021065","Mat","","","","","Personal repellant(s) in use","1, None | 2, Coils | 3, Vapor/liquidizer | 4, Cream/spray | 5, Mat | 6, Can't remember | 88888, missing","value",""
"40","repellent_chk___6","gujaratseveremalaria_data_2020-03-015_revised::repellent_chk___6","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0021066","Can't remember","","","","","Personal repellant(s) in use","1, None | 2, Coils | 3, Vapor/liquidizer | 4, Cream/spray | 5, Mat | 6, Can't remember | 88888, missing","value",""
"41","repellent_chk___88888","gujaratseveremalaria_data_2020-03-015_revised::repellent_chk___88888","gujaratseveremalaria_data_2020-03-015_revised","","Missing","","Observation","Personal mosquito repellent","EUPATH_0000439","Personal repellant(s) in use","1, None | 2, Coils | 3, Vapor/liquidizer | 4, Cream/spray | 5, Mat | 6, Can't remember | 88888, missing","value",""
"42","bednet_chk___1","gujaratseveremalaria_data_2020-03-015_revised::bednet_chk___1","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0021016","None","","","","","Bednet type(s) in use","1, None | 2, Untreated | 3, Regular ITN treated >6 months ago | 4, Regular ITN treated < 6 months ago | 5, Long lasting ITN | 6, Other | 88888, missing","value",""
"43","bednet_chk___2","gujaratseveremalaria_data_2020-03-015_revised::bednet_chk___2","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0021017","Untreated","","","","","Bednet type(s) in use","1, None | 2, Untreated | 3, Regular ITN treated >6 months ago | 4, Regular ITN treated < 6 months ago | 5, Long lasting ITN | 6, Other | 88888, missing","value",""
"44","bednet_chk___3","gujaratseveremalaria_data_2020-03-015_revised::bednet_chk___3","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0021018","Regular ITN, treated more than 6 months ago","","","","","Bednet type(s) in use","1, None | 2, Untreated | 3, Regular ITN treated >6 months ago | 4, Regular ITN treated < 6 months ago | 5, Long lasting ITN | 6, Other | 88888, missing","value",""
"45","bednet_chk___4","gujaratseveremalaria_data_2020-03-015_revised::bednet_chk___4","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0021019","Regular ITN, treated less than 6 months ago","","","","","Bednet type(s) in use","1, None | 2, Untreated | 3, Regular ITN treated >6 months ago | 4, Regular ITN treated < 6 months ago | 5, Long lasting ITN | 6, Other | 88888, missing","value",""
"46","bednet_chk___5","gujaratseveremalaria_data_2020-03-015_revised::bednet_chk___5","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0021020","Long-lasting ITN","","","","","Bednet type(s) in use","1, None | 2, Untreated | 3, Regular ITN treated >6 months ago | 4, Regular ITN treated < 6 months ago | 5, Long lasting ITN | 6, Other | 88888, missing","value",""
"47","bednet_chk___6","gujaratseveremalaria_data_2020-03-015_revised::bednet_chk___6","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0021021","Other","","","","","Bednet type(s) in use","1, None | 2, Untreated | 3, Regular ITN treated >6 months ago | 4, Regular ITN treated < 6 months ago | 5, Long lasting ITN | 6, Other | 88888, missing","value",""
"48","bednet_chk___88888","gujaratseveremalaria_data_2020-03-015_revised::bednet_chk___88888","gujaratseveremalaria_data_2020-03-015_revised","","Missing","","Observation","Personal bednet treatment","EUPATH_0000344","Bednet type(s) in use","1, None | 2, Untreated | 3, Regular ITN treated >6 months ago | 4, Regular ITN treated < 6 months ago | 5, Long lasting ITN | 6, Other | 88888, missing","value",""
"49","pastyear_maldx_num","gujaratseveremalaria_data_2020-03-015_revised::pastyear_maldx_num","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0000426","Malaria diagnoses in the past year (count)","","","","","Number of times diagnosed with malaria in the last 12 months","","variable",""
"50","date_thismal_onset","gujaratseveremalaria_data_2020-03-015_revised::date_thismal_onset","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0022189","Symptom start date","","","","","Date of onset of this episode of illness","","variable",""
"","","","","","Previous malaria care","","Observation","Immediate clinical history","EUPATH_0021098","","","category",""
"51","trtmnt_sought_rad","gujaratseveremalaria_data_2020-03-015_revised::trtmnt_sought_rad","gujaratseveremalaria_data_2020-03-015_revised","","Seek malaria care","","Observation","Previous malaria care","","Has the patient sought treatment before coming to this hospital?","1, Yes |2, No |99999, unknown","variable",""
"52","trtmnt_soughtwhere_rad","gujaratseveremalaria_data_2020-03-015_revised::trtmnt_soughtwhere_rad","gujaratseveremalaria_data_2020-03-015_revised","","Malaria care source","","Observation","Previous malaria care","","If yes, where?","1, Public hospital/physician | 2, Private hospital/physician | 3, Traditional healer | 4, Self-treatment | 5, Other | 6, missing","variable",""
"54","trtmnt_sought_treat_rad","gujaratseveremalaria_data_2020-03-015_revised::trtmnt_sought_treat_rad","gujaratseveremalaria_data_2020-03-015_revised","","Malaria care provided","","Observation","Previous malaria care","","If yes, was any treatment provided?","1, Yes | 2, No | 99999, unknown","variable",""
"","","","","","Malaria treatment provided","","Observation","Previous malaria care","","","","multifilter",""
"55","trtmnt_sought_treat_y_chk___1","gujaratseveremalaria_data_2020-03-015_revised::trtmnt_sought_treat_y_chk___1","gujaratseveremalaria_data_2020-03-015_revised","","Antimalarials","","Observation","Malaria treatment provided","","If yes, what treatment was provided?","1, Antimalarials | 2, Antibiotics | 3, Analgesics | 4, Other | 5, Unknown | 88888, missing","value",""
"56","trtmnt_sought_treat_y_chk___2","gujaratseveremalaria_data_2020-03-015_revised::trtmnt_sought_treat_y_chk___2","gujaratseveremalaria_data_2020-03-015_revised","","Antibiotics","","Observation","Malaria treatment provided","","If yes, what treatment was provided?","1, Antimalarials | 2, Antibiotics | 3, Analgesics | 4, Other | 5, Unknown | 88888, missing","value",""
"57","trtmnt_sought_treat_y_chk___3","gujaratseveremalaria_data_2020-03-015_revised::trtmnt_sought_treat_y_chk___3","gujaratseveremalaria_data_2020-03-015_revised","","Analgesics","","Observation","Malaria treatment provided","","If yes, what treatment was provided?","1, Antimalarials | 2, Antibiotics | 3, Analgesics | 4, Other | 5, Unknown | 88888, missing","value",""
"58","trtmnt_sought_treat_y_chk___4","gujaratseveremalaria_data_2020-03-015_revised::trtmnt_sought_treat_y_chk___4","gujaratseveremalaria_data_2020-03-015_revised","","Other","","Observation","Malaria treatment provided","","If yes, what treatment was provided?","1, Antimalarials | 2, Antibiotics | 3, Analgesics | 4, Other | 5, Unknown | 88888, missing","value",""
"59","trtmnt_sought_treat_y_chk___5","gujaratseveremalaria_data_2020-03-015_revised::trtmnt_sought_treat_y_chk___5","gujaratseveremalaria_data_2020-03-015_revised","","Unknown","","Observation","Malaria treatment provided","","If yes, what treatment was provided?","1, Antimalarials | 2, Antibiotics | 3, Analgesics | 4, Other | 5, Unknown | 88888, missing","value",""
"60","trtmnt_sought_treat_y_chk___88888","gujaratseveremalaria_data_2020-03-015_revised::trtmnt_sought_treat_y_chk___88888","gujaratseveremalaria_data_2020-03-015_revised","","Missing","","Observation","Malaria treatment provided","","If yes, what treatment was provided?","1, Antimalarials | 2, Antibiotics | 3, Analgesics | 4, Other | 5, Unknown | 88888, missing","value",""
"61","trtmnt_antimalarial","gujaratseveremalaria_data_2020-03-015_revised::trtmnt_antimalarial","gujaratseveremalaria_data_2020-03-015_revised","","Antimalarial treatment provided","","Observation","Previous malaria care","","Specify antimalarials","","variable",""
"62","trtmnt_antibiotic","gujaratseveremalaria_data_2020-03-015_revised::trtmnt_antibiotic","gujaratseveremalaria_data_2020-03-015_revised","","Antibiotic treatment provided","","Observation","Previous malaria care","","Specify antibiotics","","variable",""
"63","trtmnt_analgesic","gujaratseveremalaria_data_2020-03-015_revised::trtmnt_analgesic","gujaratseveremalaria_data_2020-03-015_revised","","Analgesic treatment provided","","Observation","Previous malaria care","","Specify analgesics","","variable",""
"64","trtmnt_other","gujaratseveremalaria_data_2020-03-015_revised::trtmnt_other","gujaratseveremalaria_data_2020-03-015_revised","","Other malaria treatment provided","","Observation","Previous malaria care","","Specify other","","variable",""
"65","trtmnt_date_antimal","gujaratseveremalaria_data_2020-03-015_revised::trtmnt_date_antimal","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0022268","Malaria treatment start date","","","Previous malaria care","","If an antimalarial was given, when was the medicine started?","","variable",""
"67","other_disease","gujaratseveremalaria_data_2020-03-015_revised::other_disease","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0041060","Other condition","","","","","If yes, specify","","variable",""
"68","pregnant_rad","gujaratseveremalaria_data_2020-03-015_revised::pregnant_rad","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0024218","Pregnant","","","","","Is the patient pregnant?","1, Yes |2, No |3, not applicable |99999, unknown","variable",""
"69","if_yes_preg_rad","gujaratseveremalaria_data_2020-03-015_revised::if_yes_preg_rad","gujaratseveremalaria_data_2020-03-015_revised","","","","Observation","Obstetrics","EUPATH_0042002","If yes, is this her first pregnancy?","1, Yes | 2, No | 3, Unknown","variable",""
"70","symptoms_chk","gujaratseveremalaria_data_2020-03-015_revised::symptoms_chk","gujaratseveremalaria_data_2020-03-015_revised","HP_0002315","Headache","","","","","Headache","1, Yes | 2, No |3, Unknown","value",""
"71","chills","gujaratseveremalaria_data_2020-03-015_revised::chills","gujaratseveremalaria_data_2020-03-015_revised","SYMP_0019174","Chills","","","","","Chills","1, Yes | 2, No |3, Unknown","value",""
"72","aches_or_pains","gujaratseveremalaria_data_2020-03-015_revised::aches_or_pains","gujaratseveremalaria_data_2020-03-015_revised","SYMP_0000099","Aches or pains","","","","","Aches or pains","1, Yes | 2, No |3, Unknown","value",""
"73","fatigue","gujaratseveremalaria_data_2020-03-015_revised::fatigue","gujaratseveremalaria_data_2020-03-015_revised","SYMP_0019177","Fatigue","","","","","Fatigue","1, Yes | 2, No |3, Unknown","value",""
"74","vomiting","gujaratseveremalaria_data_2020-03-015_revised::vomiting","gujaratseveremalaria_data_2020-03-015_revised","HP_0002013","Vomiting","","","","","Vomiting","1, Yes | 2, No |3, Unknown","value",""
"75","lack_of_appetite","gujaratseveremalaria_data_2020-03-015_revised::lack_of_appetite","gujaratseveremalaria_data_2020-03-015_revised","SYMP_0000523","Anorexia","","","","","Lack of appetite","1, Yes | 2, No |3, Unknown","value",""
"76","cough","gujaratseveremalaria_data_2020-03-015_revised::cough","gujaratseveremalaria_data_2020-03-015_revised","SYMP_0000614","Cough","","","","","Cough","1, Yes | 2, No |3, Unknown","value",""
"77","dizziness","gujaratseveremalaria_data_2020-03-015_revised::dizziness","gujaratseveremalaria_data_2020-03-015_revised","SYMP_0000610","Dizziness","","","","","Dizziness","1, Yes | 2, No |3, Unknown","value",""
"78","sweating","gujaratseveremalaria_data_2020-03-015_revised::sweating","gujaratseveremalaria_data_2020-03-015_revised","HP_0000975","Sweating","","","","","Sweating","1, Yes | 2, No |3, Unknown","value",""
"79","abdominal_pain","gujaratseveremalaria_data_2020-03-015_revised::abdominal_pain","gujaratseveremalaria_data_2020-03-015_revised","HP_0002027","Abdominal pain","","","","","Abdominal pain","1, Yes | 2, No |3, Unknown","value",""
"80","diarrhea","gujaratseveremalaria_data_2020-03-015_revised::diarrhea","gujaratseveremalaria_data_2020-03-015_revised","DOID_13250","Diarrhea","","","","","Diarrhea","1, Yes | 2, No |3, Unknown","value",""
"81","lower_back_pain","gujaratseveremalaria_data_2020-03-015_revised::lower_back_pain","gujaratseveremalaria_data_2020-03-015_revised","HP_0003419","Lower back pain","","","","","Lower back pain","1, Yes | 2, No |3, Unknown","value",""
"82","eye_pain","gujaratseveremalaria_data_2020-03-015_revised::eye_pain","gujaratseveremalaria_data_2020-03-015_revised","MEDDRA_10015958","Eye pain","","","","","Eye pain","1, Yes | 2, No |3, Unknown","value",""
"83","paleness","gujaratseveremalaria_data_2020-03-015_revised::paleness","gujaratseveremalaria_data_2020-03-015_revised","HP_0000980","Paleness","","","","","Paleness","1, Yes | 2, No |3, Unknown","value",""
"84","chest_pain","gujaratseveremalaria_data_2020-03-015_revised::chest_pain","gujaratseveremalaria_data_2020-03-015_revised","HP_0100749","Chest pain","","","","","Chest pain","1, Yes | 2, No |3, Unknown","value",""
"85","rash","gujaratseveremalaria_data_2020-03-015_revised::rash","gujaratseveremalaria_data_2020-03-015_revised","DOID_0050486","Rash","","","","","Rash","1, Yes | 2, No |3, Unknown","value",""
"86","ear_pain","gujaratseveremalaria_data_2020-03-015_revised::ear_pain","gujaratseveremalaria_data_2020-03-015_revised","HP_0030766","Ear pain","","","","","Ear pain","1, Yes | 2, No |3, Unknown","value",""
"87","splenomegaly","gujaratseveremalaria_data_2020-03-015_revised::splenomegaly","gujaratseveremalaria_data_2020-03-015_revised","HP_0001744","Splenomegaly","","","","","Splenomegaly","1, Yes | 2, No |3, Unknown","value",""
"88","temperature","gujaratseveremalaria_data_2020-03-015_revised::temperature","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0000110","Temperature (C)","","","","","Temperature","","variable",""
"89","weight","gujaratseveremalaria_data_2020-03-015_revised::weight","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0000732","Weight (kg)","","","","","Weight","","variable",""
"90","height","gujaratseveremalaria_data_2020-03-015_revised::height","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0010075","Height (cm)","","","","","Height","","variable",""
"91","heartrate","gujaratseveremalaria_data_2020-03-015_revised::heartrate","gujaratseveremalaria_data_2020-03-015_revised","EFO_0004326","Heart rate (bpm)","","","","","Heart rate","","variable",""
"93","oxygen","gujaratseveremalaria_data_2020-03-015_revised::oxygen","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0032049","O2 saturation (%)","","","","","Oxygen saturation","","variable",""
"96","xray_rad","gujaratseveremalaria_data_2020-03-015_revised::xray_rad","gujaratseveremalaria_data_2020-03-015_revised","","Chest X-ray performed","","Observation","Physical examination","OGMS_0000083","Was an X-ray taken?","1, Yes |2, No |99999, unknown","variable",""
"97","xray_result","gujaratseveremalaria_data_2020-03-015_revised::xray_result","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0033161","Chest X-ray interpretation","","","","","If yes, what was the result?","","variable",""
"98","edema_test_rad","gujaratseveremalaria_data_2020-03-015_revised::edema_test_rad","gujaratseveremalaria_data_2020-03-015_revised","","Pulmonary edema on X-ray","","Observation","Physical examination","OGMS_0000083","Were there signs of pulmonary edema?","1, Yes | 2, No | 3, Not reported","variable",""
"100","malaria_test_type_chk___1","gujaratseveremalaria_data_2020-03-015_revised::malaria_test_type_chk___1","gujaratseveremalaria_data_2020-03-015_revised","","Microscopy","","Sample","Plasmodium test type","EUPATH_0040010","If yes, which tests?","1, Microscopy |2, RDT |3, Other","value",""
"101","malaria_test_type_chk___2","gujaratseveremalaria_data_2020-03-015_revised::malaria_test_type_chk___2","gujaratseveremalaria_data_2020-03-015_revised","","RDT","","Sample","Plasmodium test type","EUPATH_0040010","If yes, which tests?","1, Microscopy |2, RDT |3, Other","value",""
"102","malaria_test_type_chk___3","gujaratseveremalaria_data_2020-03-015_revised::malaria_test_type_chk___3","gujaratseveremalaria_data_2020-03-015_revised","","Other","","Sample","Plasmodium test type","EUPATH_0040010","If yes, which tests?","1, Microscopy |2, RDT |3, Other","value",""
"104","malaria_test_mx_rad","gujaratseveremalaria_data_2020-03-015_revised::malaria_test_mx_rad","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0000423","Plasmodium species, by microscopy","","","","","If microscopy was done by the hospital, what was the result?","1, Pf | 2, Pv | 3, Pf&Pv | 4, Other | 5, No malaria detected","variable",""
"","","","","","Blood bacteria testing","","Sample","Blood microbiology tests procedures","EUPATH_0020125","","","category",""
"106","culture_rad","gujaratseveremalaria_data_2020-03-015_revised::culture_rad","gujaratseveremalaria_data_2020-03-015_revised","","Blood culture performed","","Sample","Blood bacteria testing","","Was blood culture conducted?","1, Yes |2, No |99999, unknown","variable",""
"107","culture_result","gujaratseveremalaria_data_2020-03-015_revised::culture_result","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0033227","Organism, by culture","","","","","If yes, was what the result?","","variable",""
"110","g6pd_result_rad","gujaratseveremalaria_data_2020-03-015_revised::g6pd_result_rad","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0000033","G6PD genotype","","","","","If yes, what was the result?","1, Deficient |2, Not deficient |99999, unknown","variable",""
"117","hemoglobin_result","gujaratseveremalaria_data_2020-03-015_revised::hemoglobin_result","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0000047","Hemoglobin (g/dL)","","","","","Hemoglobin result","","variable",""
"119","hematocrit_result","gujaratseveremalaria_data_2020-03-015_revised::hematocrit_result","gujaratseveremalaria_data_2020-03-015_revised","EFO_0004348","Hematocrit (%)","","","","","Hematocrit result","","variable",""
"121","bilirubin_result","gujaratseveremalaria_data_2020-03-015_revised::bilirubin_result","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0023054","Total bilirubin (mg/dL)","","","","","Serum bilirubin result","","variable",""
"123","ast_result","gujaratseveremalaria_data_2020-03-015_revised::ast_result","gujaratseveremalaria_data_2020-03-015_revised","","","","Sample","","","AST result","","variable","see templates"
"125","alt_result","gujaratseveremalaria_data_2020-03-015_revised::alt_result","gujaratseveremalaria_data_2020-03-015_revised","","","","Sample","","","ALT result","","variable","see templates"
"127","platelet_result","gujaratseveremalaria_data_2020-03-015_revised::platelet_result","gujaratseveremalaria_data_2020-03-015_revised","EFO_0004309","Platelet count (per uL blood)","","","","","Platelet count result","","variable",""
"129","urea_result","gujaratseveremalaria_data_2020-03-015_revised::urea_result","gujaratseveremalaria_data_2020-03-015_revised","","","","Sample","","","Blood urea result","","variable","see templates"
"131","creatinine_result","gujaratseveremalaria_data_2020-03-015_revised::creatinine_result","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0023011","Creatinine (mg/dL)","","","","","Serum creatinine result","","variable",""
"133","bicarbonate_result","gujaratseveremalaria_data_2020-03-015_revised::bicarbonate_result","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0027019","Bicarbonate (mmol/L)","","","","","Bicarbonate result","","variable",""
"135","glucose_result","gujaratseveremalaria_data_2020-03-015_revised::glucose_result","gujaratseveremalaria_data_2020-03-015_revised","","","","Sample","","","Blood glucose result","","variable","see templates"
"143","artesunate_rad","gujaratseveremalaria_data_2020-03-015_revised::artesunate_rad","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0000058","Antimalarial medication","","","","","Artesunate","1, Yes | 2, No |88888, missing","variable",""
"144","artesunate_dose","gujaratseveremalaria_data_2020-03-015_revised::artesunate_dose","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0023014","Medication dose","","","","","Dose","","variable",""
"145","artesunate_freq","gujaratseveremalaria_data_2020-03-015_revised::artesunate_freq","gujaratseveremalaria_data_2020-03-015_revised","","Medication frequency","","Observation","Treatment","OGMS_0000090","Frequency","","variable",""
"146","artesunate_route_rad","gujaratseveremalaria_data_2020-03-015_revised::artesunate_route_rad","gujaratseveremalaria_data_2020-03-015_revised","EUPATH_0023015","Medication administration route","","","","","Route","1, oral | 2, intramuscular | 3, intravenous | 4, rectal | 5, other | 88888, missing","variable",""
