colOrder,uniqueVar,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
13,icemr2_participants::eduid,icemr2_participants,http://purl.obolibrary.org/obo/OMRSE_00002045,Education level,,Participant,,,Education,,variable,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
11,icemr2_participants::ethnicid,icemr2_participants,http://purl.obolibrary.org/obo/OMRSE_00000205,Ethnicity,,Participant,,,Ethnicity,,variable,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
10,icemr2_participants::nationid,icemr2_participants,http://purl.obolibrary.org/obo/EUPATH_0000424,Nationality,,Participant,,,Nationality,,variable,,,,yes,,,ICEMR2 SEA Surveillance,,,,,,,,,
10,icemr2_observations::occupation,icemr2_observations,http://purl.obolibrary.org/obo/EUPATH_0000359,Occupation,,Participant,,,Occupation,,variable,,,,yes,,,ICEMR2 SEA Surveillance,,,,,,,,,
9,icemr2_observations::patient_type,icemr2_observations,http://purl.obolibrary.org/obo/EUPATH_0000424,Nationality,,Participant,,,Type of patient,"Thai, Other",variable,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
9,icemr2_participants::relatid,icemr2_participants,http://purl.obolibrary.org/obo/EUPATH_0000376,Relationship to household head,,Participant,,,Relationship,,variable,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
8,icemr2_observations::sex,icemr2_observations,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,Participant,,,Male/Female,,variable,,,,,,,ICEMR2 SEA Surveillance,,,,,,,,,
2,icemr2_observations::temp,icemr2_observations,http://purl.obolibrary.org/obo/OBI_0003073,Temperature,,Participant,,,body temperature,,variable,,,,yes,,,ICEMR2 SEA Surveillance,C,,,,,,,,
12,icemr2_observations::confirmedpcrresult,icemr2_observations,http://purl.obolibrary.org/obo/EUPATH_0025125,"Plasmodium, by qPCR",,Sample,,,result confirmed from PCR,"Neg, V, F, F+V, M, K, Not Done, Unspecify sp.",variable,,,,yes,,,ICEMR2 SEA Surveillance,,,,,,,,,
11,icemr2_observations::confirmedslideresult,icemr2_observations,http://purl.obolibrary.org/obo/EUPATH_0027009,"Plasmodium, by microscopy",,Sample,,,Slide confirmed from Lab (Microscopic),"Neg, V, F, F+V, M, K",variable,,,,yes,,,ICEMR2 SEA Surveillance,,,,,,,,,
5,icemr2_observations::malaria_result,icemr2_observations,,"Plasmodium, by field microscopy",,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,result from field test (Microscopic),"F,F+V,V,Neg",variable,,,,yes,,,ICEMR2 SEA Surveillance,,,,,,,,,
4,icemr2_observations::punchdate,icemr2_observations,http://purl.obolibrary.org/obo/EUPATH_0033147,Blood sample collection date,,Sample,,,Blood draw date,,variable,,,,yes,yes,yes,ICEMR2 SEA Surveillance,,,,,,,,,
