dataSet,variable,dataFile,colOrder,label,IRI,definition,category,displayOrder,parentLabel,parentIRI,termType,repeated,is_temporal,mergeKey,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
clinepidb_study_explorer,urine,study_summaries_table_reorg,34,Urine sample,http://purl.obolibrary.org/obo/OBI_0000651,,Study,3,Sample type,http://purl.obolibrary.org/obo/OBI_0100051,value,,,,,,,,,,,,
clinepidb_study_explorer,saliva,study_summaries_table_reorg,39,Saliva sample,http://purl.obolibrary.org/obo/OBI_0002507,,Study,4,Sample type,http://purl.obolibrary.org/obo/OBI_0100051,value,,,,,,,,,,,,
clinepidb_study_explorer,endotracheal_tube,study_summaries_table_reorg,28,Endotracheal tube sample,http://purl.obolibrary.org/obo/OBI_0002971,,Study,5,Sample type,http://purl.obolibrary.org/obo/OBI_0100051,value,,,,,,,,,,,,
clinepidb_study_explorer,gastric_fluid,study_summaries_table_reorg,29,Gastric fluid sample,http://purl.obolibrary.org/obo/OBI_0002504,,Study,6,Sample type,http://purl.obolibrary.org/obo/OBI_0100051,value,,,,,,,,,,,,
clinepidb_study_explorer,induced_sputum,study_summaries_table_reorg,30,Induced sputum sample,http://purl.obolibrary.org/obo/OBI_0002746,,Study,7,Sample type,http://purl.obolibrary.org/obo/OBI_0100051,value,,,,,,,,,,,,
clinepidb_study_explorer,nasopharyngeal_swab,study_summaries_table_reorg,31,Nasopharyngeal swab sample,http://purl.obolibrary.org/obo/OBI_0002606,,Study,8,Sample type,http://purl.obolibrary.org/obo/OBI_0100051,value,,,,,,,,,,,,
clinepidb_study_explorer,oropharyngeal_swab,study_summaries_table_reorg,32,Oropharyngeal swab sample,http://purl.obolibrary.org/obo/OBI_0002608,,Study,9,Sample type,http://purl.obolibrary.org/obo/OBI_0100051,value,,,,,,,,,,,,
clinepidb_study_explorer,pleural_fluid,study_summaries_table_reorg,33,Pleural fluid sample,http://purl.obolibrary.org/obo/OBI_0002515,,Study,10,Sample type,http://purl.obolibrary.org/obo/OBI_0100051,value,,,,,,,,,,,,
clinepidb_study_explorer,cerebrospinal_fluid,study_summaries_table_reorg,35,Cerebrospinal fluid sample,,,Study,11,Sample type,http://purl.obolibrary.org/obo/OBI_0100051,value,,,,,,,,,,,,
clinepidb_study_explorer,breath,study_summaries_table_reorg,36,Breath sample,,,Study,12,Sample type,http://purl.obolibrary.org/obo/OBI_0100051,value,,,,,,,,,,,,
clinepidb_study_explorer,maternal_blood,study_summaries_table_reorg,37,Maternal blood sample,,,Study,13,Sample type,http://purl.obolibrary.org/obo/OBI_0100051,value,,,,,,,,,,,,
clinepidb_study_explorer,maternal_breast_milk,study_summaries_table_reorg,38,Maternal breast milk sample,http://purl.obolibrary.org/obo/OBI_0002505,,Study,14,Sample type,http://purl.obolibrary.org/obo/OBI_0100051,value,,,,,,,,,,,,
clinepidb_study_explorer,,,,Sample type,http://purl.obolibrary.org/obo/OBI_0100051,Type(s) of sample collected in the study.,Study,1,Sample details,http://purl.obolibrary.org/obo/EUPATH_0011996,multifilter,,,,,,,,,,,,
clinepidb_study_explorer,,,,Study identifiers,,,Study,1,Study,http://purl.obolibrary.org/obo/EUPATH_0000605,category,,,,,,,,,,,,
clinepidb_study_explorer,,,,Data accessibility,,,Study,2,Study,http://purl.obolibrary.org/obo/EUPATH_0000605,category,,,,,,,,,,,,
clinepidb_study_explorer,,,,Release information,,,Study,3,Study,http://purl.obolibrary.org/obo/EUPATH_0000605,category,,,,,,,,,,,,
clinepidb_study_explorer,,,,Study administrative information,,,Study,4,Study,http://purl.obolibrary.org/obo/EUPATH_0000605,category,,,,,,,,,,,,
clinepidb_study_explorer,,,,Data categorization,,,Study,5,Study,http://purl.obolibrary.org/obo/EUPATH_0000605,category,,,,,,,,,,,,
clinepidb_study_explorer,,,,Sample details,http://purl.obolibrary.org/obo/EUPATH_0011996,,Study,6,Study,http://purl.obolibrary.org/obo/EUPATH_0000605,category,,,,,,,,,,,,
clinepidb_study_explorer,,,,Study sample size,,,Study,7,Study,http://purl.obolibrary.org/obo/EUPATH_0000605,category,,,,,,,,,,,,
clinepidb_study_explorer,investigation_type,study_summaries_table_reorg,40,Investigation type,http://purl.obolibrary.org/obo/OBI_0000066,,Study,1,Study administrative information,http://purl.obolibrary.org/obo/EUPATH_9990006,variable,,,,,,,,,,,,
clinepidb_study_explorer,study_design,study_summaries_table_reorg,41,Study design,http://purl.obolibrary.org/obo/OBI_0500000,,Study,2,Study administrative information,http://purl.obolibrary.org/obo/EUPATH_9990006,variable,,,,,,yes,,,,,,
clinepidb_study_explorer,start_year,study_summaries_table_reorg,42,Data collection start year,,Year in which data collection started.,Study,3,Study administrative information,http://purl.obolibrary.org/obo/EUPATH_9990006,variable,,yes,,,,yes,,,2005,,1,
clinepidb_study_explorer,stop_year,study_summaries_table_reorg,43,Data collection stop year,,Year in which data collection ended.,Study,4,Study administrative information,http://purl.obolibrary.org/obo/EUPATH_9990006,variable,,yes,,,,,,,2010,,1,
clinepidb_study_explorer,study,study_summaries_table_reorg,2,Study name,http://purl.obolibrary.org/obo/OBI_0001628,,Study,1,Study identifiers,http://purl.obolibrary.org/obo/EUPATH_9990008,variable,,,,,,yes,,,,,,
clinepidb_study_explorer,project_name,study_summaries_table_reorg,5,Project name ,http://purl.obolibrary.org/obo/OBI_0001622,"Whether the study was part of a larger project, or collection of related studies.",Study,2,Study identifiers,http://purl.obolibrary.org/obo/EUPATH_9990008,variable,,,,,,,,,,,,
clinepidb_study_explorer,contact,study_summaries_table_reorg,12,Contact Name,,Name of the person to contact on the original study team.,Study,3,Study identifiers,http://purl.obolibrary.org/obo/EUPATH_9990008,variable,,,,,,,,,,,,
clinepidb_study_explorer,contact_institution,study_summaries_table_reorg,13,Contact Institution,,Contact institution for the original study team.,Study,4,Study identifiers,http://purl.obolibrary.org/obo/EUPATH_9990008,variable,,,,,,,,,,,,
clinepidb_study_explorer,,,,Study identifiers for internal use by ClinEpiDB staff,,,Study,5,Study identifiers,http://purl.obolibrary.org/obo/EUPATH_9990008,category,,,,,,,,,,,,
clinepidb_study_explorer,dataset_id,study_summaries_table_reorg,1,Dataset ID,,Identifier used on the backend by ClinEpiDB staff.,Study,1,Study identifiers for internal use by ClinEpiDB staff,http://purl.obolibrary.org/obo/EUPATH_9990009,variable,,,,,,,,,,,,
clinepidb_study_explorer,data_set_name,study_summaries_table_reorg,3,Dataset presenter name,,Identifier used on the backend by ClinEpiDB staff.,Study,2,Study identifiers for internal use by ClinEpiDB staff,http://purl.obolibrary.org/obo/EUPATH_9990009,variable,,,,,,,,,,,,
clinepidb_study_explorer,eda_study_id,study_summaries_table_reorg,4,EDA study ID,,Identifier used on the backend by ClinEpiDB staff.,Study,3,Study identifiers for internal use by ClinEpiDB staff,http://purl.obolibrary.org/obo/EUPATH_9990009,variable,,,,,,,,,,,,
clinepidb_study_explorer,who_reproductive_maternal_newborn_child_and_adolescent_health,study_summaries_table_reorg,23,"Reproductive, maternal, newborn, child, and adolescent health",http://purl.obolibrary.org/obo/EUPATH_0000766,,Study,1,WHO indicator subdomain,http://purl.obolibrary.org/obo/EUPATH_0000763,value,,,,,,,,,,,,
clinepidb_study_explorer,who_communicable_disease,study_summaries_table_reorg,24,Communicable disease,http://purl.obolibrary.org/obo/EUPATH_0000767,,Study,2,WHO indicator subdomain,http://purl.obolibrary.org/obo/EUPATH_0000763,value,,,,,,,,,,,,
clinepidb_study_explorer,who_nutrition,study_summaries_table_reorg,25,Nutrition,http://purl.obolibrary.org/obo/EUPATH_0000768,,Study,3,WHO indicator subdomain,http://purl.obolibrary.org/obo/EUPATH_0000763,value,,,,,,,,,,,,
clinepidb_study_explorer,,,,Study,,,Study,,,,,,,,,,,,,,,,
clinepidb_study_explorer,country,country_coordinates,1,Country,http://purl.obolibrary.org/obo/ENVO_00000009,,Country,1,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,variable,,,,,,yes,,,,,,
clinepidb_study_explorer,,,,Geolocation,http://purl.obolibrary.org/obo/EUPATH_0043212,,Country,2,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,category,,,,,,,,,,,,
clinepidb_study_explorer,latitude,country_coordinates,7,Latitude,http://purl.obolibrary.org/obo/OBI_0001620,,Country,1,Geolocation,http://purl.obolibrary.org/obo/EUPATH_0043212,variable,,,,,,,variableTree,,,,,
clinepidb_study_explorer,longitude,country_coordinates,8,Longitude,http://purl.obolibrary.org/obo/OBI_0001621,,Country,2,Geolocation,http://purl.obolibrary.org/obo/EUPATH_0043212,variable,,,,,,,variableTree,,,,,
clinepidb_study_explorer,,,,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,,Country,1,Study country,http://purl.obolibrary.org/obo/EUPATH_9990007,category,,,,,,,,,,,,
clinepidb_study_explorer,,,,,,,,,,,,,,,,,,,,,,,
clinepidb_study_explorer,geohash1,,,geohash 1,http://purl.obolibrary.org/obo/EUPATH_0043203,,,,Geolocation,http://purl.obolibrary.org/obo/EUPATH_0043212,,,,,,,,everywhere,,,,,
clinepidb_study_explorer,geohash2,,,geohash 2,http://purl.obolibrary.org/obo/EUPATH_0043204,,,,Geolocation,http://purl.obolibrary.org/obo/EUPATH_0043212,,,,,,,,everywhere,,,,,
clinepidb_study_explorer,geohash3,,,geohash 3,http://purl.obolibrary.org/obo/EUPATH_0043205,,,,Geolocation,http://purl.obolibrary.org/obo/EUPATH_0043212,,,,,,,,everywhere,,,,,
clinepidb_study_explorer,geohash4,,,geohash 4,http://purl.obolibrary.org/obo/EUPATH_0043206,,,,Geolocation,http://purl.obolibrary.org/obo/EUPATH_0043212,,,,,,,,everywhere,,,,,
clinepidb_study_explorer,geohash5,,,geohash 5,http://purl.obolibrary.org/obo/EUPATH_0043207,,,,Geolocation,http://purl.obolibrary.org/obo/EUPATH_0043212,,,,,,,,everywhere,,,,,
clinepidb_study_explorer,geohash6,,,geohash 6,http://purl.obolibrary.org/obo/EUPATH_0043208,,,,Geolocation,http://purl.obolibrary.org/obo/EUPATH_0043212,,,,,,,,everywhere,,,,,
