IRI,new IRI,replaces,label,# label,# parentIRI,# parentLabel
http://purl.obolibrary.org/obo/EUPATH_0032001,http://purl.obolibrary.org/obo/OBI_0003242,EUPATH_0032001,,Induced sputum microbiology test,http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test
http://purl.obolibrary.org/obo/EUPATH_0032034,http://purl.obolibrary.org/obo/OBI_0003241,EUPATH_0032034,,Endotracheal tube aspirate microbiology test,http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test
http://purl.obolibrary.org/obo/EUPATH_0032386,http://purl.obolibrary.org/obo/OBI_0003234,EUPATH_0032386,,Induced sputum test,http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test
http://purl.obolibrary.org/obo/EUPATH_0032387,http://purl.obolibrary.org/obo/OBI_0003233,EUPATH_0032387,,Endotracheal tube aspirate test,http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test
http://purl.obolibrary.org/obo/EUPATH_0036568,http://purl.obolibrary.org/obo/OBI_0003237,EUPATH_0036568,,Stool test,http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test
http://purl.obolibrary.org/obo/EUPATH_0038345,http://purl.obolibrary.org/obo/OBI_0003240,EUPATH_0038345,,Cerebrospinal fluid microbiology test,http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test
http://purl.obolibrary.org/obo/EUPATH_0038346,http://purl.obolibrary.org/obo/OBI_0003232,EUPATH_0038346,,Cerebrospinal fluid test,http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test
http://purl.obolibrary.org/obo/FLU_0001025,http://purl.obolibrary.org/obo/OBI_0002748,FLU_0001025,,Passage history,http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source
http://purl.obolibrary.org/obo/NCBITaxon_11118,http://purl.obolibrary.org/obo/NCBITaxon_2501931,NCBITaxon_11118,,Coronavirus,http://purl.obolibrary.org/obo/EUPATH_0009090,Virus detected
http://purl.obolibrary.org/obo/NCIT_C92867,http://purl.obolibrary.org/obo/NCIT_C92904,NCIT_C92867,,Abdominal pain/contractions,http://purl.obolibrary.org/obo/EUPATH_0042003,Obstetric symptoms
http://purl.obolibrary.org/obo/SYMP_0000064,http://purl.obolibrary.org/obo/HP_0002829,SYMP_0000064,,Joint pains,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms
http://purl.obolibrary.org/obo/EUPATH_0021143,http://purl.obolibrary.org/obo/OBI_0003244,EUPATH_0021143,,Raw test result for blood,http://purl.obolibrary.org/obo/OBI_0002649,Blood microbiology test
http://purl.obolibrary.org/obo/EUPATH_0022270,http://purl.obolibrary.org/obo/OBI_0003263,EUPATH_0033307,,Raw eukaryota data for blood,http://purl.obolibrary.org/obo/EUPATH_0021143,Raw test result for blood
http://purl.obolibrary.org/obo/EUPATH_0021001,http://purl.obolibrary.org/obo/OBI_0003261,EUPATH_0033293,,Raw bacteria data for blood,http://purl.obolibrary.org/obo/EUPATH_0021143,Raw test result for blood
http://purl.obolibrary.org/obo/EUPATH_0021003,http://purl.obolibrary.org/obo/OBI_0003262,EUPATH_0036031,,Raw virus data for blood,http://purl.obolibrary.org/obo/EUPATH_0021143,Raw test result for blood
http://purl.obolibrary.org/obo/EUPATH_0010985,http://purl.obolibrary.org/obo/OBI_0003246,EUPATH_0010985,,Raw test result for stool,http://purl.obolibrary.org/obo/OBI_0003039,Stool microbiology test
http://purl.obolibrary.org/obo/EUPATH_0011843,http://purl.obolibrary.org/obo/OBI_0003264,EUPATH_0011967,,Raw bacteria data for stool,http://purl.obolibrary.org/obo/EUPATH_0010985,Raw test result for stool
http://purl.obolibrary.org/obo/EUPATH_0011845,http://purl.obolibrary.org/obo/OBI_0003265,EUPATH_0011845,,Raw eukaryota data for stool,http://purl.obolibrary.org/obo/EUPATH_0010985,Raw test result for stool
http://purl.obolibrary.org/obo/EUPATH_0011844,http://purl.obolibrary.org/obo/OBI_0003266,EUPATH_0011844,,Raw virus data for stool,http://purl.obolibrary.org/obo/EUPATH_0010985,Raw test result for stool
http://purl.obolibrary.org/obo/EUPATH_0032005,http://purl.obolibrary.org/obo/OBI_0003251,EUPATH_0032005,,Raw test result for induced sputum,http://purl.obolibrary.org/obo/OBI_0003242,Induced sputum microbiology test
http://purl.obolibrary.org/obo/EUPATH_0032006,http://purl.obolibrary.org/obo/OBI_0003268,EUPATH_0032006,,Raw bacteria data for induced sputum,http://purl.obolibrary.org/obo/EUPATH_0032005,Raw test result for induced sputum
http://purl.obolibrary.org/obo/EUPATH_0032007,http://purl.obolibrary.org/obo/OBI_0003269,EUPATH_0032007,,Raw eukaryota data for induced sputum,http://purl.obolibrary.org/obo/EUPATH_0032005,Raw test result for induced sputum
http://purl.obolibrary.org/obo/EUPATH_0032008,http://purl.obolibrary.org/obo/OBI_0003270,EUPATH_0032008,,Raw virus data for induced sputum,http://purl.obolibrary.org/obo/EUPATH_0032005,Raw test result for induced sputum
http://purl.obolibrary.org/obo/EUPATH_0032021,http://purl.obolibrary.org/obo/OBI_0003256,EUPATH_0032021,,Raw test result for lung aspirate,http://purl.obolibrary.org/obo/EUPATH_0032017,Lung aspirate microbiology test
http://purl.obolibrary.org/obo/EUPATH_0032022,http://purl.obolibrary.org/obo/OBI_0003272,EUPATH_0032022,,Raw bacteria data for lung aspirate,http://purl.obolibrary.org/obo/EUPATH_0032021,Raw test result for lung aspirate
http://purl.obolibrary.org/obo/EUPATH_0032023,http://purl.obolibrary.org/obo/OBI_0003273,EUPATH_0032023,,Raw eukaryota data for lung aspirate,http://purl.obolibrary.org/obo/EUPATH_0032021,Raw test result for lung aspirate
http://purl.obolibrary.org/obo/EUPATH_0032024,http://purl.obolibrary.org/obo/OBI_0003274,EUPATH_0032024,,Raw virus data for lung aspirate,http://purl.obolibrary.org/obo/EUPATH_0032021,Raw test result for lung aspirate
http://purl.obolibrary.org/obo/EUPATH_0032030,http://purl.obolibrary.org/obo/OBI_0003257,EUPATH_0032030,,Raw test result for nasopharyngeal/oropharyngeal swabs,http://purl.obolibrary.org/obo/EUPATH_0032025,Nasopharyngeal/oropharyngeal swabs microbiology test
http://purl.obolibrary.org/obo/EUPATH_0032127,http://purl.obolibrary.org/obo/OBI_0003275,EUPATH_0032127,,Raw bacteria data for nasopharyngeal/oropharyngeal swabs,http://purl.obolibrary.org/obo/EUPATH_0032030,Raw test result for nasopharyngeal/oropharyngeal swabs
http://purl.obolibrary.org/obo/EUPATH_0032128,http://purl.obolibrary.org/obo/OBI_0003276,EUPATH_0032128,,Raw eukaryota data for nasopharyngeal/oropharyngeal swabs,http://purl.obolibrary.org/obo/EUPATH_0032030,Raw test result for nasopharyngeal/oropharyngeal swabs
http://purl.obolibrary.org/obo/EUPATH_0032129,http://purl.obolibrary.org/obo/OBI_0003277,EUPATH_0032129,,Raw virus data for nasopharyngeal/oropharyngeal swabs,http://purl.obolibrary.org/obo/EUPATH_0032030,Raw test result for nasopharyngeal/oropharyngeal swabs
http://purl.obolibrary.org/obo/EUPATH_0042394,http://purl.obolibrary.org/obo/OBI_0003260,EUPATH_0042394,,Raw test result for umbilical cord blood,http://purl.obolibrary.org/obo/EUPATH_0042375,Umbilical cord blood microbiology test
http://purl.obolibrary.org/obo/EUPATH_0042395,http://purl.obolibrary.org/obo/OBI_0003281,EUPATH_0042395,,Raw eukaryota data for umbilical cord blood,http://purl.obolibrary.org/obo/EUPATH_0042394,Raw test result for umbilical cord blood
http://purl.obolibrary.org/obo/EUPATH_0030174,http://purl.obolibrary.org/obo/OBI_0003248,EUPATH_0030174,,Raw test result for urine,http://purl.obolibrary.org/obo/OBI_0003286,Urine microbiology test
http://purl.obolibrary.org/obo/EUPATH_0030175,http://purl.obolibrary.org/obo/OBI_0003267,EUPATH_0030175,,Raw eukaryota data for urine,http://purl.obolibrary.org/obo/EUPATH_0030174,Raw test result for urine
http://purl.obolibrary.org/obo/EUPATH_0044178,http://purl.obolibrary.org/obo/OBI_0002913,EUPATH_0044178,,Arthropod collection process,http://purl.obolibrary.org/obo/PCO_0000024,Household
http://purl.obolibrary.org/obo/EUPATH_0011880,http://purl.obolibrary.org/obo/OBI_0003057,EUPATH_0011880,,Antibiotic administration,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment
http://purl.obolibrary.org/obo/EUPATH_0042233,http://purl.obolibrary.org/obo/OBI_0003238,EUPATH_0042233,,Umbilical cord blood test,http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test
# End of 2022-06-08 release,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0042116,http://purl.obolibrary.org/obo/OBI_0003381,EUPATH_0042116,,Placental blood microbiology test,http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test
http://purl.obolibrary.org/obo/EUPATH_0033448,http://purl.obolibrary.org/obo/OBI_0003255,EUPATH_0033448,,Raw test result for endotracheal tube aspirate,http://purl.obolibrary.org/obo/OBI_0003241,Endotracheal tube aspirate microbiology test
http://purl.obolibrary.org/obo/EUPATH_0032013,http://purl.obolibrary.org/obo/OBI_0003258,EUPATH_0032013,,Raw test result for pleural fluid,http://purl.obolibrary.org/obo/OBI_0003283,Pleural fluid microbiology test
http://purl.obolibrary.org/obo/EUPATH_0042390,http://purl.obolibrary.org/obo/OBI_0003382,EUPATH_0042390,,Raw test result for placental blood,http://purl.obolibrary.org/obo/OBI_0003381,Placental blood microbiology test
http://purl.obolibrary.org/obo/OGMS_0000056,http://purl.obolibrary.org/obo/OBI_0000070,OGMS_0000056,,Laboratory test,,
http://purl.obolibrary.org/obo/EUPATH_0000095,http://purl.obolibrary.org/obo/OBI_0003071,EUPATH_0000095,Subject ID,Participant ID,,
http://purl.obolibrary.org/obo/OBI_0600005,http://purl.obolibrary.org/obo/OBI_0000659,OBI_0600005,,Sample collection process,,
# End of 2022-08-12 release,,,,,,
