Term Ontology ID	Display Label	Term Parent Ontology ID	Term Parent display Label	Data Dictionary ID	Data Dictionary Label	Term Type
ICEMR_0101059	Have an existing illness?	EUPATH_0000309	Symptoms	INDIAN_0100059	existing_illness_yn	variable
ICEMR_0101060	Fever treatment location	EUPATH_0000309	Symptoms	INDIAN_0100060	fever_2wk_where_chk	variable
ICEMR_0101062	Duration of febrile	EUPATH_0000309	Symptoms	INDIAN_0100062	fever_48hr_numdays	variable
ICEMR_0101065	Family head?	EUPATH_0000307	Participant Study Details	INDIAN_0100065	head_yn	variable
ICEMR_0101070	Hospital registration #	EUPATH_0000307	Participant Study Details	INDIAN_0100070	igh_regnum	variable
ICEMR_0101071	Illness now?	EUPATH_0000309	Symptoms	INDIAN_0100071	illnow_yn	variable
ICEMR_0101072	Indoor residents	EUPATH_0000301	Dwelling Summary	INDIAN_0100072	indoor_residents_rad	variable
ICEMR_0101073	Freq larvicide in use	ICEMR_0000003	Vector Intervention	INDIAN_0100073	larvicide_in_use_rad	variable
ICEMR_0101074	Malaria in last 12 months?	OGMS_0000015	Clinical history	INDIAN_0100074	malaria_yn	variable
ICEMR_0101082	# Asexual parasite	OGMS_0000018	Laboratory Findings	INDIAN_0100082	mx_counts1	variable
ICEMR_0101083	# Sexual parasite	OGMS_0000018	Laboratory Findings	INDIAN_0100083	mx_counts2	variable
ICEMR_0101084	Parasite species	OGMS_0000018	Laboratory Findings	INDIAN_0100084	mx_species_chk	variable
ICEMR_0101085	Nationality	EUPATH_0000307	Participant Study Details	INDIAN_0100085	nationality	variable
ICEMR_0101086	Occupation	EUPATH_0000307	Participant Study Details	INDIAN_0100086	occupation	variable
ICEMR_0101087	Past year diagnosis	OGMS_0000015	Clinical history	INDIAN_0100087	pastyear_dx_chk	variable
ICEMR_0101088	# Malaria diagnosis past year	OGMS_0000015	Clinical history	INDIAN_0100088	pastyear_num_dx	variable
ICEMR_0101089	# Months since malaria diagnosis	OGMS_0000015	Clinical history	INDIAN_0100089	pastyear_num_mo	variable
ICEMR_0101090	Antimalarial drug treated?	OGMS_0000015	Clinical history	INDIAN_0100090	pastyear_treat_rad	variable
ICEMR_0101091	Antimalarial drug treated date	OGMS_0000015	Clinical history	INDIAN_0100091	pastyear_treatdate	variable
ICEMR_0101092	Antimalarial drug used	OGMS_0000015	Clinical history	INDIAN_0100092	pastyear_treatdrugs_chk	variable
ICEMR_0101093	Who treated you	OGMS_0000015	Clinical history	INDIAN_0100093	pastyear_treatwhere_chk	variable
ICEMR_0101094	PCR DNA Source	OGMS_0000018	Laboratory Findings	INDIAN_0100094	pcr_dna_source_rad	variable
ICEMR_0101095	Parasite species by PCR	OGMS_0000018	Laboratory Findings	INDIAN_0100095	pcr_species_chk	variable
ICEMR_0101096	Primary health center	EUPATH_0000307	Participant Study Details	INDIAN_0100096	phc	variable
ICEMR_0101098	Proverty line	EUPATH_0000304	Socioeconomic Factors	INDIAN_0100098	poverty_line	variable
ICEMR_0101099	No illness	OGMS_0000073	Diagnosis	INDIAN_0100099	No illness	variable
ICEMR_0101104	Falcivax RDT	OGMS_0000018	Laboratory Findings	INDIAN_0100104	rdt_falc_chk	variable
ICEMR_0101105	Optimal RDT	OGMS_0000018	Laboratory Findings	INDIAN_0100105	rdt_opt_chk	variable
ICEMR_0101106	Personal repellent	ICEMR_0000003	Vector Intervention	INDIAN_0100106	repellent_chk	variable
ICEMR_0101107	Resident status	EUPATH_0000307	Participant Study Details	INDIAN_0100107	resident_status_chk	variable
ICEMR_0101111	Sprayed in last 12 months	ICEMR_0000003	Vector Intervention	INDIAN_0100111	sprayed_chk	variable
ICEMR_0101112	State of birth	EUPATH_0000307	Participant Study Details	INDIAN_0100112	stateofbirth	variable
ICEMR_0101114	Take fever suppressant?	EUPATH_0000057	Medication	INDIAN_0100114	suppressant_now_yn	variable
ICEMR_0101133	Taluk	GAZ_00000448	Geographic location	INDIAN_0100133	taluk	variable
ICEMR_0101135	Visited country	ICEMR_0000002	Traveling Details	INDIAN_0100135	travel_2wk_country	variable
ICEMR_0101136	Visited district	ICEMR_0000002	Traveling Details	INDIAN_0100136	travel_2wk_district	variable
ICEMR_0101137	Visited state	ICEMR_0000002	Traveling Details	INDIAN_0100137	travel_2wk_state	variable
ICEMR_0101138	Visited taluk	ICEMR_0000002	Traveling Details	INDIAN_0100138	travel_2wk_taluk	variable
ICEMR_0101139	Visited village	ICEMR_0000002	Traveling Details	INDIAN_0100139	travel_2wk_village	variable
ICEMR_0101140	Travel in last 14 days?	ICEMR_0000002	Traveling Details	INDIAN_0100140	travel_2wk_yn	variable
ICEMR_0101143	Healthcare type	EUPATH_0000304	Socioeconomic Factors	INDIAN_0100143	typical_healthcare_chk	variable
ICEMR_0101144	Village	GAZ_00000448	Geographic location	INDIAN_0100144	village	variable
ICEMR_0101147	Zone #	GAZ_00000448	Geographic location	INDIAN_0100147	zone	variable
EUPATH_0000120	Age at time of enrollment	EUPATH_0000307	Participant Study Details	INDIAN_0100032	age	variable
EUPATH_0000113	Age at time of visit	EUPATH_0000310	Visit Details	INDIAN_0100033	age_fu	variable
EUPATH_0000001	Building material	EUPATH_0000303	Physical Characteristics	INDIAN_0100043	building_material_chk	variable
EUPATH_0000094	Household ID	EUPATH_0000307	Participant Study Details	INDIAN_0100045	cen_fid	variable
EUPATH_0000091	Date of visit	EUPATH_0000310	Visit Details	INDIAN_0100049	date	variable
EUPATH_0000191	Days since enrollment	EUPATH_0000310	Visit Details	INDIAN_0100050	days	variable
EUPATH_0000058	Malaria medication	EUPATH_0000057	Medication	INDIAN_0100053	drugs_2wk_codes	variable
EUPATH_0000311	Visit type	EUPATH_0000328	Visit	INDIAN_0100057	en_check_yn	variable
EUPATH_0000100	Fever (subjective)	EUPATH_0000309	Symptoms	INDIAN_0100061	fever_2wk_yn	variable
EUPATH_0000097	Febrile	EUPATH_0000309	Symptoms	INDIAN_0100063	fever_48hr_yn	variable
EUPATH_0000033	G6PD Genotype	EUPATH_0000306	Participant Genotype	INDIAN_0100064	gpd_rad	variable
IAO_0000408	Height	OGMS_0000083	Physical Examination	INDIAN_0100066	height	variable
EUPATH_0000047	Hemoglobin	OGMS_0000018	Laboratory Findings	INDIAN_0100067	hemocue	variable
EUPATH_0000019	# residents in dwelling	EUPATH_0000304	Socioeconomic Factors	INDIAN_0100068	household_size	variable
EUPATH_0000095	Participant ID	EUPATH_0000307	Participant Study Details	INDIAN_0100069	icid	variable
SNOMEDCT_40541001	Acute pulmonary edema	EUPATH_0000309	Symptoms	INDIAN_0100075	manifestations_chk___1	variable
SNOMEDCT_371632003	Coma	EUPATH_0000309	Symptoms	INDIAN_0100076	manifestations_chk___2	variable
HP_0000952	Jaundice	EUPATH_0000309	Symptoms	INDIAN_0100077	manifestations_chk___3	variable
DOID_1074	Renal failure	EUPATH_0000309	Symptoms	INDIAN_0100078	manifestations_chk___4	variable
MEDDRA_10009119	Respiratory distress	EUPATH_0000309	Symptoms	INDIAN_0100079	manifestations_chk___5	variable
SYMP_0000007	Spontaneous bleeding	EUPATH_0000309	Symptoms	INDIAN_0100080	manifestations_chk___6	variable
EUPATH_0000215	Severe anemia	EUPATH_0000309	Symptoms	INDIAN_0100081	manifestations_chk___7	variable
OMIABIS_0000026	Zip code	GAZ_00000448	Geographic location	INDIAN_0100097	pincode	variable
EUPATH_0000089	Asymptomatic parasitemia	OGMS_0000073	Diagnosis	INDIAN_0100100	Asymptomatic malaria	variable
EUPATH_0000038	Uncomplicated malaria	OGMS_0000073	Diagnosis	INDIAN_0100101	Uncomplicated malaria	variable
EUPATH_0000043	Severe malaria	OGMS_0000073	Diagnosis	INDIAN_0100102	Severe malaria	variable
EUPATH_0000317	Other diagnosis	OGMS_0000073	Diagnosis	INDIAN_0100103	Illness other than malaria	variable
OBI_0100051	Specimen type	OGMS_0000018	Laboratory Findings	INDIAN_0100108	samples_chk	variable
PATO_0000047	Sex	EUPATH_0000307	Participant Study Details	INDIAN_0100109	sex	variable
EUPATH_0000095	Participant ID	EUPATH_0000307	Participant Study Details	INDIAN_0100110	sid	variable
OMIABIS_0000041	Street	GAZ_00000448	Geographic location	INDIAN_0100113	street	variable
HP_0002315	Headache	EUPATH_0000309	Symptoms	INDIAN_0100115	symptoms_chk___1	variable
SYMP_0019174	Chills	EUPATH_0000309	Symptoms	INDIAN_0100116	symptoms_chk___2	variable
SYMP_0000099	Aches or pains	EUPATH_0000309	Symptoms	INDIAN_0100117	symptoms_chk___3	variable
SYMP_0019177	Fatigue	EUPATH_0000309	Symptoms	INDIAN_0100118	symptoms_chk___4	variable
HP_0002013	Vomiting	EUPATH_0000309	Symptoms	INDIAN_0100119	symptoms_chk___5	variable
SYMP_0000523	Anorexia	EUPATH_0000309	Symptoms	INDIAN_0100120	symptoms_chk___6	variable
SYMP_0000614	Cough	EUPATH_0000309	Symptoms	INDIAN_0100121	symptoms_chk___7	variable
SYMP_0000610	Dizziness	EUPATH_0000309	Symptoms	INDIAN_0100122	symptoms_chk___8	variable
HP_0000975	Sweating	EUPATH_0000309	Symptoms	INDIAN_0100123	symptoms_chk___9	variable
HP_0002027	Abdominal pain	EUPATH_0000309	Symptoms	INDIAN_0100124	symptoms_chk___10	variable
DOID_13250	Diarrhea	EUPATH_0000309	Symptoms	INDIAN_0100125	symptoms_chk___11	variable
HP_0003419	Lower back pain	EUPATH_0000309	Symptoms	INDIAN_0100126	symptoms_chk___12	variable
MEDDRA_10015958	Eye pain	EUPATH_0000309	Symptoms	INDIAN_0100127	symptoms_chk___13	variable
HP_0000980	Paleness	EUPATH_0000309	Symptoms	INDIAN_0100128	symptoms_chk___14	variable
HP_0100749	Chest pain	EUPATH_0000309	Symptoms	INDIAN_0100129	symptoms_chk___15	variable
DOID_0050486	Rash	EUPATH_0000309	Symptoms	INDIAN_0100130	symptoms_chk___16	variable
MEDDRA_10014020	Ear pain	EUPATH_0000309	Symptoms	INDIAN_0100131	symptoms_chk___17	variable
HP_0001744	Splenomegaly	EUPATH_0000309	Symptoms	INDIAN_0100132	symptoms_chk___18	variable
EUPATH_0000110	Temperature	OGMS_0000083	Physical Examination	INDIAN_0100134	temperature	variable
EUPATH_0000002	Dwelling type	EUPATH_0000301	Dwelling Summary	INDIAN_0100141	type_of_dwelling_rad	variable
EUPATH_0000003	Roof material	EUPATH_0000303	Physical Characteristics	INDIAN_0100142	type_of_roof_chk	variable
ENVO_00003064	Drinking water source	EUPATH_0000302	Facilities	INDIAN_0100145	water_supply_chk	variable
IAO_0000414	Weight	OGMS_0000083	Physical Examination	INDIAN_0100146	weight	variable
EUPATH_0000144	Assets	EUPATH_0000304	Socioeconomic Factors	INDIAN_0100148	Assets	variable
EUPATH_0000120	Age at time of enrollment	EUPATH_0000307	Participant Study Details	INDIAN_0100032-2	age_en	variable
ICEMR_0101037	Bednet treatment	ICEMR_0000003	Vector Intervention	INDIAN_0100037-2	bednet_chk	variable
EUPATH_0000094	Household ID	EUPATH_0000307	Participant Study Details	INDIAN_0100045-2	fid	variable
ICEMR_0101056	Education level	EUPATH_0000307	Participant Study Details	INDIAN_0100056-2	education_rad	variable
ICEMR_0101086	Occupation	EUPATH_0000307	Participant Study Details	INDIAN_0100086-2	occupation_rad	variable
ICEMR_0101090	Antimalarial drug treated?	OGMS_0000015	Clinical history	INDIAN_0100090-2	pastyear_treated_rad	variable
ICEMR_0101096	Primary health center	EUPATH_0000307	Participant Study Details	INDIAN_0100096-2	phc_chc	variable
ICEMR_0101104	Falcivax RDT	OGMS_0000018	Laboratory Findings	INDIAN_0100104-2	rdt_fv_chk	variable
ICEMR_0101105	Optimal RDT	OGMS_0000018	Laboratory Findings	INDIAN_0100105-2	rdt_op_chk	variable
PATO_0000047	Sex	EUPATH_0000307	Participant Study Details	INDIAN_0100109-2	sex_rad	variable
ICEMR_0101112	State of birth	EUPATH_0000307	Participant Study Details	INDIAN_0100112-2	state_birth	variable
EUPATH_0000176	Electric	EUPATH_0000144	Assets	INDIAN_1000001	electricity_yn	values
EUPATH_0000176	Electric	EUPATH_0000144	Assets	INDIAN_1000001-2	cen_electricity_yesno	values
ICEMR_1001002	Initial visit	EUPATH_0000311	Visit type	INDIAN_1000002	1	values
ICEMR_1001003	Followup visit	EUPATH_0000311	Visit type	INDIAN_1000003	0	values
ICEMR_1001004	No animals	ICEMR_0101034	Animals on property	INDIAN_1000004	cen_animals___1	values
ICEMR_1001005	Livestock	ICEMR_0101034	Animals on property	INDIAN_1000005	cen_animals___2	values
ICEMR_1001006	Other/Pets	ICEMR_0101034	Animals on property	INDIAN_1000006	cen_animals___3	values
ICEMR_1001007	None	ICEMR_0101037	Bednet treatment	INDIAN_1000007-1	cen_bednet___1	values
ICEMR_1001007	None	ICEMR_0101037	Bednet treatment	INDIAN_1000007-2	bednet_chk___1	values
ICEMR_1001008	ITN, treated <6 mo ago	ICEMR_0101037	Bednet treatment	INDIAN_1000008	cen_bednet___2	values
ICEMR_1001008	ITN, treated <6 mo ago	ICEMR_0101037	Bednet treatment	INDIAN_1000009	bednet_chk___4	values
ICEMR_1001010	ITN, treated >6 mo ago	ICEMR_0101037	Bednet treatment	INDIAN_1000010	cen_bednet___3	values
ICEMR_1001010	ITN, treated >6 mo ago	ICEMR_0101037	Bednet treatment	INDIAN_1000011	bednet_chk___3	values
ICEMR_1001012	Long-lasting ITN	ICEMR_0101037	Bednet treatment	INDIAN_1000012-1	cen_bednet_count_4	values
ICEMR_1001012	Long-lasting ITN	ICEMR_0101037	Bednet treatment	INDIAN_1000012-2	bednet_chk___5	values
ICEMR_1001013	Untreated	ICEMR_0101037	Bednet treatment	INDIAN_1000013-1	cen_bednet_count_5	values
ICEMR_1001013	Untreated	ICEMR_0101037	Bednet treatment	INDIAN_1000013-2	bednet_chk___2	values
ICEMR_1001014	Electric bat	ICEMR_0101037	Bednet treatment	INDIAN_1000014	bednet_chk___7	values
ICEMR_1001015	Other	ICEMR_0101037	Bednet treatment	INDIAN_1000015	bednet_chk___6	values
ICEMR_1001016	mud	EUPATH_0000001	Building material	INDIAN_1000016	cen_building_material___1	values
ICEMR_1001017	bricks	EUPATH_0000001	Building material	INDIAN_1000017	cen_building_material___2	values
ICEMR_1001018	concrete	EUPATH_0000001	Building material	INDIAN_1000018	cen_building_material___3	values
ICEMR_1001019	thatch	EUPATH_0000001	Building material	INDIAN_1000019	cen_building_material___4	values
ICEMR_1001020	Index	ICEMR_0101044	Proximity to case dwelling	INDIAN_1000020	Index	values
ICEMR_1001021	Proximal	ICEMR_0101044	Proximity to case dwelling	INDIAN_1000021	Proximal	values
ICEMR_1001022	Distal	ICEMR_0101044	Proximity to case dwelling	INDIAN_1000022	Distal	values
ICEMR_1001023	Nadiad	ICEMR_0101048	Clinic location	INDIAN_1000023	Nadiad	values
ICEMR_1001024	Ahmedabad	ICEMR_0101048	Clinic location	INDIAN_1000024	Ahmedabad	values
ICEMR_1001025	Sector 1	ICEMR_0101048	Clinic location	INDIAN_1000025	Sector 1	values
ICEMR_1001026	Sector 5	ICEMR_0101048	Clinic location	INDIAN_1000026	Sector 5	values
ICEMR_1001027	IGH	ICEMR_0101048	Clinic location	INDIAN_1000027	IGH	values
ICEMR_1001028	None	ICEMR_0101056	Education level	INDIAN_1000028	None	values
ICEMR_1001030	Primary school	ICEMR_0101056	Education level	INDIAN_1000029	Primary	values
ICEMR_1001030	Primary school	ICEMR_0101056	Education level	INDIAN_1000030	Primary school	values
ICEMR_1001032	Secondary school	ICEMR_0101056	Education level	INDIAN_1000031	Secondary	values
ICEMR_1001032	Secondary school	ICEMR_0101056	Education level	INDIAN_1000032	Secondary school	values
ICEMR_1001033	Diploma	ICEMR_0101056	Education level	INDIAN_1000033	Diploma	values
ICEMR_1001034	University	ICEMR_0101056	Education level	INDIAN_1000034	University	values
ICEMR_1001035	Graduate or higher	ICEMR_0101056	Education level	INDIAN_1000035	Graduate or higher	values
ICEMR_1001036	Clinic	ICEMR_0101060	Fever treatment location	INDIAN_1000036	fever_2wk_where_chk___1	values
ICEMR_1001037	Private practice	ICEMR_0101060	Fever treatment location	INDIAN_1000037	fever_2wk_where_chk___2	values
ICEMR_1001038	Self-treated	ICEMR_0101060	Fever treatment location	INDIAN_1000038	fever_2wk_where_chk___3	values
ICEMR_1001039	Not treated	ICEMR_0101060	Fever treatment location	INDIAN_1000039	fever_2wk_where_chk___4	values
ICEMR_1001040	Normal	EUPATH_0000033	G6PD Genotype	INDIAN_1000040	Normal	values
ICEMR_1001041	Deficient	EUPATH_0000033	G6PD Genotype	INDIAN_1000041	Deficient	values
ICEMR_1001042	Not done / blank	EUPATH_0000033	G6PD Genotype	INDIAN_1000042	Not done / blank	values
ICEMR_1001043	Human only	ICEMR_0101072	Indoor residents	INDIAN_1000043	Human only	values
ICEMR_1001044	Mixed/Human+animal	ICEMR_0101072	Indoor residents	INDIAN_1000044	Mixed/Human+animal	values
ICEMR_1001045	Weekly	ICEMR_0101073	Freq larvicide in use	INDIAN_1000045	Weekly	values
ICEMR_1001046	Every 2 wks	ICEMR_0101073	Freq larvicide in use	INDIAN_1000046	Every 2 wks	values
ICEMR_1001047	Monthly	ICEMR_0101073	Freq larvicide in use	INDIAN_1000047	Monthly	values
ICEMR_1001048	No	ICEMR_0101073	Freq larvicide in use	INDIAN_1000048	No	values
ICEMR_1001049	Unknown	ICEMR_0101073	Freq larvicide in use	INDIAN_1000049	Unknown	values
ICEMR_1001050	Negative	ICEMR_0101084	Parasite species	INDIAN_1000050	mx_species_chk___1	values
ICEMR_1001051	P. falciparum	ICEMR_0101084	Parasite species	INDIAN_1000051	mx_species_chk___2	values
ICEMR_1001052	P. vivax	ICEMR_0101084	Parasite species	INDIAN_1000052	mx_species_chk___3	values
ICEMR_1001053	P. malariae	ICEMR_0101084	Parasite species	INDIAN_1000053	mx_species_chk___4	values
ICEMR_1001054	Not done	ICEMR_0101084	Parasite species	INDIAN_1000054	mx_species_chk___5	values
ICEMR_1001055	None	ICEMR_0101086	Occupation	INDIAN_1000055	None	values
ICEMR_1001056	Daily wage/laborer	ICEMR_0101086	Occupation	INDIAN_1000056	Daily wage/laborer	values
ICEMR_1001057	Service	ICEMR_0101086	Occupation	INDIAN_1000057	Service	values
ICEMR_1001057	Service	ICEMR_0101086	Occupation	INDIAN_1000058	Service (=salaried)	values
ICEMR_1001059	Trade	ICEMR_0101086	Occupation	INDIAN_1000059	Trade	values
ICEMR_1001059	Trade	ICEMR_0101086	Occupation	INDIAN_1000060	Trade (=self-employed)	values
ICEMR_1001061	Housewife	ICEMR_0101086	Occupation	INDIAN_1000061	Housewife	values
ICEMR_1001062	Student	ICEMR_0101086	Occupation	INDIAN_1000062	Student	values
ICEMR_1001063	P. falciparum	ICEMR_0101087	Past year diagnosis	INDIAN_1000063	pastyear_dx_chk___1	values
ICEMR_1001064	P. vivax	ICEMR_0101087	Past year diagnosis	INDIAN_1000064	pastyear_dx_chk___2	values
ICEMR_1001065	P. malariae	ICEMR_0101087	Past year diagnosis	INDIAN_1000065	pastyear_dx_chk___3	values
ICEMR_1001066	Can't remember	ICEMR_0101087	Past year diagnosis	INDIAN_1000066	pastyear_dx_chk___4	values
ICEMR_1001067	Yes	ICEMR_0101090	Antimalarial drug treated?	INDIAN_1000067	Yes	values
ICEMR_1001068	No	ICEMR_0101090	Antimalarial drug treated?	INDIAN_1000068	No	values
ICEMR_1001069	Can't remember	ICEMR_0101090	Antimalarial drug treated?	INDIAN_1000069	Can't remember	values
ICEMR_1001070	Clinic/hospital	ICEMR_0101093	Who treated you	INDIAN_1000070	pastyear_treatwhere_chk___1	values
ICEMR_1001071	Private doctor	ICEMR_0101093	Who treated you	INDIAN_1000071	pastyear_treatwhere_chk___2	values
ICEMR_1001072	Self-treated	ICEMR_0101093	Who treated you	INDIAN_1000072	pastyear_treatwhere_chk___3	values
ICEMR_1001073	Can't remember	ICEMR_0101093	Who treated you	INDIAN_1000073	pastyear_treatwhere_chk___4	values
ICEMR_1001074	Filt	ICEMR_0101094	PCR DNA Source	INDIAN_1000074	Filt	values
ICEMR_1001075	SV	ICEMR_0101094	PCR DNA Source	INDIAN_1000075	SV	values
ICEMR_1001076	Vac	ICEMR_0101094	PCR DNA Source	INDIAN_1000076	Vac	values
ICEMR_1001077	Negative	ICEMR_0101095	Parasite species by PCR	INDIAN_1000077	pcr_species_chk___1	values
ICEMR_1001078	P. falciparum	ICEMR_0101095	Parasite species by PCR	INDIAN_1000078	pcr_species_chk___2	values
ICEMR_1001079	P. vivax	ICEMR_0101095	Parasite species by PCR	INDIAN_1000079	pcr_species_chk___3	values
ICEMR_1001080	P. malariae	ICEMR_0101095	Parasite species by PCR	INDIAN_1000080	pcr_species_chk___4	values
ICEMR_1001081	P. ovale	ICEMR_0101095	Parasite species by PCR	INDIAN_1000081	pcr_species_chk___5	values
ICEMR_1001082	Above	ICEMR_0101098	Proverty line	INDIAN_1000082	Above	values
ICEMR_1001083	Below	ICEMR_0101098	Proverty line	INDIAN_1000083	Below	values
ICEMR_1001084	P. falciparum	ICEMR_0101104	Falcivax RDT	INDIAN_1000084	rdt_fv_chk___1	values
ICEMR_1001085	P. vivax	ICEMR_0101104	Falcivax RDT	INDIAN_1000085	rdt_fv_chk___2	values
ICEMR_1001086	Negative	ICEMR_0101104	Falcivax RDT	INDIAN_1000086	rdt_fv_chk___3	values
ICEMR_1001087	Not done	ICEMR_0101104	Falcivax RDT	INDIAN_1000087	rdt_fv_chk___4	values
ICEMR_1001088	Coils	ICEMR_0101106	Personal repellent	INDIAN_1000088-1	cen_repellent___1	values
ICEMR_1001088	Coils	ICEMR_0101106	Personal repellent	INDIAN_1000088-2	repellent_chk___2	values
ICEMR_1001089	Vapor/liquidizer	ICEMR_0101106	Personal repellent	INDIAN_1000089-1	cen_repellent___2	values
ICEMR_1001089	Vapor/liquidizer	ICEMR_0101106	Personal repellent	INDIAN_1000089-2	repellent_chk___3	values
ICEMR_1001090	Cream/spray	ICEMR_0101106	Personal repellent	INDIAN_1000090-1	cen_repellent___3	values
ICEMR_1001090	Cream/spray	ICEMR_0101106	Personal repellent	INDIAN_1000090-2	repellent_chk___4	values
ICEMR_1001091	Mat	ICEMR_0101106	Personal repellent	INDIAN_1000091-1	cen_repellent___4	values
ICEMR_1001091	Mat	ICEMR_0101106	Personal repellent	INDIAN_1000091-2	repellent_chk___5	values
ICEMR_1001092	None	ICEMR_0101106	Personal repellent	INDIAN_1000092-1	cen_repellent___5	values
ICEMR_1001092	None	ICEMR_0101106	Personal repellent	INDIAN_1000092-2	repellent_chk___1	values
ICEMR_1001093	Unknown	ICEMR_0101106	Personal repellent	INDIAN_1000093-1	cen_repellent___6	values
ICEMR_1001094	Can't remember	ICEMR_0101106	Personal repellent	INDIAN_1000094	repellent_chk___6	values
ICEMR_1001095	Fastcard	ICEMR_0101106	Personal repellent	INDIAN_1000095	repellent_chk___7	values
ICEMR_1001096	Permanent	ICEMR_0101107	Resident status	INDIAN_1000096	cen_resident_status___1	values
ICEMR_1001097	Temporary	ICEMR_0101107	Resident status	INDIAN_1000097	cen_resident_status___2	values
ICEMR_1001098	Smear - CSCMI	OBI_0100051	Specimen type	INDIAN_1000098	samples_chk___1	values
ICEMR_1001099	Smear - NVBDCP	OBI_0100051	Specimen type	INDIAN_1000099	samples_chk___2	values
EUPATH_0000127	filter paper	OBI_0100051	Specimen type	INDIAN_1000100	samples_chk___3	values
