Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
exclusion_crit_2_mda,formulaire_denrlement,,radio,Is this person pregnant?,"1, Oui | 0, Non",,,,,,(([gender] = '2' and [exclusion_crit_6_mda] = '0' and [age] >= 12 and [age] <= 45 and [age] <> '')) or (([gender] = '2' and [age] >= 12 and [age] <= 45 and [age] <> '') and ([exclusion_crit_1_mda] = '1' or [exclusion_crit_4_mda] = '1' or [exclusion_crit_5_mda] = '1' or [exclusion_crit_6_mda] = '1')),y,,,,,
preg_form_notif,formulaire_denrlement,,descriptive,The pregnancy form must be filled out for this participant,,,,,,,[exclusion_crit_2_mda] = '1',,,,,,
not_eligible_2_mda,formulaire_denrlement,,descriptive,This person IS NOT eligible to receive the MDA treatment (ivermectin / placebo),,,,,,,[exclusion_crit_2_mda] = '1',,,,,,
exclusion_crit_3_mda,formulaire_denrlement,,radio,Is this person breastfeeding a baby less than 1 week of age?,"1, Oui | 0, Non",,,,,,[exclusion_crit_2_mda] = '0',y,,,,,
not_eligible_3_mda,formulaire_denrlement,,descriptive,This person IS NOT eligible to receive the MDA treatment (ivermectin / placebo),,,,,,,[exclusion_crit_3_mda]=1,,,,,,
menopause,formulaire_denrlement,,radio,Is this participant having menstruation cycles or is she in menopause? ,"1, She is menstruating | 2, She is in menopause",,,,,,[gender] = '2' and [exclusion_crit_6_mda] = '0' and [age] >= 46 and [age] <> '',y,,,,,
eligible_mda,formulaire_denrlement,,radio,Does the participant agree to take the treatment drug (ivermectin / placebo) ,"1, Oui | 0, Non",,,,,,([gender] = '1' and [exclusion_crit_6_mda] = '0') or ([gender] = '2' and [age] < 12 and [age] <> '' and [exclusion_crit_6_mda] = '0') or ([gender] = '2' and [age] > 45 and [age] <> '' and [exclusion_crit_6_mda] = '0') or ([gender] = '2' and [age] >= 12 and [age] <= 45 and [age] <> '' and [exclusion_crit_3_mda] = '0'),y,,,,,
eligible_pregtest,formulaire_denrlement,,radio,"Check ""Yes"" if the participant a female and an age betweeen 12 and 45 year old.

This partcipant must have a urine pregnancy test 1 week prior to each MDA.","1, Oui | 0, Non",,,,,,[age] > 11 and [age] < 46 and ([age] <> '') and [gender] = '2' and [eligible_mda] = '1',y,,,,,
eligible_pregtest2,formulaire_denrlement,,radio,"Check ""Yes"" if the participant is a female 46 years old or older, but continues to have mentrual cycles.

This participant must take urine pregnancy tests.
urinaire 1 semaine avant chaque TM","1, Oui | 0, Non",,,,,,[menopause] = '1' and [eligible_mda] = '1',y,,,,,
eligible_acd,formulaire_denrlement,,radio,"Check ""Yes"", if the age of this participant is equal to or less than 10 year old (<= 10 years old)

The participant is eligible for the Active Case Detetion (ACD) cohort.","1, Oui | 0, Non",,,,,y,([age] <= 10 AND [age] <> '') OR ([age_child_months] <> ''),y,,,,,
cross_sec_cohort,formulaire_denrlement,,radio,"Check ""Yes"" if this participant is lives in a household that was selected to be part of the cross-sectional cohort.

The participant is part of the cross-sectional cohort.","1, Oui | 0, Non",,,,,,[inclusion_crit_1]=1 and [inclusion_crit_2]=1,y,,,,,
pkpd_cohort,formulaire_denrlement,,radio,"Check ""Yes"" if this participant was selected to be part of the pharmacokinetic-dynamic (PKPD) ivermectin cohort.

This participant is part of the PKPD cohort.","1, Oui | 0, Non",This cohort will not start until year 2.,,,,,[eligible_mda] = '1',,,,,,
