updated,colOrder,overallOrder,displayOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,notesForOnt,notesForProvider,notesForDL,newLabel
,,118,5,zlen,Zscores_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0000689,Length/height for age z-score,,observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Length-for-age Z-score. Source=calculated,,,,,
,,378,3,SRFSTMUCUS,mpo_neo_ala_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0000711,Mucus in stool,,sample,Stool characteristics,http://purl.obolibrary.org/obo/EUPATH_0011695,Did stool specimen have mucus?. Source=SRF,Yes =01; No =00,,,,
,,30,4,fsesleep,wami_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0000714,Number of persons sleeping in house,,household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,How many people usually sleep in this household?. Source=FSE,01-30 (people),,,,
,,115,2,length,Zscores_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0000719,Recumbent length/height (cm),,observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Length in cm. Source=CAF/MOA/MOB,,,,,
,,427,1,,,http://purl.obolibrary.org/obo/EUPATH_0000724,Microbiology,,sample,Laboratory tests on stool samples,http://purl.obolibrary.org/obo/EUPATH_0011796,,,,,,
,,37,4,fseincomenum,wami_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0000727,Total family income,,household,Income information,http://purl.obolibrary.org/obo/EUPATH_0011707,What is the average monthly income for the entire household?. Source=FSE,00000-99999,,,,
,,23,3,,,http://purl.obolibrary.org/obo/EUPATH_0000731,Water information,,household,Facilities,http://purl.obolibrary.org/obo/EUPATH_0000302,,,,,,
,,116,3,weight,Zscores_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0000732,Weight (kg),,observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Weight in kg. Source=CAF/MOA/MOB/MOC,,,,,
,,119,6,zwei,Zscores_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0000733,Weight for age z-score,,observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Weight-for-age Z-score. Source=calculated,,,,,
,,120,7,zwfl,Zscores_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0000734,Weight for length/height z-score,,observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Weight-for-length Z-score. Source=calculated,,,,,
,,106,,,,http://purl.obolibrary.org/obo/EUPATH_0000738,Observation,,observation,,http://www.w3.org/2002/07/owl#Thing,,,,,,
,,89,3,sumdiar,illnessfull_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0000742,Total # of diarrheal days,,participant,Summary of diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0000746,Total number of days with diarrhea (sum of dprev3). Source=calculated,,,,,
,,109,1,csumsurv,illnessfull_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0000743,Cumulative sum surveillance days followed,,observation,Observation general information,http://purl.obolibrary.org/obo/EUPATH_0010982,Cumulative sum of days followed (with surveillance data). Source=calculated,,,,,
,,86,6,,,http://purl.obolibrary.org/obo/EUPATH_0000746,Summary of diarrheal episodes,,participant,Summary of illness surveillance,http://purl.obolibrary.org/obo/EUPATH_0011007,,,,,,
,,144,2,,,http://purl.obolibrary.org/obo/EUPATH_0010001,Antibiotic administration,,observation,Treatment,http://purl.obolibrary.org/obo/EUPATH_0010994,,,,,,
,,148,1,,,http://purl.obolibrary.org/obo/EUPATH_0010016,Diarrheal episode information,,observation,Gastrointestinal illness,http://purl.obolibrary.org/obo/EUPATH_0000670,,,new parent created,,,
,,376,1,SRFCONSIST,"micro_x_24m.csv, mpo_neo_ala_24m.csv",http://purl.obolibrary.org/obo/EUPATH_0010217,Stool consistency,,sample,Stool characteristics,http://purl.obolibrary.org/obo/EUPATH_0011695,Consistency of stool reported on SRF. From initial stool sample (SRF form). Source=SRF,Watery =01; Liquid =02; Soft =03; Formed =04,,,,
,,883,,SRFMBSAMPID,"micro_x_24m.csv, mpo_neo_ala_24m.csv",http://purl.obolibrary.org/obo/EUPATH_0010226,Sample ID,,sample,Sample,http://purl.obolibrary.org/obo/EUPATH_0011679,Sample ID on SRF form (used as gold standard for Sample ID). This is the stool sample's unique identification number.. Source=SRF,,"use more general ""Sample ID"" label for all samples (stool, urine, blood), combine EUPATH_0010226 & OBI_0001616; don't display in the heirarchy, but retain the data",,"samid & SRFMBSAMPID will collapse into the same variable. don't display in the heirarchy, but retain the data",
,,167,4,dur,"illnessfull_24m.csv, micro_x_24m.csv",http://purl.obolibrary.org/obo/EUPATH_0010238,"Duration of diarrheal episode, days",,observation,Diarrheal episode duration,http://purl.obolibrary.org/obo/EUPATH_0011751,Duration of episode. From illness dataset. Source=illnessfull.csv,##,,,,
,,111,3,window,"Zscores_24m.csv, diet_24m.csv, fsq_24m.csv, mn_blood_iar_24m.csv, mpo_neo_ala_24m.csv, WHOcoreallsites_24m.csv",http://purl.obolibrary.org/obo/EUPATH_0010438,Target window category,,observation,Observation general information,http://purl.obolibrary.org/obo/EUPATH_0010982,"Assessment is conducted in target window, extened window, out of window. Source=FRQ","out of window = 0, in target window = 1, in extended window = 2",,"variable mapping doesn't make sense: diet/mn_blood_iar/mpo_neo_ala (0=out, 1=in target, 2=in extended); fsq (0=no, 1=yes)",,
yes,,153,5,depi3,illnessfull_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0010471,Diarrheal episode status,,observation,Diarrheal episode information,http://purl.obolibrary.org/obo/EUPATH_0010016,"2 at beginning of episode, 1 within episode. Diarrhea episodes are separated by two diarrhea-free days. In this dataset, days when data are missing are thought to be diarrhea-free (so if there are two missing days before a day with diarrhea, the episode starts on the diarrhea day). . Source=calculated","2 at beginning of episode, 1 within episode.",,,,
yes,,152,4,dnum3,"illnessfull_24m.csv, micro_x_24m.csv",http://purl.obolibrary.org/obo/EUPATH_0010472,Diarrheal episode number,,observation,Diarrheal episode information,http://purl.obolibrary.org/obo/EUPATH_0010016,All days in episode coded with number of episode. From illness dataset. Source=CAF,##,,,,
yes,,150,2,dint3,illnessfull_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0010473,First day of diarrheal episode,,observation,Diarrheal episode information,http://purl.obolibrary.org/obo/EUPATH_0010016,"1 if first day of episode, 0 if not. Source=calculated","1 if first day of episode, 0 if not",,,,
yes,,163,10,dprev3,"illnessfull_24m.csv, micro_x_24m.csv, mpo_neo_ala_24m.csv",http://purl.obolibrary.org/obo/EUPATH_0010474,Day with diarrhea,,observation,Diarrheal episode information,http://purl.obolibrary.org/obo/EUPATH_0010016,"Was study-defined diarrhea reported on this day?. 1 for all days in episode (all days with ""diarrhea""). From illness dataset. Source=illnessfull.csv",1=yes;0=no,,,,
yes,,151,3,dayep,"illnessfull_24m.csv, micro_x_24m.csv",http://purl.obolibrary.org/obo/EUPATH_0010475,Day of diarrheal episode (ex-LM induced),,observation,Diarrheal episode information,http://purl.obolibrary.org/obo/EUPATH_0010016,Day of diarrhea episode. From illness dataset. Source=illnessfull.csv,##,,,,
,,90,4,sumdepi3a,illnessfull_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0010476,"Total # of diarrheal days, ex-first day",,participant,Summary of diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0000746,"Sum of days spent in diarrheal episodes, without including first day of episodes (used to subtract from sumsurv for the incidence denominator – time at risk for a new diarrheal episode). Source=calculated",,,,,
,,88,2,sumep,illnessfull_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0010477,Total # of diarrheal episodes,,participant,Summary of diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0000746,Total number of distinct episodes reported (sum of dint3). Source=calculated,,,,,
yes,,154,6,csumep,illnessfull_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0010478,Cumulative sum diarrheal episodes,,observation,Diarrheal episode information,http://purl.obolibrary.org/obo/EUPATH_0010016,Cumulative sum of diarrhea episodes (dint3) since beginning of follow up. Source=calculated,,,,,
,,164,1,csumdiar,illnessfull_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0010480,Cumulative sum diarrhea days,,observation,Diarrheal episode duration,http://purl.obolibrary.org/obo/EUPATH_0011751,Cumulative sum of diarrhea days (dprev3) since beginning of follow up. Source=calculated,,,,,
,,166,3,lastdiar,"illnessfull_24m.csv, micro_x_24m.csv, mpo_neo_ala_24m.csv",http://purl.obolibrary.org/obo/EUPATH_0010482,Days since last diarrheal episode,,observation,Diarrheal episode duration,http://purl.obolibrary.org/obo/EUPATH_0011751,Days since last diarrhea episode ended (missing indicates time from birth until first episode). From illness dataset. Source=illnessfull.csv,###,,,,
,,165,2,untildiar,"illnessfull_24m.csv, micro_x_24m.csv, mpo_neo_ala_24m.csv",http://purl.obolibrary.org/obo/EUPATH_0010483,Days between diarrheal episodes,,observation,Diarrheal episode duration,http://purl.obolibrary.org/obo/EUPATH_0011751,Days until next diarrhea starts (missing indicates time from last episode to end of follow up (or from birth if no diarrhea)). From illness dataset. Source=illnessfull.csv,###,,,,
,,78,1,entrydiar,illnessfull_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0010484,Initial date illness surveillance,,participant,Summary of illness surveillance,http://purl.obolibrary.org/obo/EUPATH_0011007,Date at first follow up for diarrhea. Source=calculated,,,,,
,,79,2,exitdiar,illnessfull_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0010485,Final date illness surveillance,,participant,Summary of illness surveillance,http://purl.obolibrary.org/obo/EUPATH_0011007,Date at last follow up for diarrhea. Source=calculated,,,,,
,,182,2,sumvom,"illnessfull_24m.csv, micro_x_24m.csv",http://purl.obolibrary.org/obo/EUPATH_0010486,"Vomiting, sum days during diarrheal episode",,observation,Vomiting,http://purl.obolibrary.org/obo/EUPATH_0011833,Sum of days with vomiting during diarrhea episode. From illness dataset. Source=illnessfull.csv,##,,,,
,,171,1,maxb,"illnessfull_24m.csv, micro_x_24m.csv",http://purl.obolibrary.org/obo/EUPATH_0010487,Blood in stool during episode,,observation,Abnormal stool,http://purl.obolibrary.org/obo/EUPATH_0011753,Blood reported during the diarrhea episode. From illness dataset. Source=illnessfull.csv,"1 if blood was reported by the mother at any time during this episode (safblood==1), 0 if no blood was reported during episode",,,,
,,189,2,maxsafint,illnessfull_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0010488,"Decreased appetite, diarrheal episode",,observation,Appetite,http://purl.obolibrary.org/obo/EUPATH_0011757,"0 if appetite was normal during episode, 1 if mother reported 'less than normal' appetite. Source=calculated",0=normal; 1=less than normal,,,,
,,188,1,sumsafint,illnessfull_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0010489,"Decreased appetite days, diarrheal episode",,observation,Appetite,http://purl.obolibrary.org/obo/EUPATH_0011757,Total number of days with decreased appetite during episode. Source=calculated,,,,,
,,173,3,maxls,"illnessfull_24m.csv, micro_x_24m.csv",http://purl.obolibrary.org/obo/EUPATH_0010490,Max loose stools,,observation,Abnormal stool,http://purl.obolibrary.org/obo/EUPATH_0011753,Maximum number of loose stools in a diarrhea episode. From illness dataset. Source=SRF,##,,,,
,,186,3,maxdehyd,"illnessfull_24m.csv, micro_x_24m.csv",http://purl.obolibrary.org/obo/EUPATH_0010491,"Max severity dehydration, category",,observation,Dehydration,http://purl.obolibrary.org/obo/EUPATH_0010535,Maximum severity of dehydration during diarrhea episode. From illness dataset. Source=illnessfull.csv,"1=some dehydration, 2=severe dehydration",,how are dehyd_sc & maxdehyd different?,,
,,179,4,maxtemp,illnessfull_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0010492,"Fever, max temp (C)",,observation,Fever,http://purl.obolibrary.org/obo/EUPATH_0011786,Maximum temperature during diarrheal episode. Source=calculated,,,,,
,,177,2,maxfever,"illnessfull_24m.csv, micro_x_24m.csv",http://purl.obolibrary.org/obo/EUPATH_0010493,"Fever at diarrheal episode, maternal report",,observation,Fever,http://purl.obolibrary.org/obo/EUPATH_0011786,Fever reported during the diarrhea episode. From illness dataset. Source=illnessfull.csv,"0 if no fever was reported during episode, 1 if mother reported fever",,,,
,,178,3,fever,"illnessfull_24m.csv, micro_x_24m.csv",http://purl.obolibrary.org/obo/EUPATH_0010494,"Fever at diarrheal episode, temperature >37.5C",,observation,Fever,http://purl.obolibrary.org/obo/EUPATH_0011786,Maximum fever during a diarrhea episode. From illness dataset. Source=illnessfull.csv,"0 if maximum temperature reported during episode was <37.5, 1 if temperature >37.5 was reported during episode (IMCI fever definition)",,,,
,,168,5,dur_sc,"illnessfull_24m.csv, micro_x_24m.csv",http://purl.obolibrary.org/obo/EUPATH_0010495,Diarrhea duration score,,observation,Diarrheal episode duration,http://purl.obolibrary.org/obo/EUPATH_0011751,Duration of episode score. From illness dataset. Source=illnessfull.csv,1= 2-4 days; 2= 5-7 days; 3= 8+ days,,,,
,,174,4,ls_sc,"illnessfull_24m.csv, micro_x_24m.csv",http://purl.obolibrary.org/obo/EUPATH_0010496,Max loose stools score,,observation,Abnormal stool,http://purl.obolibrary.org/obo/EUPATH_0011753,Maximum number of loose stools score. From illness dataset. Source=illnessfull.csv,1= <5; 2= 5-7; 3= 8+ loose stools,,,,
,,181,1,vom_sc,"illnessfull_24m.csv, micro_x_24m.csv",http://purl.obolibrary.org/obo/EUPATH_0010497,"Vomiting score, sum days",,observation,Vomiting,http://purl.obolibrary.org/obo/EUPATH_0011833,Sum of days with vomiting score. From illness dataset. Source=,1: 1 day; 2: 2 days; 3: 3+ days with vomiting during diarrhea episode,,,,
,,185,2,dehyd_sc,"illnessfull_24m.csv, micro_x_24m.csv",http://purl.obolibrary.org/obo/EUPATH_0010498,"Dehydration, maximum score",,observation,Dehydration,http://purl.obolibrary.org/obo/EUPATH_0010535,Maximum dehydration score. From illness dataset. Source=illnessfull.csv,2= some dehydration; 3= severe dehydration reported during diarrhea episode,,how are dehyd_sc & maxdehyd different?,,
,,176,1,fev_sc,"illnessfull_24m.csv, micro_x_24m.csv",http://purl.obolibrary.org/obo/EUPATH_0010499,Fever at diarrheal episode,,observation,Fever,http://purl.obolibrary.org/obo/EUPATH_0011786,Fever information during a diarrhea episode. From illness dataset. Source=illnessfull.csv,"0 if no fever was reported during episode, 1 if mother reported fever, 2 if fever was confirmed by field worker (defined as >37.5 oC).",,,,
,,157,1,score,"illnessfull_24m.csv, micro_x_24m.csv, mpo_neo_ala_24m.csv",http://purl.obolibrary.org/obo/EUPATH_0010500,"Diarrheal episode score, combined Vesikari/Clark severity",,observation,Diarrheal episode severity,http://purl.obolibrary.org/obo/EUPATH_0011750,"combination of Vesikari and Clark diarrhea severity scale based on data available from SAF. Sum of dur_sc + ls_sc + vom_sc + dehyd_sc + fev_sc (range 1-14, combination of Vesikari and Clark severity scale based on data available). From illness dataset. Source=illnessfull.csv",range 1-12,,,,
,,129,8,day,illnessfull_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0010501,Diarrheal data present,,observation,Illness surveillance,http://purl.obolibrary.org/obo/EUPATH_0010992,"1 if diarrhea data is present, 0 if missing. Source=calculated","1 if diarrhea data is present, 0 if missing",,,,
,,76,4,time,illnessfull_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0010502,Total days of follow-up,,participant,Study details,http://purl.obolibrary.org/obo/EUPATH_0010988,Time followed (exitdiar-entrydiar). Source=calculated,,,,,
,,87,1,sumsurv,illnessfull_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0010503,"Diarrheal surveillance, total days",,participant,Summary of diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0000746,Sum of days with data (where diar~=.). Source=calculated,,,,,
,,80,3,maxage,illnessfull_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0010505,Maximum age of surveillance,,participant,Summary of illness surveillance,http://purl.obolibrary.org/obo/EUPATH_0011007,Maximum age followed with SAF data. Source=calculated,,,,,
,,203,1,alri,illnessfull_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0010506,Indicator of ALRI,,observation,"Signs and symptoms, ALRI",http://purl.obolibrary.org/obo/EUPATH_0011820,"1 if ALRI, 0 if no ALRI. ALRI definition met when 1) Child had cough or shortness of breath (today or yesterday) & 2) Rapid respiration rate today (average of two measurements) as defined by a) >60 when child is <60 days old, b) >50 when child is >60-<365 days of age, and c) >40 when child is >365 days of age. ALRI episodes are separated by 14 ALRI-‘free’ days. . Source=calculated","1 if ALRI, 0 if no ALRI.",,,,
,,196,5,aepi3,illnessfull_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0010507,ALRI episode status,,observation,ALRI episode information,http://purl.obolibrary.org/obo/EUPATH_0011756,"2 at beginning of episode, 1 within episode. ALRI episodes are separated by 14 ALRI-free days. In this dataset, days when data are missing are thought to be ALRI-free (so if there are 14 missing days before a day with ALRI, the episode starts on the ALRI day). Source=calculated",,,,,
,,197,6,anum3,illnessfull_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0010508,ALRI episode #,,observation,ALRI episode information,http://purl.obolibrary.org/obo/EUPATH_0011756,All days in episode coded with number of episode. Source=calculated,,,,,
,,194,3,aint3,illnessfull_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0010509,First day of ALRI episode,,observation,ALRI episode information,http://purl.obolibrary.org/obo/EUPATH_0011756,"1 if first day of episode, 0 if not. Source=calculated","1=yes, 0=no",,,,
,,192,1,aprev3,illnessfull_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0010510,ALRI indicated,,observation,ALRI episode information,http://purl.obolibrary.org/obo/EUPATH_0011756,"1 for all days in episode (all days with ""ALRI""). Source=calculated",,,,,
,,200,1,cumalri,illnessfull_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0010511,Cumulative sum ALRI days,,observation,ALRI episode duration,http://purl.obolibrary.org/obo/EUPATH_0011755,Cumulative number of days when ALRI was identified. Source=calculated,,,,,
,,85,3,sumalri,illnessfull_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0010512,"ALRI, total days reported",,participant,Summary of ALRI episodes,http://purl.obolibrary.org/obo/EUPATH_0010991,Sum of days when ALRI was identified. Source=calculated,,,,,
,,81,4,sumfev,illnessfull_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0010513,"Fever, maternal report total days",,participant,Summary of illness surveillance,http://purl.obolibrary.org/obo/EUPATH_0011007,Sum of days when fever was reported by the mother. Source=calculated,,,,,
,,201,2,csumalrinew,illnessfull_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0010514,Cumulative number of ALRI episode days (14 day separation),,observation,ALRI episode duration,http://purl.obolibrary.org/obo/EUPATH_0011755,Cumulative number of days in ALRI episode (episodes separated by 14 ALRI-'free' days). Source=calculated,,,,,
,,84,2,sumalrinew,illnessfull_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0010515,"ALRI, # of episodes (14 day separation)",,participant,Summary of ALRI episodes,http://purl.obolibrary.org/obo/EUPATH_0010991,Sum of days in ALRI episode (episodes separated by 14 ALRI-'free' days). Source=calculated,,,,,
,,198,7,csumaep,illnessfull_24m.csv,http://purl.obolibrary.org/obo/EUPATH_0010516,Cumulative # ALRI episodes,,observation,ALRI episode information,http://purl.obolibrary.org/obo/EUPATH_0011756,Cumulative number of ALRI episodes. Source=calculated,,,,,
