dataSet,dataFile,variable,label,category,IRI,codebookDescription,codebookValues,multifilter,overallOrder,definition,QCed,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,dptdate4,Date,Observation,NA,,,,87,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,dptdate4,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,413,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,dptdate4,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,87,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,dptdate5,Date,Observation,NA,,,,417,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,dptdate5,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,417,,,
"MAL-ED, 0 to 36 months",TAC.csv,eaec_aar,"EAEC aggR-activated regulator (aar) Ct value, by TAC result",Sample,NA,,,,39,,y,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,fludate1,Date,Observation,NA,,,,83,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,fludate1,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,83,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,fludate2,Date,Observation,NA,,,,87,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,fludate2,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,87,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,fludate3,Date,Observation,NA,,,,91,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,fludate3,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,91,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,fludate4,Date,Observation,NA,,,,95,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,fludate4,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,95,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,fludate5,Date,Observation,NA,,,,99,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,fludate5,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,99,,,
"MAL-ED, 0 to 36 months",diet.csv,frqdate,24hr food recall survey date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011056,FRQ date. Source=FRQ,,,2,,c,
"MAL-ED, 0 to 36 months",diet.csv,frqdate,Date,Observation,NA,FRQ date. Source=FRQ,,,2,,c,Observation date
"MAL-ED, 0 to 36 months",WAMI.csv,fsedate,Date,Household,NA,Date of FSE. Source=FSE,dd-mm-yy,,15,,c,Household data collection date
"MAL-ED, 0 to 36 months",WAMI.csv,fsedate,Follow-up socioeconomic staus survey date,Household,http://purl.obolibrary.org/obo/EUPATH_0011587,Date of FSE. Source=FSE,dd-mm-yy,,15,,y,
"MAL-ED, 0 to 36 months",fsq.csv,FSQDATE,Date,Household,NA,date of FSQ assessment. Source=FSQ,dd/mmm/yy,,10,,c,Household data collection date
"MAL-ED, 0 to 36 months",fsq.csv,FSQDATE,Food security survey date,Household,http://purl.obolibrary.org/obo/EUPATH_0011134,date of FSQ assessment. Source=FSQ,dd/mmm/yy,,10,,y,
"MAL-ED, 0 to 36 months",zscores.csv,head,Head circumference (cm),Observation,http://purl.obolibrary.org/obo/EUPATH_0000683,Head circumference in cm. Source=CAF/MOA/MOB/MOC,,,18,,y,
"MAL-ED, 0 to 36 months",zscores.csv,height,Height (cm),Observation,NA,,,,14,,y,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,hepbdate1,Date,Observation,NA,,,,343,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,hepbdate1,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,343,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,hepbdate2,Date,Observation,NA,,,,347,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,hepbdate2,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,347,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,hepbdate3,Date,Observation,NA,,,,351,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,hepbdate3,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,351,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,hepbdate4,Date,Observation,NA,,,,355,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,hepbdate4,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,355,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,hepbdate5,Date,Observation,NA,,,,359,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,hepbdate5,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,359,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,hibdate1,Date,Observation,NA,,,,309,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,hibdate1,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,309,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,hibdate2,Date,Observation,NA,,,,313,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,hibdate2,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,313,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,hibdate3,Date,Observation,NA,,,,317,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,hibdate3,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,317,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,hibdate4,Date,Observation,NA,,,,321,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,hibdate4,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,321,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,hibdate5,Date,Observation,NA,,,,325,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,hibdate5,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,325,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,ipvdate1,Date,Observation,NA,,,,187,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,ipvdate1,Date,Observation,NA,,,,147,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,ipvdate1,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,187,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,ipvdate1,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,147,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,ipvdate2,Date,Observation,NA,,,,191,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,ipvdate2,Date,Observation,NA,,,,150,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,ipvdate2,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,191,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,ipvdate2,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,150,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,ipvdate3,Date,Observation,NA,,,,195,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,ipvdate3,Date,Observation,NA,,,,153,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,ipvdate3,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,195,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,ipvdate3,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,153,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,ipvdate4,Date,Observation,NA,,,,199,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,ipvdate4,Date,Observation,NA,,,,156,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,ipvdate4,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,199,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,ipvdate4,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,156,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,ipvdate5,Date,Observation,NA,,,,203,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,ipvdate5,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,203,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,jedate1,Date,Observation,NA,,,,104,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,jedate1,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,104,,,
"MAL-ED, 0 to 36 months",fsq.csv,lastDayContact,Last contact date,Participant,http://purl.obolibrary.org/obo/EUPATH_0011146,date of last contact with MAL-ED study. Source=PIDs,,,5,,y,
"MAL-ED, 0 to 36 months",zscores.csv,length,Recumbent length (cm),Observation,NA - needs a new IRI as length and height have been separated into 2 variables,Length in cm. Source=CAF/MOA/MOB,,,13,,y,
"MAL-ED, 0 to 36 months",zscores.csv,lh,Recumbent length or height used for stature,Observation,NA,,,,16,,y,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,meadate1,Date,Observation,NA,,,,157,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,meadate1,Date,Observation,NA,,,,38,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,meadate1,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,157,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,meadate1,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,38,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,meadate2,Date,Observation,NA,,,,161,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,meadate2,Date,Observation,NA,,,,41,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,meadate2,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,161,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,meadate2,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,41,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,meadate3,Date,Observation,NA,,,,165,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,meadate3,Date,Observation,NA,,,,44,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,meadate3,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,165,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,meadate3,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,44,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,meadate4,Date,Observation,NA,,,,169,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,meadate4,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,169,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,mendate1,Date,Observation,NA,,,,70,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,mendate1,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,70,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,mendate2,Date,Observation,NA,,,,74,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,mendate2,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,74,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,mendate3,Date,Observation,NA,,,,78,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,mendate3,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,78,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,mmrdate1,Date,Observation,NA,,,,174,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,mmrdate1,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,174,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,mmrdate2,Date,Observation,NA,,,,178,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,mmrdate2,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,178,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,mmrdate3,Date,Observation,NA,,,,182,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,mmrdate3,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,182,,,
"MAL-ED, 0 to 36 months",WHOcoreallsites.csv,moadate,Date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011650,Date of  MOA collection. Source=MOA,,,3,,y,
"MAL-ED, 0 to 36 months",WHOcoreallsites.csv,moadate,Monthly survey date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011650,Date of  MOA collection. Source=MOA,,,3,,c,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,mumdate1,Date,Observation,NA,,,,131,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,mumdate1,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,131,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,mumdate2,Date,Observation,NA,,,,135,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,mumdate2,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,135,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,mumdate3,Date,Observation,NA,,,,139,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,mumdate3,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,139,,,
"MAL-ED, 0 to 36 months",LMZ.csv,NCFLASTDATE,Last contact date,Participant,http://purl.obolibrary.org/obo/EUPATH_0011146,,,,5,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,opvdate1,Date,Observation,NA,,,,208,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,opvdate1,Date,Observation,NA,,,,103,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,opvdate1,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,208,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,opvdate1,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,103,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,opvdate10,Date,Observation,NA,,,,244,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,opvdate10,Date,Observation,NA,,,,130,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,opvdate10,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,244,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,opvdate10,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,130,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,opvdate11,Date,Observation,NA,,,,248,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,opvdate11,Date,Observation,NA,,,,133,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,opvdate11,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,248,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,opvdate11,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,133,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,opvdate12,Date,Observation,NA,,,,252,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,opvdate12,Date,Observation,NA,,,,136,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,opvdate12,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,252,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,opvdate12,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,136,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,opvdate13,Date,Observation,NA,,,,256,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,opvdate13,Date,Observation,NA,,,,139,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,opvdate13,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,256,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,opvdate13,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,139,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,opvdate14,Date,Observation,NA,,,,260,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,opvdate14,Date,Observation,NA,,,,142,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,opvdate14,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,260,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,opvdate14,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,142,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,opvdate15,Date,Observation,NA,,,,264,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,opvdate15,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,264,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,opvdate16,Date,Observation,NA,,,,268,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,opvdate16,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,268,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,opvdate17,Date,Observation,NA,,,,272,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,opvdate17,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,272,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,opvdate18,Date,Observation,NA,,,,276,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,opvdate18,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,276,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,opvdate19,Date,Observation,NA,,,,280,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,opvdate19,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,280,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,opvdate2,Date,Observation,NA,,,,212,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,opvdate2,Date,Observation,NA,,,,106,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,opvdate2,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,212,,,
"MAL-ED, 0 to 36 months",vax_and_titer_wdates.csv,opvdate2,Vaccination date,Observation,http://purl.obolibrary.org/obo/EUPATH_0011213,,,,106,,,
"MAL-ED, 0 to 36 months",Vaccine_wide_moa.csv,opvdate20,Date,Observation,NA,,,,284,,,
