variable,dataFile,label,IRI,displayOrder,definition,category,parentLabel,parentIRI,termType,codebookDescription,codebookValues
illnessfull::pid,illnessfull,Participant ID,http://purl.obolibrary.org/obo/EUPATH_0000095,NA,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,variable,Child ID (original). SAF,>10 unique values
tac::pid,tac,Participant ID,http://purl.obolibrary.org/obo/EUPATH_0000095,NA,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,variable,Child ID (original). Source=CAF/MOA/MOB/MOC/SAF/FSQ/BRF/UCF/FSE/MOA. unique identifier,>10 unique values
tac_60m::pid,tac_60m,Participant ID,http://purl.obolibrary.org/obo/EUPATH_0000095,NA,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,variable,Child ID (original). Source=CAF/MOA/MOB/MOC/SAF/FSQ/BRF/UCF/FSE/MOA. unique identifier,>10 unique values
vax_and_titer_wdates::pid,vax_and_titer_wdates,Participant ID,http://purl.obolibrary.org/obo/EUPATH_0000095,NA,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,variable,Child ID..BCH,>10 unique values
aggregatedVax::pid,aggregatedVax,Participant ID,http://purl.obolibrary.org/obo/EUPATH_0000095,NA,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,variable,Child ID (original). Source=CAF/MOA/MOB/MOC/SAF/FSQ/BRF/UCF/FSE/MOA. unique identifier,>10 unique values
rearrangedVax::pid,rearrangedVax,Participant ID,http://purl.obolibrary.org/obo/EUPATH_0000095,NA,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,variable,Child ID (original). Source=CAF/MOA/MOB/MOC/SAF/FSQ/BRF/UCF/FSE/MOA. unique identifier,>10 unique values
wami_0_5y::pid,wami_0_5y,Participant ID,http://purl.obolibrary.org/obo/EUPATH_0000095,NA,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,variable,Child ID (original). Source=CAF/MOA/MOB/MOC/SAF/FSQ/BRF/UCF/FSE/MOA. unique identifier,>10 unique values
zscores_all::pid,zscores_all,Participant ID,http://purl.obolibrary.org/obo/EUPATH_0000095,NA,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,variable,,>10 unique values
,,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,2,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,category,NA,NA
,,Feeding,http://purl.obolibrary.org/obo/EUPATH_0000678,4,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,category,NA,NA
,,Administrative information,http://purl.obolibrary.org/obo/EUPATH_0010035,9,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,category,NA,NA
,,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,1,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,category,NA,NA
,,Aggregated immunization and prevention data,http://purl.obolibrary.org/obo/EUPATH_0011471,8,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,category,NA,NA
,,Aggregated illness data,http://purl.obolibrary.org/obo/EUPATH_0020004,3,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,category,NA,NA
wami_0_5y::fseamatt,wami_0_5y,Bed,http://purl.obolibrary.org/obo/ENVO_00000501,2,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,value,Does your household have a mattress?. Source=FSE. yes = 01; no = 00,0 to 1
wami_0_5y::fseatv,wami_0_5y,Television,http://purl.obolibrary.org/obo/ENVO_01000579,5,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,value,Does your household have a television?. Source=FSE. yes = 01; no = 00,0 to 1
wami_0_5y::fsearef,wami_0_5y,Refrigerator,http://purl.obolibrary.org/obo/ENVO_01000583,6,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,value,Does your household have a refrigerator?. Source=FSE. yes = 01; no = 00,0 to 1
wami_0_5y::fseatab,wami_0_5y,Table,http://purl.obolibrary.org/obo/ENVO_01000584,4,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,value,Does your household have a table?. Source=FSE. yes = 01; no = 00,0 to 1
wami_0_5y::fseachair2,wami_0_5y,Chair,http://purl.obolibrary.org/obo/ENVO_01000586,3,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,value,Does your household have a chair or bench?. Source=FSE. yes = 01; no = 00,0 to 1
wami_0_5y::fseabank,wami_0_5y,Bank account,http://purl.obolibrary.org/obo/EUPATH_0000167,1,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,value,Does any member of your household own a bank account?. Source=FSE. yes = 01; no = 00,0 to 1
,,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,2,,Household,Dwelling facilities,http://purl.obolibrary.org/obo/EUPATH_0000302,category,NA,NA
wami_0_5y::fseroof,wami_0_5y,Roof material,http://purl.obolibrary.org/obo/EUPATH_0000003,2,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,variable,Main material of the roofs (observation). Source=FSE. no roof = 01; thatch = 02; metal = 03; wood = 04; brick = 05;tiles = 06;slate = 07;other = 08,", 1, 2, 3, 4, 5, 6, 7, 8"
wami_0_5y::fsefloor,wami_0_5y,Floor material,http://purl.obolibrary.org/obo/EUPATH_0000006,1,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,variable,Main material of the floor (observation). Source=FSE. earth/sand/clay/mud/dung = 01; wood  = 02;  ceramic tiles or vinyl= 03;cement/concrete = 04; other = 05,", 1, 2, 3, 4, 5"
wami_0_5y::fsewall,wami_0_5y,Wall material,http://purl.obolibrary.org/obo/EUPATH_0000009,3,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,variable,Main material of the walls (observation). Source=FSE. no walls = 01;mud = 02;wood = 03;cement/concrete = 04;stone = 05;metal = 06;other = 07,", 1, 2, 3, 4, 5, 6, 7"
wami_0_5y::fsecloc2,wami_0_5y,Separate kitchen,http://purl.obolibrary.org/obo/EUPATH_0011586,5,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,variable,Do you have a separate room which is used as a kitchen?. Source=FSE. yes = 01; no = 00,", 0, 1"
wami_0_5y::fseroom1,wami_0_5y,Room count,http://purl.obolibrary.org/obo/EUPATH_0011593,4,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,variable,How many rooms are there in your house?. Source=FSE. 01-15 (rooms),>10 unique values
,,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,8,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,multifilter,NA,NA
wami_0_5y::fsesleep,wami_0_5y,Persons sleeping in dwelling,http://purl.obolibrary.org/obo/EUPATH_0000714,9,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,variable,How many people usually sleep in this household?. Source=FSE. 01-30 (people),>10 unique values
wami_0_5y::newfsepeople,wami_0_5y,Mean people per room,http://purl.obolibrary.org/obo/EUPATH_0011604,8,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,variable,Mean number of people per room in the household (fsesleep/fseroom1). Source=FSE(derived). #,>10 unique values
wami_0_5y::people,wami_0_5y,Fewer than 2 people per room,http://purl.obolibrary.org/obo/EUPATH_0011609,7,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,variable,Score of 1 if less than 2 people (mean) per room. Source=FSE(derived). #,0 to 1
,,Income,http://purl.obolibrary.org/obo/EUPATH_0011680,7,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,category,NA,NA
,,Food security,http://purl.obolibrary.org/obo/EUPATH_0011683,9,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,category,NA,NA
,,Schooling,http://purl.obolibrary.org/obo/EUPATH_0011708,10,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,category,NA,NA
,,Socioeconomic status,http://purl.obolibrary.org/obo/EUPATH_0011932,6,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,category,NA,NA
illnessfull::entrydiar,illnessfull,Initial illness surveillance date,http://purl.obolibrary.org/obo/EUPATH_0010484,1,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,variable,"Date at first follow up for diarrhea, calculated. General diarrhea data (removes LM induced diarrhea).",2009-11-01 to 2012-03-01
illnessfull::exitdiar,illnessfull,Final illness surveillance date,http://purl.obolibrary.org/obo/EUPATH_0010485,2,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,variable,"Date at last follow up for diarrhea, calculated. General diarrhea data (removes LM induced diarrhea).",2010-01-17 to 2014-12-31
illnessfull::time,illnessfull,Total illness surveillance days,http://purl.obolibrary.org/obo/EUPATH_0010502,4,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,variable,Time followed (exitdiar-entrydiar). Calculated. General surveillance data,1 to 1158
illnessfull::sumsurv,illnessfull,Total illness surveillance days with data,http://purl.obolibrary.org/obo/EUPATH_0010503,5,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,variable,Sum of days with data (where diar~=.). Calculated. General surveillance data,1 to 1157
illnessfull::maxage,illnessfull,Age at last illness surveillance (days),http://purl.obolibrary.org/obo/EUPATH_0010505,3,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,variable,Maximum age followed with SAF data. Calculated. General surveillance data,1 to 1157
bf2::failure,bf2,Breastfeeding survival analysis event,http://purl.obolibrary.org/obo/EUPATH_0011024,7,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,variable,"To be used in survival analysis, variable indicates where the EBF child received non-breast milk foods (1) or if they were lost to follow up (0). Source=calculated.",0 to 1
bf2::minage,bf2,Age at 1st day of biweekly breastfeeding surveillance (days),http://purl.obolibrary.org/obo/EUPATH_0011028,6,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,variable,Minimum age in days at which SAF diet data is available. Source=calculated.,0 to 59
lmz::ncflastdate,lmz,Last contact date,http://purl.obolibrary.org/obo/EUPATH_0011146,9,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,"variable, derived",date of last contact with MAL-ED study. Source=PIDs. ..,
lmz::age_lc,lmz,Age at last contact (days),http://purl.obolibrary.org/obo/EUPATH_0011147,10,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,"variable, derived",age in days at date of last contact. Source=.,>10 unique values
illnessfull::safref,illnessfull,"Referral, fieldworker assessment",http://purl.obolibrary.org/obo/EUPATH_0010546,2,,Observation,Hospitalization,http://purl.obolibrary.org/obo/EUPATH_0000308,variable,"Referral made by field worker, 1=yes, 0=no, original SAF data",", 0, 1"
illnessfull::hosp,illnessfull,Hospitalized,http://purl.obolibrary.org/obo/EUPATH_0010995,1,,Observation,Hospitalization,http://purl.obolibrary.org/obo/EUPATH_0000308,variable,REF - child was hospitalized on this day,0 to 1
micro_x::maxls,micro_x,Max loose stools at episode,http://purl.obolibrary.org/obo/EUPATH_0010240,4,,Observation,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,variable,Maximum number of loose stools in a diarrhea episode. From illness dataset. Source=SRF. ##,>10 unique values
illnessfull::maxls,illnessfull,Max loose stools at episode,http://purl.obolibrary.org/obo/EUPATH_0010240,4,,Observation,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,variable,Maximum number of loose stools during diarrhea episode. Calculated. Diarrhea episode characteristics.,>10 unique values
micro_x::sumvom,micro_x,Days with vomiting at episode,http://purl.obolibrary.org/obo/EUPATH_0010486,6,,Observation,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,variable,Sum of days with vomiting during diarrhea episode. From illness dataset. Source=illnessfull.csv. ##,>10 unique values
illnessfull::sumvom,illnessfull,Days with vomiting at episode,http://purl.obolibrary.org/obo/EUPATH_0010486,6,,Observation,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,variable,Sum of days with vomiting during diarrhea episode. Calculated. Diarrhea episode characteristics.,>10 unique values
micro_x::maxb,micro_x,Blood in stool at episode,http://purl.obolibrary.org/obo/EUPATH_0010487,5,,Observation,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,variable,"Blood reported during the diarrhea episode. From illness dataset. Source=illnessfull.csv. 1 if blood was reported by the mother at any time during this episode (safblood==1), 0 if no blood was reported during episode",
illnessfull::maxb,illnessfull,Blood in stool at episode,http://purl.obolibrary.org/obo/EUPATH_0010487,5,,Observation,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,variable,"1 if blood was reported by the mother at any time during this episode (safblood==1), 0 if no blood was reported during episode. Calculated. Diarrhea episode characteristics.",
illnessfull::maxsafint,illnessfull,Decreased appetite at episode,http://purl.obolibrary.org/obo/EUPATH_0010488,7,,Observation,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,variable,"0 if appetite was normal during episode, 1 if mother reported 'less than normal' appetite. Calculated. Diarrhea episode characteristics.",", 0, 1"
illnessfull::sumsafint,illnessfull,Days with decreased appetite at episode,http://purl.obolibrary.org/obo/EUPATH_0010489,8,,Observation,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,variable,Total number of days with decreased appetite during episode. Calculated. Diarrhea episode characteristics.,>10 unique values
micro_x::maxdehyd,micro_x,Max dehydration level at episode,http://purl.obolibrary.org/obo/EUPATH_0010491,7,,Observation,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,variable,"Maximum severity of dehydration during diarrhea episode. From illness dataset. Source=illnessfull.csv. 1=some dehydration, 2=severe dehydration",", 0, 1, 2"
illnessfull::maxtemp,illnessfull,"Fever at episode, max temp (C)",http://purl.obolibrary.org/obo/EUPATH_0010492,3,,Observation,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,variable,Maximum temperature during diarrheal episode. Calculated. Diarrhea episode characteristics.,>10 unique values
micro_x::maxfever,micro_x,Fever at episode,http://purl.obolibrary.org/obo/EUPATH_0010493,1,,Observation,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,variable,"Fever reported during the diarrhea episode. From illness dataset. Source=illnessfull.csv. 0 if no fever was reported during episode, 1 if mother reported fever",", 0, 1"
illnessfull::maxfever,illnessfull,Fever at episode,http://purl.obolibrary.org/obo/EUPATH_0010493,1,,Observation,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,variable,"0 if no fever was reported during episode, 1 if mother reported fever. Calculated. Diarrhea episode characteristics.",", 0, 1"
micro_x::fever,micro_x,"Fever at episode, more than 37.5C",http://purl.obolibrary.org/obo/EUPATH_0010494,2,,Observation,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,variable,"Maximum fever during a diarrhea episode. From illness dataset. Source=illnessfull.csv. 0 if maximum temperature reported during episode was <37.5, 1 if temperature >37.5 was reported during episode (imci fever definition)",", 0, 1"
illnessfull::fever,illnessfull,"Fever at episode, more than 37.5C",http://purl.obolibrary.org/obo/EUPATH_0010494,2,,Observation,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,variable,"0 if maximum temperature reported during episode was <37.5, 1 if temperature >37.5 was reported during episode (IMCI fever definintion). Calculated. Diarrhea episode characteristics.",", 0, 1"
,,Symptoms by maternal report,http://purl.obolibrary.org/obo/EUPATH_0011878,12,,Observation,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,category,NA,NA
illnessfull::csumsurv,illnessfull,Cumulative days of illness surveillance,http://purl.obolibrary.org/obo/EUPATH_0000743,13,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable,Cumulative sum of days followed (with surveillance data). Calculated. General surveillance data,0 to 1156
bf2::date,bf2,Observation date,http://purl.obolibrary.org/obo/EUPATH_0004991,1,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable,,
whocoreallsites::moadate,whocoreallsites,Observation date,http://purl.obolibrary.org/obo/EUPATH_0004991,1,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable,,
mpo_neo_ala::srfdate,mpo_neo_ala,Observation date,http://purl.obolibrary.org/obo/EUPATH_0004991,1,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable,,
fsq::fsqdate,fsq,Observation date,http://purl.obolibrary.org/obo/EUPATH_0004991,1,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable,,
8sites_diet5y::frcdate,8sites_diet5y,Observation date,http://purl.obolibrary.org/obo/EUPATH_0004991,1,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable,,
diet::frqdate,diet,Observation date,http://purl.obolibrary.org/obo/EUPATH_0004991,1,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable,,
lmz::ucfdate,lmz,Observation date,http://purl.obolibrary.org/obo/EUPATH_0004991,1,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable,,
micro_x::srfdate,micro_x,Observation date,http://purl.obolibrary.org/obo/EUPATH_0004991,1,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable,,
mn_blood::datecol,mn_blood,Observation date,http://purl.obolibrary.org/obo/EUPATH_0004991,1,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable,,
mn_iar::datecol,mn_iar,Observation date,http://purl.obolibrary.org/obo/EUPATH_0004991,1,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable,,
illnessfull::date,illnessfull,Observation date,http://purl.obolibrary.org/obo/EUPATH_0004991,1,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable,"Date, SAF",
tac::date,tac,Observation date,http://purl.obolibrary.org/obo/EUPATH_0004991,1,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable,,
tac_60m::date,tac_60m,Observation date,http://purl.obolibrary.org/obo/EUPATH_0004991,1,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,"variable, derived",,
tac_60m::date2,tac_60m,Observation date,http://purl.obolibrary.org/obo/EUPATH_0004991,1,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,"variable, derived",,
vax_and_titer_wdates::datecol,vax_and_titer_wdates,Observation date,http://purl.obolibrary.org/obo/EUPATH_0004991,1,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable,blood collection date. YYYY-mm-dd (date format may change depending on program used to open dataset).BCH/BRF,
rearrangedVax::date,rearrangedVax,Observation date,http://purl.obolibrary.org/obo/EUPATH_0004991,1,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,"variable, derived",,
wami_0_5y::fsedate,wami_0_5y,Observation date,http://purl.obolibrary.org/obo/EUPATH_0004991,1,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable,,
zscores_all::date,zscores_all,Observation date,http://purl.obolibrary.org/obo/EUPATH_0004991,1,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable,Date. CAF/MOA/MOB/MOC/AVF,
zscores_all::window,zscores_all,Anthropometry assessed in target window,http://purl.obolibrary.org/obo/EUPATH_0010438,NA,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable,"0 - out of window, 1 - in target window, 2 - in extended window. calculated",0 to 2
mpo_neo_ala::target_month,mpo_neo_ala,Target month for stool sample collection,http://purl.obolibrary.org/obo/EUPATH_0011851,6,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable,Target/scheduled month. Source=FRQ/FSQ/BRF/UCF/SRF/FSE/MOA. ..,
8sites_diet5y::target_month,8sites_diet5y,Target month for 24hr food recall survey,http://purl.obolibrary.org/obo/EUPATH_0011911,NA,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable,Target/scheduled month. Source=FRQ/FSQ/BRF/UCF/SRF/FSE/MOA.,-1 to 36
diet::target_month,diet,Target month for 24hr food recall survey,http://purl.obolibrary.org/obo/EUPATH_0011911,NA,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable,Target/scheduled month. Source=FRQ/FSQ/BRF/UCF/SRF/FSE/MOA.,-1 to 36
fsq::target_month,fsq,Target month for food security survey,http://purl.obolibrary.org/obo/EUPATH_0011915,4,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable,Target/scheduled month. Source=FRQ/FSQ/BRF/UCF/SRF/FSE/MOA.,0 to 24
whocoreallsites::target_month,whocoreallsites,Target month for qualitative dietary intake questionnaire,http://purl.obolibrary.org/obo/EUPATH_0011917,NA,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable,Target/scheduled month. Source=FRQ/FSQ/BRF/UCF/SRF/FSE/MOA.,1 to 8
wami_0_5y::target_month,wami_0_5y,Target month for socioeconomic status survey,http://purl.obolibrary.org/obo/EUPATH_0011920,5,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable,Target/scheduled month. Source=FRQ/FSQ/BRF/UCF/SRF/FSE/MOA.,6 to 36
8sites_diet5y::window,8sites_diet5y,24hr food recall survey conducted in target window,http://purl.obolibrary.org/obo/EUPATH_0011921,NA,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable,"Assessment is conducted in target window, extened window, out of window. Source=FRQ. out of window = 0, in target window = 1, in extended window = 2",0 to 2
diet::window,diet,24hr food recall survey conducted in target window,http://purl.obolibrary.org/obo/EUPATH_0011921,NA,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable,"Assessment is conducted in target window, extened window, out of window. Source=FRQ. out of window = 0, in target window = 1, in extended window = 2",0 to 2
whocoreallsites::window,whocoreallsites,Qualitative dietary intake questionnaire conducted in target window,http://purl.obolibrary.org/obo/EUPATH_0011926,NA,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable,"Assessment is conducted in target window, extened window, out of window. Source=FRQ. out of window = 0, in target window = 1, in extended window = 2",0 to 2
illnessfull::visit,illnessfull,Illness surveillance data present today,http://purl.obolibrary.org/obo/EUPATH_0011927,12,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable,"0 if no symptom data are available for this day (missing) and 1 if symptom data are available, calculated",", 0, 1"
mn_blood::b_target_month,mn_blood,Target month for blood sample collection,http://purl.obolibrary.org/obo/EUPATH_0011929,7,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,"variable, derived",Target/scheduled month. Source=FRQ/FSQ/BRF/UCF/SRF/FSE/MOA. ..,
vax_and_titer_wdates::target_month,vax_and_titer_wdates,Target month for blood sample collection,http://purl.obolibrary.org/obo/EUPATH_0011929,7,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable,target_month..BRF,
lmz::target_month,lmz,Target month for urine sample collection,http://purl.obolibrary.org/obo/EUPATH_0011930,8,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable,Target/scheduled month. Source=FRQ/FSQ/BRF/UCF/SRF/FSE/MOA. ..,
mn_iar::u_target_month,mn_iar,Target month for urine sample collection,http://purl.obolibrary.org/obo/EUPATH_0011930,8,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,"variable, derived",Target/scheduled month. Source=FRQ/FSQ/BRF/UCF/SRF/FSE/MOA. ..,
wami_0_5y::newsanitation,wami_0_5y,Sanitation categorization,http://purl.obolibrary.org/obo/EUPATH_0011607,1,,Household,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,variable,"Score of sanitation; 0 for unimproved categories, 4 for improved categories. Source=FSE(derived). if fsetoiletmod = ''01'' then newsanitation=0, unimproved;if fsetoiletmod = ''02'',''03'',''04'',''05'',''06'',''07'' then newsanitation=4, improved",", 0, 4"
wami_0_5y::q3,wami_0_5y,Household toilet,http://purl.obolibrary.org/obo/EUPATH_0011611,2,,Household,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,variable,Do you have a toilet in your household ?. Source=SAV Latrine. yes = 01; no = 00,", 0, 1"
wami_0_5y::q4,wami_0_5y,Household toilet or latrine has concrete floor,http://purl.obolibrary.org/obo/EUPATH_0011612,6,,Household,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,variable,Does your household toilet/latrine have a concrete floor?. Source=SAV Latrine. yes = 01; no = 00,", 0, 1"
