overallOrder,variable,dataFile,dataSet,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,multifilter,notesForOnt
426,bcgdate2,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date of administration of 2nd dose of BCG vaccine,2010-04-26 to 2012-07-31,,
192,bcgdate2,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,NA,2010-04-26 to 2012-07-31,,
430,bcgdoseN,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Total BCG vaccine doses,,Observation,,,Total number of BCG vaccine doses the child has received,1 to 2,,
195,bcgdoseN,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Total BCG vaccine doses,,Observation,,,NA,0 to 2,,
196,bcgNbefbl,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,BCG vaccine doses prior to blood draw,,Observation,,,NA,0 to 2,,
201,BCHHB,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,,,Observation,,,Hemocue Hb level reading,3.6 to 17.9,,Ignore for now. Notes about hb_adj from mn_blood_iar_24m.csv say we won't load the bchhb variable�
203,BLLCONC,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Blood lead (ug/dL),,Observation,,,Blood lead concentration,0 to 43,,Ignore for now. Same as variable in mn_blood_iar_24m.csv
3,CAFSEX,LMZ.csv,"MAL-ED, 0 to 36 months",,Sex,,Observation,,,Gender of child,1 to 2,,"Ignore for now. Same as in micro_x_24m.csv, fsq_24m.csv"
2,cafsex,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Sex,,Observation,,,Gender: 1=male 2=female,1 to 2,,"Ignore for now. same as variable in micro_x_24m.csv, fsq_24m.csv"
37,CAFSEX,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Sex,,Observation,,,Child sex,1 to 2,,"Ignore for now. same as variable in micro_x_24m.csv, fsq_24m.csv"
35,cid,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Country,,Observation,,,3 letter site code,"BGD, BRF, INV, NEB, PEL, PKN, SAV, TZH",,Ignore for now. different variable name from Country_ID
6,comaxaged,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,,,Observation,,,Age (days) at last follow-up,1 to 1119,,Ignore for now. Checking with providers about loading this
1,Country_ID,LMZ.csv,"MAL-ED, 0 to 36 months",,Country,,Observation,,,Country ID,"BG, BR, IN, NP, PE, PK, SA, TZ",,"Ignore for now. Same as in illnessfull_24m.csv, micro_x_24m.csv, Zscores_24m.csv, bf_24m.csv, diet_24m.csv, fsq_24m.csv, mn_blood_iar_24m.csv, mpo_neo_ala_24m.csv, wami_24m.csv, WHOcoreallsites_24m.csv"
4,country_id,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Country,,Observation,,,Country ID (2 letter code),"BG, BR, IN, NP, PE, PK, SA, TZ",,"Ignore for now. same as variable in illnessfull_24m.csv, micro_x_24m.csv, Zscores_24m.csv, bf_24m.csv, diet_24m.csv, fsq_24m.csv, mn_blood_iar_24m.csv, mpo_neo_ala_24m.csv, wami_24m.csv, WHOcoreallsites_24m.csv"
3,Country_ID,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Country,,Observation,,,2 letter site code,"BG, BR, IN, NP, PE, PK, SA, TZ",,"Ignore for now. same as variable in illnessfull_24m.csv, micro_x_24m.csv, Zscores_24m.csv, bf_24m.csv, diet_24m.csv, fsq_24m.csv, mn_blood_iar_24m.csv, mpo_neo_ala_24m.csv, wami_24m.csv, WHOcoreallsites_24m.csv"
5,country_id2,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Country,,Observation,,,Country ID (3 letter code),"BGD, BRF, INV, NEB, PEL, PKN, SAV, TZH",,Ignore for now. different variable name from Country_ID
31,cpoxaged1,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age in days at administration of 1st dose of Chickenpox vaccine,367 to 1083,,
30,cpoxdate1,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date of administration of 1st dose of Chickenpox vaccine,2011-09-26 to 2014-02-03,,
34,cpoxdoseN,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Total chickenpox vaccine doses,,Observation,,,Total number of Chickenpox vaccine doses the child has received,1 to 1,,
16,D_lac_mg,LMZ.csv,"MAL-ED, 0 to 36 months",,Lactulose dosage (mg),,Observation,,,lactulose dosage (in mg),340 to 36200,,
15,D_man_mg,LMZ.csv,"MAL-ED, 0 to 36 months",,Mannitol dosage (mg),,Observation,,,mannitol dosage (in mg),68 to 7240,,
18,datasheet,LMZ.csv,"MAL-ED, 0 to 36 months",,Sample analysis date,Date urine sample was analyzed by the lab,Observation,,,"for samples run by the Brazil lab, the date when the sample was run by the lab or ""UrineListCheck_Final20Jun14""   indicates a sample that the BR lab flagged as problematic (for multiple possible reasons), also a sample where the date on which the sample was run is unknown",2011-03-26 to 2014-06-20,,
13,datecol,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Sample collection date,,Observation,,,blood collection date,2010-06-21 to 2013-08-27,,Ignore for now. Same as variable in mn_blood_iar_24m.csv
41,dewormaged1,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Age (days),,Observation,,,Age in days at administration of 1st dose of Deworm,352 to 974,,
185,dewormaged1,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Age (days),,Observation,,,NA,352 to 974,,
45,dewormaged2,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Age (days),,Observation,,,Age in days at administration of 2nd dose of Deworm,552 to 552,,
40,dewormdate1,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Administration of deworming date,,Observation,,,Date of administration of 1st dose of Deworm,2012-01-02 to 2013-09-03,,
184,dewormdate1,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Administration of deworming date,,Observation,,,NA,2012-01-02 to 2013-09-03,,
44,dewormdate2,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Administration of deworming date,,Observation,,,Date of administration of 2nd dose of Deworm,2013-07-24 to 2013-07-24,,
48,dewormdoseN,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Total deworm doses,,Observation,,,Total number of Deworm doses the child has received,1 to 2,,
187,dewormdoseN,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Total deworm doses,,Observation,,,NA,0 to 2,,
188,dewormNbefbl,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Deworming doses prior to blood draw,,Observation,,,NA,0 to 1,,
4,DOB,LMZ.csv,"MAL-ED, 0 to 36 months",,Birth date,,Observation,,,Date of birth,2009-10-19 to 2012-02-28,,"Ignore for now. Same as in fsq_24m.csv, wami_24m.csv"
3,dob,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Birth date,,Observation,,,Date of birth (format dd-mmm-yyyy),2009-10-19 to 2012-02-28,,"Ignore for now. Same as in fsq_24m.csv, wami_24m.csv"
402,dptaged1,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age in days at administration of 1st dose of DPT vaccine,1 to 396,,
79,dptaged1,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age at dpt vaccine dose 1,1 to 396,,
406,dptaged2,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age in days at administration of 2nd dose of DPT vaccine,51 to 638,,
82,dptaged2,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age at dpt vaccine dose 2,42 to 638,,
410,dptaged3,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age in days at administration of 3rd dose of DPT vaccine,85 to 974,,
85,dptaged3,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age at dpt vaccine dose 3,77 to 892,,
414,dptaged4,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age in days at administration of 4th dose of DPT vaccine,113 to 1015,,
88,dptaged4,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age at dpt vaccine dose 4,112 to 1015,,
418,dptaged5,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age in days at administration of 5th dose of DPT vaccine,280 to 1052,,
401,dptdate1,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date of administration of 1st dose of DPT vaccine,2009-12-04 to 2013-02-09,,
78,dptdate1,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date at dpt vaccine dose 1,2009-12-04 to 2013-02-09,,
405,dptdate2,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date of administration of 2nd dose of DPT vaccine,2010-01-04 to 2013-06-28,,
81,dptdate2,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date at dpt vaccine dose 2,2010-01-04 to 2013-06-28,,
409,dptdate3,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date of administration of 3rd dose of DPT vaccine,2010-02-01 to 2014-02-14,,
84,dptdate3,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date at dpt vaccine dose 3,2010-02-01 to 2014-01-08,,
413,dptdate4,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date of administration of 4th dose of DPT vaccine,2010-10-01 to 2014-07-21,,
87,dptdate4,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date at dpt vaccine dose 4,2010-07-21 to 2014-07-21,,
417,dptdate5,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date of administration of 5th dose of DPT vaccine,2012-04-06 to 2014-11-26,,
421,dptdoseN,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Total DPT vaccine doses,,Observation,,,Total number of DPT vaccine doses the child has received,1 to 5,,
90,dptdoseN,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Total DPT vaccine doses,,Observation,,,Total number of dpt vaccine doses recorded during study,0 to 5,,
17,duration_urine_collection,LMZ.csv,"MAL-ED, 0 to 36 months",,Duration of urine collection (hrs),Number of hours urine was collected. The protocol specified 5 hours.,Observation,,,hours of urine collection ,0 to 10.5,,
204,FARVAL1,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Blood ferritin (ng/mL),,Observation,,,FAR Value1 (mcg/L or ng/ml),0 to 990.4,,Ignore for now. Same as in mn_blood_iar_24m.csv
205,FARVAL2,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,"Blood ferritin (ng/mL), 2nd",,Observation,,,FAR Value2 (mcg/L or ng/ml),0 to 685,,Ignore for now. Same as in mn_blood_iar_24m.csv
206,FARVALMEAN,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Mean blood ferritin (ng/mL),,Observation,,,"Mean (FARVAL1, FARVAL2)",0 to 990.4,,Ignore for now. Same as in mn_blood_iar_24m.csv
36,final_lac_exc_mg,LMZ.csv,"MAL-ED, 0 to 36 months",,,,Observation,,,"Final results are same as raw results except that any value where suspect_result==1, or where the urine was collected outside the 30d window, has been changed to missing",0.0082 to 628.5779,,Ignore for now. Checking with providers about loading this
34,final_lac_mmols_per_L,LMZ.csv,"MAL-ED, 0 to 36 months",,,,Observation,,,"Final results are same as raw results except that any value where suspect_result==1, or where the urine was collected outside the 30d window, has been changed to missing",0.0018 to 88.4306,,Ignore for now. Checking with providers about loading this
38,final_lac_perexc,LMZ.csv,"MAL-ED, 0 to 36 months",,,,Observation,,,"Final results are same as raw results except that any value where suspect_result==1, or where the urine was collected outside the 30d window, has been changed to missing",0 to 16.221,,Ignore for now. Checking with providers about loading this
39,final_lmr,LMZ.csv,"MAL-ED, 0 to 36 months",,,,Observation,,,"Final results are same as raw results except that any value where suspect_result==1, or where the urine was collected outside the 30d window, has been changed to missing",6e-04 to 47.9603,,Ignore for now. Checking with providers about loading this
35,final_man_exc_mg,LMZ.csv,"MAL-ED, 0 to 36 months",,,,Observation,,,"Final results are same as raw results except that any value where suspect_result==1, or where the urine was collected outside the 30d window, has been changed to missing",0.0155 to 812.6,,Ignore for now. Checking with providers about loading this
33,final_man_mmols_per_L,LMZ.csv,"MAL-ED, 0 to 36 months",,,,Observation,,,"Final results are same as raw results except that any value where suspect_result==1, or where the urine was collected outside the 30d window, has been changed to missing",0.0073 to 376.4679,,Ignore for now. Checking with providers about loading this
37,final_man_perexc,LMZ.csv,"MAL-ED, 0 to 36 months",,,,Observation,,,"Final results are same as raw results except that any value where suspect_result==1, or where the urine was collected outside the 30d window, has been changed to missing",0.002 to 96.738,,Ignore for now. Checking with providers about loading this
84,fluaged1,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age in days at administration of 1st dose of Influenza vaccine,102 to 1096,,
88,fluaged2,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age in days at administration of 2nd dose of Influenza vaccine,209 to 1097,,
92,fluaged3,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age in days at administration of 3rd dose of Influenza vaccine,254 to 1095,,
96,fluaged4,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age in days at administration of 4th dose of Influenza vaccine,429 to 1098,,
100,fluaged5,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age in days at administration of 5th dose of Influenza vaccine,797 to 1096,,
83,fludate1,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date of administration of 1st dose of Meningitis vaccine,2010-10-02 to 2014-07-21,,
87,fludate2,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date of administration of 2nd dose of Influenza vaccine,2011-05-14 to 2015-01-27,,
91,fludate3,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date of administration of 3rd dose of Influenza vaccine,2011-06-28 to 2014-09-18,,
95,fludate4,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date of administration of 4th dose of Influenza vaccine,2012-05-16 to 2014-06-04,,
99,fludate5,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date of administration of 5th dose of Influenza vaccine,2013-05-24 to 2014-01-30,,
103,fludoseN,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Total influenza vaccine doses,,Observation,,,Total number of Influenza vaccine doses the child has received,1 to 5,,
210,hb_adj,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,"Hemoglobin, adjusted for high altitude (g/dL)",,Observation,,,"hb adjustment for high altitude (-0.3 in NP, -0.5 in TZ)",3.6 to 17.4,,Ignore for now. Same as in mn_blood_iar_24m.csv
344,hepbaged1,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age in days at administration of 1st dose of Hepatitis B vaccine,0 to 281,,
348,hepbaged2,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age in days at administration of 2nd dose of Hepatitis B vaccine,27 to 464,,
352,hepbaged3,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age in days at administration of 3rd dose of Hepatitis B vaccine,59 to 619,,
356,hepbaged4,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age in days at administration of 4th dose of Hepatitis B vaccine,90 to 838,,
360,hepbaged5,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age in days at administration of 5th dose of Hepatitis B vaccine,137 to 280,,
343,hepbdate1,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date of administration of 1st dose of Hepatitis B vaccine,2009-12-06 to 2012-08-22,,
347,hepbdate2,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date of administration of 2nd dose of Hepatitis B vaccine,2010-01-04 to 2013-02-15,,
351,hepbdate3,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date of administration of 3rd dose of Hepatitis B vaccine,2010-02-01 to 2013-06-03,,
355,hepbdate4,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date of administration of 4th dose of Hepatitis B vaccine,2010-06-07 to 2014-04-21,,
359,hepbdate5,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date of administration of 5th dose of Hepatitis B vaccine,2010-07-17 to 2012-04-06,,
363,hepbdoseN,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Total number of Hepatitis B vaccine doses the child has received,1 to 5,,
310,hibaged1,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age in days at administration of 1st dose of Hib vaccine,1 to 1027,,
314,hibaged2,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age in days at administration of 2nd dose of Hib vaccine,51 to 588,,
318,hibaged3,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age in days at administration of 3rd dose of Hib vaccine,85 to 686,,
322,hibaged4,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age in days at administration of 4th dose of Hib vaccine,113 to 1015,,
309,hibdate1,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date of administration of 1st dose of Hib vaccine,2009-12-04 to 2013-06-26,,
313,hibdate2,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date of administration of 2nd dose of Hib vaccine,2010-01-04 to 2013-04-21,,
317,hibdate3,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date of administration of 3rd dose of Hib vaccine,2010-02-01 to 2013-08-21,,
321,hibdate4,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date of administration of 4th dose of Hib vaccine,2010-10-01 to 2014-07-21,,
325,hibdate5,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date of administration of 5th dose of Hib vaccine,2012-04-06 to 2013-08-09,,
329,hibdoseN,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Total Hib vaccine doses,,Observation,,,Total number of Hib vaccine doses the child has received,1 to 5,,
226,highagp,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,High blood alpha-1-acid glycoprotein (greater than 100mg/dL),,Observation,,,1= AGPVAL>100; 0=AGPVAL1<=100,0 to 1,,Ignore for now. Same as in mn_blood_iar_24m.csv
227,highbll,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,High blood lead (greater than 10ug/dL),,Observation,,,1= BLLCONC>-10; 0= BLLCONC<10,0 to 1,,Ignore for now. Same as in mn_blood_iar_24m.csv
188,ipvaged1,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age in days at administration of 1st dose of IPV vaccine,11 to 556,,
148,ipvaged1,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age at ipv vaccine dose 1,14 to 556,,
192,ipvaged2,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age in days at administration of 2nd dose of IPV vaccine,57 to 474,,
151,ipvaged2,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age at ipv vaccine dose 2,57 to 474,,
196,ipvaged3,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age in days at administration of 3rd dose of IPV vaccine,85 to 686,,
154,ipvaged3,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age at ipv vaccine dose 3,85 to 686,,
200,ipvaged4,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age in days at administration of 4th dose of IPV vaccine,113 to 727,,
157,ipvaged4,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age at ipv vaccine dose 4,113 to 727,,
204,ipvaged5,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Age at vaccination (days),,Observation,,,Age in days at administration of 5th dose of IPV vaccine,580 to 580,,
187,ipvdate1,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date of administration of 1st dose of IPV vaccine,2009-12-04 to 2013-06-26,,
147,ipvdate1,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date at ipv vaccine dose 1,2009-12-04 to 2013-06-26,,
191,ipvdate2,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date of administration of 2nd dose of IPV vaccine,2010-01-04 to 2013-03-14,,
150,ipvdate2,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date at ipv vaccine dose 2,2010-01-04 to 2013-03-14,,
195,ipvdate3,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date of administration of 3rd dose of IPV vaccine,2010-02-01 to 2013-08-21,,
153,ipvdate3,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date at ipv vaccine dose 3,2010-02-01 to 2013-08-21,,
199,ipvdate4,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",,Vaccination date,,Observation,,,Date of administration of 4th dose of IPV vaccine,2010-10-01 to 2013-12-04,,
