"colOrder","variable","dataFile","label","IRI","definition","displayOrder","category","parentLabel","parentIRI","codebookDescription","codebookValues","termType","notesForOnt","notesForProvider","notesForDL","repeated","is_temporal","mergeKey","dataSet","unitLabel","unitIRI","is_featured","hidden","scale","defaultDisplayRangeMin","defaultDisplayRangeMax","defaultBinWidth","forceStringType"
5,"lon","wwarn_act_wide","Longitude","http://purl.obolibrary.org/obo/OBI_0001621",,1,"Publication","Geolocation","http://purl.obolibrary.org/obo/EUPATH_0043212",,,"variable",,,,,,,"WWARN_ACT",,,,"yes",,,,,
6,"lat","wwarn_act_wide","Latitude","http://purl.obolibrary.org/obo/OBI_0001620",,2,"Publication","Geolocation","http://purl.obolibrary.org/obo/EUPATH_0043212",,,"variable",,,,,,,"WWARN_ACT",,,,"yes",,,,,
10,"publication.year","wwarn_act_wide","Publication year","http://purl.obolibrary.org/obo/MI_0886",,1,"Publication","Publication information","http://purl.obolibrary.org/obo/IAO_0000311",,,"variable",,,,,"yes",,"WWARN_ACT",,,"yes",,,,,,
12,"title","wwarn_act_wide","Title of publication","http://purl.obolibrary.org/obo/MI_1091",,2,"Publication","Publication information","http://purl.obolibrary.org/obo/IAO_0000311",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
11,"publication.url","wwarn_act_wide","Publication URL","http://purl.obolibrary.org/obo/MI_0614",,3,"Publication","Publication information","http://purl.obolibrary.org/obo/IAO_0000311",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
14,"pubmed.id","wwarn_act_wide","PubMed ID","http://purl.obolibrary.org/obo/OBI_0001617",,4,"Publication","Publication information","http://purl.obolibrary.org/obo/IAO_0000311",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,"yes"
9,"author","wwarn_act_wide","Authors of publication","http://purl.obolibrary.org/obo/IAO_0000442",,5,"Publication","Publication information","http://purl.obolibrary.org/obo/IAO_0000311",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
13,"notes","wwarn_act_wide","Publication notes","http://purl.obolibrary.org/obo/IAO_0000634",,6,"Publication","Publication information","http://purl.obolibrary.org/obo/IAO_0000311",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
1,"study.id","wwarn_act_wide","Study ID",,,7,"Publication","Publication information","http://purl.obolibrary.org/obo/IAO_0000311",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
7,"study.start","wwarn_act_wide","Sample collection start year","http://purl.obolibrary.org/obo/EUPATH_0043256",,1,"Sample summary","Publication sample collection process","http://purl.obolibrary.org/obo/EUPATH_0064411",,,"variable",,,,,"yes",,"WWARN_ACT",,,"yes",,,,,,
8,"study.end","wwarn_act_wide","Sample collection end year","http://purl.obolibrary.org/obo/EUPATH_0043257",,2,"Sample summary","Publication sample collection process","http://purl.obolibrary.org/obo/EUPATH_0064411",,,"variable",,,,,"yes",,"WWARN_ACT",,,"yes",,,,,,
96,"present_pfcrt 343i","wwarn_act_wide","pfcrt 343I count",,"number of samples with pfcrt 343I identified",1,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
97,"present_pfcrt 353v","wwarn_act_wide","pfcrt 353V count",,"number of samples with pfcrt 353V identified",2,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
68,"present_pfcrt 76k/t","wwarn_act_wide","pfcrt 76K/T count",,"number of samples with pfcrt 76K/T identified",3,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
64,"present_pfcrt 76t","wwarn_act_wide","pfcrt 76T count",,"number of samples with pfcrt 76T identified",4,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
93,"present_pfcrt 93s","wwarn_act_wide","pfcrt 93S count",,"number of samples with pfcrt 93S identified",5,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
94,"present_pfcrt 97y","wwarn_act_wide","pfcrt 97Y count",,"number of samples with pfcrt 97Y identified",6,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
91,"present_pfcrt cidt","wwarn_act_wide","pfcrt CIDT count",,"number of samples with pfcrt CIDT identified",7,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
99,"present_pfcrt ciek","wwarn_act_wide","pfcrt CIEK count",,"number of samples with pfcrt CIEK identified",8,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
78,"present_pfcrt ciet","wwarn_act_wide","pfcrt CIET count",,"number of samples with pfcrt CIET identified",9,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
81,"present_pfcrt cint","wwarn_act_wide","pfcrt CINT count",,"number of samples with pfcrt CINT identified",10,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
80,"present_pfcrt cmdt","wwarn_act_wide","pfcrt CMDT count",,"number of samples with pfcrt CMDT identified",11,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
84,"present_pfcrt cmet","wwarn_act_wide","pfcrt CMET count",,"number of samples with pfcrt CMET identified",12,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
77,"present_pfcrt cmnk","wwarn_act_wide","pfcrt CMNK count",,"number of samples with pfcrt CMNK identified",13,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
79,"present_pfcrt cmnt","wwarn_act_wide","pfcrt CMNT count",,"number of samples with pfcrt CMNT identified",14,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
95,"present_pfcrt f145i","wwarn_act_wide","pfcrt F145I count",,"number of samples with pfcrt F145I identified",15,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
103,"present_pfcrt i218f","wwarn_act_wide","pfcrt I218F count",,"number of samples with pfcrt I218F identified",16,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
76,"present_pfcrt k76","wwarn_act_wide","pfcrt K76 count",,"number of samples with pfcrt K76 identified",17,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
98,"present_pfcrt smet","wwarn_act_wide","pfcrt SMET count",,"number of samples with pfcrt SMET identified",18,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
61,"present_pfcrt smnt","wwarn_act_wide","pfcrt SMNT count",,"number of samples with pfcrt SMNT identified",19,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
66,"present_pfmdr1 copy number >1","wwarn_act_wide","pfmdr1 copy number >1 count",,"number of samples with pfmdr1 copy number>1 identified",20,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
85,"present_pfmdr1 copy number = 2","wwarn_act_wide","pfmdr1 copy number =2 count",,"number of samples with pfmdr1 copy number=2 identified",21,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
89,"present_pfmdr1 copy number = 3","wwarn_act_wide","pfmdr1 copy number =3 count",,"number of samples with pfmdr1 copy number=3 identified",22,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
90,"present_pfmdr1 copy number = 4","wwarn_act_wide","pfmdr1 copy number =4 count",,"number of samples with pfmdr1 copy number=4 identified",23,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
88,"present_pfmdr1 copy number = 4 or higher","wwarn_act_wide","pfmdr1 copy number >=4 count",,"number of samples with pfmdr1 copy number>=4 identified",24,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
92,"present_pfmdr1 copy number = 5 or higher","wwarn_act_wide","pfmdr1 copy number >=5 count",,"number of samples with pfmdr1 copy number>=5 identified",25,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
102,"present_pfmdr1 1034s/c","wwarn_act_wide","pfmdr1 1034S/C count",,"number of samples with pfmdr1 1034S/C identified",26,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
82,"present_pfmdr1 1246d/y","wwarn_act_wide","pfmdr1 1246D/Y count",,"number of samples with pfmdr1 1246D/Y identified",27,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
65,"present_pfmdr1 1246y","wwarn_act_wide","pfmdr1 1246Y count",,"number of samples with pfmdr1 1246Y identified",28,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
63,"present_pfmdr1 184f","wwarn_act_wide","pfmdr1 184F count",,"number of samples with pfmdr1 184F identified",29,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
72,"present_pfmdr1 184y/f","wwarn_act_wide","pfmdr1 184Y/F count",,"number of samples with pfmdr1 184Y/F identified",30,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
70,"present_pfmdr1 86n/y","wwarn_act_wide","pfmdr1 86N/Y count",,"number of samples with pfmdr1 86N/Y identified",31,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
62,"present_pfmdr1 86y","wwarn_act_wide","pfmdr1 86Y count",,"number of samples with pfmdr1 86Y identified",32,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
75,"present_pfmdr1 d1246","wwarn_act_wide","pfmdr1 D1246 count",,"number of samples with pfmdr1 D1246 identified",33,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
74,"present_pfmdr1 n1042","wwarn_act_wide","pfmdr1 N1042 count",,"number of samples with pfmdr1 N1042 identified",34,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
69,"present_pfmdr1 n86","wwarn_act_wide","pfmdr1 N86 count",,"number of samples with pfmdr1 N86 identified",35,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
104,"present_pfmdr1 nfcdd","wwarn_act_wide","pfmdr1 NFCDD count",,"number of samples with pfmdr1 NFCDD identified",36,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
105,"present_pfmdr1 nfcnd","wwarn_act_wide","pfmdr1 NFCND count",,"number of samples with pfmdr1 NFCND identified",37,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
101,"present_pfmdr1 nfd","wwarn_act_wide","pfmdr1 NFD count",,"number of samples with pfmdr1 NFD identified",38,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
67,"present_pfmdr1 nfsnd","wwarn_act_wide","pfmdr1 NFSND count",,"number of samples with pfmdr1 NFSND identified",39,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
73,"present_pfmdr1 s1034","wwarn_act_wide","pfmdr1 S1034 count",,"number of samples with pfmdr1 S1034 identified",40,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
71,"present_pfmdr1 y184","wwarn_act_wide","pfmdr1 Y184 count",,"number of samples with pfmdr1 Y184 identified",41,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
83,"present_pfmdr1 yysny","wwarn_act_wide","pfmdr1 YYSNY count",,"number of samples with pfmdr1 YYSNY identified",42,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
100,"present_pfmdr1 yyy","wwarn_act_wide","pfmdr1 YYY count",,"number of samples with pfmdr1 YYY identified",43,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
86,"present_pfpm2 copy number=1","wwarn_act_wide","pfpm2 copy number =1 count",,"number of samples with pfpm2 copy number=1 identified",44,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
87,"present_pfpm2 copy number >1","wwarn_act_wide","pfpm2 copy number >1 count",,"number of samples with pfpm2 copy number>1 identified",45,"Sample summary","Drug resistance marker counts","http://purl.obolibrary.org/obo/EUPATH_0065003",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
141,"mixed.present_pfcrt 343i","wwarn_act_wide","pfcrt 343I count, including mixed infections",,"number of samples with the pure and/or mixed pfcrt 343I alleles",1,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
142,"mixed.present_pfcrt 353v","wwarn_act_wide","pfcrt 353V count, including mixed infections",,"number of samples with the pure and/or mixed pfcrt 353V alleles",2,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
113,"mixed.present_pfcrt 76k/t","wwarn_act_wide","pfcrt 76K/T count, including mixed infections",,"number of samples with the pure and/or mixed pfcrt 76K/T alleles",3,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
109,"mixed.present_pfcrt 76t","wwarn_act_wide","pfcrt 76T count, including mixed infections",,"number of samples with the pure and/or mixed pfcrt 76T alleles",4,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
138,"mixed.present_pfcrt 93s","wwarn_act_wide","pfcrt 93S count, including mixed infections",,"number of samples with the pure and/or mixed pfcrt 93S alleles",5,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
139,"mixed.present_pfcrt 97y","wwarn_act_wide","pfcrt 97Y count, including mixed infections",,"number of samples with the pure and/or mixed pfcrt 97Y alleles",6,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
136,"mixed.present_pfcrt cidt","wwarn_act_wide","pfcrt CIDT count, including mixed infections",,"number of samples with the pure and/or mixed pfcrt CIDT alleles",7,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
144,"mixed.present_pfcrt ciek","wwarn_act_wide","pfcrt CIEK count, including mixed infections",,"number of samples with the pure and/or mixed pfcrt CIEK alleles",8,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
123,"mixed.present_pfcrt ciet","wwarn_act_wide","pfcrt CIET count, including mixed infections",,"number of samples with the pure and/or mixed pfcrt CIET alleles",9,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
126,"mixed.present_pfcrt cint","wwarn_act_wide","pfcrt CINT count, including mixed infections",,"number of samples with the pure and/or mixed pfcrt CINT alleles",10,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
125,"mixed.present_pfcrt cmdt","wwarn_act_wide","pfcrt CMDT count, including mixed infections",,"number of samples with the pure and/or mixed pfcrt CMDT alleles",11,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
129,"mixed.present_pfcrt cmet","wwarn_act_wide","pfcrt CMET count, including mixed infections",,"number of samples with the pure and/or mixed pfcrt CMET alleles",12,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
122,"mixed.present_pfcrt cmnk","wwarn_act_wide","pfcrt CMNK count, including mixed infections",,"number of samples with the pure and/or mixed pfcrt CMNK alleles",13,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
124,"mixed.present_pfcrt cmnt","wwarn_act_wide","pfcrt CMNT count, including mixed infections",,"number of samples with the pure and/or mixed pfcrt CMNT alleles",14,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
140,"mixed.present_pfcrt f145i","wwarn_act_wide","pfcrt F145I count, including mixed infections",,"number of samples with the pure and/or mixed pfcrt F145I alleles",15,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
148,"mixed.present_pfcrt i218f","wwarn_act_wide","pfcrt I218F count, including mixed infections",,"number of samples with the pure and/or mixed pfcrt I218F alleles",16,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
121,"mixed.present_pfcrt k76","wwarn_act_wide","pfcrt K76 count, including mixed infections",,"number of samples with the pure and/or mixed pfcrt K76 alleles",17,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
143,"mixed.present_pfcrt smet","wwarn_act_wide","pfcrt SMET count, including mixed infections",,"number of samples with the pure and/or mixed pfcrt SMET alleles",18,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
106,"mixed.present_pfcrt smnt","wwarn_act_wide","pfcrt SMNT count, including mixed infections",,"number of samples with the pure and/or mixed pfcrt SMNT alleles",19,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
111,"mixed.present_pfmdr1 copy number >1","wwarn_act_wide","pfmdr1 copy number >1 count, including mixed infections",,"number of samples with the pure and/or mixed pfmdr1 copy number>1 alleles",20,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
130,"mixed.present_pfmdr1 copy number = 2","wwarn_act_wide","pfmdr1 copy number =2 count, including mixed infections",,"number of samples with the pure and/or mixed pfmdr1 copy number=2",21,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
134,"mixed.present_pfmdr1 copy number = 3","wwarn_act_wide","pfmdr1 copy number =3 count, including mixed infections",,"number of samples with the pure and/or mixed pfmdr1 copy number=3",22,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
135,"mixed.present_pfmdr1 copy number = 4","wwarn_act_wide","pfmdr1 copy number =4 count, including mixed infections",,"number of samples with the pure and/or mixed pfmdr1 copy number=4",23,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
133,"mixed.present_pfmdr1 copy number = 4 or higher","wwarn_act_wide","pfmdr1 copy number >=4 count, including mixed infections",,"number of samples with the pure and/or mixed pfmdr1 copy number>=4",24,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
137,"mixed.present_pfmdr1 copy number = 5 or higher","wwarn_act_wide","pfmdr1 copy number >=5 count, including mixed infections",,"number of samples with the pure and/or mixed pfmdr1 copy number>=5",25,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
147,"mixed.present_pfmdr1 1034s/c","wwarn_act_wide","pfmdr1 1034S/C count, including mixed infections",,"number of samples with the pure and/or mixed pfmdr1 1034S/C alleles",26,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
127,"mixed.present_pfmdr1 1246d/y","wwarn_act_wide","pfmdr1 1246D/Y count, including mixed infections",,"number of samples with the pure and/or mixed pfmdr1 1246D/Y alleles",27,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
110,"mixed.present_pfmdr1 1246y","wwarn_act_wide","pfmdr1 1246Y count, including mixed infections",,"number of samples with the pure and/or mixed pfmdr1 1246Y alleles",28,"Sample summary","Drug resistance marker counts, including mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065004",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
