BSdich	BSdich	NA	:::UNDEF:::
cause1	cause1	-9	:::UNDEF:::
cause2	cause2	-9	:::UNDEF:::
cause3	cause3	-9	:::UNDEF:::
cause1	cause1	liver disease	Liver disease
cause1	cause1	respiratory failure	Respiratory failure, pulmonary TB
cause1	cause1	severe dehydration	Severe dehydration, severe vomiting
cause2	cause2	pulmonary tb	:::UNDEF:::
cause2	cause2	severe vomiting	:::UNDEF:::
cause3	cause3	-9	:::UNDEF:::
cdate1	cdate1	na	:::UNDEF:::
cdate2	cdate2	na	:::UNDEF:::
cduration	cduration	-9	:::UNDEF:::
cduration	cduration	na	:::UNDEF:::
cerebral	cerebral	NA	:::UNDEF:::
childbearing	childbearing	NA	:::UNDEF:::
convulsions	convulsions	NA	:::UNDEF:::
cough	cough	NA	:::UNDEF:::
cough	cough	cannot assess	Cannot assess
covered	covered	N/A	Not applicable
culex1	culex1	na	:::UNDEF:::
culex2	culex2	na	:::UNDEF:::
culex3	culex3	na	:::UNDEF:::
date	collectiondate	na	:::UNDEF:::
datedis	datedis	na	:::UNDEF:::
dbp	dbp	-9	:::UNDEF:::
dbp	dbp	na	:::UNDEF:::
dbp	dbp	N	:::UNDEF:::
dduration	dduration	-9	:::UNDEF:::
dduration	dduration	na	:::UNDEF:::
deadmosq	deadmosq	na	:::UNDEF:::
death	death	1	Yes
dhfctycat	dhfctycat	0	<1 km	1
dhfctycat	dhfctycat	1	1 to <2 km	2
dhfctycat	dhfctycat	2	2 to <3 km	3
dhfctycat	dhfctycat	3	3 or more km	4
diagnosis1	diagnosis1	-9	:::UNDEF:::
diagnosis2	diagnosis2	-9	:::UNDEF:::
diarrhea	diarrhea	NA	:::UNDEF:::
discparity1	discparity1	na	:::UNDEF:::
discparity2	discparity2	na	:::UNDEF:::
discparity3	discparity3	na	:::UNDEF:::
distress	distress	NA	:::UNDEF:::
djointpains	djointpains	-9	:::UNDEF:::
djointpains	djointpains	na	:::UNDEF:::
dose1	dose1	-9	:::UNDEF:::
dow	dow	na	:::UNDEF:::
dx1code	dx1code	-9	Not Applicable
dx1code	dx1code	1	Abscess
dx1code	dx1code	10	Arthritis
dx1code	dx1code	101	Measles
dx1code	dx1code	11	Asthma Exacerbation
dx1code	dx1code	111	Bacterial skin infection
dx1code	dx1code	118	Oral ulcers - single episode
dx1code	dx1code	120	Otitis externa
dx1code	dx1code	121	Otitis media - nonsuppurative
dx1code	dx1code	122	Otitis media - suppurative
dx1code	dx1code	123	Pain
dx1code	dx1code	125	Paralysis
dx1code	dx1code	132	Peptic ulcer disease
dx1code	dx1code	133	Balanitis
dx1code	dx1code	135	Periodontitis - unspecified
dx1code	dx1code	139	Pharyngitis
dx1code	dx1code	14	Burns
dx1code	dx1code	142	Pneumonia
dx1code	dx1code	143	Pneumonia – severe
dx1code	dx1code	145	Pruritis
dx1code	dx1code	151	Fever Without Source (FWS)
dx1code	dx1code	164	Soft tissue injury
dx1code	dx1code	166	Splenomegaly
dx1code	dx1code	167	Stye
dx1code	dx1code	168	Syphillis
dx1code	dx1code	171	Tinea Capitis
dx1code	dx1code	172	Fungal skin infection
dx1code	dx1code	172	Skin Infection, Fungal
dx1code	dx1code	174	Tonsillitis
dx1code	dx1code	178	Tuberculosis - pulmonary
dx1code	dx1code	18	Carbuncle/furuncle
dx1code	dx1code	183	Upper respiratory tract infection (URTI)
dx1code	dx1code	184	Urinary tract infection
dx1code	dx1code	188	Wound
dx1code	dx1code	192	Candidiasis - vaginal
dx1code	dx1code	194	Abdominal pain - unspecified
dx1code	dx1code	195	Torticolis
dx1code	dx1code	20	Cellulitis
dx1code	dx1code	202	Malaria
dx1code	dx1code	204	Foreign body
dx1code	dx1code	22	Chicken pox
dx1code	dx1code	25	Common cold / flu
dx1code	dx1code	253	Poisoning
dx1code	dx1code	256	Vulvovaginitis, unexplained
dx1code	dx1code	260	Bacterial Vaginosis
dx1code	dx1code	263	Pelvic Inflammatory Disease
dx1code	dx1code	27	Conjunctivitis
dx1code	dx1code	3	Anaemia - general
dx1code	dx1code	304	Postpartum hemorrhage
dx1code	dx1code	305	Mastitis
dx1code	dx1code	326	Candidiasis - perianal
dx1code	dx1code	329	Respiratory failure
dx1code	dx1code	332	Constipation
dx1code	dx1code	339	Measles-like illness
dx1code	dx1code	35	Dehydration
dx1code	dx1code	352	Threatened abortion
dx1code	dx1code	353	Incomplete abortion
dx1code	dx1code	36	Dental abscess
dx1code	dx1code	369	Hypertension
dx1code	dx1code	37	Dental caries
dx1code	dx1code	372	Liver disease
dx1code	dx1code	398	Dysmenorrhagia
dx1code	dx1code	41	Dermatitis - unspecified
dx1code	dx1code	43	Diarrhea - acute
dx1code	dx1code	46	Dysentery
dx1code	dx1code	47	Dyspepsia / gastritis
dx1code	dx1code	48	Pustular Skin Infection
dx1code	dx1code	57	Folliculitis
dx1code	dx1code	62	Gastroenteritis
dx1code	dx1code	67	Glossitis
dx1code	dx1code	69	Headache - unspecified
dx1code	dx1code	71	Helminth infection
dx1code	dx1code	72	Hepatitis
dx1code	dx1code	74	Hepatosplenomegaly
dx1code	dx1code	77	Hernia - others (femoral, hiatal)
dx1code	dx1code	79	Herpes Simplex - orolabial
dx1code	dx1code	84	Hypoglycaemia
dx1code	dx1code	94	Lymphadenitis
dx1code	dx1code	NA	:::UNDEF:::
dx2code	dx2code	-9	Not Applicable
dx2code	dx2code	10	Arthritis
dx2code	dx2code	101	Measles
dx2code	dx2code	111	Bacterial skin infection
dx2code	dx2code	120	Otitis externa
dx2code	dx2code	121	Otitis media - nonsuppurative
dx2code	dx2code	122	Otitis media - suppurative
dx2code	dx2code	123	Pain
dx2code	dx2code	142	Pneumonia
dx2code	dx2code	143	Pneumonia – severe
dx2code	dx2code	145	Pruritis
dx2code	dx2code	164	Soft tissue injury
dx2code	dx2code	171	Tinea Capitis
dx2code	dx2code	172	Fungal skin infection
dx2code	dx2code	172	Skin Infection, Fungal
dx2code	dx2code	174	Tonsillitis
dx2code	dx2code	183	Upper respiratory tract infection (URTI)
dx2code	dx2code	184	Urinary tract infection
dx2code	dx2code	188	Wound
dx2code	dx2code	192	Candidiasis - vaginal
dx2code	dx2code	196	Visceral larva migrans
dx2code	dx2code	20	Cellulitis
dx2code	dx2code	202	Malaria
dx2code	dx2code	206	Viral Exanthem (Not otherwise Specified)
dx2code	dx2code	25	Common cold / flu
dx2code	dx2code	259	Trichomonas
dx2code	dx2code	263	Pelvic Inflammatory Disease
dx2code	dx2code	27	Conjunctivitis
dx2code	dx2code	3	Anaemia - general
dx2code	dx2code	332	Constipation
dx2code	dx2code	339	Measles-like illness
dx2code	dx2code	35	Dehydration
dx2code	dx2code	41	Dermatitis - unspecified
dx2code	dx2code	42	Diabetes mellitus
dx2code	dx2code	43	Diarrhea - acute
dx2code	dx2code	47	Dyspepsia / gastritis
dx2code	dx2code	62	Gastroenteritis
dx2code	dx2code	69	Headache - unspecified
dx2code	dx2code	71	Helminth infection
dx2code	dx2code	75	Hernia - inguinal
dx2code	dx2code	NA	:::UNDEF:::
dx3code	dx3code	-9	Not Applicable
dx3code	dx3code	171	Tinea Capitis
dx3code	dx3code	183	Upper respiratory tract infection (URTI)
dx3code	dx3code	27	Conjunctivitis
dx3code	dx3code	3	Anaemia - general
dx3code	dx3code	71	Helminth infection
dx3code	dx3code	NA	:::UNDEF:::
dx4code	dx4code	-9	Not Applicable
dx4code	dx4code	NA	:::UNDEF:::
dx5code	dx5code	-9	Not Applicable
dx5code	dx5code	NA	:::UNDEF:::
dx6code	dx6code	-9	Not Applicable
dx6code	dx6code	NA	:::UNDEF:::
dx7code	dx7code	-9	Not Applicable
dx7code	dx7code	NA	:::UNDEF:::
dx8code	dx8code	-9	Not Applicable
dx8code	dx8code	NA	:::UNDEF:::
enrolldate	enrolldate	na	:::UNDEF:::
enrolstatus	enrolstatus	enrolled in PRISM 1	Enrolled in PRISM 1
enrolstatus	enrolstatus	not enrolled in PRISM 1	Not enrolled in PRISM 1
falciparum	falciparum	NA	:::UNDEF:::
fatigue	fatigue	NA	:::UNDEF:::
fatigue	fatigue	cannot assess	Cannot assess
fduration	fduration	-9	:::UNDEF:::
fduration	fduration	na	:::UNDEF:::
febrile	febrile	0	No
febrile	febrile	1	Yes
febrile	febrile	NA	:::UNDEF:::
fedanoph1	fedanoph1	na	:::UNDEF:::
fedanoph2	fedanoph2	na	:::UNDEF:::
fedanoph3	fedanoph3	na	:::UNDEF:::
fedfunes1	fedfunes1	na	:::UNDEF:::
fedfunes2	fedfunes2	na	:::UNDEF:::
fedfunes3	fedfunes3	na	:::UNDEF:::
fedgamb1	fedgamb1	na	:::UNDEF:::
fedgamb2	fedgamb2	na	:::UNDEF:::
fedgamb3	fedgamb3	na	:::UNDEF:::
feedingmethod	feedingmethod	NA	:::UNDEF:::
fever	fever	NA	:::UNDEF:::
fmduration	fmduration	-9	:::UNDEF:::
fmduration	fmduration	na	:::UNDEF:::
gamdich	gamdich	0	No
gamdich	gamdich	1	Yes
gamdich	gamdich	9	Can't assess
gamdich	gamdich	NA	:::UNDEF:::
gametocytes	gametocytes	-9	:::UNDEF:::
gametocytes	gametocytes	na	:::UNDEF:::
gravidanoph1	gravidanoph1	na	:::UNDEF:::
gravidanoph2	gravidanoph2	na	:::UNDEF:::
gravidanoph3	gravidanoph3	na	:::UNDEF:::
gravidfenes1	gravidfenes1	na	:::UNDEF:::
gravidfenes2	gravidfenes2	na	:::UNDEF:::
gravidfenes3	gravidfenes3	na	:::UNDEF:::
gravidgambie1	gravidgambie1	na	:::UNDEF:::
gravidgambie2	gravidgambie2	na	:::UNDEF:::
gravidgambie3	gravidgambie3	na	:::UNDEF:::
gunableassess1	gunableassess1	na	:::UNDEF:::
gunableassess2	gunableassess2	na	:::UNDEF:::
gunableassess3	gunableassess3	na	:::UNDEF:::
hduration	hduration	-9	:::UNDEF:::
hduration	hduration	na	:::UNDEF:::
headache	headache	NA	:::UNDEF:::
headache	headache	cannot assess	Cannot assess
heartrate	heartrate	-9	:::UNDEF:::
heartrate	heartrate	na	:::UNDEF:::
height	height	-9	:::UNDEF:::
height	height	na	:::UNDEF:::
hemoglobin	hemoglobin	-9	:::UNDEF:::
hemoglobin	hemoglobin	na	:::UNDEF:::
hhmealscat	hhmealscat	2	2
hhmealscat	hhmealscat	3	3 or more
hhnumtcat	hhnumtcat	0	None
hhnumtcat	hhnumtcat	1	1
hhnumtcat	hhnumtcat	2	2
hhnumtcat	hhnumtcat	3	3
hhnumtcat	hhnumtcat	4	4 or more
hhstatus	hhstatus	household enrolled in PRISM 1 study	Enrolled
hhstatus	hhstatus	household not enrolled in PRISM 1 study	Not enrolled
hospitalized	hospitalized	1	Yes
hospitalized	hospitalized	na	:::UNDEF:::
hospdate	hospdate	na	:::UNDEF:::
incidentmalaria	incidentmalaria	0	No
incidentmalaria	incidentmalaria	1	Yes
itnlastnight	itnlastnight	na	:::UNDEF:::
jaundice	jaundice	NA	:::UNDEF:::
jaundice	jaundice	cannot assess	Cannot assess
jaundicec	jaundicec	NA	:::UNDEF:::
jduration	jduration	-9	:::UNDEF:::
jduration	jduration	na	:::UNDEF:::
jointpains	jointpains	NA	:::UNDEF:::
jointpains	jointpains	cannot assess	Cannot assess
labalgorithm	labalgorithm	1	4 mL EDTA for 2 aliquots plasma, 1 aliquot RBC pellet
labalgorithm	labalgorithm	10	2 mL EDTA + 10 mL EDTA + 3 mL heparin for hemocue, PBMCs, MACs, and membrane feeding
labalgorithm	labalgorithm	12	6 mL EDTA for hemocue, 2 aliquots plasma, 1 aliquot RBC pellet
labalgorithm	labalgorithm	13	4 mL EDTA + 3 mL heparin for hemocue, membrane feeding, 2 aliquots plasma, 1 aliquot RBC pellet
labalgorithm	labalgorithm	16	Missing
labalgorithm	labalgorithm	2	6 mL EDTA for 2 aliquots plasma, 1 aliquot RBC pellet
labalgorithm	labalgorithm	3	6 mL EDTA for MACs, 2 aliquots plasma, 1 aliquot RBC pellet
labalgorithm	labalgorithm	4	6 mL EDTA + 3 mL heparin for MACs and membrane feeding, 2 aliquots plasma, 1 aliquot RBC pellet
labalgorithm	labalgorithm	5	2 mL EDTA + 6 mL EDTA for hemocue and PBMCs
labalgorithm	labalgorithm	8	2 mL EDTA + 10 mL EDTA for hemocue and PBMCs
labalgorithm	labalgorithm	88	4 mL EDTA for hemocue, 2 aliquots plasma, 2 aliquots Buffy coat, 1 aliquot RBC pellet
labalgorithm	labalgorithm	9	2 mL EDTA + 10 mL EDTA for hemocue, PBMCs, and MACs
labalgorithm	labalgorithm	99	10 mL EDTA for hemocue, 2 aliquots plasma, 2 aliquots Buffy coat, 1 aliquot RBC pellet
labalgorithm	labalgorithm	na	:::UNDEF:::
lastdate	lastdate	na	:::UNDEF:::
leaking	leaking	0	No
leaking	leaking	1	Yes
leaking	leaking	NA	:::UNDEF:::
lethargy	lethargy	NA	:::UNDEF:::
lgdate1	lgdate1	na	:::UNDEF:::
lgdate2	lgdate2	na	:::UNDEF:::
llin	household_llin	na	:::UNDEF:::
llincat	llincat	0	None
llincat	llincat	1	1
llincat	llincat	2	2
llincat	llincat	3	3 or more
malaria	malaria	NA	:::UNDEF:::
malaria	malaria	complicated malaria < = 14 days since treatment with AL = Quinine or  IV artesunate	Quinine or IV artesunate - Complicated malaria and up to 14 days since treatment with artemether/lumefantrine
malaria	malaria	complicated malaria > 14 days since last episode = quinine or IV artesunate	Quinine or IV artesunate - Complicated malaria and more than 14 days since last episode
malaria	malaria	no malaria diagnosed today	Not applicable - no malaria diagnosed today
malaria	malaria	uncomplicated malaria > 14 days since last episode = AL	Artemether/lumefantrine - uncomplicated malaria and more than 14 days since last episode
malariacat	malariacat	0	Blood smear not indicated	1
malariacat	malariacat	1	Negative blood smear	2
malariacat	malariacat	2	Asymptomatic parasitemia	3
malariacat	malariacat	3	Malaria	4
malariacat	malariacat	na	:::UNDEF:::
malariae	malariae	NA	:::UNDEF:::
malariafuday	malariafuday	na	:::UNDEF:::
mduration	mduration	-9	:::UNDEF:::
mduration	mduration	na	:::UNDEF:::
med1code	med1code	-9	:::UNDEF:::
med1code	med1code	109	Nitrofurantoin 
med1code	med1code	11	Ampicillin 
med1code	med1code	110	Normal saline solution (0.90%)
med1code	med1code	113	ORS 
med1code	med1code	114	Paracetamol 
med1code	med1code	118	Prednisolone tablets (5 mg)
med1code	med1code	12	Ampiclox caps (500 mg)
med1code	med1code	126	Ringer's lactate solution 
med1code	med1code	129	Salbutamol tablets (4 mg)
med1code	med1code	13	Ampiclox syrup (250 mg/ 5 ml)
med1code	med1code	134	Tetracycline eye ointment 
med1code	med1code	141	Vitamin A caps (200000 iu)
med1code	med1code	18	Azithromycin 
med1code	med1code	182	Cephalexin syrup (125mg/5ml)
med1code	med1code	183	Artenum/Artemether (25mg)
med1code	med1code	185	Zinc gluconate 
med1code	med1code	19	Benzathine penicillin injection (2.4 mu)
med1code	med1code	199	Metronidazole syrup (200mg/5mL)
med1code	med1code	200	Clotrimazole Pessary (100 mg)
med1code	med1code	201	Omeprazole (20mg)
med1code	med1code	203	Piritex syrup 
med1code	med1code	21	Benzyl Penicillin injecion 
med1code	med1code	214	Ferrous sulfate/Folic acid 
med1code	med1code	233	Tenofovir/Lamivudine (TDF/3TC) (300/300)
med1code	med1code	237	Oracure gel 
med1code	med1code	241	ERHZ - ethambutol/rifampicin/isoniazid/pyrazinamide 
med1code	med1code	25	Betamethasone/neomycin eye drops 
med1code	med1code	253	Cefixime 
med1code	med1code	255	Artesunate 
med1code	med1code	26	Bisacodyl tablets (5 mg)
med1code	med1code	262	Atenolol 
med1code	med1code	27	Burnem cream 
med1code	med1code	284	Nifedipine 
med1code	med1code	29	Calamine lotion 
med1code	med1code	32	Ceftriaxone injection (1 g)
med1code	med1code	33	Cefuroxime 
med1code	med1code	34	Cetrizine tablets (10 mg)
med1code	med1code	36	Chloramphenicol eye/ear drops (1%)
med1code	med1code	37	Chloramphenicol injection 
med1code	med1code	42	Chlorpheniramine tablets (4 mg)
med1code	med1code	43	Ciprofloxacin tablets (500 mg)
med1code	med1code	46	Clotrimazole skin cream (1%)
med1code	med1code	50	Artemether-lumefantrine 
med1code	med1code	50	Coartem (Artemether-lumefantrine) 
med1code	med1code	56	Cough linctus 
med1code	med1code	59	Dexona eye/ear drops 
med1code	med1code	61	Dextrose solution (50%)
med1code	med1code	63	Diclofenac gel 
med1code	med1code	64	Diclofenac injection (75mg/2ml)
med1code	med1code	65	Diclofenac tablets (50 mg)
med1code	med1code	68	Diphenhydramine tablets 
med1code	med1code	71	Erythromycin tablets (250 mg)
med1code	med1code	74	Fluconazole caps (50, 100, 150 mg)
med1code	med1code	77	Gentamicin eye/ear drops 
med1code	med1code	8	Amoxicillin caps (250 mg)
med1code	med1code	82	Griseofulvin tablets (500 mg)
med1code	med1code	83	Haemoforte syrup 
med1code	med1code	85	Hydrocortisone injection 
med1code	med1code	88	Ibuprofen 
med1code	med1code	9	Amoxicillin syrup (125 mg/ 5 ml)
med1code	med1code	91	Lasix 
med1code	med1code	94	Magnesium triscilicate tablets (120 mg)
med1code	med1code	96	Mebendazole tablets (100 mg)
med1code	med1code	97	Metoclopramide tablets (10 mg)
med1code	med1code	99	Metronidazole tablets (200 mg)
med1code	med1code	NA	:::UNDEF:::
med2code	med2code	-9	:::UNDEF:::
med2code	med2code	110	Normal saline solution (0.90%)
med2code	med2code	113	ORS 
med2code	med2code	114	Paracetamol 
med2code	med2code	118	Prednisolone tablets (5 mg)
med2code	med2code	12	Ampiclox caps (500 mg)
med2code	med2code	124	Quinine injection (300 mg/ 2 ml)
med2code	med2code	126	Ringer's lactate solution 
med2code	med2code	13	Ampiclox syrup (250 mg/ 5 ml)
med2code	med2code	134	Tetracycline eye ointment 
med2code	med2code	14	Vitamin C / Ascorbic Acid tablets (300 mg)
med2code	med2code	141	Vitamin A caps (200000 iu)
med2code	med2code	142	Vitamin B complex 
med2code	med2code	18	Azithromycin 
med2code	med2code	182	Cephalexin syrup (125mg/5ml)
med2code	med2code	185	Zinc gluconate 
med2code	med2code	199	Metronidazole syrup (200mg/5mL)
med2code	med2code	200	Clotrimazole Pessary (100 mg)
med2code	med2code	201	Omeprazole (20mg)
med2code	med2code	203	Piritex syrup 
med2code	med2code	205	Magnesium sulfate, injectable 
med2code	med2code	207	Bromocriptine 
med2code	med2code	21	Benzyl Penicillin injecion 
med2code	med2code	214	Ferrous sulfate/Folic acid 
med2code	med2code	217	Doxycycline 
med2code	med2code	22	Betamethasone  skin cream (1%)
med2code	med2code	253	Cefixime 
med2code	med2code	258	Aprinox (Bendrofluazide) 
med2code	med2code	26	Bisacodyl tablets (5 mg)
med2code	med2code	260	Tramadol 
med2code	med2code	29	Calamine lotion 
med2code	med2code	32	Ceftriaxone injection (1 g)
med2code	med2code	33	Cefuroxime 
med2code	med2code	34	Cetrizine tablets (10 mg)
med2code	med2code	42	Chlorpheniramine tablets (4 mg)
med2code	med2code	43	Ciprofloxacin tablets (500 mg)
med2code	med2code	45	Clotrimazole mouth paint 
med2code	med2code	46	Clotrimazole skin cream (1%)
med2code	med2code	50	Artemether-lumefantrine 
med2code	med2code	50	Coartem (Artemether-lumefantrine) 
med2code	med2code	52	Co-trimoxazole 
med2code	med2code	52	Septrin 
med2code	med2code	52	Trimethoprim-Sulfamethoxazole (TS) 
med2code	med2code	55	Cough expectorant 
med2code	med2code	56	Cough linctus 
med2code	med2code	58	Dexamethasone 
med2code	med2code	59	Dexona eye/ear drops 
med2code	med2code	64	Diclofenac injection (75mg/2ml)
med2code	med2code	65	Diclofenac tablets (50 mg)
med2code	med2code	71	Erythromycin tablets (250 mg)
med2code	med2code	74	Fluconazole caps (50, 100, 150 mg)
med2code	med2code	77	Gentamicin eye/ear drops 
med2code	med2code	78	Gentamicin injection (80 mg/ 2 ml)
med2code	med2code	8	Amoxicillin caps (250 mg)
med2code	med2code	82	Griseofulvin tablets (500 mg)
med2code	med2code	83	Haemoforte syrup 
med2code	med2code	85	Hydrocortisone injection 
med2code	med2code	88	Ibuprofen 
med2code	med2code	89	Imipramine tablets (50 mg)
med2code	med2code	9	Amoxicillin syrup (125 mg/ 5 ml)
med2code	med2code	90	Ketoconazole 
med2code	med2code	93	Magnesium triscilicate suspension 
med2code	med2code	94	Magnesium triscilicate tablets (120 mg)
med2code	med2code	96	Mebendazole tablets (100 mg)
med2code	med2code	97	Metoclopramide tablets (10 mg)
med2code	med2code	98	Metronidazole injection 
med2code	med2code	99	Metronidazole tablets (200 mg)
med2code	med2code	NA	:::UNDEF:::
med3code	med3code	-9	:::UNDEF:::
med3code	med3code	101	Multivitamin 
med3code	med3code	110	Normal saline solution (0.90%)
med3code	med3code	113	ORS 
med3code	med3code	114	Paracetamol 
med3code	med3code	118	Prednisolone tablets (5 mg)
med3code	med3code	12	Ampiclox caps (500 mg)
med3code	med3code	124	Quinine injection (300 mg/ 2 ml)
med3code	med3code	126	Ringer's lactate solution 
med3code	med3code	13	Ampiclox syrup (250 mg/ 5 ml)
med3code	med3code	141	Vitamin A caps (200000 iu)
med3code	med3code	142	Vitamin B complex 
med3code	med3code	185	Zinc gluconate 
med3code	med3code	199	Metronidazole syrup (200mg/5mL)
med3code	med3code	200	Clotrimazole Pessary (100 mg)
med3code	med3code	201	Omeprazole (20mg)
med3code	med3code	203	Piritex syrup 
med3code	med3code	205	Magnesium sulfate, injectable 
med3code	med3code	214	Ferrous sulfate/Folic acid 
med3code	med3code	217	Doxycycline 
med3code	med3code	26	Bisacodyl tablets (5 mg)
med3code	med3code	27	Burnem cream 
med3code	med3code	32	Ceftriaxone injection (1 g)
med3code	med3code	34	Cetrizine tablets (10 mg)
med3code	med3code	42	Chlorpheniramine tablets (4 mg)
med3code	med3code	43	Ciprofloxacin tablets (500 mg)
med3code	med3code	46	Clotrimazole skin cream (1%)
med3code	med3code	56	Cough linctus 
med3code	med3code	58	Dexamethasone
med3code	med3code	64	Diclofenac injection (75mg/2ml)
med3code	med3code	65	Diclofenac tablets (50 mg)
med3code	med3code	77	Gentamicin eye/ear drops 
med3code	med3code	78	Gentamicin injection (80 mg/ 2 ml)
med3code	med3code	8	Amoxicillin caps (250 mg)
med3code	med3code	82	Griseofulvin tablets (500 mg)
med3code	med3code	85	Hydrocortisone injection 
med3code	med3code	88	Ibuprofen 
med3code	med3code	9	Amoxicillin syrup (125 mg/ 5 ml)
med3code	med3code	94	Magnesium triscilicate tablets (120 mg)
med3code	med3code	96	Mebendazole tablets (100 mg)
med3code	med3code	99	Metronidazole tablets (200 mg)
med3code	med3code	NA	:::UNDEF:::
med4code	med4code	-9	:::UNDEF:::
med4code	med4code	110	Normal saline solution (0.90%)
med4code	med4code	113	ORS 
med4code	med4code	114	Paracetamol 
med4code	med4code	118	Prednisolone tablets (5 mg)
med4code	med4code	12	Ampiclox caps (500 mg)
med4code	med4code	121	Promethazine tablets (25 mg)
med4code	med4code	13	Ampiclox syrup (250 mg/ 5 ml)
med4code	med4code	185	Zinc gluconate 
med4code	med4code	201	Omeprazole (20mg)
med4code	med4code	214	Ferrous sulfate/Folic acid 
med4code	med4code	32	Ceftriaxone injection (1 g)
med4code	med4code	42	Chlorpheniramine tablets (4 mg)
med4code	med4code	46	Clotrimazole skin cream (1%)
med4code	med4code	50	Artemether-lumefantrine 
med4code	med4code	50	Coartem (Artemether-lumefantrine) 
med4code	med4code	56	Cough linctus 
med4code	med4code	60	Dextrose solution (5%)
med4code	med4code	75	Folic Acid tablets (1 mg)
med4code	med4code	77	Gentamicin eye/ear drops 
med4code	med4code	9	Amoxicillin syrup (125 mg/ 5 ml)
med4code	med4code	96	Mebendazole tablets (100 mg)
med4code	med4code	99	Metronidazole tablets (200 mg)
med4code	med4code	NA	:::UNDEF:::
med5code	med5code	-9	:::UNDEF:::
med5code	med5code	110	Normal saline solution (0.90%)
med5code	med5code	114	Paracetamol 
med5code	med5code	12	Ampiclox caps (500 mg)
med5code	med5code	13	Ampiclox syrup (250 mg/ 5 ml)
med5code	med5code	214	Ferrous sulfate/Folic acid
med5code	med5code	43	Ciprofloxacin tablets (500 mg)
med5code	med5code	60	Dextrose solution (5%)
med5code	med5code	78	Gentamicin injection (80 mg/ 2 ml)
med5code	med5code	8	Amoxicillin caps (250 mg)
med5code	med5code	88	Ibuprofen 
med5code	med5code	99	Metronidazole tablets (200 mg)
med5code	med5code	NA	:::UNDEF:::
med6code	med6code	-9	:::UNDEF:::
med6code	med6code	99	Metronidazole tablets (200 mg) 
med6code	med6code	114	Paracetamol 
med6code	med6code	NA	:::UNDEF:::
med7code	med7code	-9	:::UNDEF:::
med7code	med7code	NA	:::UNDEF:::
med8code	med8code	-9	:::UNDEF:::
med8code	med8code	NA	:::UNDEF:::
media	media	NA	:::UNDEF:::
mfdone	mfdone	0	No
mfdone	mfdone	1	Yes
mfdone	mfdone	9	Can't assess
mfdone	mfdone	NA	:::UNDEF:::
multipleconv	multipleconv	NA	:::UNDEF:::
muscleaches	muscleaches	NA	:::UNDEF:::
muscleaches	muscleaches	cannot assess	Cannot assess
notfeeding	notfeeding	0	No
notfeeding	notfeeding	1	Yes
notfeeding	notfeeding	9	Can't assess
notfeeding	notfeeding	NA	:::UNDEF:::
nulliparous1	nulliparous1	na	:::UNDEF:::
nulliparous2	nulliparous2	na	:::UNDEF:::
nulliparous3	nulliparous3	na	:::UNDEF:::
numalandcat	numalandcat	1	1. None
numalandcat	numalandcat	2	2. <=1
numalandcat	numalandcat	3	3. 1-3
numalandcat	numalandcat	4	4. >3
numdissected	numdissected	na	:::UNDEF:::
numfed	numfed	na	:::UNDEF:::
