variable,dataset,keepDiscard,notesforDL,type,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,Flag,colOrder_huas,colOrder_lite,colOrder_kenya,notesForDL,notesForProvider,gems1_huas label
care1_op,gems1_huas_data.sas7bdat,,,num,E33.1: Health care utilization. What is your opinion of the care your child received at sentinel health center 1. Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=Excellent, 2=Good, 3=Fair, 4=Poor, NA=NA",,,,,151,NA,NA,,response value 0 not in codebook,33. Opinion of care received at center 1
care2_op,gems1_huas_data.sas7bdat,,,num,E33.3: Health care utilization. What is your opinion of the care your child received at sentinel health center 2. Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=Excellent, 2=Good, 3=Fair, 4=Poor, NA=NA",,,,,153,NA,NA,,response value 0 not in codebook,33. Opinion of care received at center 2
care3_op,gems1_huas_data.sas7bdat,,,num,E33.5: Health care utilization. What is your opinion of the care your child received at sentinel health center 3. Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=Excellent, 2=Good, 3=Fair, 4=Poor, NA=NA",,,,,155,NA,NA,,response value 0 not in codebook,33. Opinion of care received at center 3
carerec1,gems1_huas_data.sas7bdat,,,num,E33: Health care utilization. Health center 1 code (mention sentinel health center listed in E31.3). Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,,,,,,150,NA,NA,,,33. Health center code 1
carerec2,gems1_huas_data.sas7bdat,,,num,E33.2: Health care utilization. Health center 2 code (mention sentinel health center listed in E31.4). Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,,,,,,152,NA,NA,,,33. Health center code 2
carerec3,gems1_huas_data.sas7bdat,,,num,E33.4: Health care utilization. Health center 3 code (mention sentinel health center listed in E31.5). Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,,,,,,154,NA,NA,,,33. Health center code 3
careseek,gems1_huas_data.sas7bdat,,,num,,"0, 1",,,,,414,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
childid,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,1. Child ID.,,,,,,2,2,6,,,Child ID
chldget_blood,gems1_huas_data.sas7bdat,,,num,H55: Attitudes about diarrheal illness. Multifilter: Do you worry that your child will get one of the following before his/her 5th birthday? Bloody diarrhea.,"1=No, 2=Yes, 3=Don't know, NA=NA",,,,,321,NA,NA,,,55. Child getting sick/Bloody diarrhea
chldget_loose,gems1_huas_data.sas7bdat,,,num,H55: Attitudes about diarrheal illness. Multifilter: Do you worry that your child will get one of the following before his/her 5th birthday? Simple loose/watery diarrhea.,"1=No, 2=Yes, 3=Don't know, NA=NA",,,,,320,NA,NA,,,55. Child getting sick/Simple loose
chldget_rice,gems1_huas_data.sas7bdat,,,num,H55: Attitudes about diarrheal illness. Multifilter: Do you worry that your child will get one of the following before his/her 5th birthday? Rice watery/cholera-like illness.,"1=No, 2=Yes, 3=Don't know, NA=NA",,,,,322,NA,NA,,,55. Child getting sick/Rice watery
comm_bld,gems1_huas_data.sas7bdat,Discard,,num,,"0, 1",,,,,429,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
comm_rwd,gems1_huas_data.sas7bdat,Discard,,num,,"0, 1",,,,,428,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
comm_slwd,gems1_huas_data.sas7bdat,Discard,,num,,"0, 1",,,,,427,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
comment,gems1_huas_data.sas7bdat,Discard,,chr,,", Day 15",,,,,362,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
common_drh,gems1_huas_data.sas7bdat,,,num,H53: Attitudes about diarrheal illness. What is the most common diarrheal illness affecting children younger than 60 months of age in your community. Select only 1,"1=Simple loose/watery diarrhea, 2=Rice watery/cholera-like illness, 3=Don't know, 4=Bloody diarrhea, 5=Other, specify, NA=NA",,,,,315,NA,NA,,,53. Most common illness affecting kids
common_spec,gems1_huas_data.sas7bdat,Discard,,chr,"H53.1: Attitudes about diarrheal illness. Other, specify.",,,,,,316,NA,NA,,,53. Most common illness kids/Specify
consent,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"A03: Eligibility information. Was consent given by the parent, primary caretaker, or guardian. If ""refused"" or ""not available after 3 attempts, stop here","1=Yes, 2=Refused, 3=Not available after 3 attempts",,,,,13,10,11,,,3. Was consent given by parent
ctr1_consult,gems1_huas_data.sas7bdat,,,num,"F42.6: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation at hospital/center of 1st choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,230,NA,NA,,,42f. Expenses: Center one/Consultation
ctr1_diag,gems1_huas_data.sas7bdat,,,num,"F42.6: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics at hospital/center of 1st choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,232,NA,NA,,,42f. Expenses: Center one/Diagnostics
ctr1_drug,gems1_huas_data.sas7bdat,,,num,"F42.6: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs at hospital/center of 1st choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,231,NA,NA,,,42f. Expenses: Center one/Drugs
ctr1_othr,gems1_huas_data.sas7bdat,,,num,"F42.6: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges at hospital/center of 1st choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,234,NA,NA,,,42f. Expenses: Center one/Other
ctr1_total,gems1_huas_data.sas7bdat,,,num,"F42.6: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses at hospital/center of 1st choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns.",,,,,,235,NA,NA,,,42f. Expenses: Center one/Total
ctr1_trnsprt,gems1_huas_data.sas7bdat,,,num,"F42.6: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from hospital/center of 1st choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,233,NA,NA,,,42f. Expenses: Center one/Transport
ctr2_consult,gems1_huas_data.sas7bdat,,,num,"F42.7: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation at hospital/center of 2nd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,236,NA,NA,,,42g. Expenses: Center two/Consultation
ctr2_diag,gems1_huas_data.sas7bdat,,,num,"F42.7: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics at hospital/center of 2nd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,238,NA,NA,,,42g. Expenses: Center two/Diagnostics
ctr2_drug,gems1_huas_data.sas7bdat,,,num,"F42.7: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs at hospital/center of 2nd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,237,NA,NA,,,42g. Expenses: Center two/Drugs
ctr2_othr,gems1_huas_data.sas7bdat,,,num,"F42.7: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges at hospital/center of 2nd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,240,NA,NA,,,42g. Expenses: Center two/Other
ctr2_total,gems1_huas_data.sas7bdat,,,num,"F42.7: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses at hospital/center of 2nd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns.",,,,,,241,NA,NA,,,42g. Expenses: Center two/Total
ctr2_trnsprt,gems1_huas_data.sas7bdat,,,num,"F42.7: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from hospital/center of 2nd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,239,NA,NA,,,42g. Expenses: Center two/Transport
ctr3_consult,gems1_huas_data.sas7bdat,,,num,"F42.8: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation at hospital/center of 3rd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,242,NA,NA,,,42h. Expenses: Center three/Consultation
ctr3_diag,gems1_huas_data.sas7bdat,,,num,"F42.8: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics at hospital/center of 3rd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,244,NA,NA,,,42h. Expenses: Center three/Diagnostics
ctr3_drug,gems1_huas_data.sas7bdat,,,num,"F42.8: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs at hospital/center of 3rd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,243,NA,NA,,,42h. Expenses: Center three/Drugs
ctr3_othr,gems1_huas_data.sas7bdat,,,num,"F42.8: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges at hospital/center of 3rd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,247,NA,NA,,,42h. Expenses: Center three/Other
ctr3_total,gems1_huas_data.sas7bdat,,,num,"F42.8: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses at hospital/center of 3rd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns.",,,,,,248,NA,NA,,,42h. Expenses: Center three/Total
ctr3_trnsprt,gems1_huas_data.sas7bdat,,,num,"F42.8: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from hospital/center of 3rd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,245,NA,NA,,,42h. Expenses: Center three/Transport
dad_live,gems1_huas_data.sas7bdat,,,num,B10: Household information. Where does the child's father live.,"1=Lives in household, 2=Abroad, 3=Died, 4=Lives outside of household, 5=Whereabouts unknown",,,,,36,NA,NA,,,10. Where does father live
dayseek,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E32: Health care utilization. On what day of the child's diarrhea did you seek care t the sentinel hospital/health center. Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,,,,,,149,61,60,,,32. What day of diarrhea you sought care
dayslost_care,gems1_huas_data.sas7bdat,,,num,"F46: Health care expenses. How much time have you spent taking care of the child when otherwise you would have been doing productive unpaid activities (e.g. housework, taking care of other children, farming, studying, or attending school). Only complete part F if the answer to E29 is ""yes"". 1/2 morning or afternoon=0.25 days; morning or afternoon=0.5days; nything less than half a morning or afternoon=0 days",,,,,,271,NA,NA,,,46. Time lost for unpaid activities
dayslost_othrcre,gems1_huas_data.sas7bdat,,,num,"F47: Health care expenses. How much time have other caregivers spent taking care of the child when otherwise they would have been doing productive unpaid activities (e.g. housework, taking care of other children, farming, studying, or attending school). Only complete part F if the answer to E29 is ""yes"". 1/2 morning or afternoon=0.25 days; morning or afternoon=0.5days; nything less than half a morning or afternoon=0 days",,,,,,272,NA,NA,,,47. Other caregivers time loss/unpaid
decid_spec,gems1_huas_data.sas7bdat,Discard,,chr,"C24.1: Parents perception of illness and use of health care facility. Specify if who_decid=10 (other, specify).","""""=NA, ADOPTIVE FATHER=Adoptive father, ANYONE CAN DECIDE=Anyone can decide, BOTH PARENTS=Both parents, CO-WIFE=Co-wife, COUSIN=Cousin, GRAND PRER DE PAMERE=Great grandmother, GREAT GRANDMOTHER=Great grandmother, HUSBAND'S AUNT=Great Aunt, MOTHER IN LAW=Gra",,,,,98,NA,NA,,,24. Other relation/Specify
deh_coma,gems1_huas_data.sas7bdat,,,num,C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Coma/loss of conciousness. Select all that apply.,"0=No, 1=Yes",,,,,63,NA,NA,,,18. Child dehydrated/Coma
deh_decurin,gems1_huas_data.sas7bdat,,,num,C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Decreased urination. Select all that apply.,"0=No, 1=Yes",,,,,58,NA,NA,,,18. Child dehydrated/Decreased urination
deh_dk,gems1_huas_data.sas7bdat,,,num,C18.2: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Don't know. Select all that apply.,"0=No, 1=Yes",,,,,66,NA,NA,,,18. Child dehydrated/Don't know
deh_dry,gems1_huas_data.sas7bdat,,,num,C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Dry mouth. Select all that apply.,"0=No, 1=Yes",,,,,57,NA,NA,,,18. Child dehydrated/Dry mouth
deh_lethrgy,gems1_huas_data.sas7bdat,,,num,C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Lethargy. Select all that apply.,"0=No, 1=Yes",,,,,62,NA,NA,,,18. Child dehydrated/Lethargy
deh_none,gems1_huas_data.sas7bdat,,,num,C18.3: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  None of the above. Select all that apply.,"0=No, 1=Yes",,,,,65,NA,NA,,,18. Child dehyrated/None of the above
deh_othr,gems1_huas_data.sas7bdat,,,num,"C18.1: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Other, specify. Select all that apply.","0=No, 1=Yes",,,,,60,NA,NA,,,18. Child dehydrated/Other
deh_sunkeyes,gems1_huas_data.sas7bdat,,,num,C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Sunken eyes. Select all that apply.,"0=No, 1=Yes",,,,,59,NA,NA,,,18. Child dehydrated/Sunken eyes
deh_thirst,gems1_huas_data.sas7bdat,,,num,C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Thirsty. Select all that apply.,"0=No, 1=Yes",,,,,64,NA,NA,,,18. Child dehydrated/Thirsty
deh_wrnkskin,gems1_huas_data.sas7bdat,,,num,C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Wrinkled skin. Select all that apply.,"0=No, 1=Yes",,,,,61,NA,NA,,,18. Child dehydrated/Wrinkled skin
dehydr_spec,gems1_huas_data.sas7bdat,,,chr,"C18.4: Parents perception of illness and use of health care facility. Specify if deh_other=1 (other, specify). Select all that apply.",,,,,,67,NA,NA,,,18. Specify other things looked for
dfseq1,gems1_huas_data.sas7bdat,Discard,,num,,1,,,,,10,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Sequence Number
dfseq10,gems1_huas_data.sas7bdat,Discard,,num,,1,,,,,257,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Sequence Number
dfseq11,gems1_huas_data.sas7bdat,Discard,,num,,1,,,,,275,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Sequence Number
dfseq12,gems1_huas_data.sas7bdat,Discard,,num,,1,,,,,308,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Sequence Number
dfseq13,gems1_huas_data.sas7bdat,Discard,,num,,1,,,,,328,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Sequence Number
dfseq14,gems1_huas_data.sas7bdat,Discard,,num,,1,,,,,348,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Sequence Number
dfseq2,gems1_huas_data.sas7bdat,Discard,,num,,1,,,,,32,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Sequence Number
dfseq3,gems1_huas_data.sas7bdat,Discard,,num,,1,,,,,46,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Sequence Number
dfseq4,gems1_huas_data.sas7bdat,Discard,,num,,1,,,,,86,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Sequence Number
dfseq5,gems1_huas_data.sas7bdat,Discard,,num,,1,,,,,103,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Sequence Number
dfseq6,gems1_huas_data.sas7bdat,Discard,,num,,1,,,,,133,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Sequence Number
dfseq7,gems1_huas_data.sas7bdat,Discard,,num,,1,,,,,158,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Sequence Number
dfseq8,gems1_huas_data.sas7bdat,Discard,,num,,1,,,,,183,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Sequence Number
dfseq9,gems1_huas_data.sas7bdat,Discard,,num,,1,,,,,199,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Sequence Number
dfstatus1,gems1_huas_data.sas7bdat,Discard,,num,,1,,,,,8,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Record Status
dfstatus10,gems1_huas_data.sas7bdat,Discard,,num,,1,,,,,255,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Record Status
dfstatus11,gems1_huas_data.sas7bdat,Discard,,num,,1,,,,,273,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Record Status
dfstatus12,gems1_huas_data.sas7bdat,Discard,,num,,1,,,,,306,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Record Status
dfstatus13,gems1_huas_data.sas7bdat,Discard,,num,,1,,,,,326,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Record Status
dfstatus14,gems1_huas_data.sas7bdat,Discard,,num,,1,,,,,346,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Record Status
dfstatus2,gems1_huas_data.sas7bdat,Discard,,num,,1,,,,,30,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Record Status
dfstatus3,gems1_huas_data.sas7bdat,Discard,,num,,1,,,,,44,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Record Status
dfstatus4,gems1_huas_data.sas7bdat,Discard,,num,,1,,,,,84,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Record Status
dfstatus5,gems1_huas_data.sas7bdat,Discard,,num,,1,,,,,101,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Record Status
dfstatus6,gems1_huas_data.sas7bdat,Discard,,num,,1,,,,,131,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Record Status
dfstatus7,gems1_huas_data.sas7bdat,Discard,,num,,1,,,,,156,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Record Status
dfstatus8,gems1_huas_data.sas7bdat,Discard,,num,,1,,,,,181,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Record Status
dfstatus9,gems1_huas_data.sas7bdat,Discard,,num,,1,,,,,197,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Record Status
dfvalid1,gems1_huas_data.sas7bdat,Discard,,num,,5,,,,,9,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Validation Level
dfvalid10,gems1_huas_data.sas7bdat,Discard,,num,,5,,,,,256,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Validation Level
dfvalid11,gems1_huas_data.sas7bdat,Discard,,num,,5,,,,,274,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Validation Level
dfvalid12,gems1_huas_data.sas7bdat,Discard,,num,,5,,,,,307,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Validation Level
dfvalid13,gems1_huas_data.sas7bdat,Discard,,num,,5,,,,,327,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Validation Level
dfvalid14,gems1_huas_data.sas7bdat,Discard,,num,,5,,,,,347,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Validation Level
dfvalid2,gems1_huas_data.sas7bdat,Discard,,num,,5,,,,,31,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Validation Level
dfvalid3,gems1_huas_data.sas7bdat,Discard,,num,,5,,,,,45,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Validation Level
dfvalid4,gems1_huas_data.sas7bdat,Discard,,num,,5,,,,,85,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Validation Level
dfvalid5,gems1_huas_data.sas7bdat,Discard,,num,,5,,,,,102,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Validation Level
dfvalid6,gems1_huas_data.sas7bdat,Discard,,num,,5,,,,,132,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Validation Level
dfvalid7,gems1_huas_data.sas7bdat,Discard,,num,,5,,,,,157,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Validation Level
dfvalid8,gems1_huas_data.sas7bdat,Discard,,num,,5,,,,,182,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Validation Level
dfvalid9,gems1_huas_data.sas7bdat,Discard,,num,,5,,,,,198,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),DataFax Validation Level
