codebookOrder,overallOrder,order,variable,dataset,label,IRI,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,notesForOnt,JZ cmments,
155,34,,house_none,gems1_huas_data.sas7bdat,None of the above ,http://purl.obolibrary.org/obo/EUPATH_0015011,,,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,B17.1: Household information. Multifilter: Does your house have:  None of the above. Must be functioning. Select all that apply.,"0=No, 1=Yes, NA=NA",,,
,35,,,,Parent perception of signs of dehydration,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,,,C18 Category,,
57,36,,deh_coma,gems1_huas_data.sas7bdat,Coma/loss of consciousness,,,,Parent perception of signs of dehydration,,C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Coma/loss of conciousness. Select all that apply.,"0=No, 1=Yes",Multifilter,,
58,37,,deh_decurin,gems1_huas_data.sas7bdat,Decreased urination,,,,Parent perception of signs of dehydration,,C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Decreased urination. Select all that apply.,"0=No, 1=Yes",Multifilter,,
60,38,,deh_dry,gems1_huas_data.sas7bdat,Dry mouth,,,,Parent perception of signs of dehydration,,C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Dry mouth. Select all that apply.,"0=No, 1=Yes",Multifilter,,
61,39,,deh_lethrgy,gems1_huas_data.sas7bdat,Lethargy,,,,Parent perception of signs of dehydration,,C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Lethargy. Select all that apply.,"0=No, 1=Yes",Multifilter,,
64,40,,deh_sunkeyes,gems1_huas_data.sas7bdat,Sunken eyes,,,,Parent perception of signs of dehydration,,C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Sunken eyes. Select all that apply.,"0=No, 1=Yes",Multifilter,,
65,41,,deh_thirst,gems1_huas_data.sas7bdat,Thirsty,,,,Parent perception of signs of dehydration,,C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Thirsty. Select all that apply.,"0=No, 1=Yes",Multifilter,,
66,42,,deh_wrnkskin,gems1_huas_data.sas7bdat,Wrinkled skin,,,,Parent perception of signs of dehydration,,C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Wrinkled skin. Select all that apply.,"0=No, 1=Yes",Multifilter,,
63,43,,deh_othr,gems1_huas_data.sas7bdat,Other,,,,Parent perception of signs of dehydration,,"C18.1: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Other, specify. Select all that apply.","0=No, 1=Yes",Multifilter,,
59,44,,deh_dk,gems1_huas_data.sas7bdat,Don't know,,,,Parent perception of signs of dehydration,,C18.2: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Don't know. Select all that apply.,"0=No, 1=Yes",Multifilter,,
62,45,,deh_none,gems1_huas_data.sas7bdat,None of the above ,,,,Parent perception of signs of dehydration,,C18.3: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  None of the above. Select all that apply.,"0=No, 1=Yes",Multifilter,,
,46,,,,Parent perception diarrhea types resulting in serious harm or death,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,,,C19 Category,,
281,47,,sd_lrgperday,gems1_huas_data.sas7bdat,Large amount of stools per day,,,,Parent perception diarrhea types resulting in serious harm or death,,C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  A large number or amount of stools per day. Select all that apply.,"0=No, 1=Yes, NA=NA",Multifilter,,
277,48,,sd_blood,gems1_huas_data.sas7bdat,Blood in stool,,,,Parent perception diarrhea types resulting in serious harm or death,,C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Blood in stool. Select all that apply.,"0=No, 1=Yes, NA=NA",Multifilter,,
284,49,,sd_vomit,gems1_huas_data.sas7bdat,Diarrhea and vomiting,,,,Parent perception diarrhea types resulting in serious harm or death,,C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Diarrhea and vomiting. Select all that apply.,"0=No, 1=Yes, NA=NA",Multifilter,,
280,50,,sd_fever,gems1_huas_data.sas7bdat,Fever associated with diarrhea,,,,Parent perception diarrhea types resulting in serious harm or death,,C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Fever associated with diarrhea. Select all that apply.,"0=No, 1=Yes, NA=NA",Multifilter,,
282,51,,sd_mucus,gems1_huas_data.sas7bdat,Mucus/pus in stool,,,,Parent perception diarrhea types resulting in serious harm or death,,C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Mucus/pus in stool. Select all that apply.,"0=No, 1=Yes, NA=NA",Multifilter,,
278,52,,sd_dehydr,gems1_huas_data.sas7bdat,Presence of dehydration,,,,Parent perception diarrhea types resulting in serious harm or death,,C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Presence of dehydration. Select all that apply.,"0=No, 1=Yes, NA=NA",Multifilter,,
283,53,,sd_rice,gems1_huas_data.sas7bdat,Rice watery stool,,,,Parent perception diarrhea types resulting in serious harm or death,,C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Rice watery stool. Select all that apply.,"0=No, 1=Yes, NA=NA",Multifilter,,
279,54,,sd_dk,gems1_huas_data.sas7bdat,Don't know,,,,Parent perception diarrhea types resulting in serious harm or death,,C19.1: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Don't know. Select all that apply.,"0=No, 1=Yes, NA=NA",Multifilter,,
127,55,,hlthctr1,gems1_huas_data.sas7bdat,First choice health center when child sick with diarrhea,,,,Parent perception of using health care facility,,"C20.1: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of first choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr1=090",,,,
128,56,,hlthctr2,gems1_huas_data.sas7bdat,Second choice health center when child sick with diarrhea,,,,Parent perception of using health care facility,,"C20.3: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of second choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr2=090",,,,
129,57,,hlthctr3,gems1_huas_data.sas7bdat,Third choice health center when child sick with diarrhea,,,,Parent perception of using health care facility,,"C20.5: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of third choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr3=090",,,,
305,58,,trnsport,gems1_huas_data.sas7bdat,Transport to first choice health center,,,,Parent perception of using health care facility,,C21: Parents perception of illness and use of health care facility. How do you/would you usually get to the health center of first choice.,"0=NOT IN CODEBOOK, 1=Walk, 2=Commercial transport, 3=Personal transport, 4=Combination of the above, NA=NA",,,
306,59,,trnsport_time,gems1_huas_data.sas7bdat,Transport time to first choice health center,,,,Parent perception of using health care facility,,C22: Parents perception of illness and use of health care facility. How long does/would it take to get to your center of first choice (using the transport method indicated in trnsport).,"0=NOT IN CODEBOOK, 1=Less than 15 minutes, 2=15 minutes to 30 minutes, 3=30 minutes to 1 hour, 4=1 hour to 4 hours, 5=More than 4 hours, 6=Don't know, NA=NA",,,
,60,,,,Barriers to physical access to care,,,,Parent perception of using health care facility,,,,C23 Category,,
74,61,,diff_cost,gems1_huas_data.sas7bdat,Costs too much money,,,,Barriers to physical access to care,,C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Costs too much money. Select all that apply.,"0=No, 1=Yes",Multifilter,,
75,62,,diff_flood,gems1_huas_data.sas7bdat,Flood,,,,Barriers to physical access to care,,C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Flood. Select all that apply.,"0=No, 1=Yes",Multifilter,,
79,63,,diff_rain,gems1_huas_data.sas7bdat,Heavy rain,,,,Barriers to physical access to care,,C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Heavy rain. Select all that apply.,"0=No, 1=Yes",Multifilter,,
73,64,,diff_chldcare,gems1_huas_data.sas7bdat,Lack of childcare,,,,Barriers to physical access to care,,C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Lack of childcare for other children. Select all that apply.,"0=No, 1=Yes, NA=NA",Multifilter,,
82,65,,diff_trnsprt,gems1_huas_data.sas7bdat,Lack of transport,,,,Barriers to physical access to care,,C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Lack of transport. Select all that apply.,"0=No, 1=Yes",,,
78,66,,diff_politic,gems1_huas_data.sas7bdat,Political unrest,,,,Barriers to physical access to care,,C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Political unrest. Select all that apply.,"0=No, 1=Yes",Multifilter,,
80,67,,diff_reloc,gems1_huas_data.sas7bdat,Temporary relocation,,,,Barriers to physical access to care,,C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Temporary relocation. Select all that apply.,"0=No, 1=Yes",Multifilter,,
77,68,,diff_othr,gems1_huas_data.sas7bdat,Other,,,,Barriers to physical access to care,,"C23.1: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Other, specify. Select all that apply.","0=No, 1=Yes",Multifilter,,
76,69,,diff_noprob,gems1_huas_data.sas7bdat,Never a problem,,,,Barriers to physical access to care,,C23.2: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Never a problem. Select all that apply.,"0=No, 1=Yes, NA=NA",Multifilter,,
338,70,,who_decid,gems1_huas_data.sas7bdat,Who decides whether the child should go to a health center,,,,Parent perception of using health care facility,,"C24: Parents perception of illness and use of health care facility. If the child is sick, who decides whether the child should go to a health center. Choose only one response.","1=Mother, 10=Other relation by blood or marriage, specify, 2=Father, 3=Sister, 4=Brother, 5=Grandmother, 6=Grandfather, 7=Aunt, 8=Uncle, 9=No relation, NA=NA",,,
107,71,,drh2wks,gems1_huas_data.sas7bdat,Passed 3 or more abnormally loose stools in last 24hrs,,,,Diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0010016,"D25: Diarrhea history. Hs the child had an illness with diarrhea (3 or more loose or watery stools during a 24-hr period) in the last 2 weeks. If ""No"" go to part G, if ""Yes"" continue","1=No, 2=Yes",,"one of Eligibility criteria in GEMS1 project, may not correct, need to think use different label and IRI (not EUPATH_0010410)",
166,72,,max_stools,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Max loose stools per day,http://purl.obolibrary.org/obo/EUPATH_0010240,,,Diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0010016,D26: Diarrhea history. What is your best estimate of the maximum number of loose stools per day your child had during his/her diarrheal illness. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=3-6 times per dy, 2=7-10 times per day, 3=More than 10 times per day, 4=Don't know, NA=NA",,This is a variable of 'Diarrheal episodes',
173,73,,mod_severe,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat",Diarrhea 2 week history,,,,Diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0010016,D26.1: Diarrhea history. Moderate to severe diarrhea (drh_sunkeneyes=2 or dhr_wrnkskin=2 or hosptrt_intfld=1 or drh_blood=2 or admit=2). Only complete for children who had diarrhea in the last 2 weeks,"1=Moderate to severe diarrhea, 2=Had diarrhea, not moderate to severe, 3=No diarrhea in the last 2 weeks, 99=Missing/error",,,
,74,,,,Symptoms since illness began OR Symptoms during diarrhea,,,,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,,,D27 Category,,
89,75,,drh_blood,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Blood in stools ,http://purl.obolibrary.org/obo/EUPATH_0015059,,,Symptoms since illness began or during diarrhea,http://purl.obolibrary.org/obo/EUPATH_0010357,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Blood in stool. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",Multifilter,This variable is under 'Symptoms since illness began' (EUPATH_0010357) in GEMS1A and GEMS1. Can we reuse this category? ,
90,76,,drh_coma,gems1_huas_data.sas7bdat,Coma/loss of consciousness,,,,Symptoms since illness began or during diarrhea,http://purl.obolibrary.org/obo/EUPATH_0010357,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Coma / loss of conciousness. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",Multifilter,,
95,77,,drh_decurin,gems1_huas_data.sas7bdat,Decreased urination,,,,Symptoms since illness began or during diarrhea,http://purl.obolibrary.org/obo/EUPATH_0010357,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Decreased urination. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",Multifilter,"Do we need to add a multifilter category 'symptoms during diarrhea' under ""signs and symptoms' for all variables belong to D27. Diarrhea history? D27 +2 rows answer the question ""Did [Child’s Name] have any of the following symptoms during his/her diarrheal illness?""",
97,78,,drh_dry,gems1_huas_data.sas7bdat,Dry mouth,,,,Symptoms since illness began or during diarrhea,http://purl.obolibrary.org/obo/EUPATH_0010357,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Dry mouth. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",Multifilter,,
98,79,,drh_fever,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Measured fever of at least 38C or parental perception ,http://purl.obolibrary.org/obo/EUPATH_0015065,,,Symptoms since illness began or during diarrhea,http://purl.obolibrary.org/obo/EUPATH_0010357,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Fever. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",Multifilter,This variable is under 'Symptoms since illness began'. ,
100,80,,drh_lethrgy,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Decreased activity or lethargy ,http://purl.obolibrary.org/obo/EUPATH_0015067,,,Symptoms since illness began or during diarrhea,http://purl.obolibrary.org/obo/EUPATH_0010357,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Lethargy. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",Multifilter,This variable is under 'Symptoms since illness began'. ,
101,81,,drh_mucus,gems1_huas_data.sas7bdat,Mucus/pus in stool,,,,Symptoms since illness began or during diarrhea,http://purl.obolibrary.org/obo/EUPATH_0010357,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Mucus / pus in stool. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",Multifilter,,
102,82,,drh_rice,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Rice watery stool,,,,Symptoms since illness began or during diarrhea,http://purl.obolibrary.org/obo/EUPATH_0010357,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Rice watery stool. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",Multifilter,,
