colOrder,variable,dataFile,keepDiscard,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,variable_dataFile,uniqueVar,type,example,dateTime,formatCode,values,uniqueValueCount,timeVarying,percentMissing,flag
40,diarrhea,hucs_gambia_mali,,,,Child had diarrhea,"0=""Diarrhea"", 1=""No diarrhea""",,,,.,DIARRHEA,hucs_gambia_mali::diarrhea,chr,0,NA,NA,"., 0, 1",3,once,0.1368856,NA
41,drh_days,hucs_gambia_mali,,,,NA,NA,,,,NA,DRH_DAYS,hucs_gambia_mali::drh_days,chr,5,NA,NA,>10 unique values,22,once,0.913707779,NA
42,drh_days_last,hucs_gambia_mali,,,,NA,NA,,,,NA,DRH_DAYS_LAST,hucs_gambia_mali::drh_days_last,chr,3,NA,NA,>10 unique values,19,once,0.913707779,NA
43,max_stools,hucs_gambia_mali,,,,Loose stools in one day,"1=""3"", 2=""4 to 5"", 3=""6 to 10"", 4=""More than 10 times per day""",,,,.,MAX_STOOLS,hucs_gambia_mali::max_stools,chr,2,NA,NA,"., 1, 2, 3, 4",5,once,0.913707779,NA
44,drh_fever,hucs_gambia_mali,,,,Symptom fever,"0=""No"", 1= ""Yes""",,,,.,DRH_FEVER,hucs_gambia_mali::drh_fever,chr,1,NA,NA,"., 0, 1",3,once,0.913707779,NA
45,drh_blood,hucs_gambia_mali,,,,Symptom blood in stool,"0=""No"", 1= ""Yes"", 9=""DK""",,,,.,DRH_BLOOD,hucs_gambia_mali::drh_blood,chr,1,NA,NA,"., 0, 1, 9",4,once,0.913707779,NA
46,drh_irritable,hucs_gambia_mali,,,,Symptom irritation,"0=""No"", 1= ""Yes"", 9=""DK""",,,,.,DRH_IRRITABLE,hucs_gambia_mali::drh_irritable,chr,1,NA,NA,"., 0, 1, 9",4,once,0.913707779,NA
47,drh_thirsty,hucs_gambia_mali,,,,Symptom thirst,"0=""No"", 1= ""Yes"", 9=""DK""",,,,.,DRH_THIRSTY,hucs_gambia_mali::drh_thirsty,chr,1,NA,NA,"., 0, 1, 9",4,once,0.913707779,NA
48,drh_drink,hucs_gambia_mali,,,,Symptom drank poor,"0=""No"", 1= ""Yes"", 9=""DK""",,,,.,DRH_DRINK,hucs_gambia_mali::drh_drink,chr,0,NA,NA,"., 0, 1, 9",4,once,0.913707779,NA
49,drh_rice,hucs_gambia_mali,,,,Symptom watery stool,"0=""No"", 1= ""Yes"", 9=""DK""",,,,.,DRH_RICE,hucs_gambia_mali::drh_rice,chr,0,NA,NA,"., 0, 1, 9",4,once,0.913707779,NA
50,drh_lethrgy,hucs_gambia_mali,,,,Symptom lethargic,"0=""No"", 1= ""Yes"", 9=""DK""",,,,.,DRH_LETHRGY,hucs_gambia_mali::drh_lethrgy,chr,1,NA,NA,"., 0, 1, 9",4,once,0.913707779,NA
51,drh_sunkeyes,hucs_gambia_mali,,,,Symptom sunken eyes,"0=""No"", 1= ""Yes"", 9=""DK""",,,,.,DRH_SUNKEYES,hucs_gambia_mali::drh_sunkeyes,chr,1,NA,NA,"., 0, 1, 9",4,once,0.913707779,NA
52,drh_wrksk,hucs_gambia_mali,,,,Symptom wrinkled skin,"0=""No"", 1= ""Yes"", 9=""DK""",,,,.,DRH_WRKSK,hucs_gambia_mali::drh_wrksk,chr,0,NA,NA,"., 0, 1, 9",4,once,0.913707779,NA
53,vomit,hucs_gambia_mali,,,,Did the child vomit,"0=""No"", 1= ""Yes""",,,,.,VOMIT,hucs_gambia_mali::vomit,chr,1,NA,NA,"., 0, 1",3,once,0.913707779,NA
54,vomit_times,hucs_gambia_mali,,,,Times vomited in a day,"1=""1"", 2=""2-4"", 3=""5 or more""",,,,.,VOMIT_TIMES,hucs_gambia_mali::vomit_times,chr,2,NA,NA,"., 1, 2, 3",4,once,0.976505069,NA
55,vomit_days,hucs_gambia_mali,,,,NA,NA,,,,NA,VOMIT_DAYS,hucs_gambia_mali::vomit_days,chr,2,NA,NA,"., 1, 10, 2, 3, 4, 5, 6, 7",9,once,0.976505069,NA
56,outcome,hucs_gambia_mali,,,,Diarrheal illness outcome,"1=""Resolved"", 2=""Improved"", 3=""Continuing"", 4=""Worsening""",,,,.,OUTCOME,hucs_gambia_mali::outcome,chr,3,NA,NA,"., 1, 2, 3, 4",5,once,0.913707779,NA
57,offr_drink,hucs_gambia_mali,,,,Offered drink during diarrhea,"1=""More than usual, 2=""Usual"", 3=""Somewhat less than usual"", 4=""Much less than usual"", 5=""Nothing to drink""",,,,.,OFFR_DRINK,hucs_gambia_mali::offr_drink,chr,1,NA,NA,"., 1, 2, 3, 4, 5",6,once,0.913707779,NA
58,offr_eat,hucs_gambia_mali,,,,Offered food during diarrhea,"1=""More than usual, 2=""Usual"", 3=""Less than usual"", 4=""Nothing to eat""",,,,.,OFFR_EAT,hucs_gambia_mali::offr_eat,chr,3,NA,NA,"., 1, 2, 3, 4",5,once,0.913707779,NA
59,seekcare,hucs_gambia_mali,,,,Sought care outside home,"0=""No"", 1= ""Yes""",,,,.,SEEKCARE,hucs_gambia_mali::seekcare,chr,1,NA,NA,"., 0, 1",3,once,0.913707779,NA
60,seek_friend,hucs_gambia_mali,,,,Sought care from friend,"0=""Not selected"", 1=""Selected""",,,,.,SEEK_FRIEND,hucs_gambia_mali::seek_friend,chr,0,NA,NA,"., 0, 1",3,once,0.951328497,NA
61,seek_healer,hucs_gambia_mali,,,,Sought care traditional healer,"0=""Not selected"", 1=""Selected""",,,,.,SEEK_HEALER,hucs_gambia_mali::seek_healer,chr,0,NA,NA,"., 0, 1",3,once,0.951328497,NA
62,seek_ctr1,hucs_gambia_mali,,,,Center of 1st choice,"0=""Not selected"", 1=""Selected""",,,,.,SEEK_CTR1,hucs_gambia_mali::seek_ctr1,chr,1,NA,NA,"., 0, 1",3,once,0.951328497,NA
63,seek_ctr1_code,hucs_gambia_mali,discard,,,NA,NA,,,,NA,SEEK_CTR1_CODE,hucs_gambia_mali::seek_ctr1_code,chr,109,NA,NA,>10 unique values,24,once,0.982751165,NA
64,seek_ctr2,hucs_gambia_mali,,,,Center of 2nd choice,"0=""Not selected"", 1=""Selected""",,,,.,SEEK_CTR2,hucs_gambia_mali::seek_ctr2,chr,0,NA,NA,"., 0, 1",3,once,0.951328497,NA
65,seek_ctr2_code,hucs_gambia_mali,discard,,,NA,NA,,,,NA,SEEK_CTR2_CODE,hucs_gambia_mali::seek_ctr2_code,chr,109,NA,NA,>10 unique values,11,once,0.999039062,NA
66,seek_ctr3,hucs_gambia_mali,,,,Center of 3rd choice,"0=""Not selected"", 1=""Selected""",,,,.,SEEK_CTR3,hucs_gambia_mali::seek_ctr3,chr,0,NA,NA,"., 0",2,once,0.951328497,NA
67,seek_ctr3_code,hucs_gambia_mali,discard,,,NA,NA,,,,NA,SEEK_CTR3_CODE,hucs_gambia_mali::seek_ctr3_code,chr,NA,NA,NA,.,1,once,1,no data
68,seek_remedy,hucs_gambia_mali,,,,Remedy medicine from shop,"0=""Not selected"", 1=""Selected""",,,,.,SEEK_REMEDY,hucs_gambia_mali::seek_remedy,chr,0,NA,NA,"., 0, 1",3,once,0.951328497,NA
69,seek_wvend,hucs_gambia_mali,,,,Walking vendor medications,"0=""Not selected"", 1=""Selected""",,,,.,SEEK_WVEND,hucs_gambia_mali::seek_wvend,chr,0,NA,NA,"., 0, 1",3,once,0.951328497,NA
70,seek_tvend,hucs_gambia_mali,,,,Traditional vendor medications,"0=""Not selected"", 1=""Selected""",,,,.,SEEK_TVEND,hucs_gambia_mali::seek_tvend,chr,0,NA,NA,"., 0, 1",3,once,0.951328497,NA
71,seek_pharmacy,hucs_gambia_mali,,,,Sought care from pharmacy,"0=""Not selected"", 1=""Selected""",,,,.,SEEK_PHARMACY,hucs_gambia_mali::seek_pharmacy,chr,0,NA,NA,"., 0, 1",3,once,0.951328497,NA
72,seek_doctor,hucs_gambia_mali,,,,Sought care from primary doctor,"0=""Not selected"", 1=""Selected""",,,,.,SEEK_DOCTOR,hucs_gambia_mali::seek_doctor,chr,0,NA,NA,"., 0, 1",3,once,0.951328497,NA
73,seek_unlicdoc,hucs_gambia_mali,,,,Sought care from unlicensed practitioner,"0=""Not selected"", 1=""Selected""",,,,.,SEEK_UNLICDOC,hucs_gambia_mali::seek_unlicdoc,chr,0,NA,NA,"., 0, 1",3,once,0.951328497,NA
74,seek_other,hucs_gambia_mali,,,,Sought care from other hospital,"0=""Not selected"", 1=""Selected""",,,,.,SEEK_OTHER,hucs_gambia_mali::seek_other,chr,0,NA,NA,"., 0, 1",3,once,0.951328497,NA
75,seek_other_spec,hucs_gambia_mali,,,,NA,NA,,,,NA,SEEK_OTHER_SPEC,hucs_gambia_mali::seek_other_spec,chr,FIRE SERVICE CLINIC,NA,NA,>10 unique values,63,once,0.995483592,NA
76,dayseek,hucs_gambia_mali,,,,NA,NA,,,,NA,DAYSEEK,hucs_gambia_mali::dayseek,chr,2,NA,NA,>10 unique values,12,once,0.98159804,NA
77,hosp_advise,hucs_gambia_mali,,,,Hospitalization advised,"0=""No"", 1= ""Yes""",,,,.,HOSP_ADVISE,hucs_gambia_mali::hosp_advise,chr,0,NA,NA,"., 0, 1",3,once,0.981646087,NA
78,admit,hucs_gambia_mali,,,,Admitted to facility for treatment,"0=""No"", 1= ""Yes""",,,,.,ADMIT,hucs_gambia_mali::admit,chr,0,NA,NA,"., 0, 1",3,once,0.953730841,NA
79,admit_ctr,hucs_gambia_mali,,,,NA,NA,,,,NA,ADMIT_CTR,hucs_gambia_mali::admit_ctr,chr,107,NA,NA,"., 107, 108, 203",4,once,0.999759766,NA
80,admit_spec,hucs_gambia_mali,discard,,,NA,NA,,,,NA,ADMIT_SPEC,hucs_gambia_mali::admit_spec,int,0,NA,NA,0 to 0,1,once,0.999951953,NA
81,recommend_iv,hucs_gambia_mali,,,,IV fluids advised,"0=""Not selected"", 1=""Selected""",,,,.,RECOMMEND_IV,hucs_gambia_mali::recommend_iv,chr,1,NA,NA,"., 0, 1",3,once,0.9195695,NA
82,rec_ivfluid,hucs_gambia_mali,,,,Received intravenous fluids,"0=""Not selected"", 1=""Selected""",,,,.,REC_IVFLUID,hucs_gambia_mali::rec_ivfluid,chr,0,NA,NA,"., 0, 1",3,once,0.9195695,NA
83,rec_homemade,hucs_gambia_mali,,,,Received homemade fluids,"0=""Not selected"", 1=""Selected""",,,,.,REC_HOMEMADE,hucs_gambia_mali::rec_homemade,chr,0,NA,NA,"., 0, 1",3,once,0.9195695,NA
84,rec_ors,hucs_gambia_mali,,,,Received ORALITE or ORS,"1=""At home"", 2=""At the health center"", 3=""Both""",,,,.,REC_ORS,hucs_gambia_mali::rec_ors,chr,2,NA,NA,"., 1, 2, 3",4,once,0.98097343,NA
85,rec_trad,hucs_gambia_mali,,,,Traditional med to drink,"0=""Not selected"", 1=""Selected""",,,,.,REC_TRAD,hucs_gambia_mali::rec_trad,chr,1,NA,NA,"., 1",2,once,0.998702734,NA
86,rec_zinc,hucs_gambia_mali,,,,Received Zinc for diarrhea,"1=""At home"", 2=""At the health center""",,,,.,REC_ZINC,hucs_gambia_mali::rec_zinc,chr,2,NA,NA,"., 1, 2",3,once,0.998318359,NA
87,no_treatment,hucs_gambia_mali,,,,Received no treatment diarrhea,"0=""Not selected"", 1=""Selected""",,,,.,NO_TREATMENT,hucs_gambia_mali::no_treatment,chr,0,NA,NA,"., 0, 1",3,once,0.9195695,NA
88,rec_vax,hucs_gambia_mali,,,,Child had any vaccination,"0=""No"", 1= ""Yes""",,,,.,REC_VAX,hucs_gambia_mali::rec_vax,chr,1,NA,NA,"., 0, 1",3,once,0.324412627,NA
89,vax_card,hucs_gambia_mali,,,,Immunization card,"0=""No"", 1= ""Yes""",,,,.,VAX_CARD,hucs_gambia_mali::vax_card,chr,1,NA,NA,"., 0, 1",3,once,0.143131697,NA
90,vax_soth,hucs_gambia_mali,discard,,,NA,NA,,,,NA,VAX_SOTH,hucs_gambia_mali::vax_soth,chr,DSS,NA,NA,", ANTENATAL CARD, BASE DE DONNEES VACCINALES CVD, DSS, ORDINATEUR, lost, waiting for response",6,once,0.999711719,NA
91,dpt1,hucs_gambia_mali,,,,DPT/Pentavalent 1,"0=""No"", 1= ""Yes"", 9=""DK""",,,,.,DPT1,hucs_gambia_mali::dpt1,chr,1,NA,NA,"., 0, 1, 9",4,once,0.215346178,NA
92,dpt1_date,hucs_gambia_mali,,,,NA,NA,,,,NA,DPT1_DATE,hucs_gambia_mali::dpt1_date,chr,6/8/15,date?,NA,>10 unique values,1936,once,0.237303608,NA
93,dpt1_hc,hucs_gambia_mali,,,,NA,NA,,,,NA,DPT1_HC,hucs_gambia_mali::dpt1_hc,chr,GAMBISSARA,NA,NA,>10 unique values,560,once,0.23696728,NA
94,dpt1_dk,hucs_gambia_mali,,,,DPT/Pentavalent 1 don't know,"1=""Yes""",,,,.,DPT1_DK,hucs_gambia_mali::dpt1_dk,chr,1,NA,NA,"., 1",2,once,0.999519531,NA
95,dpt1_hcid,hucs_gambia_mali,,,,NA,NA,,,,NA,DPT1_HCID,hucs_gambia_mali::dpt1_hcid,chr,102,NA,NA,>10 unique values,33,once,0.237447749,NA
96,dpt2,hucs_gambia_mali,,,,DPT/Pentavalent 2,"0=""No"", 1= ""Yes"", 9=""DK""",,,,.,DPT2,hucs_gambia_mali::dpt2,chr,0,NA,NA,"., 0, 1, 9",4,once,0.234084466,NA
97,dpt2_date,hucs_gambia_mali,,,,NA,NA,,,,NA,DPT2_DATE,hucs_gambia_mali::dpt2_date,chr,2/5/15,date?,NA,>10 unique values,1896,once,0.269398933,NA
98,dpt2_hc,hucs_gambia_mali,,,,NA,NA,,,,NA,DPT2_HC,hucs_gambia_mali::dpt2_hc,chr,GAMBISSARA H/C,NA,NA,>10 unique values,539,once,0.269254793,NA
99,dpt2_dk,hucs_gambia_mali,,,,DPT/Pentavalent 2 don't know,"1=""Yes""",,,,.,DPT2_DK,hucs_gambia_mali::dpt2_dk,chr,1,NA,NA,"., 1",2,once,0.999519531,NA
100,dpt2_hcid,hucs_gambia_mali,,,,NA,NA,,,,NA,DPT2_HCID,hucs_gambia_mali::dpt2_hcid,chr,102,NA,NA,>10 unique values,33,once,0.269735262,NA
101,dpt3,hucs_gambia_mali,,,,DPT/Pentavalent 3,"0=""No"", 1= ""Yes"", 9=""DK""",,,,.,DPT3,hucs_gambia_mali::dpt3,chr,1,NA,NA,"., 0, 1, 9",4,once,0.26666026,NA
102,dpt3_date,hucs_gambia_mali,,,,NA,NA,,,,NA,DPT3_DATE,hucs_gambia_mali::dpt3_date,chr,3/5/15,date?,NA,>10 unique values,1857,once,0.321001297,NA
103,dpt3_hc,hucs_gambia_mali,,,,NA,NA,,,,NA,DPT3_HC,hucs_gambia_mali::dpt3_hc,chr,GAMBISSARA H/C,NA,NA,>10 unique values,516,once,0.32080911,NA
104,dpt3_dk,hucs_gambia_mali,,,,DPT/Pentavalent 3 don't know,"1=""Yes""",,,,.,DPT3_DK,hucs_gambia_mali::dpt3_dk,chr,1,NA,NA,"., 1",2,once,0.999567578,NA
105,dpt3_hcid,hucs_gambia_mali,,,,NA,NA,,,,NA,DPT3_HCID,hucs_gambia_mali::dpt3_hcid,chr,102,NA,NA,>10 unique values,34,once,0.321241532,NA
106,dpt_type,hucs_gambia_mali,,,,Which vaccine was given,"1=""DPT"", 2=""Pentavalent"", 3=""Don<U+2019>t know""",,,,.,DPT_TYPE,hucs_gambia_mali::dpt_type,chr,2,NA,NA,"., 1, 2, 3",4,once,0.234084466,NA
107,rot1,hucs_gambia_mali,,,,Rotavirus vaccine 1,"0=""No"", 1= ""Yes"", 9=""DK""",,,,.,ROT1,hucs_gambia_mali::rot1,chr,1,NA,NA,"., 0, 1, 9",4,once,0.215346178,NA
108,rot1_date,hucs_gambia_mali,,,,NA,NA,,,,NA,ROT1_DATE,hucs_gambia_mali::rot1_date,chr,6/8/15,date?,NA,>10 unique values,1319,once,0.358622015,NA
109,rot1_hc,hucs_gambia_mali,,,,NA,NA,,,,NA,ROT1_HC,hucs_gambia_mali::rot1_hc,chr,GAMBISSARA,NA,NA,>10 unique values,470,once,0.358525921,NA
110,rot1_dk,hucs_gambia_mali,,,,Rotavirus vaccine don't know,"1=""Yes""",,,,.,ROT1_DK,hucs_gambia_mali::rot1_dk,chr,1,NA,NA,"., 1",2,once,0.999567578,NA
111,rot1_hcid,hucs_gambia_mali,,,,NA,NA,,,,NA,ROT1_HCID,hucs_gambia_mali::rot1_hcid,chr,102,NA,NA,>10 unique values,31,once,0.358958343,NA
112,rot2,hucs_gambia_mali,,,,Rotavirus vaccine 2,"0=""No"", 1= ""Yes"", 9=""DK""",,,,.,ROT2,hucs_gambia_mali::rot2,chr,0,NA,NA,"., 0, 1, 9",4,once,0.356171624,NA
113,rot2_date,hucs_gambia_mali,,,,NA,NA,,,,NA,ROT2_DATE,hucs_gambia_mali::rot2_date,chr,1/8/15,date?,NA,>10 unique values,1282,once,0.395281795,NA
114,rot2_hc,hucs_gambia_mali,,,,NA,NA,,,,NA,ROT2_HC,hucs_gambia_mali::rot2_hc,chr,GAMBISSARA H/C,NA,NA,>10 unique values,446,once,0.395185701,NA
115,rot2_dk,hucs_gambia_mali,,,,Rotavirus vaccine 2 don't know,"1=""Yes""",,,,.,ROT2_DK,hucs_gambia_mali::rot2_dk,chr,1,NA,NA,"., 1",2,once,0.999567578,NA
116,rot2_hcid,hucs_gambia_mali,,,,NA,NA,,,,NA,ROT2_HCID,hucs_gambia_mali::rot2_hcid,chr,102,NA,NA,>10 unique values,31,once,0.395618123,NA
117,rot3,hucs_gambia_mali,,,,Rotavirus vaccine 3,"0=""No"", 1= ""Yes"", 9=""DK""",,,,.,ROT3,hucs_gambia_mali::rot3,chr,1,NA,NA,"., 0, 1, 9",4,once,0.3921107,NA
118,rot3_date,hucs_gambia_mali,,,,NA,NA,,,,NA,ROT3_DATE,hucs_gambia_mali::rot3_date,chr,3/5/15,date?,NA,>10 unique values,1194,once,0.471964637,NA
119,rot3_hc,hucs_gambia_mali,,,,NA,NA,,,,NA,ROT3_HC,hucs_gambia_mali::rot3_hc,chr,GAMBISSARA H/C,NA,NA,>10 unique values,425,once,0.471916591,NA
120,rot3_dk,hucs_gambia_mali,,,,Rotavirus vaccine 3 don't know,"1=""Yes""",,,,.,ROT3_DK,hucs_gambia_mali::rot3_dk,chr,1,NA,NA,"., 1",2,once,0.999615625,NA
121,rot3_hcid,hucs_gambia_mali,,,,NA,NA,,,,NA,ROT3_HCID,hucs_gambia_mali::rot3_hcid,chr,102,NA,NA,>10 unique values,30,once,0.472300966,NA
122,opv1,hucs_gambia_mali,,,,Oral polio vaccine 1,"0=""No"", 1= ""Yes"", 9=""DK""",,,,.,OPV1,hucs_gambia_mali::opv1,chr,1,NA,NA,"., 0, 1, 9",4,once,0.215346178,NA
