colOrder,variable,IRI,label,definition,parentIRI,parentLabel,category,dataset,codebookDescription,notesForOnt,values,multifilter,duplicated,notesForDL,,
38,mal_symptoms___12,,Yellow eyes or skin,,,Malaria symptoms knowledge,Observation,Household member,Q1. There is a disease known as malaria. Do you know any of the symptoms of malaria? Yellow eyes or skin,,binary,value,,,,
39,mal_symptoms___13,,Do not know,,,Malaria symptoms knowledge,Observation,Household member,Q1. There is a disease known as malaria. Do you know any of the symptoms of malaria? Do not know,,binary,value,,,,
40,mal_symptoms___14,,Other,,,Malaria symptoms knowledge,Observation,Household member,Q1. There is a disease known as malaria. Do you know any of the symptoms of malaria? Other,,binary,value,,,,
,,,Malaria symptoms knowledge,Asked only of participants >= 16 years old,,Malaria knowledge,Observation,,,,,yes,,,,
41,mal_causes___1,,Mosquito bites,,,Malaria causes knowledge,Observation,Household member,Q2. Do you know what causes malaria? Mosquito bites,,binary,value,,,,
42,mal_causes___2,,Breathing bad air,,,Malaria causes knowledge,Observation,Household member,Q2. Do you know what causes malaria? Breathing bad air,,binary,value,,,,
43,mal_causes___3,,Eating bad food,,,Malaria causes knowledge,Observation,Household member,Q2. Do you know what causes malaria? Eating bad food,,binary,value,,,,
44,mal_causes___4,,Eating fresh corn,,,Malaria causes knowledge,Observation,Household member,Q2. Do you know what causes malaria? Eating fresh maize,,binary,value,,,,
45,mal_causes___5,,Eating fresh fruits,,,Malaria causes knowledge,Observation,Household member,Q2. Do you know what causes malaria? Eating fresh fruits,,binary,value,,,,
46,mal_causes___6,,Eating sugar cane,,,Malaria causes knowledge,Observation,Household member,Q2. Do you know what causes malaria? Eating sugar cane,,binary,value,,,,
47,mal_causes___7,,Drinking bad water,,,Malaria causes knowledge,Observation,Household member,Q2. Do you know what causes malaria? Drinking bad water,,binary,value,,,,
48,mal_causes___8,,Sleeping in the same room as someone who is sick,,,Malaria causes knowledge,Observation,Household member,Q2. Do you know what causes malaria? Sleeping in same room as someone who is sick,,binary,value,,,,
49,mal_causes___9,,Breathing the same air as someone who is sick,,,Malaria causes knowledge,Observation,Household member,Q2. Do you know what causes malaria? Breathing the same air as someone who is sick,,binary,value,,,,
50,mal_causes___10,,Disobeying your elders,,,Malaria causes knowledge,Observation,Household member,Q2. Do you know what causes malaria? If you do not obey your elders you get malaria,,binary,value,,,,
51,mal_causes___11,,Bad luck,,,Malaria causes knowledge,Observation,Household member,Q2. Do you know what causes malaria? Bad luck,,binary,value,,,,
52,mal_causes___12,,A cut in the skin,,,Malaria causes knowledge,Observation,Household member,Q2. Do you know what causes malaria? A cut in the skin,,binary,value,,,,
53,mal_causes___13,,A curse/punishment,,,Malaria causes knowledge,Observation,Household member,Q2. Do you know what causes malaria? It is a curse/punishment,,binary,value,,,,
54,mal_causes___14,,Dirty surroundings,,,Malaria causes knowledge,Observation,Household member,Q2. Do you know what causes malaria? Dirty surroundings,,binary,value,,,,
55,mal_causes___15,,Flies,,,Malaria causes knowledge,Observation,Household member,Q2. Do you know what causes malaria? Flies,,binary,value,,,,
56,mal_causes___16,,Do not know,,,Malaria causes knowledge,Observation,Household member,Q2. Do you know what causes malaria? Do not know,,binary,value,,,,
57,mal_causes___17,,Other,,,Malaria causes knowledge,Observation,Household member,Q2. Do you know what causes malaria? Other,,binary,value,,,,
,,,Malaria causes knowledge,Asked only of participants >= 16 years old,,Malaria knowledge,Observation,,,,,yes,,,,
58,mal_prevent___1,,Burn a fire in the house,,,Malaria prevention knowledge,Observation,Household member,Q3. Do you know how to prevent malaria? Burn a fire in the house,,binary,value,,,,
59,mal_prevent___2,,Charms,,,Malaria prevention knowledge,Observation,Household member,Q3. Do you know how to prevent malaria? Charms,,binary,value,,,,
60,mal_prevent___3,,Do not go outside at certain times of day,,,Malaria prevention knowledge,Observation,Household member,Q3. Do you know how to prevent malaria? Do not go outside at certain times of day,,binary,value,,,,
61,mal_prevent___4,,Have a screen on the windows,,,Malaria prevention knowledge,Observation,Household member,Q3. Do you know how to prevent malaria? Have screen on the windows,,binary,value,,,,
62,mal_prevent___5,,Keep skin covered,,,Malaria prevention knowledge,Observation,Household member,Q3. Do you know how to prevent malaria? Keep skin covered,,binary,value,,,,
63,mal_prevent___6,,Sleep under a mosquito net,,,Malaria prevention knowledge,Observation,Household member,Q3. Do you know how to prevent malaria? Sleep under a mosquito net,,binary,value,,,,
64,mal_prevent___7,,Spray insecticide inside the house,,,Malaria prevention knowledge,Observation,Household member,Q3. Do you know how to prevent malaria? Spray insecticide inside the house,,binary,value,,,,
65,mal_prevent___8,,Take medicine to prevent malaria,,,Malaria prevention knowledge,Observation,Household member,Q3. Do you know how to prevent malaria? Take medicine to prevent malaria,,binary,value,,,,
66,mal_prevent___9,,Wear insect repellent,,,Malaria prevention knowledge,Observation,Household member,Q3. Do you know how to prevent malaria? Wear insect repellent,,binary,value,,,,
67,mal_prevent___10,,Drink and eat clean water and food,,,Malaria prevention knowledge,Observation,Household member,Q3. Do you know how to prevent malaria? Drink and eat clean water and food,,binary,value,,,,
68,mal_prevent___11,,Bury mosquito breeding sites,,,Malaria prevention knowledge,Observation,Household member,Q3. Do you know how to prevent malaria? Bury mosquito breeding sites,,binary,value,,,,
69,mal_prevent___12,,Keep surroundings clean,,,Malaria prevention knowledge,Observation,Household member,Q3. Do you know how to prevent malaria? Keep surroundings clean,,binary,value,,,,
70,mal_prevent___13,,Seek early treatment,,,Malaria prevention knowledge,Observation,Household member,Q3. Do you know how to prevent malaria? Seek early treatment,,binary,value,,,,
71,mal_prevent___14,,Do not know,,,Malaria prevention knowledge,Observation,Household member,Q3. Do you know how to prevent malaria? Do not know,,binary,value,,,,
72,mal_prevent___15,,Other,,,Malaria prevention knowledge,Observation,Household member,Q3. Do you know how to prevent malaria? Other,,binary,value,,,,
,,,Malaria prevention knowledge,Asked only of participants >= 16 years old,,Malaria knowledge,Observation,,,,,yes,,,,
73,mal_learn___1,,Never learned about it,,,Malaria knowledge source,Observation,Household member,Q4. Where did you learn about malaria?Never learned about it,,binary,value,,,,
74,mal_learn___2,,Community health worker,,,Malaria knowledge source,Observation,Household member,Q4. Where did you learn about malaria?Community health worker,,binary,value,,,,
75,mal_learn___3,,Health care worker at clinic or hospital,,,Malaria knowledge source,Observation,Household member,Q4. Where did you learn about malaria?Health care worker at clinic or hospital,,binary,value,,,,
76,mal_learn___4,,Posters in Health Post or Health Center,,,Malaria knowledge source,Observation,Household member,Q4. Where did you learn about malaria?Posters in Health Post or Health Center,,binary,value,,,,
77,mal_learn___5,,Friends or relatives,,,Malaria knowledge source,Observation,Household member,Q4. Where did you learn about malaria?Friends or relatives,,binary,value,,,,
78,mal_learn___6,,Traditional healer,,,Malaria knowledge source,Observation,Household member,Q4. Where did you learn about malaria?Traditional healer,,binary,value,,,,
79,mal_learn___7,,School,,,Malaria knowledge source,Observation,Household member,Q4. Where did you learn about malaria?School,,binary,value,,,,
80,mal_learn___8,,Non-governmental organization (NGO),,,Malaria knowledge source,Observation,Household member,Q4. Where did you learn about malaria?Non-governmental organization (NGO),,binary,value,,,,
81,mal_learn___9,,ICEMR study team,,,Malaria knowledge source,Observation,Household member,Q4. Where did you learn about malaria?ICEMR study team,,binary,value,,,,
82,mal_learn___10,,Radio,,,Malaria knowledge source,Observation,Household member,Q4. Where did you learn about malaria?Radio,,binary,value,,,,
83,mal_learn___11,,Newspaper,,,Malaria knowledge source,Observation,Household member,Q4. Where did you learn about malaria?Newspaper,,binary,value,,,,
84,mal_learn___12,,Do not know,,,Malaria knowledge source,Observation,Household member,Q4. Where did you learn about malaria?Do not know,,binary,value,,,,
85,mal_learn___13,,Other,,,Malaria knowledge source,Observation,Household member,Q4. Where did you learn about malaria?Other,,binary,value,,,,
,,,Malaria knowledge source,Asked only of participants >= 16 years old,,Malaria knowledge,Observation,,,,,yes,,,,
86,symp_fever,,Fever,,,Symptoms in past day,Observation,Household member,"Q5. In the past DAY, have you experienced any of the following symptoms?  Fever",,"0 - no, 1 - yes, 2 - Don't know",value,chld_symp_fever,,,
87,symp_headache,,Headache,,,Symptoms in past day,Observation,Household member,"Q5. In the past DAY, have you experienced any of the following symptoms? Headache",,"0 - no, 1 - yes, 2 - Don't know",value,chld_symp_headache,,,
88,symp_chills,,Chills,,,Symptoms in past day,Observation,Household member,"Q5. In the past DAY, have you experienced any of the following symptoms? Chills",,"0 - no, 1 - yes, 2 - Don't know",value,chld_symp_chills,,,
89,symp_nausvom,,Vomiting,,,Symptoms in past day,Observation,Household member,"Q5. In the past DAY, have you experienced any of the following symptoms? Vomiting",,"0 - no, 1 - yes, 2 - Don't know",value,chld_symp_nausvom,,,
90,symp_diarrhea,,Diarrhea,,,Symptoms in past day,Observation,Household member,"Q5. In the past DAY, have you experienced any of the following symptoms? Diarrhea (> 3 loose/watery stools in 24 hours)",,"0 - no, 1 - yes, 2 - Don't know",value,chld_symp_diarrhea,,,
91,symp_cough,,Cough,,,Symptoms in past day,Observation,Household member,"Q5. In the past DAY, have you experienced any of the following symptoms? Cough",,"0 - no, 1 - yes, 2 - Don't know",value,chld_symp_cough,,,
,,,Symptoms in past day,Symptoms that occurred in the past day,EUPATH_0000309,Signs and symptoms,,,,,,yes,,,,
92,illsymp_fever,,Fever,,,Symptoms in past two weeks,Observation,Household member,"Q6. Excluding the past day, have you experienced any of the following symptoms in the past TWO WEEKS?  Fever",,"0 - no, 1 - yes, 2 - Don't know",value,chld_illsymp_fever,,,
93,illsymp_headache,,Headache,,,Symptoms in past two weeks,Observation,Household member,"Q6. Excluding the past day, have you experienced any of the following symptoms in the past TWO WEEKS?  Headache",,"0 - no, 1 - yes, 2 - Don't know",value,chld_illsymp_headache,,,
94,illsymp_chills,,Chills,,,Symptoms in past two weeks,Observation,Household member,"Q6. Excluding the past day, have you experienced any of the following symptoms in the past TWO WEEKS?  Chills",,"0 - no, 1 - yes, 2 - Don't know",value,chld_illsymp_chills,,,
95,illsymp_nausvom,,Vomiting,,,Symptoms in past two weeks,Observation,Household member,"Q6. Excluding the past day, have you experienced any of the following symptoms in the past TWO WEEKS?  Vomiting",,"0 - no, 1 - yes, 2 - Don't know",value,chld_illsymp_nausvom,,,
96,illsymp_diarrhea,,Diarrhea,,,Symptoms in past two weeks,Observation,Household member,"Q6. Excluding the past day, have you experienced any of the following symptoms in the past TWO WEEKS?  Diarrhea (> 3 loose/watery stools in 24 hours)",,"0 - no, 1 - yes, 2 - Don't know",value,chld_illsymp_diarrhea,,,
97,illsymp_cough,,Cough,,,Symptoms in past two weeks,Observation,Household member,"Q6. Excluding the past day, have you experienced any of the following symptoms in the past TWO WEEKS?  Cough",,"0 - no, 1 - yes, 2 - Don't know",value,chld_illsymp_cough,,,
,,,Symptoms in past two weeks,"Symptoms that occurred in the past two weeks, excluding the past day",EUPATH_0021098,Immediate clinical history,,,,,,yes,,,,
98,meds_month_yn,EUPATH_0000410,Took antimalarial drugs,Took antimalarial medications in the last month,,,Observation,Household member,Q7. Have you taken any medications for malaria in the past MONTH?,Should this go under Treatment or Immediate clinical history?,"0 - no, 1 - yes, 2 - Don't know",,chld_meds_month_yn,,,
99,meds_when,,When antimalarial drugs were used,,,,Observation,Household member,"Q8. If YES, when?",Should this go under Treatment or Immediate clinical history?,1. Within the past day 2. Not within the past day but within the past week 3. More than one week ago 4. Do not know ,,chld_meds_when,,,
100,meds_month___1,,Herbal or traditional medicine,,,Antimalarial medications in past month,Observation,Household member,"Q9. If YES, what medications for malaria did you take? 1. Herbal or traditional medicine",,"0 - no, 1 - yes, 2 - Don't know",value,chld_meds_month___1,,,
101,meds_month___2,,Chloroquine,,,Antimalarial medications in past month,Observation,Household member,"Q9. If YES, what medications for malaria did you take? 2. Chloroquine",,"0 - no, 1 - yes, 2 - Don't know",value,chld_meds_month___2,,,
102,meds_month___3,,Coartem,,,Antimalarial medications in past month,Observation,Household member,"Q9. If YES, what medications for malaria did you take? 3. Coartem",,"0 - no, 1 - yes, 2 - Don't know",value,chld_meds_month___3,,,
103,meds_month___4,,Quinine,,,Antimalarial medications in past month,Observation,Household member,"Q9. If YES, what medications for malaria did you take? 4. Quinine",,"0 - no, 1 - yes, 2 - Don't know",value,chld_meds_month___4,,,
104,meds_month___5,,Sulphadoxine/pyrimethamine (Fansidar),,,Antimalarial medications in past month,Observation,Household member,"Q9. If YES, what medications for malaria did you take? 5. SP/Fansidar",,"0 - no, 1 - yes, 2 - Don't know",value,chld_meds_month___5,,,
105,meds_month___6,,Don't know,,,Antimalarial medications in past month,Observation,Household member,"Q9. If YES, what medications for malaria did you take? 6. Don't know",,"0 - no, 1 - yes, 2 - Don't know",value,chld_meds_month___6,,,
106,meds_month___7,,Other,,,Antimalarial medications in past month,Observation,Household member,"Q9. If YES, what medications for malaria did you take? 7. Other",,"0 - no, 1 - yes, 2 - Don't know",value,chld_meds_month___7,,,
,,,Antimalarial medications in past month,Medications that were taken for malaria in the past month,EUPATH_0021098,Immediate clinical history,Observation,,"If YES, what medications for malaria did you take",,,yes,,,,
107,mal_meds_source___1,,Health post,,,Antimalarial medication source,Observation,Household member,"Q10. If yes, where did you get the medications for malaria? 1. Health post",,"0 - no, 1 - yes, 2 - Don't know",,chld_mal_meds_source___1,,,
108,mal_meds_source___2,,Health center,,,Antimalarial medication source,Observation,Household member,"Q10. If yes, where did you get the medications for malaria? 2. Health center",,"0 - no, 1 - yes, 2 - Don't know",,chld_mal_meds_source___2,,,
109,mal_meds_source___3,,Hospital,,,Antimalarial medication source,Observation,Household member,"Q10. If yes, where did you get the medications for malaria? 3. Hospital",,"0 - no, 1 - yes, 2 - Don't know",,chld_mal_meds_source___3,,,
110,mal_meds_source___4,,Traditional healer,,,Antimalarial medication source,Observation,Household member,"Q10. If yes, where did you get the medications for malaria? 4. Traditional healer",,"0 - no, 1 - yes, 2 - Don't know",,chld_mal_meds_source___4,,,
111,mal_meds_source___5,,Had it in the home,,,Antimalarial medication source,Observation,Household member,"Q10. If yes, where did you get the medications for malaria? 5. Had it in the home",,"0 - no, 1 - yes, 2 - Don't know",,chld_mal_meds_source___5,,,
112,mal_meds_source___6,,Relative or friend,,,Antimalarial medication source,Observation,Household member,"Q10. If yes, where did you get the medications for malaria? 6. Relative or friend",,"0 - no, 1 - yes, 2 - Don't know",,chld_mal_meds_source___6,,,
113,mal_meds_source___7,,"Local chemist, shop or market",,,Antimalarial medication source,Observation,Household member,"Q10. If yes, where did you get the medications for malaria? 7. Local chemist, shop or market",,"0 - no, 1 - yes, 2 - Don't know",,chld_mal_meds_source___7,,,
114,mal_meds_source___8,,Don't know,,,Antimalarial medication source,Observation,Household member,"Q10. If yes, where did you get the medications for malaria? 8. Do not know",,"0 - no, 1 - yes, 2 - Don't know",,chld_mal_meds_source___8,,,
115,mal_meds_source___9,,Other,,,Antimalarial medication source,Observation,Household member,"Q10. If yes, where did you get the medications for malaria? 9. Other",,"0 - no, 1 - yes, 2 - Don't know",,chld_mal_meds_source___9,,,
,,,Antimalarial medication source,Asked only of participants >= 16 years old,EUPATH_0021098,Immediate clinical history,Observation,,"If took anti-malaria medications in the last month, where did you get the medications for malaria? ",,,,,,,
116,hlthctr_nearest_choma,,Closest health center,Asked only of participants >= 16 years old,,,Observation,Household member,Q11. What is the name of the NEAREST Health Center? (Choma),,"99	please select
1	Chilalantambo
2	Macha Mission Hospital
3	Mang'unza
4	Mapanza
5	Mbabala
6	Nalube
7	Simaubi
98	Other Health Center (please type name)",,"hlthctr_nearest_choma, hlthctr_nearest_nchel, hlthctr_nearest_mutas",,,
117,hlthctr_nearest_nchel,,Closest health center,Asked only of participants >= 16 years old,,,Observation,Household member,Q11. What is the name of the NEAREST Health Center? Nchelenge,,"99	please select
1	Chabikila
2	Chisenga Island
3	Kabalenge
4	Kabuta
5	Kafutuma
6	Kambwali
7	Kanyembo
8	Kashikishi
9	Kilwa Island
10	Nchelenge
11	St. Paul's Mission Hospital
98	Other Health Center (please type name)",,"hlthctr_nearest_choma, hlthctr_nearest_nchel, hlthctr_nearest_mutas",,,
118,hlthctr_nearest_mutas,,Closest health center,Asked only of participants >= 16 years old,,,Observation,Household member,Q11. What is the name of the NEAREST Health Center?  (Mutasa),,"99	please select
98	Other Health Center (please type name)",,"hlthctr_nearest_choma, hlthctr_nearest_nchel, hlthctr_nearest_mutas",,,
119,hlthctr_last_visit,,Last visit to health center,Last visit to health center due to malaria,,,Observation,Household member,Q12. When was the last time you visited the Health Center for malaria? ,,"1. ? 1 month ago
2. 2-6 months ago
3. 7 months to 1 year ago
4. Greater than 1 year
5. Never
6. Do not know",,chld_hlthctr_last_visit,,,
120,hlthpost_nearest_choma,,Closest health post,Asked only of participants >= 16 years old,,,Observation,Household member,Q13. What is the name of the NEAREST Health Post? (Choma),,"99	please select
0	No Health Post in this area
1	Hakwambwa
2	Hamoonde
3	Hamubbwatu
4	Kabanga
5	Kapondo
6	Mutongwa
7	Nalituba
98	Other Health Post (please type name)",,"hlthpost_nearest_choma, hlthpost_nearest_nchel, hlthpost_nearest_mutas",,,
121,hlthpost_nearest_nchel,,Closest health post,Asked only of participants >= 16 years old,,,Observation,Household member,Q13. What is the name of the NEAREST Health Post?  (Nchelenge),,"99	please select
0	No Health Post in this area
1	Mulwe Health Post
2	Kapambwe Health Post
98	Other Health Post (please type name)",,"hlthpost_nearest_choma, hlthpost_nearest_nchel, hlthpost_nearest_mutas",,,
122,hlthpost_nearest_mutas,,Closest health post,Asked only of participants >= 16 years old,,,Observation,Household member,Q13. What is the name of the NEAREST Health Post?  (Mutasa),,"99	please select
0	No Health Post in this area
98	Other Health Post (please type name)",,"hlthpost_nearest_choma, hlthpost_nearest_nchel, hlthpost_nearest_mutas",,,
123,hlthpost_last_visit,,Last visit to health post,Last visit to health post due to malaria,,,Observation,Household member,Q14. When was the last time you visited the Health Post for malaria? ,,"1. ? 1 month ago
2. 2-6 months ago
3. 7 months to 1 year ago
4. Greater than 1 year
5. Never
6. Do not know",,chld_hlthctr_last_visit_post,,,
124,mc_have_bednet,,Bednets,Whether there are bednets in the house,EUPATH_0021097,Personal vector intervention,Observation,Household member,Do you have bed nets in the house where you sleep?,Place under Observation for now. Data providers indicated question was asked of multiple hh members and answers might differ if there was more than one sleeping place,,,,,,
125,mc_bednet_count,,Bednet count,"If any bednets in the house, the total number of bednets",EUPATH_0021097,Personal vector intervention,Observation,Household member,"If YES, How many bed nets are in the house where you sleep?",Place under Observation for now. Data providers indicated question was asked of multiple hh members and answers might differ if there was more than one sleeping place,,,,,,
126,mc_bednet_count_dk,,Bednet count,"If any bednets in house, total number of bednets",EUPATH_0021097,Personal vector intervention,Observation,Household member,"Participant has bed nets in the house where they sleep but they DON""T KNOW how many:",Place under Observation for now. Data providers indicated question was asked of multiple hh members and answers might differ if there was more than one sleeping place,2 - Do not know,,,,,
127,mc_why_no_bednet___1,,It is too hot under the net,,,Reason for no household bednets,Observation,Household member,"Q16. If none, what is the reason you do not have a bed net in your house? 1. It is too hot under the net",Place under Observation for now. Data providers indicated question was asked of multiple hh members and answers might differ if there was more than one sleeping place,binary,value,,,,
128,mc_why_no_bednet___2,,There is not enough space under the next,,,Reason for no household bednets,Observation,Household member,"Q16. If none, what is the reason you do not have a bed net in your house? 2. There is not enough space under the next",Place under Observation for now. Data providers indicated question was asked of multiple hh members and answers might differ if there was more than one sleeping place,binary,value,,,,
129,mc_why_no_bednet___3,,It does not protect against mosquitoes,,,Reason for no household bednets,Observation,Household member,"Q16. If none, what is the reason you do not have a bed net in your house? 3. It does not protect against mosquitoes",Place under Observation for now. Data providers indicated question was asked of multiple hh members and answers might differ if there was more than one sleeping place,binary,value,,,,
130,mc_why_no_bednet___4,,No mosquitoes around,,,Reason for no household bednets,Observation,Household member,"Q16. If none, what is the reason you do not have a bed net in your house? 4. No mosquitoes around",Place under Observation for now. Data providers indicated question was asked of multiple hh members and answers might differ if there was more than one sleeping place,binary,value,,,,
131,mc_why_no_bednet___5,,It is only for children/pregnant women,,,Reason for no household bednets,Observation,Household member,"Q16. If none, what is the reason you do not have a bed net in your house? 5. It is only for children/pregnant women",Place under Observation for now. Data providers indicated question was asked of multiple hh members and answers might differ if there was more than one sleeping place,binary,value,,,,
132,mc_why_no_bednet___6,,It is too expensive,,,Reason for no household bednets,Observation,Household member,"Q16. If none, what is the reason you do not have a bed net in your house? 6. It is too expensive",Place under Observation for now. Data providers indicated question was asked of multiple hh members and answers might differ if there was more than one sleeping place,binary,value,,,,
133,mc_why_no_bednet___7,,Bed nets are not available,,,Reason for no household bednets,Observation,Household member,"Q16. If none, what is the reason you do not have a bed net in your house? 7. Bed nets are not available",Place under Observation for now. Data providers indicated question was asked of multiple hh members and answers might differ if there was more than one sleeping place,binary,value,,,,
134,mc_why_no_bednet___8,,I do not know where to get a bed net,,,Reason for no household bednets,Observation,Household member,"Q16. If none, what is the reason you do not have a bed net in your house? 8. I do not know where to get a bed net",Place under Observation for now. Data providers indicated question was asked of multiple hh members and answers might differ if there was more than one sleeping place,binary,value,,,,
135,mc_why_no_bednet___9,,There are not enough bed nets for everyone,,,Reason for no household bednets,Observation,Household member,"Q16. If none, what is the reason you do not have a bed net in your house? 9. There are not enough bed nets for everyone",Place under Observation for now. Data providers indicated question was asked of multiple hh members and answers might differ if there was more than one sleeping place,binary,value,,,,
136,mc_why_no_bednet___10,,It is not the rainy or malaria season,,,Reason for no household bednets,Observation,Household member,"Q16. If none, what is the reason you do not have a bed net in your house? 10. It is not the rainy or malaria season",Place under Observation for now. Data providers indicated question was asked of multiple hh members and answers might differ if there was more than one sleeping place,binary,value,,,,
